tier,file,n_reviewed,uniq_summary_ratio,uniq_reason_ratio,placeholder_hits,top_reason_count,top_reason
3,human/AKT1/AKT1-ai-review.yaml,446,0.325,0.036,0,208,Falcon research and UniProt support AKT1 activation downstream of PI3K and phosphorylation
3,mouse/Bcl2/Bcl2-ai-review.yaml,359,0.474,0.05,0,177,Bcl2-dependent survival has broad tissue and developmental consequences; these terms are b
3,human/AGO2/AGO2-ai-review.yaml,267,0.199,0.049,0,134,The falcon report supports AGO2 function in miRISC-mediated small-RNA-guided repression an
3,mouse/Edn1/Edn1-ai-review.yaml,253,0.684,0.055,0,114,This overstates the direct role of the gene product; the curated model is better captured 
3,mouse/Mapk1/Mapk1-ai-review.yaml,233,0.481,0.043,0,111,The generic ERK context-dependence evidence does not justify retaining this specific annot
3,mouse/Pten/Pten-ai-review.yaml,231,0.662,0.035,0,169,Secondary or downstream function
3,mouse/Cdc42/Cdc42-ai-review.yaml,226,0.509,0.071,0,98,"The term directly reflects Cdc42 GDP/GTP switch activity, effector binding, membrane local"
3,mouse/Syk/Syk-ai-review.yaml,223,0.498,0.063,0,106,"The annotation is biologically plausible for Syk-dependent immune, platelet, myeloid, vasc"
3,rat/Hspa8/Hspa8-ai-review.yaml,208,0.635,0.087,0,133,Kept as non-core to preserve potentially valid context-specific annotation without elevati
3,mouse/Hsp90aa1/Hsp90aa1-ai-review.yaml,201,0.488,0.06,0,118,Retain this annotation as context-specific while keeping the core review focused on ATP-de
3,human/PSMA1/PSMA1-ai-review.yaml,191,0.22,0.063,0,86,"The reviewed core function occurs in cytosolic and nuclear proteasome pools, supported by "
3,mouse/Mapk3/Mapk3-ai-review.yaml,186,0.565,0.054,0,112,The generic ERK context-dependence evidence does not justify retaining this specific annot
3,mouse/Myc/Myc-ai-review.yaml,181,0.619,0.061,0,73,"The term directly reflects Myc DNA binding, transcription factor activity, Myc-Max complex"
3,mouse/Ednra/Ednra-ai-review.yaml,172,0.715,0.064,0,101,This annotation captures a real downstream or context-specific consequence of Ednra activi
3,mouse/Calm1/Calm1-ai-review.yaml,155,0.465,0.026,0,94,Tissue-specific or specialized function
3,human/PSMB5/PSMB5-ai-review.yaml,154,0.201,0.071,0,75,"The reviewed core function occurs in cytosolic and nuclear proteasome pools, supported by "
3,mouse/Calm2/Calm2-ai-review.yaml,134,0.687,0.097,0,57,Tissue-specific or specialized function
3,mouse/Dnmt1/Dnmt1-ai-review.yaml,127,0.346,0.087,0,74,Secondary or downstream function
3,mouse/Calm3/Calm3-ai-review.yaml,125,0.992,0.128,0,53,Tissue-specific or specialized function
3,mouse/Hras/Hras-ai-review.yaml,119,0.487,0.084,0,62,"This term reflects a cell-type, disease-model, developmental, transcriptional, or phenotyp"
3,human/AGO1/AGO1-ai-review.yaml,113,0.265,0.088,0,63,The falcon report supports AGO1 function in miRISC-mediated small-RNA-guided repression an
3,human/AGO3/AGO3-ai-review.yaml,95,0.316,0.116,0,60,The falcon report supports AGO3 function in miRISC-mediated small-RNA-guided repression an
3,human/AGO4/AGO4-ai-review.yaml,83,0.277,0.108,0,59,The falcon report supports AGO4 function in miRISC-mediated small-RNA-guided repression an
3,human/ABCA7/ABCA7-ai-review.yaml,81,0.16,0.086,0,55,The term aligns with direct biochemical evidence or well-supported cellular consequences o
3,human/APH1A/APH1A-ai-review.yaml,73,0.178,0.096,0,38,The term aligns with APH1A function as a non-catalytic gamma-secretase subunit that suppor
3,human/PSENEN/PSENEN-ai-review.yaml,71,0.155,0.099,0,29,The term aligns with PSENEN/PEN-2 function as an essential non-catalytic gamma-secretase s
3,yeast/NAP1/NAP1-ai-review.yaml,60,0.533,0.117,0,24,Marked over-annotated because more specific terms capture the biology more accurately.
3,human/CD33/CD33-ai-review.yaml,45,0.311,0.133,0,18,This term captures the core CD33/Siglec-3 role as a myeloid cell-surface sialic-acid-bindi
3,rat/Slc13a2/Slc13a2-ai-review.yaml,44,1.0,0.091,0,32,This term is directly supported by Slc13a2 sodium-coupled dicarboxylate transport of succi
3,human/APH1B/APH1B-ai-review.yaml,43,0.256,0.116,0,22,The term aligns with APH1B function as a non-catalytic gamma-secretase subunit that suppor
3,DANRE/cyp26a1/cyp26a1-ai-review.yaml,38,0.711,0.079,0,25,"This annotation is broad, inferred, or reflects downstream developmental/physiological con"
3,yeast/PDI1/PDI1-ai-review.yaml,32,0.531,0.062,0,23,Retained as supported or plausible for this gene and evidence context.
3,DANRE/gnptab/gnptab-ai-review.yaml,26,1.0,0.077,0,14,"This annotation is broad, inferred, or reflects downstream developmental/physiological con"
3,yeast/EUG1/EUG1-ai-review.yaml,24,0.417,0.083,0,20,Retained as supported or plausible for this gene and evidence context.
