suggested_review_name	review_name_collision	uniprot_accession	entry_name	primary_gene	ordered_locus	all_gene_names	protein_name	reviewed	annotation_score	length	ec_numbers	go_ids	interpro_ids	pfam_ids	panther_ids	kegg_ids	biocyc_ids	unipathway_ids	refseq_ids	keywords	gene_key	primary_bucket_id	primary_bucket_label	primary_bucket_type	primary_bucket_source	primary_module_area	assignment_reason	specific_kegg_pathway_ids	specific_kegg_pathway_names	overview_kegg_pathway_ids
PP_0018	false	Q88RW1	Q88RW1_PSEPK	PP_0018	PP_0018	PP_0018	TIGR04255 family protein	unreviewed	1.0	280			IPR026349;			ppu:PP_0018;	PPUT160488:G1G01-19-MONOMER;		WP_010951432.1;	Reference proteome	ppu:PP_0018	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0050	false	Q88RS9	Q88RS9_PSEPK	PP_0050	PP_0050	PP_0050	Integral membrane-like protein	unreviewed	1.0	135			IPR024572;	PF11776;		ppu:PP_0050;	PPUT160488:G1G01-53-MONOMER;		WP_010951459.1;	Reference proteome;Signal	ppu:PP_0050	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0052	false	Q88RS7	Q88RS7_PSEPK	PP_0052	PP_0052	PP_0052	Beta-lactamase domain protein, putative hydrolase	unreviewed	1.0	294		GO:0006749; GO:0016787; GO:0046872; GO:0050313; GO:0070813	IPR001279;IPR051682;IPR044528;IPR036866;	PF00753;	PTHR43084;PTHR43084:SF1;	ppu:PP_0052;	PPUT160488:G1G01-55-MONOMER;		WP_010951461.1;	Hydrolase;Metal-binding;Reference proteome	ppu:PP_0052	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
betA-I	false	Q88RS3	Q88RS3_PSEPK	betA-I	PP_0056	betA-I PP_0056	Choline dehydrogenase (EC 1.1.99.1)	unreviewed	1.0	550	1.1.99.1	GO:0008812; GO:0050660	IPR036188;IPR012132;IPR000172;IPR007867;	PF05199;PF00732;	PTHR11552:SF147;PTHR11552;	ppu:PP_0056;	PPUT160488:G1G01-59-MONOMER;			FAD;Flavoprotein;Oxidoreductase;Reference proteome	ppu:PP_0056	orphan:enzyme_with_ec	Orphan enzymes with EC numbers	orphan	UniProt EC metadata	orphan_enzyme	no pathway assignment but EC number is present			
def1	false	Q88RR1	DEF1_PSEPK	def1	PP_0068	def1 PP_0068	Peptide deformylase 1 (PDF 1) (EC 3.5.1.88) (Polypeptide deformylase 1)	reviewed	2.0	168	3.5.1.88	GO:0006412; GO:0042586; GO:0046872	IPR023635;IPR036821;	PF01327;	PTHR10458;PTHR10458:SF21;	ppu:PP_0068;	PPUT160488:G1G01-71-MONOMER;		WP_003253111.1;	Hydrolase;Iron;Metal-binding;Protein biosynthesis;Reference proteome	ppu:PP_0068	orphan:enzyme_with_ec	Orphan enzymes with EC numbers	orphan	UniProt EC metadata	orphan_enzyme	no pathway assignment but EC number is present			
PP_0069	false	Q88RR0	Q88RR0_PSEPK	PP_0069	PP_0069	PP_0069	Rossmann fold nucleotide-binding protein	unreviewed	1.0	365		GO:0009294	IPR003488;IPR041614;IPR057666;IPR036388;	PF02481;PF21102;PF17782;	PTHR43022;PTHR43022:SF1;	ppu:PP_0069;	PPUT160488:G1G01-72-MONOMER;		WP_010951475.1;	Reference proteome	ppu:PP_0069	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
qor-I	false	Q88RQ7	Q88RQ7_PSEPK	qor-I	PP_0072	qor-I PP_0072	NADPH:quinone reductase (EC 1.6.5.5)	unreviewed	2.0	325	1.6.5.5	GO:0003960; GO:0005829; GO:0008270; GO:0035925; GO:0070402	IPR013149;IPR013154;IPR020843;IPR011032;IPR036291;IPR047618;IPR002364;	PF08240;PF00107;	PTHR48106;PTHR48106:SF13;	ppu:PP_0072;	PPUT160488:G1G01-77-MONOMER;		WP_010951478.1;	NADP;Oxidoreductase;Reference proteome	ppu:PP_0072	orphan:enzyme_with_ec	Orphan enzymes with EC numbers	orphan	UniProt EC metadata	orphan_enzyme	no pathway assignment but EC number is present			
betC	false	Q88RQ2	Q88RQ2_PSEPK	betC	PP_0077	betC PP_0077	Choline-sulfatase (EC 3.1.6.6)	unreviewed	1.0	505	3.1.6.6	GO:0005737; GO:0046872; GO:0047753	IPR017850;IPR017785;IPR025863;IPR024607;IPR000917;	PF12411;PF00884;	PTHR45953;PTHR45953:SF1;	ppu:PP_0077;	PPUT160488:G1G01-82-MONOMER;		WP_010951483.1;	Hydrolase;Metal-binding;Reference proteome	ppu:PP_0077	orphan:enzyme_with_ec	Orphan enzymes with EC numbers	orphan	UniProt EC metadata	orphan_enzyme	no pathway assignment but EC number is present			
PP_0080	false	Q88RP9	Q88RP9_PSEPK	PP_0080	PP_0080	PP_0080	NAD(P)-binding domain-containing protein	unreviewed	1.0	205			IPR016040;IPR036291;	PF13460;		ppu:PP_0080;	PPUT160488:G1G01-84-MONOMER;		WP_010951486.1;	Reference proteome	ppu:PP_0080	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
PP_0081	false	Q88RP8	Q88RP8_PSEPK	PP_0081	PP_0081	PP_0081	4,5-dioxygenase	unreviewed	1.0	123			IPR023389;IPR014980;	PF08883;	PTHR36423;PTHR36423:SF2;	ppu:PP_0081;	PPUT160488:G1G01-85-MONOMER;			Reference proteome	ppu:PP_0081	orphan:domain_only_no_pathway	Domain-family orphans without pathway assignment	orphan	InterPro/Pfam/PANTHER metadata	domain_family_orphan	no pathway or functional-module assignment; domain xref present			
