suggested_review_name	ordered_locus	uniprot_accession	membership_source	pathway_id	pathway_name	pathway_scope	module_area	is_primary_partition
yidC	PP_0006	P0A140	KEGG	ppu02024	Quorum sensing	specific	transport_motility_signaling	false
yidC	PP_0006	P0A140	KEGG	ppu03060	Protein export	specific	other_kegg_pathway	true
yidC	PP_0006	P0A140	KEGG	ppu03070	Bacterial secretion system	specific	transport_motility_signaling	false
rpmH	PP_0009	P0A161	KEGG	ppu03010	Ribosome	specific	other_kegg_pathway	true
dnaA	PP_0010	P0A116	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	true
dnaN	PP_0011	P0A120	KEGG	ppu03030	DNA replication	specific	other_kegg_pathway	true
dnaN	PP_0011	P0A120	KEGG	ppu03430	Mismatch repair	specific	other_kegg_pathway	false
dnaN	PP_0011	P0A120	KEGG	ppu03440	Homologous recombination	specific	other_kegg_pathway	false
recF	PP_0012	Q88RW7	KEGG	ppu03440	Homologous recombination	specific	other_kegg_pathway	true
PP_0024	PP_0024	Q88RV5	KEGG	ppu00540	Lipopolysaccharide biosynthesis	specific	lipid_cell_envelope_metabolism	true
PP_0024	PP_0024	Q88RV5	KEGG	ppu01503	Cationic antimicrobial peptide (CAMP) resistance	specific	other_kegg_pathway	false
PP_0024	PP_0024	Q88RV5	KEGG	ppu01100	Metabolic pathways	overview	overview	false
czcR-I	PP_0029	Q88RV0	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	true
czrSA	PP_0030	Q88RU9	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	true
czcR-II	PP_0047	Q88RT2	KEGG	ppu02020	Two-component system	specific	transport_motility_signaling	true
PP_0053	PP_0053	Q88RS6	KEGG	ppu00920	Sulfur metabolism	specific	energy_respiration_inorganic_metabolism	true
PP_0053	PP_0053	Q88RS6	KEGG	ppu01120	Microbial metabolism in diverse environments	overview	overview	false
PP_0058	PP_0058	Q88RS1	KEGG	ppu00561	Glycerolipid metabolism	specific	lipid_cell_envelope_metabolism	true
PP_0058	PP_0058	Q88RS1	KEGG	ppu00564	Glycerophospholipid metabolism	specific	lipid_cell_envelope_metabolism	false
PP_0058	PP_0058	Q88RS1	KEGG	ppu01100	Metabolic pathways	overview	overview	false
PP_0058	PP_0058	Q88RS1	KEGG	ppu01110	Biosynthesis of secondary metabolites	overview	overview	false
gmhB	PP_0059	Q88RS0	KEGG	ppu00541	Biosynthesis of various nucleotide sugars	specific	nucleotide_metabolism	true
gmhB	PP_0059	Q88RS0	KEGG	ppu01100	Metabolic pathways	overview	overview	false
gmhB	PP_0059	Q88RS0	KEGG	ppu01250	Biosynthesis of nucleotide sugars	overview	overview	false
gmhB	PP_0059	Q88RS0	UniPathway	UPA00356	UniPathway UPA00356	specific	unipathway	false
gmhB	PP_0059	Q88RS0	UniPathway	UPA00958	UniPathway UPA00958	specific	unipathway	false
glyS	PP_0060	Q88RR9	KEGG	ppu00970	Aminoacyl-tRNA biosynthesis	specific	other_kegg_pathway	true
glyQ	PP_0061	Q88RR8	KEGG	ppu00970	Aminoacyl-tRNA biosynthesis	specific	other_kegg_pathway	true
tag	PP_0062	Q88RR7	KEGG	ppu03410	Base excision repair	specific	other_kegg_pathway	true
PP_0063	PP_0063	Q88RR6	KEGG	ppu00540	Lipopolysaccharide biosynthesis	specific	lipid_cell_envelope_metabolism	true
PP_0063	PP_0063	Q88RR6	KEGG	ppu01100	Metabolic pathways	overview	overview	false
