suggested_review_name	review_name_collision	uniprot_accession	entry_name	primary_gene	ordered_locus	all_gene_names	protein_name	reviewed	annotation_score	length	ec_numbers	go_ids	interpro_ids	pfam_ids	panther_ids	kegg_ids	biocyc_ids	unipathway_ids	refseq_ids	keywords
parB	false	P0A151	PARB_PSEPK	parB	PP_0001	parB PP_0001	Probable chromosome-partitioning protein ParB	reviewed	2.0	290		GO:0003677; GO:0005694; GO:0007059; GO:0045881	IPR050336;IPR041468;IPR004437;IPR036086;IPR057240;IPR003115;	PF17762;PF23552;PF02195;	PTHR33375;PTHR33375:SF1;	ppu:PP_0001;	PPUT160488:G1G01-1-MONOMER;		WP_003253185.1;	Chromosome partition;DNA-binding;Reference proteome
PP_0002	false	P0A149	Y002_PSEPK	PP_0002	PP_0002	PP_0002	Uncharacterized protein PP_0002	reviewed	1.0	263			IPR025669;IPR050678;IPR027417;	PF13614;	PTHR13696;PTHR13696:SF52;	ppu:PP_0002;	PPUT160488:G1G01-2-MONOMER;		WP_003253182.1;	Reference proteome
rsmG	false	P0A124	RSMG_PSEPK	rsmG	PP_0003	rsmG PP_0003	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.170) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase)	reviewed	2.0	216	2.1.1.170	GO:0005829; GO:0070043	IPR003682;IPR029063;	PF02527;	PTHR31760;PTHR31760:SF0;	ppu:PP_0003;	PPUT160488:G1G01-3-MONOMER;		WP_003253179.1;	Cytoplasm;Methyltransferase;Reference proteome;rRNA processing;S-adenosyl-L-methionine;Transferase
mnmG	false	Q88RW8	MNMG_PSEPK	mnmG	PP_0004	mnmG gidA PP_0004	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG (Glucose-inhibited division protein A)	reviewed	2.0	631		GO:0002098; GO:0005829; GO:0030488; GO:0050660	IPR036188;IPR049312;IPR004416;IPR002218;IPR020595;IPR026904;IPR047001;IPR044920;IPR040131;	PF01134;PF21680;PF13932;	PTHR11806;PTHR11806:SF0;	ppu:PP_0004;	PPUT160488:G1G01-4-MONOMER;			Cytoplasm;FAD;Flavoprotein;NAD;Reference proteome;tRNA processing
mnmE	false	P0A175	MNME_PSEPK	mnmE	PP_0005	mnmE thdF trmE PP_0005	tRNA modification GTPase MnmE (EC 3.6.-.-)	reviewed	3.0	456	3.6.-.-	GO:0002098; GO:0003924; GO:0005525; GO:0005829; GO:0030488; GO:0046872	IPR031168;IPR006073;IPR018948;IPR004520;IPR027368;IPR025867;IPR027417;IPR005225;IPR027266;	PF01926;PF12631;PF10396;	PTHR42714;PTHR42714:SF2;	ppu:PP_0005;	PPUT160488:G1G01-5-MONOMER;		WP_010951424.1;	Cytoplasm;GTP-binding;Hydrolase;Magnesium;Metal-binding;Nucleotide-binding;Potassium;Reference proteome;tRNA processing
yidC	false	P0A140	YIDC_PSEPK	yidC	PP_0006	yidC PP_0006	Membrane protein insertase YidC (Foldase YidC) (Membrane integrase YidC) (Membrane protein YidC)	reviewed	2.0	560		GO:0005886; GO:0015031; GO:0032977; GO:0051205	IPR019998;IPR028053;IPR001708;IPR028055;IPR047196;IPR038221;	PF02096;PF14849;	PTHR12428:SF65;PTHR12428;	ppu:PP_0006;	PPUT160488:G1G01-6-MONOMER;		WP_010951425.1;	Cell inner membrane;Cell membrane;Chaperone;Membrane;Protein transport;Reference proteome;Transmembrane;Transmembrane helix;Transport
PP_0007	false	P0A179	YIDD_PSEPK	PP_0007	PP_0007	PP_0007	Putative membrane protein insertion efficiency factor	reviewed	1.0	81		GO:0005886	IPR002696;	PF01809;	PTHR33383;PTHR33383:SF1;	ppu:PP_0007;	PPUT160488:G1G01-7-MONOMER;		WP_010951426.1;	Cell inner membrane;Cell membrane;Membrane;Reference proteome
rnpA	false	P0A167	RNPA_PSEPK	rnpA	PP_0008	rnpA PP_0008	Ribonuclease P protein component (RNase P protein) (RNaseP protein) (EC 3.1.26.5) (Protein C5)	reviewed	2.0	133	3.1.26.5	GO:0000049; GO:0001682; GO:0004526; GO:0030677; GO:0042781	IPR020568;IPR014721;IPR000100;IPR020539;	PF00825;	PTHR33992;PTHR33992:SF1;	ppu:PP_0008;				Endonuclease;Hydrolase;Nuclease;Reference proteome;RNA-binding;tRNA processing
rpmH	false	P0A161	RL34_PSEPK	rpmH	PP_0009	rpmH PP_0009	Large ribosomal subunit protein bL34 (50S ribosomal protein L34)	reviewed	2.0	44		GO:0003735; GO:0005840; GO:0006412; GO:1990904	IPR000271;IPR020939;	PF00468;	PTHR14503:SF4;PTHR14503;	ppu:PP_0009;	PPUT160488:G1G01-9-MONOMER;		WP_003253163.1;	Reference proteome;Ribonucleoprotein;Ribosomal protein
dnaA	false	P0A116	DNAA_PSEPK	dnaA	PP_0010	dnaA PP_0010	Chromosomal replication initiator protein DnaA	reviewed	3.0	506		GO:0003688; GO:0005524; GO:0005737; GO:0005886; GO:0006270; GO:0006275; GO:0008289	IPR003593;IPR001957;IPR020591;IPR018312;IPR013159;IPR013317;IPR024633;IPR038454;IPR027417;IPR010921;	PF00308;PF08299;PF11638;	PTHR30050;PTHR30050:SF2;	ppu:PP_0010;	PPUT160488:G1G01-10-MONOMER;		WP_010951427.1;	ATP-binding;Cytoplasm;DNA replication;DNA-binding;Lipid-binding;Nucleotide-binding;Reference proteome
