Entry	Entry Name	Gene Names	Protein names	Organism (ID)	Length	Reviewed	Annotation	Function [CC]	EC number	Gene Ontology IDs	InterPro	Pfam	PANTHER	KEGG	BioCyc	UniPathway	RefSeq	Keywords
Q88E47	HGD_PSEPK	hmgA PP_4621	Homogentisate 1,2-dioxygenase (HGDO) (EC 1.13.11.5) (Homogentisate oxygenase) (Homogentisic acid oxidase) (Homogentisicase)	160488	433	reviewed	5.0	FUNCTION: Involved in the catabolism of homogentisate (2,5-dihydroxyphenylacetate or 2,5-OH-PhAc), a central intermediate in the degradation of phenylalanine and tyrosine. Catalyzes the oxidative ring cleavage of the ar omatic ring of 2,5-dihydroxyphenylacetate to yield maleylacetoacetate. {ECO:0000269|PubMed:15262943, ECO:0000269|PubMed:23858455}.	1.13.11.5	GO:0000976; GO:0001217; GO:0004411; GO:0005506; GO:0005737; GO:0006559; GO:0006572; GO:0032993; GO:0045892	IPR046451;IPR046452;IPR005708;IPR022950;IPR014710;IPR011051;	PF04209;PF20510;	PTHR11056;PTHR11056:SF0;	ppu:PP_4621;	PPUT160488:G1G01-4932-MONOMER;	UPA00139;	WP_010955283.1;	3D-structure;Dioxygenase;Iron;Metal-binding;Oxidoreductase;Phenylalanine catabolism;Reference proteome;Tyrosine catabolism
Q88JK6	PCAY_PSEPK	pcaY PP_2643	Methyl-accepting chemotaxis protein PcaY (PcaY_PP)	160488	550	reviewed	5.0	FUNCTION: Chemotactic-signal transducers respond to changes in the concentration of attractants and repellents in the environment, transduce a signal from the outside to the inside of the cell, and facilitate sensory adaptation through the variation of the level of methylation (Probable). PcaY recognizes a wide range of compounds containing a C6-membered ring with a carboxylate group. Binds preferentially compounds that serve as carbon sources and among them those that rapidly promote growth. Tightest binding compounds are quinate, shikimate, 3-dehydroshikimate and protocatechuate, which are at the interception of the biosynthetic shikimate and catabolic quinate pathways (PubMed:28620365). {ECO:0000269|PubMed:28620365, ECO:0000305}.		GO:0004888; GO:0005886; GO:0006935; GO:0007165	IPR004090;IPR003660;IPR004089;IPR003122;	PF00672;PF00015;PF02203;	PTHR32089;PTHR32089:SF120;	ppu:PP_2643;	PPUT160488:G1G01-2824-MONOMER;			3D-structure;Cell inner membrane;Cell membrane;Chemotaxis;Membrane;Methylation;Reference proteome;Transducer;Transmembrane;Transmembrane helix
Q88JH0	PEDH_PSEPK	pedH qedH-II PP_2679	Quinoprotein alcohol dehydrogenase PedH (EC 1.1.2.-) (Lanthanide-dependent pyrroloquinoline quinone-dependent alcohol dehydrogenase) (Lanthanide-dependent PQQ-ADH)	160488	595	reviewed	5.0	FUNCTION: Alcohol dehydrogenase that catalyzes the oxidation of a range of substrates, including linear and aromatic primary and secondary alcohols, as well as aldehydes, but only in the presence of lanthanides, allowing bacterial growth with a variety of volatile organic compounds (VOCs) as carbon and energy sources. Is also involved in the transcriptional regulation of pedE and pedH, most likely acting as a lanthanide sensory module (PubMed:28655819). Uses a specific inducible cytochrome c550, encoded by the adjacent gene in the locus, as electron acceptor (By similarity). {ECO:0000250|UniProtKB:Q9Z4J7, ECO:0000269|PubMed:28655819}.	1.1.2.-	GO:0005509; GO:0016020; GO:0020037; GO:0030288; GO:0052934; GO:0070968	IPR034119;IPR018391;IPR017512;IPR002372;IPR011047;IPR001479;	PF01011;PF13360;	PTHR32303;PTHR32303:SF20;	ppu:PP_2679;	PPUT160488:G1G01-2860-MONOMER;		WP_010953598.1;	3D-structure;Disulfide bond;Metal-binding;Oxidoreductase;Periplasm;PQQ;Reference proteome;Signal
Q88QT2	MURU_PSEPK	murU PP_0406	N-acetylmuramate alpha-1-phosphate uridylyltransferase (MurNAc-1P uridylyltransferase) (MurNAc-alpha-1P uridylyltransferase) (EC 2.7.7.99)	160488	223	reviewed	5.0	FUNCTION: Catalyzes the formation of UDP-N-acetylmuramate (UDP-MurNAc), a crucial precursor of the bacterial peptidoglycan cell wall, from UTP and MurNAc-alpha-1P (PubMed:23831760, PubMed:25767118). Is involved in peptidoglycan recycling as part of a cell wall recycling pathway that bypasses de novo biosynthesis of the peptidoglycan precursor UDP-MurNAc (PubMed:23831760). Plays a role in intrinsic resistance to fosfomycin, which targets the de novo synthesis of UDP-MurNAc (PubMed:23831760). Is not able to use GlcNAc-alpha-1P and GalNAc-alpha-1P as substrates (PubMed:23831760). Cannot accept other nucleotide triphosphates (ATP, CTP, TTP, or GTP) than UTP (PubMed:25767118). {ECO:0000269|PubMed:23831760, ECO:0000269|PubMed:25767118}.	2.7.7.99	GO:0000287; GO:0002134; GO:0008360; GO:0009252; GO:0009254; GO:0046677; GO:0070569; GO:0071555; GO:0097172; GO:0097367	IPR050065;IPR054790;IPR005835;IPR029044;	PF00483;	PTHR43584:SF8;PTHR43584;	ppu:PP_0406;	MetaCyc:G1G01-443-MONOMER;PPUT160488:G1G01-443-MONOMER;	UPA00544;	WP_010951745.1;	3D-structure;Antibiotic resistance;Carbohydrate metabolism;Cell shape;Cell wall biogenesis/degradation;Magnesium;Metal-binding;Nucleotidyltransferase;Peptidoglycan synthesis;Reference proteome;Transferase
Q88E10	MCPS_PSEPK	mcpS PP_4658	Methyl-accepting chemotaxis protein McpS	160488	639	reviewed	5.0	FUNCTION: Chemotactic-signal transducers respond to changes in the concentration of attractants and repellents in the environment, transduce a signal from the outside to the inside of the cell, and facilitate sensory adaptation through the variation of the level of methylation. McpS is a specific chemoreceptor for 6 tricarboxylic acid (TCA) cycle intermediates (succinate, fumarate, malate, oxaloacetate, citrate and isocitrate), butyrate and acetate. Malate, succinate, fumarate and oxaloacetate cause the strongest chemotactic response. {ECO:0000269|PubMed:20498372, ECO:0000269|PubMed:21360620}.		GO:0004888; GO:0005886; GO:0006935; GO:0007165	IPR004090;IPR003660;IPR032255;IPR004089;	PF00672;PF16591;PF00015;	PTHR32089;PTHR32089:SF120;	ppu:PP_4658;	PPUT160488:G1G01-4971-MONOMER;		WP_010955314.1;	3D-structure;Cell membrane;Chemotaxis;Coiled coil;Membrane;Methylation;Reference proteome;Transducer;Transmembrane;Transmembrane helix
Q88FF8	CHRR_PSEPK	chrR PP_4138	Quinone reductase (EC 1.6.5.2) (Chromate reductase) (CHRR) (EC 1.6.-.-) (NAD(P)H dehydrogenase (quinone))	160488	186	reviewed	5.0	FUNCTION: Catalyzes the reduction of quinones. Acts by simultaneous two-electron transfer, avoiding formation of highly reactive semiquinone intermediates and producing quinols that promote tolerance of H(2)O(2). Quinone reduction is probably the primary biological role of ChrR (PubMed:15840577). Can also reduce toxic chromate to insoluble and less toxic Cr(3+). Catalyzes the transfer of three electrons to Cr(6+) producing Cr(3+) and one electron to molecular oxygen. This reaction produces transiently a minimal amount of the toxic Cr(5+) species and reactive oxygen species (ROS). Chromate reduction protects the cell against chromate toxicity, but is likely a secondary activity (PubMed:14766567, PubMed:15840577). Can also reduce potassium ferricyanide and 2,6-dichloroindophenol (PubMed:14766567). During chromate reduction, displays an eightfold preference for NADH over NADPH (PubMed:14766567). {ECO:0000269|PubMed:14766567, ECO:0000269|PubMed:15840577}.	1.6.-.-; 1.6.5.2	GO:0005829; GO:0008753; GO:0010181; GO:0050136	IPR029039;IPR005025;IPR050712;	PF03358;	PTHR30543;PTHR30543:SF21;	ppu:PP_4138;	MetaCyc:G1G01-4405-MONOMER;PPUT160488:G1G01-4405-MONOMER;		WP_003251456.1;	Flavoprotein;FMN;NAD;NADP;Oxidoreductase;Reference proteome
Q88FY2	6HN3M_PSEPK	nicC PP_3944	6-hydroxynicotinate 3-monooxygenase (6-HNA monooxygenase) (EC 1.14.13.114) (Nicotinate degradation protein C)	160488	382	reviewed	5.0	FUNCTION: Flavin-dependent monooxygenase (FMO) that catalyzes the decarboxylative hydroxylation of 6-hydroxynicotinic acid (6-HNA) to 2,5-dihydroxypyridine (2,5-DHP) with concomitant oxidation of NADH, a step in the aerobic nicotinate degradation pathway. {ECO:0000269|PubMed:18678916, ECO:0000269|PubMed:27218267}.	1.14.13.114	GO:0004497; GO:0043731; GO:0071949; GO:1901848	IPR002938;IPR050493;IPR036188;	PF01494;	PTHR13789;PTHR13789:SF309;	ppu:PP_3944;	MetaCyc:G1G01-4209-MONOMER;PPUT160488:G1G01-4209-MONOMER;	UPA01010;	WP_010954763.1;	3D-structure;Aromatic hydrocarbons catabolism;FAD;Flavoprotein;Monooxygenase;NAD;Oxidoreductase;Reference proteome;Signal
Q88GJ9	BSR_PSEPK	alr PP_3722	Broad specificity amino-acid racemase (EC 5.1.1.10) (Broad spectrum racemase)	160488	409	reviewed	5.0	FUNCTION: Amino-acid racemase able to utilize a broad range of substrates. Reversibly racemizes 9 of the 19 natural chiral amino acids known, including both positively charged amino acids (Lys, Arg and His) and non-beta-branched aliphatic amino acids (Ala, Leu, Met, Ser, Gln and Asn). Among these amino acids, activity is the highest with lysine and arginine, and poor or very poor with the others (PubMed:23995642). Plays a primary role in the catabolism of basic amino acid, that allows P.putida strain KT2440 to grow on L-Lys and L-Arg as the sole source of carbon and nitrogen, through conversion to their respective D-enantiomers (PubMed:30008699). {ECO:0000269|PubMed:23995642, ECO:0000269|PubMed:30008699}.	5.1.1.10	GO:0005829; GO:0008784; GO:0018113; GO:0030170; GO:0042597; GO:0047679	IPR000821;IPR009006;IPR011079;IPR001608;IPR020622;IPR029066;IPR043698;	PF00842;PF01168;	PTHR30511;PTHR30511:SF0;	ppu:PP_3722;	MetaCyc:G1G01-3975-MONOMER;PPUT160488:G1G01-3975-MONOMER;		WP_010954558.1;	Disulfide bond;Isomerase;Periplasm;Pyridoxal phosphate;Reference proteome;Signal
Q88L02	FADB_PSEPK	fadB PP_2136	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase (EC 4.2.1.17) (EC 5.1.2.3) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	160488	715	reviewed	5.0	FUNCTION: Involved in the aerobic and anaerobic degradation of long-chain fatty acids via beta-oxidation cycle. Catalyzes the formation of 3-oxoacyl-CoA from enoyl-CoA via L-3-hydroxyacyl-CoA. It can also use D-3-hydroxyacyl-CoA and cis-3-enoyl-CoA as substrate. {ECO:0000255|HAMAP-Rule:MF_01621}.	1.1.1.35; 4.2.1.17; 5.1.2.3; 5.3.3.8	GO:0004165; GO:0006635; GO:0008692; GO:0016509; GO:0018812; GO:0036125; GO:0070403	IPR006180;IPR006176;IPR006108;IPR008927;IPR029045;IPR018376;IPR001753;IPR050136;IPR012799;IPR036291;	PF00725;PF02737;PF00378;	PTHR43612;PTHR43612:SF3;	ppu:PP_2136;	MetaCyc:G1G01-2277-MONOMER;PPUT160488:G1G01-2277-MONOMER;	UPA00659;	WP_010953127.1;	Fatty acid metabolism;Isomerase;Lipid degradation;Lipid metabolism;Lyase;Multifunctional enzyme;NAD;Oxidoreductase;Reference proteome
Q88LS1	EARP_PSEPK	earP PP_1857	Protein-arginine rhamnosyltransferase (EC 2.4.1.-) (EF-P arginine rhamnosyltransferase)	160488	377	reviewed	5.0	FUNCTION: Protein-arginine rhamnosyltransferase that catalyzes the transfer of a single rhamnose to elongation factor P (EF-P) on 'Lys-32', a modification required for EF-P-dependent rescue of polyproline stalled ribosomes. {ECO:0000269|PubMed:28951478}.	2.4.1.-	GO:0106361	IPR016633;	PF10093;		ppu:PP_1857;	PPUT160488:G1G01-1961-MONOMER;		WP_010952888.1;	3D-structure;Glycosyltransferase;Reference proteome;Transferase
