bucket_id	bucket_label	bucket_type	bucket_source	module_area	gene_count	reviewed_count	unreviewed_count	with_ec_count	example_genes
kegg:ppu00330	Arginine and proline metabolism	kegg_pathway	KEGG	amino_acid_metabolism	30	7	23	22	aguA;speA;speB;puuB;PP_2588;PP_2589;nspC;PP_3146;oplB;oplA;ocd__Q88H32;creA
kegg:ppu00400	Phenylalanine, tyrosine and tryptophan biosynthesis	kegg_pathway	KEGG	amino_acid_metabolism	20	11	9	20	trpA;trpB;trpE;pabA;trpD;trpC;aroQ1;pheA;aroC;aroH;trpF;aroF-I
kegg:ppu00340	Histidine metabolism	kegg_pathway	KEGG	amino_acid_metabolism	18	13	5	17	gshA;hisB;hisH;hisA;hisF;hisG;hisD;PP_1721;PP_3157;hisZ;hisI;hisE
kegg:ppu00220	Arginine biosynthesis	kegg_pathway	KEGG	amino_acid_metabolism	17	15	2	16	argH;argC1;arcB;arcA;argF;argG;argJ;ureA;ureB;ureC;PP_3571;argC2
kegg:ppu00260	Glycine, serine and threonine metabolism	kegg_pathway	KEGG	amino_acid_metabolism	16	0	16	12	thrB;dgcA;dgcB;PP_0312;PP_0313;gbcA;gbcB;ltaE;soxB;soxD;soxA;soxG
kegg:ppu00270	Cysteine and methionine metabolism	kegg_pathway	KEGG	amino_acid_metabolism	16	2	14	12	tdcG-I;yfiH;tdcG-II;PP_1541;cysM;mtnA;PP_1832;msrC;metZ;PP_2528;PP_3029;tdcG-III
kegg:ppu00310	Lysine degradation	kegg_pathway	KEGG	amino_acid_metabolism	13	5	8	13	PP_0159;davT;davA;davB;glaH;lhgO;dpkA;amaD;PP_4108;ydiJ;amaA;amaB
kegg:ppu00360	Phenylalanine metabolism	kegg_pathway	KEGG	amino_acid_metabolism	13	0	13	10	paaZ;paaE;paaD;paaC;paaB;paaA;paaK;paaI;paaH;paaG;PP_3726;hbd
kegg:ppu00300	Lysine biosynthesis	kegg_pathway	KEGG	amino_acid_metabolism	12	4	8	12	aruC;PP_0664;murE;hom;dapE;dapD;dapC;lysA-I;aspC;dapF__Q88GD4;lysA-II;dapF__Q88CF3
kegg:ppu00290	Valine, leucine and isoleucine biosynthesis	kegg_pathway	KEGG	amino_acid_metabolism	11	3	8	11	leuA;alaA;PP_2930;PP_3191;ilvA-I;ilvE;PP_4430;ldh;ilvC;ilvD;ilvA-II
