gene,category,family
5430419D17Rik,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
1918645,Core matrisome,ECM Glycoproteins
Q8BZE1,Core matrisome,ECM Glycoproteins
NP_780375.2,Core matrisome,ECM Glycoproteins
Abi3bp,Core matrisome,ECM Glycoproteins
5033411B22Rik,Core matrisome,ECM Glycoproteins
AI506287,Core matrisome,ECM Glycoproteins
BG172926,Core matrisome,ECM Glycoproteins
D930038M13Rik,Core matrisome,ECM Glycoproteins
MGC1,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
2444583,Core matrisome,ECM Glycoproteins
B2RWZ0,Core matrisome,ECM Glycoproteins
E9Q8E3,Core matrisome,ECM Glycoproteins
Q59IW5,Core matrisome,ECM Glycoproteins
Q59IW6,Core matrisome,ECM Glycoproteins
Q59IW7,Core matrisome,ECM Glycoproteins
Q59IW8,Core matrisome,ECM Glycoproteins
Q59IW9,Core matrisome,ECM Glycoproteins
Q8BKQ1,Core matrisome,ECM Glycoproteins
Q8BLU9,Core matrisome,ECM Glycoproteins
Q8BUA2,Core matrisome,ECM Glycoproteins
Q8R0M1,Core matrisome,ECM Glycoproteins
NP_001014421.2,Core matrisome,ECM Glycoproteins
NP_001014424.1,Core matrisome,ECM Glycoproteins
NP_001014423.1,Core matrisome,ECM Glycoproteins
NP_001014422.1,Core matrisome,ECM Glycoproteins
NP_848905.2,Core matrisome,ECM Glycoproteins
ENSMUSG00000035258,Core matrisome,ECM Glycoproteins
Adipoq,Core matrisome,ECM Glycoproteins
30kDa,Core matrisome,ECM Glycoproteins
APN,Core matrisome,ECM Glycoproteins
Acdc,Core matrisome,ECM Glycoproteins
Acrp30,Core matrisome,ECM Glycoproteins
GBP28,Core matrisome,ECM Glycoproteins
adipo,Core matrisome,ECM Glycoproteins
apM1,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
106675,Core matrisome,ECM Glycoproteins
E9PWU4,Core matrisome,ECM Glycoproteins
Q60994,Core matrisome,ECM Glycoproteins
Q8BRW2,Core matrisome,ECM Glycoproteins
NP_033735.3,Core matrisome,ECM Glycoproteins
ENSMUSG00000022878,Core matrisome,ECM Glycoproteins
Aebp1,Core matrisome,ECM Glycoproteins
ACLP,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
1197012,Core matrisome,ECM Glycoproteins
Q640N1,Core matrisome,ECM Glycoproteins
NP_033766.2,Core matrisome,ECM Glycoproteins
ENSMUSG00000020473,Core matrisome,ECM Glycoproteins
Agrn,Core matrisome,ECM Glycoproteins
Agrin,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
87961,Core matrisome,ECM Glycoproteins
A2ASQ1,Core matrisome,ECM Glycoproteins
M0QWP1,Core matrisome,ECM Glycoproteins
O08860,Core matrisome,ECM Glycoproteins
Q52L98,Core matrisome,ECM Glycoproteins
Q5EBX5,Core matrisome,ECM Glycoproteins
Q6PCM6,Core matrisome,ECM Glycoproteins
Q80V56,Core matrisome,ECM Glycoproteins
Q8K326,Core matrisome,ECM Glycoproteins
Q91XS3,Core matrisome,ECM Glycoproteins
Q99KT4,Core matrisome,ECM Glycoproteins
Q9ERP2,Core matrisome,ECM Glycoproteins
Z4YJS5,Core matrisome,ECM Glycoproteins
Z4YK85,Core matrisome,ECM Glycoproteins
NP_067617.3,Core matrisome,ECM Glycoproteins
ENSMUSG00000041936,Core matrisome,ECM Glycoproteins
Ambn,Core matrisome,ECM Glycoproteins
MGC107285,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
104655,Core matrisome,ECM Glycoproteins
O55189,Core matrisome,ECM Glycoproteins
Q5M8P3,Core matrisome,ECM Glycoproteins
Q9CU73,Core matrisome,ECM Glycoproteins
NP_033794.1,Core matrisome,ECM Glycoproteins
XP_006534796.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000029288,Core matrisome,ECM Glycoproteins
Amelx,Core matrisome,ECM Glycoproteins
ALGN,Core matrisome,ECM Glycoproteins
AMGL,Core matrisome,ECM Glycoproteins
AMGX,Core matrisome,ECM Glycoproteins
Amel,Core matrisome,ECM Glycoproteins
Amg,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
88005,Core matrisome,ECM Glycoproteins
P63277,Core matrisome,ECM Glycoproteins
Q5MAQ9,Core matrisome,ECM Glycoproteins
Q6PCW7,Core matrisome,ECM Glycoproteins
R9W2T8,Core matrisome,ECM Glycoproteins
NP_001075447.1,Core matrisome,ECM Glycoproteins
NP_001277300.1,Core matrisome,ECM Glycoproteins
NP_033796.1,Core matrisome,ECM Glycoproteins
XP_006528755.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000031354,Core matrisome,ECM Glycoproteins
AW551984,Core matrisome,ECM Glycoproteins
BCSC-1,Core matrisome,ECM Glycoproteins
3222402N16,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
2143322,Core matrisome,ECM Glycoproteins
D3Z518,Core matrisome,ECM Glycoproteins
D3Z5E6,Core matrisome,ECM Glycoproteins
Q6P8K4,Core matrisome,ECM Glycoproteins
Q8BGF0,Core matrisome,ECM Glycoproteins
Q8C1D4,Core matrisome,ECM Glycoproteins
NP_001186485.1,Core matrisome,ECM Glycoproteins
NP_848852.1,Core matrisome,ECM Glycoproteins
XP_006510367.1,Core matrisome,ECM Glycoproteins
ENSMUSG00000038112,Core matrisome,ECM Glycoproteins
Bglap2,Core matrisome,ECM Glycoproteins
Bglap1,Core matrisome,ECM Glycoproteins
Bgp,Core matrisome,ECM Glycoproteins
Og2,Core matrisome,ECM Glycoproteins
mOC-B,Core matrisome,ECM Glycoproteins
MGI,Core matrisome,ECM Glycoproteins
88157,Core matrisome,ECM Glycoproteins
P86547,Core matrisome,ECM Glycoproteins
NP_001027469.2,Core matrisome,ECM Glycoproteins
