gene,category,family
abi3bpa,Core matrisome,ECM Glycoproteins
ZDB-GENE-070912-325,Core matrisome,ECM Glycoproteins
F1Q9H3,Core matrisome,ECM Glycoproteins
F1RA08,Core matrisome,ECM Glycoproteins
A0A0R4I9M4,Core matrisome,ECM Glycoproteins
F1QU89,Core matrisome,ECM Glycoproteins
ENSDARG00000062156,Core matrisome,ECM Glycoproteins
abi3bpb,Core matrisome,ECM Glycoproteins
ZDB-GENE-030131-6041,Core matrisome,ECM Glycoproteins
Q7ZW12,Core matrisome,ECM Glycoproteins
ENSDARG00000071095,Core matrisome,ECM Glycoproteins
ENSDARG00000113819,Core matrisome,ECM Glycoproteins
ENSDARG00000111438,Core matrisome,ECM Glycoproteins
adipoqa,Core matrisome,ECM Glycoproteins
ZDB-GENE-080423-2,Core matrisome,ECM Glycoproteins
B2BX13,Core matrisome,ECM Glycoproteins
F1R6M1,Core matrisome,ECM Glycoproteins
ENSDARG00000062228,Core matrisome,ECM Glycoproteins
adipoqb,Core matrisome,ECM Glycoproteins
ZDB-GENE-060825-220,Core matrisome,ECM Glycoproteins
Q0P415,Core matrisome,ECM Glycoproteins
B2BX14,Core matrisome,ECM Glycoproteins
A0A0R4IYN0,Core matrisome,ECM Glycoproteins
ENSDARG00000100086,Core matrisome,ECM Glycoproteins
aebp1,Core matrisome,ECM Glycoproteins
ZDB-GENE-030131-2390,Core matrisome,ECM Glycoproteins
E9QI37,Core matrisome,ECM Glycoproteins
E7F829,Core matrisome,ECM Glycoproteins
ENSDARG00000091726,Core matrisome,ECM Glycoproteins
agrn,Core matrisome,ECM Glycoproteins
ZDB-GENE-030131-1033,Core matrisome,ECM Glycoproteins
A0A0R4IPG9,Core matrisome,ECM Glycoproteins
B3GQ72,Core matrisome,ECM Glycoproteins
B3GQ71,Core matrisome,ECM Glycoproteins
A0A0R4IJ40,Core matrisome,ECM Glycoproteins
F1R074,Core matrisome,ECM Glycoproteins
ENSDARG00000079388,Core matrisome,ECM Glycoproteins
ENSDARG00000110127,Core matrisome,ECM Glycoproteins
anos1a,Core matrisome,ECM Glycoproteins
ZDB-GENE-000201-9,Core matrisome,ECM Glycoproteins
Q6P938,Core matrisome,ECM Glycoproteins
Q9IAR4,Core matrisome,ECM Glycoproteins
A0A0B5JS68,Core matrisome,ECM Glycoproteins
F1R469,Core matrisome,ECM Glycoproteins
ENSDARG00000012896,Core matrisome,ECM Glycoproteins
anos1b,Core matrisome,ECM Glycoproteins
ZDB-GENE-000201-13,Core matrisome,ECM Glycoproteins
Q1MT36,Core matrisome,ECM Glycoproteins
Q9IAR3,Core matrisome,ECM Glycoproteins
F1R3Y9,Core matrisome,ECM Glycoproteins
ENSDARG00000004932,Core matrisome,ECM Glycoproteins
bglap,Core matrisome,ECM Glycoproteins
ZDB-GENE-050113-4,Core matrisome,ECM Glycoproteins
P83238,Core matrisome,ECM Glycoproteins
F1QK63,Core matrisome,ECM Glycoproteins
Q49UC0,Core matrisome,ECM Glycoproteins
ENSDARG00000058414,Core matrisome,ECM Glycoproteins
bglapl,Core matrisome,ECM Glycoproteins
ZDB-GENE-060608-3,Core matrisome,ECM Glycoproteins
A0A0G2L7A3,Core matrisome,ECM Glycoproteins
ENSDARG00000104467,Core matrisome,ECM Glycoproteins
bmper,Core matrisome,ECM Glycoproteins
ZDB-GENE-030219-146,Core matrisome,ECM Glycoproteins
A0A0R4IIF4,Core matrisome,ECM Glycoproteins
A0A0R4IW52,Core matrisome,ECM Glycoproteins
A0A0R4IGC8,Core matrisome,ECM Glycoproteins
A0A0B5JK69,Core matrisome,ECM Glycoproteins
Q5D734,Core matrisome,ECM Glycoproteins
A0A0R4IR45,Core matrisome,ECM Glycoproteins
