gene,category,family
Col4a1,Homologs/Orthologs to Mammalian Core Matrisome Genes,Collagens
FBgn0000299,Homologs/Orthologs to Mammalian Core Matrisome Genes,Collagens
P08120,Homologs/Orthologs to Mammalian Core Matrisome Genes,Collagens
Mp,Homologs/Orthologs to Mammalian Core Matrisome Genes,Collagens
FBgn0260660,Homologs/Orthologs to Mammalian Core Matrisome Genes,Collagens
D5AEK4;E1JI49;E1JI50;E1JI51;E1JI52;E1JID9;E1JIE0;E1JIE1;E1JIE2;E1JIE3;M9ND55;Q86BH1;Q8MSE3;Q8MT89;X2JC42;X2JCL0;X2JGC3,Homologs/Orthologs to Mammalian Core Matrisome Genes,Collagens
vkg,Homologs/Orthologs to Mammalian Core Matrisome Genes,Collagens
FBgn0016075,Homologs/Orthologs to Mammalian Core Matrisome Genes,Collagens
O18407;Q9VMV5,Homologs/Orthologs to Mammalian Core Matrisome Genes,Collagens
Ndg,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
FBgn0026403,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
A1Z877,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
LanA,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
FBgn0002526,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
Q00174,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
LanB1,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
FBgn0261800,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
P11046,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
LanB2,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
FBgn0267348,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
P15215;X2JAW6,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
wb,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
FBgn0261563,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
M9MRU0;Q8IP51;Q9XZC9;R9PY40,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
NetA,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
FBgn0015773,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
M9NF48;Q24567;X2JEZ9,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
NetB,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
FBgn0015774,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
E1JJP7;M9PH47;Q24568;Q95SP5,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
CG30046,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
FBgn0050046,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
A1Z8W6;Q8T988,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
CG30203,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
FBgn0050203,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
Q3ZAL6,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
fat-spondin,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
FBgn0026721,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
Q7KN04;Q95S22,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
mspo,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
FBgn0020269,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
O02029;Q7JY80,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
CG17739,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
FBgn0033710,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
Q7K3Y9,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
frac,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
FBgn0035798,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
M9PHP7;Q8MQJ4;Q9VS89,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
magu,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
FBgn0262169,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
A4UZB1;Q0E9E0;Q86MK1;Q95TQ2,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
Ppn,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
FBgn0003137,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
Q868Z9;Q95SR4,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
Pxn,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
FBgn0011828,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
Q9VZZ4,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
sli,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
FBgn0264089,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
A0A0B4KES0;P24014,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
SP2353,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
FBgn0034070,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
A1ZA87;Q8MRN8;Q9NGV2,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
SPARC,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
FBgn0026562,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
O97365;Q8SY75,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
Swim,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
FBgn0034709,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
Q7JWQ7;Q95S79,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
Tsp,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
FBgn0031850,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
B7Z030;Q8T0I9;Q968S4;Q9U3W8;Q9VM97,Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins
trol,Homologs/Orthologs to Mammalian Core Matrisome Genes,Proteoglycans
FBgn0284408,Homologs/Orthologs to Mammalian Core Matrisome Genes,Proteoglycans
A0A023GRW4;E1JJC0;M9NDL5;M9NDM1;M9NE56;M9NE61;M9NES6;M9NET2;M9NFR6;M9NFS1;M9NGK3;M9NGL3;Q8IRV7;Q8IRV8;Q8IRV9;Q8MPN3;Q8MRK1;Q8MSR5;Q95S84;Q9NEF8;Q9NEF9;Q9NEG0;Q9NEG1;Q9NFS9;Q9W4Y3;Q9W4Y4;X2JAC7;X2JCE8;X2JDK9;X2JE09,Homologs/Orthologs to Mammalian Core Matrisome Genes,Proteoglycans
Cow,Homologs/Orthologs to Mammalian Core Matrisome Genes,Proteoglycans
FBgn0039054,Homologs/Orthologs to Mammalian Core Matrisome Genes,Proteoglycans
A0A0B4KH80;Q9VCR3,Homologs/Orthologs to Mammalian Core Matrisome Genes,Proteoglycans
eys,Homologs/Orthologs to Mammalian Core Matrisome Genes,Proteoglycans
FBgn0031414,Homologs/Orthologs to Mammalian Core Matrisome Genes,Proteoglycans
A0A1F4;M9PBU9,Homologs/Orthologs to Mammalian Core Matrisome Genes,Proteoglycans
AnxB10,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0000084,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
P22465,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
AnxB11,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0030749,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q9VXG4,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
AnxB9,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0000083,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
A0A0B4KH34;P22464,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
CG11211,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0033067,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q7JWF7,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
CG12111,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0030050,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q9W3D8,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
CG13086,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0032770,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
M9PD58;Q9VIY0,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
CG13587,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
FBgn0035031,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
Q9W142,Homologs/Orthologs to Mammalian Matrisome-Associated Genes,ECM-affiliated
