gene	ordered_locus	uniprot_accession	protein_name	ec_numbers	go_ids	interpro_ids	pfam_ids	keywords	partition_bucket	partition_label	proposed_module	recommended_action	bucket_status	notes	review_status	curation_status	asta_research_status
PP_0384	PP_0384	Q88QV0	Transcriptional regulator, AsnC family		GO:0005829; GO:0006351; GO:0043200; GO:0043565	IPR000485;IPR011008;IPR019888;IPR019887;IPR036388;IPR036390;	PF01037;PF13404;	DNA-binding;Reference proteome;Transcription;Transcription regulation	small_family_metabolic_transcriptional_regulators	Small-family metabolic transcriptional regulators	metabolic_transcriptional_regulator_boundary	COMPLETED_SUBMODULE	CURATED	AsnC/Lrp, LacI, DeoR, IclR, RpiR, Crp/Fnr, and other compact metabolic regulator families. First-pass curation is complete for all 21 genes; the split is represented in the metabolic transcriptional regulator boundary module, with regulons and effector ligands left unresolved unless supported by gene-specific evidence.	PRESENT	CURATED	PRESENT
PP_0663	PP_0663	Q88Q35	Transcriptional regulator, AsnC family		GO:0005829; GO:0006351; GO:0043200; GO:0043565	IPR000485;IPR011008;IPR019888;IPR019887;IPR019885;IPR036388;IPR036390;	PF01037;PF13404;	DNA-binding;Reference proteome;Transcription;Transcription regulation	small_family_metabolic_transcriptional_regulators	Small-family metabolic transcriptional regulators	metabolic_transcriptional_regulator_boundary	COMPLETED_SUBMODULE	CURATED	AsnC/Lrp, LacI, DeoR, IclR, RpiR, Crp/Fnr, and other compact metabolic regulator families. First-pass curation is complete for all 21 genes; the split is represented in the metabolic transcriptional regulator boundary module, with regulons and effector ligands left unresolved unless supported by gene-specific evidence.	PRESENT	CURATED	PRESENT
glpR	PP_1074	Q88NX9	DNA-binding transcriptional repressor-GlpR-glycerol-3-phosphate		GO:0003677; GO:0003700; GO:0006351; GO:0009892	IPR050313;IPR014036;IPR001034;IPR037171;IPR018356;IPR036388;IPR036390;	PF00455;PF08220;	DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation	small_family_metabolic_transcriptional_regulators	Small-family metabolic transcriptional regulators	metabolic_transcriptional_regulator_boundary	COMPLETED_SUBMODULE	CURATED	AsnC/Lrp, LacI, DeoR, IclR, RpiR, Crp/Fnr, and other compact metabolic regulator families. First-pass curation is complete for all 21 genes; the split is represented in the metabolic transcriptional regulator boundary module, with regulons and effector ligands left unresolved unless supported by gene-specific evidence.	PRESENT	CURATED	PRESENT
PP_1307	PP_1307	Q88NA5	AsnC family transcriptional regulator		GO:0005829; GO:0006351; GO:0006355; GO:0043200; GO:0043565	IPR011991;IPR000485;IPR011008;IPR019888;IPR019887;IPR019885;IPR036388;IPR036390;	PF01037;PF13412;	DNA-binding;Reference proteome;Transcription;Transcription regulation	small_family_metabolic_transcriptional_regulators	Small-family metabolic transcriptional regulators	metabolic_transcriptional_regulator_boundary	COMPLETED_SUBMODULE	CURATED	AsnC/Lrp, LacI, DeoR, IclR, RpiR, Crp/Fnr, and other compact metabolic regulator families. First-pass curation is complete for all 21 genes; the split is represented in the metabolic transcriptional regulator boundary module, with regulons and effector ligands left unresolved unless supported by gene-specific evidence.	PRESENT	CURATED	PRESENT
rbsR	PP_2457	Q88K35	DNA-binding transcriptional repressor		GO:0000976; GO:0003700; GO:0006351	IPR000843;IPR010982;IPR001761;IPR028082;	PF00356;PF00532;	DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation	small_family_metabolic_transcriptional_regulators	Small-family metabolic transcriptional regulators	metabolic_transcriptional_regulator_boundary	COMPLETED_SUBMODULE	CURATED	AsnC/Lrp, LacI, DeoR, IclR, RpiR, Crp/Fnr, and other compact metabolic regulator families. First-pass curation is complete for all 21 genes; the split is represented in the metabolic transcriptional regulator boundary module, with regulons and effector ligands left unresolved unless supported by gene-specific evidence.	PRESENT	CURATED	PRESENT
PP_2601	PP_2601	Q88JP8	Transcriptional regulator, IclR family		GO:0003677; GO:0003700; GO:0006351; GO:0045892	IPR029016;IPR050707;IPR014757;IPR005471;IPR036388;IPR036390;	PF09339;PF01614;	DNA-binding;Reference proteome;Transcription;Transcription regulation	small_family_metabolic_transcriptional_regulators	Small-family metabolic transcriptional regulators	metabolic_transcriptional_regulator_boundary	COMPLETED_SUBMODULE	CURATED	AsnC/Lrp, LacI, DeoR, IclR, RpiR, Crp/Fnr, and other compact metabolic regulator families. First-pass curation is complete for all 21 genes; the split is represented in the metabolic transcriptional regulator boundary module, with regulons and effector ligands left unresolved unless supported by gene-specific evidence.	PRESENT	CURATED	PRESENT
PP_2609	PP_2609	Q88JP0	Transcriptional regulator, IclR family		GO:0003677; GO:0003700; GO:0006351; GO:0045892; GO:0045893; GO:0046278	IPR029016;IPR050707;IPR012794;IPR014757;IPR005471;IPR036388;IPR036390;	PF09339;PF01614;	3D-structure;DNA-binding;Reference proteome;Transcription;Transcription regulation	small_family_metabolic_transcriptional_regulators	Small-family metabolic transcriptional regulators	metabolic_transcriptional_regulator_boundary	COMPLETED_SUBMODULE	CURATED	AsnC/Lrp, LacI, DeoR, IclR, RpiR, Crp/Fnr, and other compact metabolic regulator families. First-pass curation is complete for all 21 genes; the split is represented in the metabolic transcriptional regulator boundary module, with regulons and effector ligands left unresolved unless supported by gene-specific evidence.	PRESENT	CURATED	PRESENT
fnrB	PP_3233	Q88HX0	Transcriptional regulator with 4Fe-4S cluster, Crp/Fnr family		GO:0003677; GO:0003700; GO:0005829; GO:0006351	IPR000595;IPR018490;IPR050397;IPR012318;IPR014710;IPR036388;IPR036390;	PF00027;PF13545;	DNA-binding;Reference proteome;Transcription;Transcription regulation	small_family_metabolic_transcriptional_regulators	Small-family metabolic transcriptional regulators	metabolic_transcriptional_regulator_boundary	COMPLETED_SUBMODULE	CURATED	AsnC/Lrp, LacI, DeoR, IclR, RpiR, Crp/Fnr, and other compact metabolic regulator families. First-pass curation is complete for all 21 genes; the split is represented in the metabolic transcriptional regulator boundary module, with regulons and effector ligands left unresolved unless supported by gene-specific evidence.	PRESENT	CURATED	PRESENT
fnrC	PP_3287	Q88HR6	Transcriptional regulator with 4Fe-4S cluster Crp/Fnr family		GO:0003677; GO:0003700; GO:0005829; GO:0006351	IPR000595;IPR018490;IPR050397;IPR012318;IPR014710;IPR036388;IPR036390;	PF00027;PF13545;	DNA-binding;Reference proteome;Transcription;Transcription regulation	small_family_metabolic_transcriptional_regulators	Small-family metabolic transcriptional regulators	metabolic_transcriptional_regulator_boundary	COMPLETED_SUBMODULE	CURATED	AsnC/Lrp, LacI, DeoR, IclR, RpiR, Crp/Fnr, and other compact metabolic regulator families. First-pass curation is complete for all 21 genes; the split is represented in the metabolic transcriptional regulator boundary module, with regulons and effector ligands left unresolved unless supported by gene-specific evidence.	PRESENT	CURATED	PRESENT
PP_3362	PP_3362	Q88HJ4	Transcriptional regulator, AsnC family		GO:0005829; GO:0006351; GO:0043200; GO:0043565	IPR000485;IPR011008;IPR019888;IPR019887;IPR019885;IPR036388;IPR036390;	PF01037;PF13412;	DNA-binding;Reference proteome;Transcription;Transcription regulation	small_family_metabolic_transcriptional_regulators	Small-family metabolic transcriptional regulators	metabolic_transcriptional_regulator_boundary	COMPLETED_SUBMODULE	CURATED	AsnC/Lrp, LacI, DeoR, IclR, RpiR, Crp/Fnr, and other compact metabolic regulator families. First-pass curation is complete for all 21 genes; the split is represented in the metabolic transcriptional regulator boundary module, with regulons and effector ligands left unresolved unless supported by gene-specific evidence.	PRESENT	CURATED	PRESENT
