suggested_review_name	ordered_locus	uniprot_accession	entry_name	primary_gene	all_gene_names	protein_name	reviewed	annotation_score	ec_numbers	go_ids	primary_bucket_id	primary_bucket_label	is_primary_for_pathway	membership_source	membership_pathway_id	membership_pathway_name	gene_dir	review_status	review_file	curation_status	asta_research_status	asta_research_file
coq7	PP_0427	Q88QR1	COQ7_PSEPK	coq7	coq7 PP_0427	3-demethoxyubiquinol 3-hydroxylase (DMQ hydroxylase) (EC 1.14.99.60) (2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase)	reviewed	3.0	1.14.99.60	GO:0005886; GO:0006744; GO:0008682; GO:0046872	kegg:ppu00130	Ubiquinone and other terpenoid-quinone biosynthesis	true	KEGG	ppu00130	Ubiquinone and other terpenoid-quinone biosynthesis	genes/PSEPK/coq7	MISSING		MISSING	MISSING	NO_FILE
ubiX	PP_0548	Q88QE6	Q88QE6_PSEPK	ubiX	ubiX PP_0548	Flavin prenyltransferase UbiX (EC 2.5.1.129)	unreviewed	2.0	2.5.1.129	GO:0016831; GO:0106141	kegg:ppu00627	Aminobenzoate degradation	false	KEGG	ppu00130	Ubiquinone and other terpenoid-quinone biosynthesis	genes/PSEPK/ubiX	MISSING		MISSING	MISSING	NO_FILE
PP_1218	PP_1218	Q88NI9	Q88NI9_PSEPK	PP_1218	PP_1218	Acyl-CoA thioesterase (EC 3.1.2.-)	unreviewed	1.0	3.1.2.-	GO:0047617	kegg:ppu00130	Ubiquinone and other terpenoid-quinone biosynthesis	true	KEGG	ppu00130	Ubiquinone and other terpenoid-quinone biosynthesis	genes/PSEPK/PP_1218	MISSING		MISSING	MISSING	NO_FILE
PP_1644	PP_1644	Q88MC9	Q88MC9_PSEPK	PP_1644	PP_1644	NAD(P)H dehydrogenase (Quinone) (EC 1.6.5.2)	unreviewed	1.0	1.6.5.2	GO:0003955; GO:0009055; GO:0010181; GO:0016020	kegg:ppu00130	Ubiquinone and other terpenoid-quinone biosynthesis	true	KEGG	ppu00130	Ubiquinone and other terpenoid-quinone biosynthesis	genes/PSEPK/PP_1644	MISSING		MISSING	MISSING	NO_FILE
ubiG	PP_1765	Q88M10	UBIG_PSEPK	ubiG	ubiG PP_1765	Ubiquinone biosynthesis O-methyltransferase (2-polyprenyl-6-hydroxyphenol methylase) (EC 2.1.1.222) (3-demethylubiquinone 3-O-methyltransferase) (EC 2.1.1.64)	reviewed	3.0	2.1.1.222; 2.1.1.64	GO:0010420; GO:0032259; GO:0061542; GO:0102208	kegg:ppu00130	Ubiquinone and other terpenoid-quinone biosynthesis	true	KEGG	ppu00130	Ubiquinone and other terpenoid-quinone biosynthesis	genes/PSEPK/ubiG	MISSING		MISSING	MISSING	NO_FILE
PP_2789	PP_2789	Q88J60	Q88J60_PSEPK	PP_2789	PP_2789	Oxidoreductase	unreviewed	1.0		GO:0003955; GO:0005829	kegg:ppu00130	Ubiquinone and other terpenoid-quinone biosynthesis	true	KEGG	ppu00130	Ubiquinone and other terpenoid-quinone biosynthesis	genes/PSEPK/PP_2789	MISSING		MISSING	MISSING	NO_FILE
hpd	PP_3433	Q88HC7	Q88HC7_PSEPK	hpd	hpd PP_3433	4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)	unreviewed	2.0	1.13.11.27	GO:0003868; GO:0006572; GO:0046872	kegg:ppu00130	Ubiquinone and other terpenoid-quinone biosynthesis	true	KEGG	ppu00130	Ubiquinone and other terpenoid-quinone biosynthesis	genes/PSEPK/hpd	PRESENT	genes/PSEPK/hpd/hpd-ai-review.yaml	CURATED	MISSING	NO_FILE
PP_3720	PP_3720	Q88GK1	Q88GK1_PSEPK	PP_3720	PP_3720	NAD(P)H quinone oxidoreductase	unreviewed	1.0		GO:0003955; GO:0005829	kegg:ppu00130	Ubiquinone and other terpenoid-quinone biosynthesis	true	KEGG	ppu00130	Ubiquinone and other terpenoid-quinone biosynthesis	genes/PSEPK/PP_3720	MISSING		MISSING	MISSING	NO_FILE
ubiE	PP_5011	Q88D17	UBIE_PSEPK	ubiE	ubiE PP_5011	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE (EC 2.1.1.163) (EC 2.1.1.201) (2-methoxy-6-polyprenyl-1,4-benzoquinol methylase) (Demethylmenaquinone methyltransferase)	reviewed	3.0	2.1.1.163; 2.1.1.201	GO:0008425; GO:0009060; GO:0009234; GO:0032259; GO:0043770	kegg:ppu00130	Ubiquinone and other terpenoid-quinone biosynthesis	true	KEGG	ppu00130	Ubiquinone and other terpenoid-quinone biosynthesis	genes/PSEPK/ubiE	MISSING		MISSING	MISSING	NO_FILE
visC	PP_5197	Q88CI4	Q88CI4_PSEPK	visC	visC PP_5197	Oxidoreductase involved in anerobic synthesis of ubiquinone, FAD/NAD(P)-binding domain	unreviewed	2.0		GO:0006744; GO:0019168; GO:0071949; GO:0110142	kegg:ppu00130	Ubiquinone and other terpenoid-quinone biosynthesis	true	KEGG	ppu00130	Ubiquinone and other terpenoid-quinone biosynthesis	genes/PSEPK/visC	MISSING		MISSING	MISSING	NO_FILE
