gene_symbol	ordered_locus	uniprot_accession	module_step	implementation	review_file	curation_status
PP_1348	PP_1348	Q88N67	oxidized nucleotide-pool sanitation	required	genes/PSEPK/PP_1348/PP_1348-ai-review.yaml	CURATED
ung	PP_1413	Q88N05	uracil excision	required	genes/PSEPK/ung/ung-ai-review.yaml	CURATED
mutM	PP_5125	Q88CQ5	oxidized purine excision	required	genes/PSEPK/mutM/mutM-ai-review.yaml	CURATED
mutY	PP_0286	Q88R48	adenine excision opposite 8-oxoG	required	genes/PSEPK/mutY/mutY-ai-review.yaml	CURATED
nth	PP_1092	Q88NW2	oxidized pyrimidine excision	required	genes/PSEPK/nth/nth-ai-review.yaml	CURATED
tag	PP_0062	Q88RR7	alkylated-base excision	reviewed anchor	genes/PSEPK/tag/tag-ai-review.yaml	CURATED
xthA	PP_2890	Q88IV9	AP-site incision and end processing	primary candidate	genes/PSEPK/xthA/xthA-ai-review.yaml	CURATED
PP_2707	PP_2707	Q88JE2	AP-site incision and end processing	redundant candidate	genes/PSEPK/PP_2707/PP_2707-ai-review.yaml	CANDIDATE_UNCERTAIN
polA	PP_0123	Q88RK6	repair-gap filling	shared required activity	genes/PSEPK/polA/polA-ai-review.yaml	CURATED
ligA	PP_4274	Q88F25	repair-nick sealing	shared required activity	genes/PSEPK/ligA/ligA-ai-review.yaml	CURATED
