gene	ordered_locus	uniprot_accession	protein_name	ec_numbers	go_ids	interpro_ids	pfam_ids	keywords	partition_bucket	partition_label	proposed_module	recommended_action	bucket_status	notes	review_status	curation_status	asta_research_status
PP_0026	PP_0026	Q88RV3	Cobalt/cadmium/zinc exporter		GO:0005385; GO:0005886	IPR002524;IPR027470;IPR036837;IPR058533;IPR027469;IPR050681;	PF01545;PF16916;	Ion transport;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport;Zinc;Zinc transport	transition_metal_magnesium_cobalt_transporters	Transition-metal, magnesium, and cobalt transporters	transition_metal_magnesium_cobalt_transport_boundary	COMPLETED_SUBMODULE	CURATED	First-pass curation is complete for all 15 transition-metal, magnesium, and cobalt transporter-family entries. The validated boundary module separates CDF/ZIP zinc and mixed-metal transporters, CbiM/CbtA cobalt components, CorA/MgtE magnesium-cobalt transporters, NiCoT/Rcn nickel-cobalt efflux/response context, and CorC/CNNM-UPF0053 low-resolution metal-transporter candidates.	PRESENT	CURATED	PRESENT
PP_0629	PP_0629	Q88Q67	Cobalt transport protein CbiM		GO:0000041; GO:0005886	IPR002751;	PF01891;	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	transition_metal_magnesium_cobalt_transporters	Transition-metal, magnesium, and cobalt transporters	transition_metal_magnesium_cobalt_transport_boundary	COMPLETED_SUBMODULE	CURATED	First-pass curation is complete for all 15 transition-metal, magnesium, and cobalt transporter-family entries. The validated boundary module separates CDF/ZIP zinc and mixed-metal transporters, CbiM/CbtA cobalt components, CorA/MgtE magnesium-cobalt transporters, NiCoT/Rcn nickel-cobalt efflux/response context, and CorC/CNNM-UPF0053 low-resolution metal-transporter candidates.	PRESENT	CURATED	PRESENT
PP_0683	PP_0683	Q88Q15	Cation transporter			IPR045508;	PF20090;	Reference proteome	transition_metal_magnesium_cobalt_transporters	Transition-metal, magnesium, and cobalt transporters	transition_metal_magnesium_cobalt_transport_boundary	COMPLETED_SUBMODULE	CURATED	First-pass curation is complete for all 15 transition-metal, magnesium, and cobalt transporter-family entries. The validated boundary module separates CDF/ZIP zinc and mixed-metal transporters, CbiM/CbtA cobalt components, CorA/MgtE magnesium-cobalt transporters, NiCoT/Rcn nickel-cobalt efflux/response context, and CorC/CNNM-UPF0053 low-resolution metal-transporter candidates.	PRESENT	CURATED	PRESENT
PP_0947	PP_0947	Q88PA3	ZIP family metal transporter		GO:0005385; GO:0005886	IPR003689;	PF02535;	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Zinc	transition_metal_magnesium_cobalt_transporters	Transition-metal, magnesium, and cobalt transporters	transition_metal_magnesium_cobalt_transport_boundary	COMPLETED_SUBMODULE	CURATED	First-pass curation is complete for all 15 transition-metal, magnesium, and cobalt transporter-family entries. The validated boundary module separates CDF/ZIP zinc and mixed-metal transporters, CbiM/CbtA cobalt components, CorA/MgtE magnesium-cobalt transporters, NiCoT/Rcn nickel-cobalt efflux/response context, and CorC/CNNM-UPF0053 low-resolution metal-transporter candidates.	PRESENT	CURATED	PRESENT
PP_1227	PP_1227	Q88NI2	Membrane protein		GO:0005886; GO:0006882; GO:0015086; GO:0015093; GO:0015341	IPR058533;IPR027469;IPR050291;	PF01545;	Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	transition_metal_magnesium_cobalt_transporters	Transition-metal, magnesium, and cobalt transporters	transition_metal_magnesium_cobalt_transport_boundary	COMPLETED_SUBMODULE	CURATED	First-pass curation is complete for all 15 transition-metal, magnesium, and cobalt transporter-family entries. The validated boundary module separates CDF/ZIP zinc and mixed-metal transporters, CbiM/CbtA cobalt components, CorA/MgtE magnesium-cobalt transporters, NiCoT/Rcn nickel-cobalt efflux/response context, and CorC/CNNM-UPF0053 low-resolution metal-transporter candidates.	PRESENT	CURATED	PRESENT
PP_1836	PP_1836	Q88LU1	Metal transporter, ZIP family		GO:0005385; GO:0005886	IPR003689;	PF02535;	Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Zinc	transition_metal_magnesium_cobalt_transporters	Transition-metal, magnesium, and cobalt transporters	transition_metal_magnesium_cobalt_transport_boundary	COMPLETED_SUBMODULE	CURATED	First-pass curation is complete for all 15 transition-metal, magnesium, and cobalt transporter-family entries. The validated boundary module separates CDF/ZIP zinc and mixed-metal transporters, CbiM/CbtA cobalt components, CorA/MgtE magnesium-cobalt transporters, NiCoT/Rcn nickel-cobalt efflux/response context, and CorC/CNNM-UPF0053 low-resolution metal-transporter candidates.	PRESENT	CURATED	PRESENT
PP_1843	PP_1843	Q88LT4	Mg2+/Co2+ transporter		GO:0000287; GO:0005886; GO:0015087; GO:0015095; GO:0050897	IPR045861;IPR045863;IPR002523;	PF01544;	Cell membrane;Ion transport;Magnesium;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	transition_metal_magnesium_cobalt_transporters	Transition-metal, magnesium, and cobalt transporters	transition_metal_magnesium_cobalt_transport_boundary	COMPLETED_SUBMODULE	CURATED	First-pass curation is complete for all 15 transition-metal, magnesium, and cobalt transporter-family entries. The validated boundary module separates CDF/ZIP zinc and mixed-metal transporters, CbiM/CbtA cobalt components, CorA/MgtE magnesium-cobalt transporters, NiCoT/Rcn nickel-cobalt efflux/response context, and CorC/CNNM-UPF0053 low-resolution metal-transporter candidates.	PRESENT	CURATED	PRESENT
cmaX	PP_2085	Q88L50	CmaX protein		GO:0000287; GO:0005886; GO:0015087; GO:0015095; GO:0050897	IPR045861;IPR045863;IPR002523;	PF01544;	Cell inner membrane;Cell membrane;Ion transport;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport;Zinc	transition_metal_magnesium_cobalt_transporters	Transition-metal, magnesium, and cobalt transporters	transition_metal_magnesium_cobalt_transport_boundary	COMPLETED_SUBMODULE	CURATED	First-pass curation is complete for all 15 transition-metal, magnesium, and cobalt transporter-family entries. The validated boundary module separates CDF/ZIP zinc and mixed-metal transporters, CbiM/CbtA cobalt components, CorA/MgtE magnesium-cobalt transporters, NiCoT/Rcn nickel-cobalt efflux/response context, and CorC/CNNM-UPF0053 low-resolution metal-transporter candidates.	PRESENT	CURATED	PRESENT
PP_2955	PP_2955	Q88IP4	Magnesium/cobalt transporter, CorA family		GO:0016020; GO:0046873	IPR047199;IPR045861;IPR045863;IPR002523;	PF01544;	Membrane;Reference proteome;Transmembrane;Transmembrane helix	transition_metal_magnesium_cobalt_transporters	Transition-metal, magnesium, and cobalt transporters	transition_metal_magnesium_cobalt_transport_boundary	COMPLETED_SUBMODULE	CURATED	First-pass curation is complete for all 15 transition-metal, magnesium, and cobalt transporter-family entries. The validated boundary module separates CDF/ZIP zinc and mixed-metal transporters, CbiM/CbtA cobalt components, CorA/MgtE magnesium-cobalt transporters, NiCoT/Rcn nickel-cobalt efflux/response context, and CorC/CNNM-UPF0053 low-resolution metal-transporter candidates.	PRESENT	CURATED	PRESENT
PP_2968	PP_2968	Q88IN1	Nickel/cobalt efflux system		GO:0005886; GO:0006824; GO:0010045; GO:0015099; GO:0032025; GO:0046583	IPR011541;IPR051224;	PF03824;	Cell membrane;Cobalt;Cobalt transport;Ion transport;Membrane;Nickel;Nickel transport;Reference proteome;Transmembrane;Transmembrane helix;Transport	transition_metal_magnesium_cobalt_transporters	Transition-metal, magnesium, and cobalt transporters	transition_metal_magnesium_cobalt_transport_boundary	COMPLETED_SUBMODULE	CURATED	First-pass curation is complete for all 15 transition-metal, magnesium, and cobalt transporter-family entries. The validated boundary module separates CDF/ZIP zinc and mixed-metal transporters, CbiM/CbtA cobalt components, CorA/MgtE magnesium-cobalt transporters, NiCoT/Rcn nickel-cobalt efflux/response context, and CorC/CNNM-UPF0053 low-resolution metal-transporter candidates.	PRESENT	CURATED	PRESENT
cbtA	PP_3408	A0A140FWF2	Cobalt transporter subunit A			IPR012666;	PF09490;	Membrane;Reference proteome;Transmembrane;Transmembrane helix	transition_metal_magnesium_cobalt_transporters	Transition-metal, magnesium, and cobalt transporters	transition_metal_magnesium_cobalt_transport_boundary	COMPLETED_SUBMODULE	CURATED	First-pass curation is complete for all 15 transition-metal, magnesium, and cobalt transporter-family entries. The validated boundary module separates CDF/ZIP zinc and mixed-metal transporters, CbiM/CbtA cobalt components, CorA/MgtE magnesium-cobalt transporters, NiCoT/Rcn nickel-cobalt efflux/response context, and CorC/CNNM-UPF0053 low-resolution metal-transporter candidates.	PRESENT	CURATED	PRESENT
PP_3928	PP_3928	Q88FZ8	Nickel/cobalt transporter regulator			IPR024572;	PF11776;	Reference proteome;Signal	transition_metal_magnesium_cobalt_transporters	Transition-metal, magnesium, and cobalt transporters	transition_metal_magnesium_cobalt_transport_boundary	COMPLETED_SUBMODULE	CURATED	First-pass curation is complete for all 15 transition-metal, magnesium, and cobalt transporter-family entries. The validated boundary module separates CDF/ZIP zinc and mixed-metal transporters, CbiM/CbtA cobalt components, CorA/MgtE magnesium-cobalt transporters, NiCoT/Rcn nickel-cobalt efflux/response context, and CorC/CNNM-UPF0053 low-resolution metal-transporter candidates.	PRESENT	CURATED	PRESENT
mgtE	PP_4471	Q88EJ1	Magnesium transporter MgtE		GO:0005886; GO:0015095; GO:0046872	IPR000644;IPR046342;IPR006668;IPR038076;IPR006669;IPR006667;IPR036739;	PF00571;PF01769;PF03448;	CBS domain;Cell membrane;Magnesium;Membrane;Metal-binding;Reference proteome;Transmembrane;Transmembrane helix;Transport	transition_metal_magnesium_cobalt_transporters	Transition-metal, magnesium, and cobalt transporters	transition_metal_magnesium_cobalt_transport_boundary	COMPLETED_SUBMODULE	CURATED	First-pass curation is complete for all 15 transition-metal, magnesium, and cobalt transporter-family entries. The validated boundary module separates CDF/ZIP zinc and mixed-metal transporters, CbiM/CbtA cobalt components, CorA/MgtE magnesium-cobalt transporters, NiCoT/Rcn nickel-cobalt efflux/response context, and CorC/CNNM-UPF0053 low-resolution metal-transporter candidates.	PRESENT	CURATED	PRESENT
