suggested_review_name	ordered_locus	uniprot_accession	entry_name	primary_gene	all_gene_names	protein_name	reviewed	annotation_score	ec_numbers	go_ids	primary_bucket_id	primary_bucket_label	is_primary_for_pathway	membership_source	membership_pathway_id	membership_pathway_name	gene_dir	review_status	review_file	curation_status	openscientist_research_status	openscientist_research_file
PP_0053	PP_0053	Q88RS6	Q88RS6_PSEPK	PP_0053	PP_0053	Sulfide:quinone oxidoreductase	unreviewed	1.0		GO:0048038; GO:0070221; GO:0070224; GO:0071949	kegg:ppu00920	Sulfur metabolism	true	KEGG	ppu00920	Sulfur metabolism	genes/PSEPK/PP_0053	MISSING		MISSING	MISSING	
PP_0170	PP_0170	Q88RG0	Q88RG0_PSEPK	PP_0170	PP_0170	ABC transporter, periplasmic binding protein	unreviewed	1.0			kegg:ppu00920	Sulfur metabolism	true	KEGG	ppu00920	Sulfur metabolism	genes/PSEPK/PP_0170	MISSING		MISSING	MISSING	
PP_0171	PP_0171	Q88RF9	Q88RF9_PSEPK	PP_0171	PP_0171	ABC transporter, ATP-binding protein	unreviewed	1.0		GO:0005524; GO:0016887	kegg:ppu00920	Sulfur metabolism	true	KEGG	ppu00920	Sulfur metabolism	genes/PSEPK/PP_0171	MISSING		MISSING	MISSING	
PP_0172	PP_0172	Q88RF8	Q88RF8_PSEPK	PP_0172	PP_0172	ABC transporter, permease protein	unreviewed	1.0		GO:0005886; GO:0055085	kegg:ppu00920	Sulfur metabolism	true	KEGG	ppu00920	Sulfur metabolism	genes/PSEPK/PP_0172	MISSING		MISSING	MISSING	
PP_0207	PP_0207	Q88RC5	Q88RC5_PSEPK	PP_0207	PP_0207	Putative aliphatic sulfonates-binding protein	unreviewed	1.0			kegg:ppu00920	Sulfur metabolism	true	KEGG	ppu00920	Sulfur metabolism	genes/PSEPK/PP_0207	MISSING		MISSING	MISSING	
PP_0208	PP_0208	Q88RC4	Q88RC4_PSEPK	PP_0208	PP_0208	Nitrate ABC transporter, permease protein	unreviewed	1.0		GO:0005886; GO:0042918	kegg:ppu00920	Sulfur metabolism	true	KEGG	ppu00920	Sulfur metabolism	genes/PSEPK/PP_0208	MISSING		MISSING	MISSING	
tauB-I	PP_0209	Q88RC3	Q88RC3_PSEPK	tauB-I	tauB-I PP_0209	ATP-binding taurine transporter subunit (EC 3.6.3.36)	unreviewed	1.0	3.6.3.36	GO:0005524; GO:0016887	kegg:ppu00920	Sulfur metabolism	true	KEGG	ppu00920	Sulfur metabolism	genes/PSEPK/tauB-I	MISSING		MISSING	MISSING	
PP_0228	PP_0228	Q88RA5	Q88RA5_PSEPK	PP_0228	PP_0228	serine O-acetyltransferase (EC 2.3.1.30)	unreviewed	2.0	2.3.1.30	GO:0008652; GO:0009001	kegg:ppu00543	Exopolysaccharide biosynthesis	false	KEGG	ppu00920	Sulfur metabolism	genes/PSEPK/PP_0228	MISSING		MISSING	MISSING	
tauD	PP_0230	Q88RA3	TAUD_PSEPK	tauD	tauD atsK PP_0230	Alpha-ketoglutarate-dependent taurine dioxygenase (EC 1.14.11.17)	reviewed	4.0	1.14.11.17	GO:0000907; GO:0000908; GO:0005506; GO:0005737; GO:0042802; GO:0044273	kegg:ppu00430	Taurine and hypotaurine metabolism	false	KEGG	ppu00920	Sulfur metabolism	genes/PSEPK/tauD	MISSING		MISSING	MISSING	
tauC	PP_0231	Q88RA2	Q88RA2_PSEPK	tauC	tauC PP_0231	Taurine ABC transporter permease subunit (EC 3.6.3.36)	unreviewed	2.0	3.6.3.36	GO:0005886; GO:0010438; GO:0016787; GO:0042918	kegg:ppu00920	Sulfur metabolism	true	KEGG	ppu00920	Sulfur metabolism	genes/PSEPK/tauC	MISSING		MISSING	MISSING	
tauB	PP_0232	Q88RA1	TAUB_PSEPK	tauB	tauB PP_0232	Taurine import ATP-binding protein TauB (EC 7.6.2.7)	reviewed	3.0	7.6.2.7	GO:0005524; GO:0005886; GO:0015411; GO:0016887	kegg:ppu00920	Sulfur metabolism	true	KEGG	ppu00920	Sulfur metabolism	genes/PSEPK/tauB	MISSING		MISSING	MISSING	
tauA	PP_0233	Q88RA0	Q88RA0_PSEPK	tauA	tauA PP_0233	Taurine ABC transporter periplasmic binding subunit	unreviewed	1.0		GO:0042597; GO:0042918	kegg:ppu00920	Sulfur metabolism	true	KEGG	ppu00920	Sulfur metabolism	genes/PSEPK/tauA	MISSING		MISSING	MISSING	
ssuE	PP_0236	Q88R97	SSUE_PSEPK	ssuE	ssuE PP_0236	FMN reductase (NADPH) (EC 1.5.1.38) (FMN reductase)	reviewed	2.0	1.5.1.38	GO:0016655; GO:0046306; GO:0052873	kegg:ppu00740	Riboflavin metabolism	false	KEGG	ppu00920	Sulfur metabolism	genes/PSEPK/ssuE	MISSING		MISSING	MISSING	
ssuA	PP_0237	Q88R96	Q88R96_PSEPK	ssuA	ssuA PP_0237	Putative aliphatic sulfonates-binding protein	unreviewed	2.0		GO:0016020; GO:0042597; GO:0042626	kegg:ppu00920	Sulfur metabolism	true	KEGG	ppu00920	Sulfur metabolism	genes/PSEPK/ssuA	MISSING		MISSING	MISSING	
ssuD	PP_0238	Q88R95	SSUD_PSEPK	ssuD	ssuD PP_0238	Alkanesulfonate monooxygenase (EC 1.14.14.5) (FMNH2-dependent aliphatic sulfonate monooxygenase)	reviewed	2.0	1.14.14.5	GO:0008726; GO:0046306	kegg:ppu00920	Sulfur metabolism	true	KEGG	ppu00920	Sulfur metabolism	genes/PSEPK/ssuD	PRESENT	genes/PSEPK/ssuD/ssuD-ai-review.yaml	CURATED	MISSING	
ssuC	PP_0239	Q88R94	Q88R94_PSEPK	ssuC	ssuC PP_0239	Aliphatic sulfonate ABC transporter-permease subunit / transport of isethionate	unreviewed	1.0		GO:0005886; GO:0042918	kegg:ppu00920	Sulfur metabolism	true	KEGG	ppu00920	Sulfur metabolism	genes/PSEPK/ssuC	MISSING		MISSING	MISSING	
ssuB	PP_0240	Q88R93	SSUB_PSEPK	ssuB	ssuB PP_0240	Aliphatic sulfonates import ATP-binding protein SsuB (EC 7.6.2.14)	reviewed	3.0	7.6.2.14	GO:0005524; GO:0005886; GO:0016887; GO:0042918	kegg:ppu00920	Sulfur metabolism	true	KEGG	ppu00920	Sulfur metabolism	genes/PSEPK/ssuB	MISSING		MISSING	MISSING	
cysQ	PP_0261	Q88R73	Q88R73_PSEPK	cysQ	cysQ PP_0261	3'(2'),5'-bisphosphate nucleotidase CysQ (EC 3.1.3.7) (3'(2'),5-bisphosphonucleoside 3'(2')-phosphohydrolase) (3'-phosphoadenosine 5'-phosphate phosphatase) (PAP phosphatase)	unreviewed	3.0	3.1.3.7	GO:0000103; GO:0000287; GO:0005886; GO:0008441; GO:0050427	kegg:ppu00920	Sulfur metabolism	true	KEGG	ppu00920	Sulfur metabolism	genes/PSEPK/cysQ	MISSING		MISSING	MISSING	
PP_0368	PP_0368	Q88QW6	Q88QW6_PSEPK	PP_0368	PP_0368	3-methylmercaptopropionyl-CoA dehydrogenase (EC 1.3.99.41)	unreviewed	2.0	1.3.99.41	GO:0016627; GO:0050660	kegg:ppu00920	Sulfur metabolism	true	KEGG	ppu00920	Sulfur metabolism	genes/PSEPK/PP_0368	MISSING		MISSING	MISSING	
PP_0370	PP_0370	Q88QW4	Q88QW4_PSEPK	PP_0370	PP_0370	3-methylmercaptopropionyl-CoA dehydrogenase (EC 1.3.99.41)	unreviewed	2.0	1.3.99.41	GO:0016627; GO:0050660	kegg:ppu00920	Sulfur metabolism	true	KEGG	ppu00920	Sulfur metabolism	genes/PSEPK/PP_0370	MISSING		MISSING	MISSING	
glpE	PP_0398	Q88QT9	GLPE_PSEPK	glpE	glpE PP_0398	Thiosulfate sulfurtransferase GlpE (EC 2.8.1.1)	reviewed	2.0	2.8.1.1	GO:0004792; GO:0005737; GO:0103041	kegg:ppu00920	Sulfur metabolism	true	KEGG	ppu00920	Sulfur metabolism	genes/PSEPK/glpE	MISSING		MISSING	MISSING	
metB	PP_0659	Q88Q39	Q88Q39_PSEPK	metB	metB PP_0659	Cystathionine gamma-synthase	unreviewed	2.0		GO:0005737; GO:0016846; GO:0019346; GO:0030170	kegg:ppu00450	Selenocompound metabolism	false	KEGG	ppu00920	Sulfur metabolism	genes/PSEPK/metB	PRESENT	genes/PSEPK/metB/metB-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/metB/metB-deep-research-openscientist.md
