gene	ordered_locus	uniprot_accession	protein_name	partition_bucket	partition_label	proposed_module	recommended_action	notes	review_status	curation_status	asta_research_status
gyrB	PP_0013	Q88RW6	DNA gyrase subunit B (EC 5.6.2.2)	dna_topology_topoisomerase	DNA topology, gyrase, and topoisomerase	dna_topology_topoisomerase_boundary	NEW_SUBMODULE	DNA gyrase, topoisomerase I/IV, topoisomerase side candidates, and the YacG gyrase inhibitor; curate as DNA topology rather than generic DNA repair.	PRESENT	CURATED	PRESENT
PP_0152	PP_0152	Q88RH7	Holliday junction resolvasome, helicase subunit	repair_helicase_recombination_core	DNA repair helicases, recombination, and double-strand break candidates	bacterial_homologous_recombination	REUSE_OR_EXTEND_EXISTING	Lhr/DinG/SNF2/Rep-family helicases, SbcCD, RadA, RecN, RdgC, HerA-like, and other repair/recombination candidates adjacent to existing homologous-recombination modules.	PRESENT	CURATED	PRESENT
yacG	PP_0630	Q88Q66	DNA gyrase inhibitor YacG	dna_topology_topoisomerase	DNA topology, gyrase, and topoisomerase	dna_topology_topoisomerase_boundary	NEW_SUBMODULE	DNA gyrase, topoisomerase I/IV, topoisomerase side candidates, and the YacG gyrase inhibitor; curate as DNA topology rather than generic DNA repair.	PRESENT	CURATED	PRESENT
PP_0635	PP_0635	Q877L4	RNA-directed DNA polymerase (EC 2.7.7.49)	retroelement_reverse_transcriptase	Retroelement reverse transcriptase candidates	mobile_genetic_elements_boundary	REASSIGN_TO_MOBILE_ELEMENTS	RNA-directed DNA polymerase/reverse-transcriptase candidates should be reviewed as retroelement or mobile-element proteins rather than chromosomal DNA replication enzymes.	PRESENT	CURATED	PRESENT
tldD	PP_0940	Q88PB0	Protease involved in Microcin B17 maturation and in sensitivity to the DNA gyrase inhibitor LetD	architectural_rna_protein_spillovers	Architectural, RNA-helicase, chaperone, and protease spillovers	dna_bucket_architectural_rna_protein_spillover_boundary	NEW_SUBMODULE	IHF architectural proteins, CspD, DnaJ, HrpA/HrpB RNA helicases, and TldD enter through broad DNA or inhibitor keywords; retain these in a boundary module as regulation, RNA processing, protein folding, or protease context unless direct DNA-repair evidence is found.	PRESENT	CURATED	PRESENT
PP_0978	PP_0978	Q88P75	DNA polymerase III subunit chi	replication_accessory_polymerase	Replication accessory polymerase, primase, and restart factors	bacterial_dna_replication	REUSE_OR_EXTEND_EXISTING	Replication-associated accessory candidates not already in the KEGG ppu03030 batch: Pol III chi-like context, Hda reinitiation control, primase/helicase or polymerase candidates, RarA restart, and Rep helicase.	PRESENT	CURATED	PRESENT
PP_1061	PP_1061	Q88NZ2	ATP-dependent DNA helicase lhr	repair_helicase_recombination_core	DNA repair helicases, recombination, and double-strand break candidates	bacterial_homologous_recombination	REUSE_OR_EXTEND_EXISTING	Lhr/DinG/SNF2/Rep-family helicases, SbcCD, RadA, RecN, RdgC, HerA-like, and other repair/recombination candidates adjacent to existing homologous-recombination modules.	PRESENT	CURATED	PRESENT
PP_1103	PP_1103	Q88NV1	ATP-dependent helicase Lhr-Core (Lhr-Core) (EC 5.6.2.-) (EC 5.6.2.4) (DNA and RNA:DNA 3'-5' helicase Lhr-Core)	repair_helicase_recombination_core	DNA repair helicases, recombination, and double-strand break candidates	bacterial_homologous_recombination	REUSE_OR_EXTEND_EXISTING	Lhr/DinG/SNF2/Rep-family helicases, SbcCD, RadA, RecN, RdgC, HerA-like, and other repair/recombination candidates adjacent to existing homologous-recombination modules.	PRESENT	CURATED	PRESENT
PP_1106	PP_1106	Q88NU8	DNA ligase-associated DEXH box helicase	repair_helicase_recombination_core	DNA repair helicases, recombination, and double-strand break candidates	bacterial_homologous_recombination	REUSE_OR_EXTEND_EXISTING	Lhr/DinG/SNF2/Rep-family helicases, SbcCD, RadA, RecN, RdgC, HerA-like, and other repair/recombination candidates adjacent to existing homologous-recombination modules.	PRESENT	CURATED	PRESENT
PP_1116	PP_1116	Q88NT8	Site-specific recombinase, resolvase family	mobile_integrase_recombinase_transposase	Mobile-element integrases, recombinases, resolvases, and transposases	mobile_genetic_elements_boundary	REASSIGN_TO_MOBILE_ELEMENTS	Phage integrases, Tyr/Ser recombinases, resolvases, and transposases are mobile-element context, not core chromosomal DNA replication/repair pathway members.	PRESENT	CURATED	PRESENT
