gene_symbol	ordered_locus	uniprot_accession	module_step	implementation	review_file	curation_status
mfd	PP_2148	Q88KZ1	transcription-coupled lesion recognition	optional entry branch	genes/PSEPK/mfd/mfd-ai-review.yaml	CURATED
uvrA	PP_0483	Q88QK7	global-genome damage recognition	required	genes/PSEPK/uvrA/uvrA-ai-review.yaml	CURATED
uvrB	PP_1974	Q88LF9	lesion verification and preincision complex	required	genes/PSEPK/uvrB/uvrB-ai-review.yaml	CURATED
uvrC	PP_4098	Q88FJ7	dual incision	required	genes/PSEPK/uvrC/uvrC-ai-review.yaml	CURATED
uvrD	PP_5352	Q88C31	damage-containing oligonucleotide release	required shared activity	genes/PSEPK/uvrD/uvrD-ai-review.yaml	CURATED
polA	PP_0123	Q88RK6	repair-gap filling	required shared activity	genes/PSEPK/polA/polA-ai-review.yaml	CURATED
ligA	PP_4274	Q88F25	repair-nick sealing	required shared activity	genes/PSEPK/ligA/ligA-ai-review.yaml	CURATED
PP_2839	PP_2839	Q88J10	none; DinG/YoaA-like helicase	excluded KEGG XPD artifact	genes/PSEPK/PP_2839/PP_2839-ai-review.yaml	EXCLUDED
PP_3087	PP_3087	Q88IB2	possible accessory damage response	divergent UvrA-family paralog	genes/PSEPK/PP_3087/PP_3087-ai-review.yaml	CANDIDATE_UNCERTAIN
ligB	PP_4968	Q88D59	secondary nick sealing	optional non-core ligase	genes/PSEPK/ligB/ligB-ai-review.yaml	CANDIDATE_UNCERTAIN
