gene	ordered_locus	uniprot_accession	protein_name	ec_numbers	go_ids	interpro_ids	pfam_ids	panther_ids	keywords	partition_bucket	partition_label	proposed_module	recommended_action	bucket_status	notes	review_status	curation_status	asta_research_status
PP_0014	PP_0014	Q88RW5	Transposase		GO:0003676; GO:0015074	IPR001584;IPR012337;IPR036397;			Reference proteome	transposase_goa_supported	GOA-supported transposases and insertion-sequence integration proteins	mobile_genetic_elements_boundary	REUSE_OR_EXTEND_EXISTING	COMPLETE	Transposase or transposase-subunit records with fetched GOA support for transposase activity, DNA transposition, DNA integration, or nucleic-acid binding. This is the highest-confidence first curation target.	PRESENT	CURATED	PRESENT
PP_0015	PP_0015	Q88RW4	Transposon protein			IPR003593;IPR052026;IPR027417;IPR008868;	PF05621;	PTHR35894;PTHR35894:SF5;	Reference proteome	transposase_domain_or_fragment	Domain-only or fragmentary transposase candidates	mobile_genetic_elements_boundary	DEFER_LOW_EVIDENCE	COMPLETE	Transposase-name records with no fetched GOA rows or only very broad binding rows. Treat short fragments and domain-only entries cautiously.	PRESENT	CURATED	PRESENT
PP_0016	PP_0016	Q88RW3	TniQ domain-containing protein			IPR009492;	PF06527;		Reference proteome	transposase_domain_or_fragment	Domain-only or fragmentary transposase candidates	mobile_genetic_elements_boundary	DEFER_LOW_EVIDENCE	COMPLETE	Transposase-name records with no fetched GOA rows or only very broad binding rows. Treat short fragments and domain-only entries cautiously.	PRESENT	CURATED	PRESENT
PP_0334	PP_0334	Q88R00	Transposase		GO:0003677; GO:0004803; GO:0006313	IPR002525;IPR047650;IPR003346;	PF01548;PF02371;	PTHR33055:SF3;PTHR33055;	Reference proteome	transposase_goa_supported	GOA-supported transposases and insertion-sequence integration proteins	mobile_genetic_elements_boundary	REUSE_OR_EXTEND_EXISTING	COMPLETE	Transposase or transposase-subunit records with fetched GOA support for transposase activity, DNA transposition, DNA integration, or nucleic-acid binding. This is the highest-confidence first curation target.	PRESENT	CURATED	PRESENT
PP_0526	PP_0526	Q877S7	Transposase		GO:0003677; GO:0004803; GO:0006313	IPR002525;IPR047650;IPR003346;	PF01548;PF02371;	PTHR33055:SF13;PTHR33055;	Reference proteome	transposase_goa_supported	GOA-supported transposases and insertion-sequence integration proteins	mobile_genetic_elements_boundary	REUSE_OR_EXTEND_EXISTING	COMPLETE	Transposase or transposase-subunit records with fetched GOA support for transposase activity, DNA transposition, DNA integration, or nucleic-acid binding. This is the highest-confidence first curation target.	PRESENT	CURATED	PRESENT
PP_0568	PP_0568	Q88QC6	Transposase IS200-like domain-containing protein		GO:0004803; GO:0006313; GO:0043565	IPR052715;IPR002686;IPR036515;	PF01797;	PTHR36966;PTHR36966:SF1;	Reference proteome	transposase_goa_supported	GOA-supported transposases and insertion-sequence integration proteins	mobile_genetic_elements_boundary	REUSE_OR_EXTEND_EXISTING	COMPLETE	Transposase or transposase-subunit records with fetched GOA support for transposase activity, DNA transposition, DNA integration, or nucleic-acid binding. This is the highest-confidence first curation target.	PRESENT	CURATED	PRESENT
PP_0637	PP_0637	Q877Q0	Transposase			IPR039552;IPR052344;IPR004291;IPR024463;IPR024474;	PF03050;PF13817;PF13007;PF13005;	PTHR33678;PTHR33678:SF1;	Reference proteome	transposase_domain_or_fragment	Domain-only or fragmentary transposase candidates	mobile_genetic_elements_boundary	DEFER_LOW_EVIDENCE	COMPLETE	Transposase-name records with no fetched GOA rows or only very broad binding rows. Treat short fragments and domain-only entries cautiously.	PRESENT	CURATED	PRESENT
PP_0638	PP_0638	Q88Q60	Transposase			IPR008878;	PF05717;	PTHR36455;PTHR36455:SF1;	Reference proteome	transposase_domain_or_fragment	Domain-only or fragmentary transposase candidates	mobile_genetic_elements_boundary	DEFER_LOW_EVIDENCE	COMPLETE	Transposase-name records with no fetched GOA rows or only very broad binding rows. Treat short fragments and domain-only entries cautiously.	PRESENT	CURATED	PRESENT
PP_0650	PP_0650	Q88Q48	Transposase IS66 C-terminal domain-containing protein			IPR039552;	PF13817;		Reference proteome	transposase_domain_or_fragment	Domain-only or fragmentary transposase candidates	mobile_genetic_elements_boundary	DEFER_LOW_EVIDENCE	COMPLETE	Transposase-name records with no fetched GOA rows or only very broad binding rows. Treat short fragments and domain-only entries cautiously.	PRESENT	CURATED	PRESENT
PP_1133	PP_1133	Q877U3	Transposase		GO:0003677; GO:0004803; GO:0006313	IPR002525;IPR047650;IPR003346;	PF01548;PF02371;	PTHR33055:SF13;PTHR33055;	Reference proteome	transposase_goa_supported	GOA-supported transposases and insertion-sequence integration proteins	mobile_genetic_elements_boundary	REUSE_OR_EXTEND_EXISTING	COMPLETE	Transposase or transposase-subunit records with fetched GOA support for transposase activity, DNA transposition, DNA integration, or nucleic-acid binding. This is the highest-confidence first curation target.	PRESENT	CURATED	PRESENT
