gene	ordered_locus	uniprot_accession	protein_name	partition_bucket	partition_label	proposed_module	recommended_action	notes	review_status	curation_status	asta_research_status
PP_1306	PP_1306	Q88NA6	Pyocin S-type Killer domain protein	nuclease_dnase_toxin_side_nodes	Nucleases, DNases, toxin nucleases, and broad phosphodiesterases	nuclease_dnase_boundary	NEW_SUBMODULE	DNase, HNH/VRR-NUC/SNase/YicC, phage exonuclease, pyocin nuclease, TatD, and YoeB-like nuclease contexts; likely mixed DNA, RNA, toxin, and mobile-element side functions.	PRESENT	CURATED	PRESENT
PP_1554	PP_1554	Q88ML7	VRR-NUC domain-containing protein	nuclease_dnase_toxin_side_nodes	Nucleases, DNases, toxin nucleases, and broad phosphodiesterases	nuclease_dnase_boundary	NEW_SUBMODULE	DNase, HNH/VRR-NUC/SNase/YicC, phage exonuclease, pyocin nuclease, TatD, and YoeB-like nuclease contexts; likely mixed DNA, RNA, toxin, and mobile-element side functions.	PRESENT	CURATED	PRESENT
PP_2276	PP_2276	Q88KL4	Phage exonuclease	nuclease_dnase_toxin_side_nodes	Nucleases, DNases, toxin nucleases, and broad phosphodiesterases	nuclease_dnase_boundary	NEW_SUBMODULE	DNase, HNH/VRR-NUC/SNase/YicC, phage exonuclease, pyocin nuclease, TatD, and YoeB-like nuclease contexts; likely mixed DNA, RNA, toxin, and mobile-element side functions.	PRESENT	CURATED	PRESENT
tatD	PP_2311	Q88KH9	Mg-dependent cytoplasmic DNase / RNase (EC 3.1.21.-)	nuclease_dnase_toxin_side_nodes	Nucleases, DNases, toxin nucleases, and broad phosphodiesterases	nuclease_dnase_boundary	NEW_SUBMODULE	DNase, HNH/VRR-NUC/SNase/YicC, phage exonuclease, pyocin nuclease, TatD, and YoeB-like nuclease contexts; likely mixed DNA, RNA, toxin, and mobile-element side functions.	PRESENT	CURATED	PRESENT
endX	PP_2451	Q88K41	Extracellular DNA endonuclease (EC 3.1.21.1)	nuclease_dnase_toxin_side_nodes	Nucleases, DNases, toxin nucleases, and broad phosphodiesterases	nuclease_dnase_boundary	NEW_SUBMODULE	DNase, HNH/VRR-NUC/SNase/YicC, phage exonuclease, pyocin nuclease, TatD, and YoeB-like nuclease contexts; likely mixed DNA, RNA, toxin, and mobile-element side functions.	PRESENT	CURATED	PRESENT
PP_2838	PP_2838	Q88J11	phosphodiesterase I (EC 3.1.4.1)	nuclease_dnase_toxin_side_nodes	Nucleases, DNases, toxin nucleases, and broad phosphodiesterases	nuclease_dnase_boundary	NEW_SUBMODULE	DNase, HNH/VRR-NUC/SNase/YicC, phage exonuclease, pyocin nuclease, TatD, and YoeB-like nuclease contexts; likely mixed DNA, RNA, toxin, and mobile-element side functions.	PRESENT	CURATED	PRESENT
yoeB	PP_2939	Q88IR0	Putative mRNA interferase YoeB	nuclease_dnase_toxin_side_nodes	Nucleases, DNases, toxin nucleases, and broad phosphodiesterases	nuclease_dnase_boundary	NEW_SUBMODULE	DNase, HNH/VRR-NUC/SNase/YicC, phage exonuclease, pyocin nuclease, TatD, and YoeB-like nuclease contexts; likely mixed DNA, RNA, toxin, and mobile-element side functions.	PRESENT	CURATED	PRESENT
endA	PP_3375	Q88HI2	Endonuclease I	nuclease_dnase_toxin_side_nodes	Nucleases, DNases, toxin nucleases, and broad phosphodiesterases	nuclease_dnase_boundary	NEW_SUBMODULE	DNase, HNH/VRR-NUC/SNase/YicC, phage exonuclease, pyocin nuclease, TatD, and YoeB-like nuclease contexts; likely mixed DNA, RNA, toxin, and mobile-element side functions.	PRESENT	CURATED	PRESENT
PP_3883	PP_3883	Q88G43	Putative HNH nuclease YajD	nuclease_dnase_toxin_side_nodes	Nucleases, DNases, toxin nucleases, and broad phosphodiesterases	nuclease_dnase_boundary	NEW_SUBMODULE	DNase, HNH/VRR-NUC/SNase/YicC, phage exonuclease, pyocin nuclease, TatD, and YoeB-like nuclease contexts; likely mixed DNA, RNA, toxin, and mobile-element side functions.	PRESENT	CURATED	PRESENT
PP_3890	PP_3890	Q88G36	VRR-NUC domain-containing protein	nuclease_dnase_toxin_side_nodes	Nucleases, DNases, toxin nucleases, and broad phosphodiesterases	nuclease_dnase_boundary	NEW_SUBMODULE	DNase, HNH/VRR-NUC/SNase/YicC, phage exonuclease, pyocin nuclease, TatD, and YoeB-like nuclease contexts; likely mixed DNA, RNA, toxin, and mobile-element side functions.	PRESENT	CURATED	PRESENT
PP_4247	PP_4247	Q88F52	Exonuclease	nuclease_dnase_toxin_side_nodes	Nucleases, DNases, toxin nucleases, and broad phosphodiesterases	nuclease_dnase_boundary	NEW_SUBMODULE	DNase, HNH/VRR-NUC/SNase/YicC, phage exonuclease, pyocin nuclease, TatD, and YoeB-like nuclease contexts; likely mixed DNA, RNA, toxin, and mobile-element side functions.	PRESENT	CURATED	PRESENT
yajD	PP_4584	Q88E82	Putative HNH nuclease YajD	nuclease_dnase_toxin_side_nodes	Nucleases, DNases, toxin nucleases, and broad phosphodiesterases	nuclease_dnase_boundary	NEW_SUBMODULE	DNase, HNH/VRR-NUC/SNase/YicC, phage exonuclease, pyocin nuclease, TatD, and YoeB-like nuclease contexts; likely mixed DNA, RNA, toxin, and mobile-element side functions.	PRESENT	CURATED	PRESENT
PP_5086	PP_5086	Q88CU4	Nuclease (SNase domain protein) (EC 3.1.-.-)	nuclease_dnase_toxin_side_nodes	Nucleases, DNases, toxin nucleases, and broad phosphodiesterases	nuclease_dnase_boundary	NEW_SUBMODULE	DNase, HNH/VRR-NUC/SNase/YicC, phage exonuclease, pyocin nuclease, TatD, and YoeB-like nuclease contexts; likely mixed DNA, RNA, toxin, and mobile-element side functions.	PRESENT	CURATED	PRESENT
PP_5295	PP_5295	Q88C88	YicC family protein	nuclease_dnase_toxin_side_nodes	Nucleases, DNases, toxin nucleases, and broad phosphodiesterases	nuclease_dnase_boundary	NEW_SUBMODULE	DNase, HNH/VRR-NUC/SNase/YicC, phage exonuclease, pyocin nuclease, TatD, and YoeB-like nuclease contexts; likely mixed DNA, RNA, toxin, and mobile-element side functions.	PRESENT	CURATED	PRESENT
