suggested_review_name	ordered_locus	uniprot_accession	entry_name	primary_gene	all_gene_names	protein_name	reviewed	annotation_score	ec_numbers	go_ids	primary_bucket_id	primary_bucket_label	is_primary_for_pathway	membership_source	membership_pathway_id	membership_pathway_name	gene_dir	review_status	review_file	curation_status	openscientist_research_status	openscientist_research_file
PP_0228	PP_0228	Q88RA5	Q88RA5_PSEPK	PP_0228	PP_0228	serine O-acetyltransferase (EC 2.3.1.30)	unreviewed	2.0	2.3.1.30	GO:0008652; GO:0009001	kegg:ppu00543	Exopolysaccharide biosynthesis	false	KEGG	ppu00270	Cysteine and methionine metabolism	genes/PSEPK/PP_0228	MISSING		MISSING	MISSING	
gshA	PP_0243	Q88R90	GSH1_PSEPK	gshA	gshA PP_0243	Glutamate--cysteine ligase (EC 6.3.2.2) (Gamma-ECS) (GCS) (Gamma-glutamylcysteine synthetase)	reviewed	2.0	6.3.2.2	GO:0004357; GO:0005524; GO:0005829; GO:0006750; GO:0046872	kegg:ppu00340	Histidine metabolism	false	KEGG	ppu00270	Cysteine and methionine metabolism	genes/PSEPK/gshA	PRESENT	genes/PSEPK/gshA/gshA-ai-review.yaml	CURATED	MISSING	
tdcG-I	PP_0297	Q88R37	Q88R37_PSEPK	tdcG-I	tdcG-I PP_0297	L-serine dehydratase (EC 4.3.1.17)	unreviewed	2.0	4.3.1.17	GO:0003941; GO:0006094; GO:0009063; GO:0046872; GO:0051539	kegg:ppu00270	Cysteine and methionine metabolism	true	KEGG	ppu00270	Cysteine and methionine metabolism	genes/PSEPK/tdcG-I	MISSING		MISSING	MISSING	
yfiH	PP_0624	Q88Q72	Q88Q72_PSEPK	yfiH	yfiH PP_0624	Purine nucleoside phosphorylase	unreviewed	2.0		GO:0005507; GO:0016787; GO:0017061	kegg:ppu00270	Cysteine and methionine metabolism	true	KEGG	ppu00270	Cysteine and methionine metabolism	genes/PSEPK/yfiH	MISSING		MISSING	MISSING	
mdh	PP_0654	Q88Q44	MDH_PSEPK	mdh	mdh PP_0654	Probable malate dehydrogenase (EC 1.1.1.37)	reviewed	2.0	1.1.1.37	GO:0004459; GO:0006089; GO:0006099; GO:0030060	kegg:ppu00566	Sulfoquinovose metabolism	false	KEGG	ppu00270	Cysteine and methionine metabolism	genes/PSEPK/mdh	PRESENT	genes/PSEPK/mdh/mdh-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/mdh/mdh-deep-research-openscientist.md
metB	PP_0659	Q88Q39	Q88Q39_PSEPK	metB	metB PP_0659	Cystathionine gamma-synthase	unreviewed	2.0		GO:0005737; GO:0016846; GO:0019346; GO:0030170	kegg:ppu00450	Selenocompound metabolism	false	KEGG	ppu00270	Cysteine and methionine metabolism	genes/PSEPK/metB	PRESENT	genes/PSEPK/metB/metB-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/metB/metB-deep-research-openscientist.md
PP_0664	PP_0664	Q88Q34	Q88Q34_PSEPK	PP_0664	PP_0664	homoserine dehydrogenase (EC 1.1.1.3)	unreviewed	2.0	1.1.1.3	GO:0004412; GO:0009088	kegg:ppu00300	Lysine biosynthesis	false	KEGG	ppu00270	Cysteine and methionine metabolism	genes/PSEPK/PP_0664	MISSING		MISSING	MISSING	
cysE	PP_0840	Q88PL0	Q88PL0_PSEPK	cysE	cysE PP_0840	serine O-acetyltransferase (EC 2.3.1.30)	unreviewed	2.0	2.3.1.30	GO:0005737; GO:0006535; GO:0009001	kegg:ppu00543	Exopolysaccharide biosynthesis	false	KEGG	ppu00270	Cysteine and methionine metabolism	genes/PSEPK/cysE	PRESENT	genes/PSEPK/cysE/cysE-ai-review.yaml	PENDING	MISSING	
tdcG-II	PP_0987	Q88P66	Q88P66_PSEPK	tdcG-II	tdcG-II PP_0987	L-serine dehydratase (EC 4.3.1.17)	unreviewed	2.0	4.3.1.17	GO:0003941; GO:0006094; GO:0009063; GO:0046872; GO:0051539	kegg:ppu00270	Cysteine and methionine metabolism	true	KEGG	ppu00270	Cysteine and methionine metabolism	genes/PSEPK/tdcG-II	MISSING		MISSING	MISSING	
PP_1110	PP_1110	Q88NU4	Q88NU4_PSEPK	PP_1110	PP_1110	serine O-acetyltransferase (EC 2.3.1.30)	unreviewed	1.0	2.3.1.30	GO:0008652; GO:0009001	kegg:ppu00543	Exopolysaccharide biosynthesis	false	KEGG	ppu00270	Cysteine and methionine metabolism	genes/PSEPK/PP_1110	MISSING		MISSING	MISSING	
mdeA	PP_1308	Q88NA4	Q88NA4_PSEPK	mdeA	mdeA PP_1308	L-methionine gamma-lyase (EC 4.4.1.11)	unreviewed	2.0	4.4.1.11	GO:0005737; GO:0009086; GO:0018826; GO:0019346; GO:0030170	kegg:ppu00450	Selenocompound metabolism	false	KEGG	ppu00270	Cysteine and methionine metabolism	genes/PSEPK/mdeA	MISSING		MISSING	MISSING	
hom	PP_1470	Q88MU8	Q88MU8_PSEPK	hom	hom PP_1470	Homoserine dehydrogenase (EC 1.1.1.3)	unreviewed	2.0	1.1.1.3	GO:0004412; GO:0009086; GO:0009088; GO:0050661	kegg:ppu00300	Lysine biosynthesis	false	KEGG	ppu00270	Cysteine and methionine metabolism	genes/PSEPK/hom	MISSING		MISSING	MISSING	
PP_1541	PP_1541	Q88MN0	Q88MN0_PSEPK	PP_1541	PP_1541	Methyltransferase	unreviewed	1.0		GO:0003886; GO:0009307; GO:0032259	kegg:ppu00270	Cysteine and methionine metabolism	true	KEGG	ppu00270	Cysteine and methionine metabolism	genes/PSEPK/PP_1541	MISSING		MISSING	MISSING	
cysM	PP_1654	Q88MC0	Q88MC0_PSEPK	cysM	cysM PP_1654	Cysteine synthase (EC 2.5.1.47)	unreviewed	2.0	2.5.1.47	GO:0004124; GO:0006535	kegg:ppu00270	Cysteine and methionine metabolism	true	KEGG	ppu00270	Cysteine and methionine metabolism	genes/PSEPK/cysM	PRESENT	genes/PSEPK/cysM/cysM-ai-review.yaml	PENDING	MISSING	
mtnA	PP_1766	Q88M09	MTNA_PSEPK	mtnA	mtnA PP_1766	Methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (S-methyl-5-thioribose-1-phosphate isomerase)	reviewed	2.0	5.3.1.23	GO:0019509; GO:0046523	kegg:ppu00270	Cysteine and methionine metabolism	true	KEGG	ppu00270	Cysteine and methionine metabolism	genes/PSEPK/mtnA	PRESENT	genes/PSEPK/mtnA/mtnA-ai-review.yaml	CURATED	MISSING	
serC	PP_1768	Q88M07	SERC_PSEPK	serC	serC PP_1768	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)	reviewed	3.0	2.6.1.52	GO:0004648; GO:0005737; GO:0006564; GO:0008615; GO:0030170	kegg:ppu00750	Vitamin B6 metabolism	false	KEGG	ppu00270	Cysteine and methionine metabolism	genes/PSEPK/serC	PRESENT	genes/PSEPK/serC/serC-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/serC/serC-deep-research-openscientist.md
PP_1832	PP_1832	Q88LU5	Q88LU5_PSEPK	PP_1832	PP_1832	Oxidase	unreviewed	1.0		GO:0010308; GO:0010309	kegg:ppu00270	Cysteine and methionine metabolism	true	KEGG	ppu00270	Cysteine and methionine metabolism	genes/PSEPK/PP_1832	MISSING		MISSING	MISSING	
msrC	PP_1877	Q88LQ2	Q88LQ2_PSEPK	msrC	msrC PP_1877	Free methionine-(R)-sulfoxide reductase (EC 1.8.4.14)	unreviewed	1.0	1.8.4.14	GO:0005829; GO:0033745	kegg:ppu00270	Cysteine and methionine metabolism	true	KEGG	ppu00270	Cysteine and methionine metabolism	genes/PSEPK/msrC	MISSING		MISSING	MISSING	
tyrB	PP_1972	Q88LG1	Q88LG1_PSEPK	tyrB	tyrB PP_1972	Aminotransferase (EC 2.6.1.-)	unreviewed	2.0	2.6.1.-	GO:0004838; GO:0005829; GO:0030170; GO:0033585; GO:0042802	kegg:ppu00401	Novobiocin biosynthesis	false	KEGG	ppu00270	Cysteine and methionine metabolism	genes/PSEPK/tyrB	PRESENT	genes/PSEPK/tyrB/tyrB-ai-review.yaml	CURATED	MISSING	
asd__Q88LE4	PP_1989	Q88LE4	Q88LE4_PSEPK	asd	asd PP_1989	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)	unreviewed	4.0	1.2.1.11	GO:0004073; GO:0009088; GO:0009089; GO:0009097; GO:0019877; GO:0046983; GO:0050661; GO:0051287; GO:0071266	kegg:ppu00261	Monobactam biosynthesis	false	KEGG	ppu00270	Cysteine and methionine metabolism	genes/PSEPK/asd__Q88LE4	MISSING		MISSING	MISSING	
metZ	PP_2001	Q88LD4	Q88LD4_PSEPK	metZ	metZ PP_2001	O-succinylhomoserine sulfhydrylase (OSH sulfhydrylase) (OSHS sulfhydrylase) (EC 2.5.1.-)	unreviewed	3.0	2.5.1.-	GO:0005737; GO:0016765; GO:0016846; GO:0019346; GO:0030170; GO:0071266; GO:0071268	kegg:ppu00270	Cysteine and methionine metabolism	true	KEGG	ppu00270	Cysteine and methionine metabolism	genes/PSEPK/metZ	PRESENT	genes/PSEPK/metZ/metZ-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/metZ/metZ-deep-research-openscientist.md
