gene	ordered_locus	uniprot_accession	protein_name	ec_numbers	go_ids	interpro_ids	pfam_ids	panther_ids	keywords	partition_bucket	partition_label	proposed_module	recommended_action	bucket_status	notes	review_status	curation_status	asta_research_status
hslO	PP_0252	Q88R81	33 kDa chaperonin (Heat shock protein 33 homolog) (HSP33)		GO:0005737; GO:0042026; GO:0044183; GO:0051082	IPR000397;IPR016154;IPR016153;IPR023212;	PF01430;	PTHR30111;PTHR30111:SF1;	Chaperone;Cytoplasm;Disulfide bond;Redox-active center;Reference proteome;Zinc	chaperone_folding_holdase_foldase	Chaperone, holdase, and foldase systems	bacterial_chaperone_protein_folding_boundary	NEXT_SUBMODULE	QUEUED	Core and accessory bacterial protein-folding factors: Hsp33, SurA, FKBP/PPiases, HscAB, GroES, ClpB-like disaggregase, DnaJ-like and GrpE/CbpA/CbpM co-chaperone context, plus cold-shock nucleic-acid chaperone side context. Curate as bacterial proteostasis/folding, not as a eukaryotic ER-processing or integrated-stress-response module.	PRESENT	CURATED	PRESENT
surA	PP_0403	Q88QT4	Chaperone SurA (Peptidyl-prolyl cis-trans isomerase SurA) (PPIase SurA) (EC 5.2.1.8) (Rotamase SurA)	5.2.1.8	GO:0003755; GO:0006457; GO:0030288; GO:0042277; GO:0043165; GO:0050821; GO:0051082	IPR050280;IPR046357;IPR000297;IPR023034;IPR015391;IPR027304;	PF00639;PF13616;PF09312;	PTHR47637;PTHR47637:SF1;	Chaperone;Isomerase;Periplasm;Reference proteome;Repeat;Rotamase;Signal	chaperone_folding_holdase_foldase	Chaperone, holdase, and foldase systems	bacterial_chaperone_protein_folding_boundary	NEXT_SUBMODULE	QUEUED	Core and accessory bacterial protein-folding factors: Hsp33, SurA, FKBP/PPiases, HscAB, GroES, ClpB-like disaggregase, DnaJ-like and GrpE/CbpA/CbpM co-chaperone context, plus cold-shock nucleic-acid chaperone side context. Curate as bacterial proteostasis/folding, not as a eukaryotic ER-processing or integrated-stress-response module.	PRESENT	CURATED	PRESENT
clpB	PP_0625	Q88Q71	Chaperone protein ClpB		GO:0005524; GO:0005829; GO:0006355; GO:0016887; GO:0034605; GO:0042026; GO:0042802	IPR003593;IPR003959;IPR017730;IPR019489;IPR036628;IPR004176;IPR001270;IPR018368;IPR028299;IPR041546;IPR050130;IPR027417;IPR002078;	PF00004;PF07724;PF17871;PF02861;PF10431;	PTHR11638;PTHR11638:SF18;	ATP-binding;Chaperone;Coiled coil;Cytoplasm;Nucleotide-binding;Reference proteome;Repeat;Stress response	chaperone_folding_holdase_foldase	Chaperone, holdase, and foldase systems	bacterial_chaperone_protein_folding_boundary	NEXT_SUBMODULE	QUEUED	Core and accessory bacterial protein-folding factors: Hsp33, SurA, FKBP/PPiases, HscAB, GroES, ClpB-like disaggregase, DnaJ-like and GrpE/CbpA/CbpM co-chaperone context, plus cold-shock nucleic-acid chaperone side context. Curate as bacterial proteostasis/folding, not as a eukaryotic ER-processing or integrated-stress-response module.	PRESENT	CURATED	PRESENT
slyD	PP_0776	Q88PS2	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	5.2.1.8	GO:0003755; GO:0005737; GO:0042026	IPR046357;IPR001179;	PF00254;	PTHR47861;PTHR47861:SF3;	Chaperone;Cytoplasm;Isomerase;Reference proteome;Rotamase	chaperone_folding_holdase_foldase	Chaperone, holdase, and foldase systems	bacterial_chaperone_protein_folding_boundary	NEXT_SUBMODULE	QUEUED	Core and accessory bacterial protein-folding factors: Hsp33, SurA, FKBP/PPiases, HscAB, GroES, ClpB-like disaggregase, DnaJ-like and GrpE/CbpA/CbpM co-chaperone context, plus cold-shock nucleic-acid chaperone side context. Curate as bacterial proteostasis/folding, not as a eukaryotic ER-processing or integrated-stress-response module.	PRESENT	CURATED	PRESENT
hscB	PP_0845	Q88PK5	Co-chaperone protein HscB homolog		GO:0001671; GO:0006457; GO:0044571; GO:0051087; GO:0051259; GO:1990230	IPR001623;IPR004640;IPR036386;IPR009073;IPR036869;	PF00226;PF07743;	PTHR14021;PTHR14021:SF15;	Chaperone;Reference proteome	chaperone_folding_holdase_foldase	Chaperone, holdase, and foldase systems	bacterial_chaperone_protein_folding_boundary	NEXT_SUBMODULE	QUEUED	Core and accessory bacterial protein-folding factors: Hsp33, SurA, FKBP/PPiases, HscAB, GroES, ClpB-like disaggregase, DnaJ-like and GrpE/CbpA/CbpM co-chaperone context, plus cold-shock nucleic-acid chaperone side context. Curate as bacterial proteostasis/folding, not as a eukaryotic ER-processing or integrated-stress-response module.	PRESENT	CURATED	PRESENT
hscA	PP_0846	Q88PK4	Chaperone protein HscA homolog		GO:0005524; GO:0006457; GO:0016226; GO:0016887; GO:0051082	IPR043129;IPR018181;IPR042039;IPR029048;IPR029047;IPR013126;IPR010236;	PF00012;	PTHR19375;	ATP-binding;Chaperone;Nucleotide-binding;Reference proteome	chaperone_folding_holdase_foldase	Chaperone, holdase, and foldase systems	bacterial_chaperone_protein_folding_boundary	NEXT_SUBMODULE	QUEUED	Core and accessory bacterial protein-folding factors: Hsp33, SurA, FKBP/PPiases, HscAB, GroES, ClpB-like disaggregase, DnaJ-like and GrpE/CbpA/CbpM co-chaperone context, plus cold-shock nucleic-acid chaperone side context. Curate as bacterial proteostasis/folding, not as a eukaryotic ER-processing or integrated-stress-response module.	PRESENT	CURATED	PRESENT
groES	PP_1360	Q88N56	Co-chaperonin GroES (10 kDa chaperonin) (Chaperonin-10) (Cpn10)		GO:0005524; GO:0005737; GO:0044183; GO:0046872; GO:0051082; GO:0051087	IPR020818;IPR037124;IPR018369;IPR011032;	PF00166;	PTHR10772;PTHR10772:SF58;	Chaperone;Cytoplasm;Reference proteome	chaperone_folding_holdase_foldase	Chaperone, holdase, and foldase systems	bacterial_chaperone_protein_folding_boundary	NEXT_SUBMODULE	QUEUED	Core and accessory bacterial protein-folding factors: Hsp33, SurA, FKBP/PPiases, HscAB, GroES, ClpB-like disaggregase, DnaJ-like and GrpE/CbpA/CbpM co-chaperone context, plus cold-shock nucleic-acid chaperone side context. Curate as bacterial proteostasis/folding, not as a eukaryotic ER-processing or integrated-stress-response module.	PRESENT	CURATED	PRESENT
PP_1548	PP_1548	Q88MM3	Co-chaperone DjlA N-terminal domain-containing protein			IPR007791;IPR029024;	PF05099;		Reference proteome	chaperone_folding_holdase_foldase	Chaperone, holdase, and foldase systems	bacterial_chaperone_protein_folding_boundary	NEXT_SUBMODULE	QUEUED	Core and accessory bacterial protein-folding factors: Hsp33, SurA, FKBP/PPiases, HscAB, GroES, ClpB-like disaggregase, DnaJ-like and GrpE/CbpA/CbpM co-chaperone context, plus cold-shock nucleic-acid chaperone side context. Curate as bacterial proteostasis/folding, not as a eukaryotic ER-processing or integrated-stress-response module.	PRESENT	CURATED	PRESENT
cspA-II	PP_2463	Q88K29	Nucleic acid cold-shock chaperone		GO:0003676; GO:0005829	IPR012156;IPR050181;IPR011129;IPR019844;IPR002059;IPR012340;	PF00313;	PTHR11544;	Cytoplasm;Reference proteome	chaperone_folding_holdase_foldase	Chaperone, holdase, and foldase systems	bacterial_chaperone_protein_folding_boundary	NEXT_SUBMODULE	QUEUED	Core and accessory bacterial protein-folding factors: Hsp33, SurA, FKBP/PPiases, HscAB, GroES, ClpB-like disaggregase, DnaJ-like and GrpE/CbpA/CbpM co-chaperone context, plus cold-shock nucleic-acid chaperone side context. Curate as bacterial proteostasis/folding, not as a eukaryotic ER-processing or integrated-stress-response module.	PRESENT	CURATED	PRESENT
PP_3316	PP_3316	Q88HN7	Chaperone-associated ATPase		GO:0005524; GO:0005737; GO:0016887; GO:0034605	IPR003593;IPR003959;IPR019489;IPR036628;IPR004176;IPR001270;IPR028299;IPR041546;IPR050130;IPR027417;	PF00004;PF07724;PF17871;PF02861;PF10431;	PTHR11638;PTHR11638:SF145;	ATP-binding;Chaperone;Coiled coil;Nucleotide-binding;Reference proteome;Repeat	chaperone_folding_holdase_foldase	Chaperone, holdase, and foldase systems	bacterial_chaperone_protein_folding_boundary	NEXT_SUBMODULE	QUEUED	Core and accessory bacterial protein-folding factors: Hsp33, SurA, FKBP/PPiases, HscAB, GroES, ClpB-like disaggregase, DnaJ-like and GrpE/CbpA/CbpM co-chaperone context, plus cold-shock nucleic-acid chaperone side context. Curate as bacterial proteostasis/folding, not as a eukaryotic ER-processing or integrated-stress-response module.	PRESENT	CURATED	PRESENT
