gene	ordered_locus	uniprot_accession	protein_name	partition_bucket	partition_label	proposed_module	recommended_action	notes	review_status	curation_status	asta_research_status
PP_1116	PP_1116	Q88NT8	Site-specific recombinase, resolvase family	mobile_integrase_recombinase_transposase	Mobile-element integrases, recombinases, resolvases, and transposases	mobile_genetic_elements_boundary	REASSIGN_TO_MOBILE_ELEMENTS	Phage integrases, Tyr/Ser recombinases, resolvases, and transposases are mobile-element context, not core chromosomal DNA replication/repair pathway members.	PRESENT	CURATED	PRESENT
PP_1118	PP_1118	Q88NT6	Recombinase-related protein	mobile_integrase_recombinase_transposase	Mobile-element integrases, recombinases, resolvases, and transposases	mobile_genetic_elements_boundary	REASSIGN_TO_MOBILE_ELEMENTS	Phage integrases, Tyr/Ser recombinases, resolvases, and transposases are mobile-element context, not core chromosomal DNA replication/repair pathway members.	PRESENT	CURATED	PRESENT
PP_1532	PP_1532	Q88MN9	Phage integrase	mobile_integrase_recombinase_transposase	Mobile-element integrases, recombinases, resolvases, and transposases	mobile_genetic_elements_boundary	REASSIGN_TO_MOBILE_ELEMENTS	Phage integrases, Tyr/Ser recombinases, resolvases, and transposases are mobile-element context, not core chromosomal DNA replication/repair pathway members.	PRESENT	CURATED	PRESENT
PP_1533	PP_1533	Q88MN8	Excisionase	mobile_integrase_recombinase_transposase	Mobile-element integrases, recombinases, resolvases, and transposases	mobile_genetic_elements_boundary	REASSIGN_TO_MOBILE_ELEMENTS	Phage integrases, Tyr/Ser recombinases, resolvases, and transposases are mobile-element context, not core chromosomal DNA replication/repair pathway members.	PRESENT	CURATED	PRESENT
PP_1555	PP_1555	Q88ML6	Phage integrase	mobile_integrase_recombinase_transposase	Mobile-element integrases, recombinases, resolvases, and transposases	mobile_genetic_elements_boundary	REASSIGN_TO_MOBILE_ELEMENTS	Phage integrases, Tyr/Ser recombinases, resolvases, and transposases are mobile-element context, not core chromosomal DNA replication/repair pathway members.	PRESENT	CURATED	PRESENT
PP_1865	PP_1865	Q877V8	Transposase	mobile_integrase_recombinase_transposase	Mobile-element integrases, recombinases, resolvases, and transposases	mobile_genetic_elements_boundary	REASSIGN_TO_MOBILE_ELEMENTS	Phage integrases, Tyr/Ser recombinases, resolvases, and transposases are mobile-element context, not core chromosomal DNA replication/repair pathway members.	PRESENT	CURATED	PRESENT
PP_1960	PP_1960	Q88LH2	Tyr recombinase domain-containing protein	mobile_integrase_recombinase_transposase	Mobile-element integrases, recombinases, resolvases, and transposases	mobile_genetic_elements_boundary	REASSIGN_TO_MOBILE_ELEMENTS	Phage integrases, Tyr/Ser recombinases, resolvases, and transposases are mobile-element context, not core chromosomal DNA replication/repair pathway members.	PRESENT	CURATED	PRESENT
PP_1962	PP_1962	Q88LH0	Site-specific recombinase, phage integrase family	mobile_integrase_recombinase_transposase	Mobile-element integrases, recombinases, resolvases, and transposases	mobile_genetic_elements_boundary	REASSIGN_TO_MOBILE_ELEMENTS	Phage integrases, Tyr/Ser recombinases, resolvases, and transposases are mobile-element context, not core chromosomal DNA replication/repair pathway members.	PRESENT	CURATED	PRESENT
PP_2297	PP_2297	Q88KJ3	Integrative genetic element Ppu40, integrase	mobile_integrase_recombinase_transposase	Mobile-element integrases, recombinases, resolvases, and transposases	mobile_genetic_elements_boundary	REASSIGN_TO_MOBILE_ELEMENTS	Phage integrases, Tyr/Ser recombinases, resolvases, and transposases are mobile-element context, not core chromosomal DNA replication/repair pathway members.	PRESENT	CURATED	PRESENT
PP_2495	PP_2495	Q88JZ8	YqaJ viral recombinase domain-containing protein	mobile_integrase_recombinase_transposase	Mobile-element integrases, recombinases, resolvases, and transposases	mobile_genetic_elements_boundary	REASSIGN_TO_MOBILE_ELEMENTS	Phage integrases, Tyr/Ser recombinases, resolvases, and transposases are mobile-element context, not core chromosomal DNA replication/repair pathway members.	PRESENT	CURATED	PRESENT
