gene	ordered_locus	uniprot_accession	protein_name	partition_bucket	partition_label	proposed_module	recommended_action	notes	review_status	curation_status	asta_research_status
moeB	PP_0735	Q88PW3	Molybdopterin-synthase adenylyltransferase (EC 2.7.7.80) (MoaD protein adenylase) (Molybdopterin-converting factor subunit 1 adenylase) (Sulfur carrier protein MoaD adenylyltransferase)	molybdopterin_moco_sulfur_relay	Molybdopterin/MoCo sulfur relay	molybdopterin_biosynthesis_sulfur_relay_boundary	NEW_SUBMODULE	Moa/Moe sulfur-carrier adenylation and molybdopterin biosynthesis components; many already appear as side context in folate/MoCo-related maps.	PRESENT	CURATED	PRESENT
tusA-I	PP_1233	Q88NH6	Sulfurtransferase (EC 2.8.1.-)	tus_mnma_trna_thiolation	Tus/MnmA tRNA thiolation	mnma_tus_trna_thiolation_boundary	NEW_SUBMODULE	Tus sulfur-transfer chain and MnmA tRNA 2-thiouridylase context for wobble-uridine thiolation.	PRESENT	CURATED	PRESENT
moaC	PP_1292	Q88NC0	Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17) (Molybdenum cofactor biosynthesis protein C)	molybdopterin_moco_sulfur_relay	Molybdopterin/MoCo sulfur relay	molybdopterin_biosynthesis_sulfur_relay_boundary	NEW_SUBMODULE	Moa/Moe sulfur-carrier adenylation and molybdopterin biosynthesis components; many already appear as side context in folate/MoCo-related maps.	PRESENT	CURATED	PRESENT
moaD	PP_1293	Q88NB9	Molybdopterin synthase sulfur carrier subunit	molybdopterin_moco_sulfur_relay	Molybdopterin/MoCo sulfur relay	molybdopterin_biosynthesis_sulfur_relay_boundary	NEW_SUBMODULE	Moa/Moe sulfur-carrier adenylation and molybdopterin biosynthesis components; many already appear as side context in folate/MoCo-related maps.	PRESENT	CURATED	PRESENT
moaE	PP_1294	Q88NB8	Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (MPT synthase subunit 2) (Molybdenum cofactor biosynthesis protein E) (Molybdopterin-converting factor large subunit) (Molybdopterin-converting factor subunit 2)	molybdopterin_moco_sulfur_relay	Molybdopterin/MoCo sulfur relay	molybdopterin_biosynthesis_sulfur_relay_boundary	NEW_SUBMODULE	Moa/Moe sulfur-carrier adenylation and molybdopterin biosynthesis components; many already appear as side context in folate/MoCo-related maps.	PRESENT	CURATED	PRESENT
PP_1969	PP_1969	Q88LG4	Molybdenum cofactor biosynthesis protein A	molybdopterin_moco_sulfur_relay	Molybdopterin/MoCo sulfur relay	molybdopterin_biosynthesis_sulfur_relay_boundary	NEW_SUBMODULE	Moa/Moe sulfur-carrier adenylation and molybdopterin biosynthesis components; many already appear as side context in folate/MoCo-related maps.	PRESENT	CURATED	PRESENT
tusA	PP_2116	Q88L21	Sulfur carrier protein TusA	tus_mnma_trna_thiolation	Tus/MnmA tRNA thiolation	mnma_tus_trna_thiolation_boundary	NEW_SUBMODULE	Tus sulfur-transfer chain and MnmA tRNA 2-thiouridylase context for wobble-uridine thiolation.	PRESENT	CURATED	PRESENT
moaB-I	PP_2122	Q88L15	Molybdenum cofactor biosynthesis protein B	molybdopterin_moco_sulfur_relay	Molybdopterin/MoCo sulfur relay	molybdopterin_biosynthesis_sulfur_relay_boundary	NEW_SUBMODULE	Moa/Moe sulfur-carrier adenylation and molybdopterin biosynthesis components; many already appear as side context in folate/MoCo-related maps.	PRESENT	CURATED	PRESENT
PP_2482	PP_2482	Q88K11	Molybdenum cofactor biosynthesis protein A	molybdopterin_moco_sulfur_relay	Molybdopterin/MoCo sulfur relay	molybdopterin_biosynthesis_sulfur_relay_boundary	NEW_SUBMODULE	Moa/Moe sulfur-carrier adenylation and molybdopterin biosynthesis components; many already appear as side context in folate/MoCo-related maps.	PRESENT	CURATED	PRESENT
tusD	PP_3993	Q88FT9	Sulfur transfer protein complex, TusD subunit	tus_mnma_trna_thiolation	Tus/MnmA tRNA thiolation	mnma_tus_trna_thiolation_boundary	NEW_SUBMODULE	Tus sulfur-transfer chain and MnmA tRNA 2-thiouridylase context for wobble-uridine thiolation.	PRESENT	CURATED	PRESENT
