gene	ordered_locus	uniprot_accession	protein_name	ec_numbers	go_ids	interpro_ids	pfam_ids	panther_ids	keywords	partition_bucket	partition_label	proposed_module	recommended_action	bucket_status	notes	review_status	curation_status	asta_research_status
PP_0588	PP_0588	Q88QA6	Copper-binding chaperone		GO:0046872	IPR017969;IPR006121;IPR036163;	PF00403;		Metal-binding;Reference proteome	cofactor_metal_maturation_chaperones	Cofactor, metal, and enzyme-maturation chaperones	cofactor_metal_maturation_chaperone_boundary	NEW_OR_REUSE_BOUNDARY	QUEUED	Copper, heme, succinate-dehydrogenase flavin, urease nickel-insertion, and G3E-family metal/chaperone candidates. Route to their real enzyme or metal-homeostasis modules where possible rather than treating them as generic protein-folding factors.	PRESENT	CURATED	PRESENT
sdhE	PP_1424	Q88MZ4	FAD assembly factor SdhE		GO:0005737; GO:0006105	IPR005631;IPR036714;IPR050531;	PF03937;	PTHR39585;PTHR39585:SF1;	Chaperone;Cytoplasm;Reference proteome	cofactor_metal_maturation_chaperones	Cofactor, metal, and enzyme-maturation chaperones	cofactor_metal_maturation_chaperone_boundary	NEW_OR_REUSE_BOUNDARY	QUEUED	Copper, heme, succinate-dehydrogenase flavin, urease nickel-insertion, and G3E-family metal/chaperone candidates. Route to their real enzyme or metal-homeostasis modules where possible rather than treating them as generic protein-folding factors.	PRESENT	CURATED	PRESENT
ureD	PP_2842	Q88J07	Urease accessory protein UreD		GO:0005737; GO:0016151	IPR002669;	PF01774;	PTHR33643;PTHR33643:SF1;	Chaperone;Cytoplasm;Nickel insertion;Reference proteome	cofactor_metal_maturation_chaperones	Cofactor, metal, and enzyme-maturation chaperones	cofactor_metal_maturation_chaperone_boundary	NEW_OR_REUSE_BOUNDARY	QUEUED	Copper, heme, succinate-dehydrogenase flavin, urease nickel-insertion, and G3E-family metal/chaperone candidates. Route to their real enzyme or metal-homeostasis modules where possible rather than treating them as generic protein-folding factors.	PRESENT	CURATED	PRESENT
ureE	PP_2846	Q88J03	Urease accessory protein UreE		GO:0005737; GO:0006457; GO:0016151; GO:0019627; GO:0051082; GO:0065003	IPR012406;IPR007864;IPR004029;IPR036118;	PF05194;PF02814;		Chaperone;Cytoplasm;Nickel;Nickel insertion;Reference proteome	cofactor_metal_maturation_chaperones	Cofactor, metal, and enzyme-maturation chaperones	cofactor_metal_maturation_chaperone_boundary	NEW_OR_REUSE_BOUNDARY	QUEUED	Copper, heme, succinate-dehydrogenase flavin, urease nickel-insertion, and G3E-family metal/chaperone candidates. Route to their real enzyme or metal-homeostasis modules where possible rather than treating them as generic protein-folding factors.	PRESENT	CURATED	PRESENT
ureF	PP_2848	Q88J01	Urease accessory protein UreF		GO:0005737; GO:0016151	IPR002639;IPR038277;	PF01730;	PTHR33620;PTHR33620:SF1;	Chaperone;Cytoplasm;Nickel insertion;Reference proteome	cofactor_metal_maturation_chaperones	Cofactor, metal, and enzyme-maturation chaperones	cofactor_metal_maturation_chaperone_boundary	NEW_OR_REUSE_BOUNDARY	QUEUED	Copper, heme, succinate-dehydrogenase flavin, urease nickel-insertion, and G3E-family metal/chaperone candidates. Route to their real enzyme or metal-homeostasis modules where possible rather than treating them as generic protein-folding factors.	PRESENT	CURATED	PRESENT
ureG	PP_2849	Q88J00	Urease accessory protein UreG		GO:0003924; GO:0005525; GO:0005737; GO:0016151; GO:0043419	IPR003495;IPR027417;IPR004400;	PF02492;	PTHR31715;PTHR31715:SF0;	Chaperone;Cytoplasm;GTP-binding;Nickel insertion;Nucleotide-binding;Reference proteome	cofactor_metal_maturation_chaperones	Cofactor, metal, and enzyme-maturation chaperones	cofactor_metal_maturation_chaperone_boundary	NEW_OR_REUSE_BOUNDARY	QUEUED	Copper, heme, succinate-dehydrogenase flavin, urease nickel-insertion, and G3E-family metal/chaperone candidates. Route to their real enzyme or metal-homeostasis modules where possible rather than treating them as generic protein-folding factors.	PRESENT	CURATED	PRESENT
cobW	PP_3508	Q88H57	Protein CobW		GO:0000166; GO:0005737; GO:0009236; GO:0016787	IPR012824;IPR036627;IPR011629;IPR003495;IPR027417;IPR051316;	PF02492;PF07683;	PTHR13748:SF62;PTHR13748;	Chaperone;Hydrolase;Nucleotide-binding;Reference proteome	cofactor_metal_maturation_chaperones	Cofactor, metal, and enzyme-maturation chaperones	cofactor_metal_maturation_chaperone_boundary	NEW_OR_REUSE_BOUNDARY	QUEUED	Copper, heme, succinate-dehydrogenase flavin, urease nickel-insertion, and G3E-family metal/chaperone candidates. Route to their real enzyme or metal-homeostasis modules where possible rather than treating them as generic protein-folding factors.	PRESENT	CURATED	PRESENT
zinU	PP_4639	Q88E29	P-loop guanosine triphosphatase-dependent zinc chaperone		GO:0000166; GO:0005737; GO:0016787	IPR036627;IPR011629;IPR003495;IPR027417;IPR051316;	PF02492;PF07683;	PTHR13748:SF62;PTHR13748;	Chaperone;Hydrolase;Nucleotide-binding;Reference proteome	cofactor_metal_maturation_chaperones	Cofactor, metal, and enzyme-maturation chaperones	cofactor_metal_maturation_chaperone_boundary	NEW_OR_REUSE_BOUNDARY	QUEUED	Copper, heme, succinate-dehydrogenase flavin, urease nickel-insertion, and G3E-family metal/chaperone candidates. Route to their real enzyme or metal-homeostasis modules where possible rather than treating them as generic protein-folding factors.	PRESENT	CURATED	PRESENT
PP_4836	PP_4836	Q88DI9	Copper chaperone PCu(A)C			IPR007410;IPR058248;IPR036182;	PF04314;	PTHR36302;PTHR36302:SF1;	Reference proteome;Signal	cofactor_metal_maturation_chaperones	Cofactor, metal, and enzyme-maturation chaperones	cofactor_metal_maturation_chaperone_boundary	NEW_OR_REUSE_BOUNDARY	QUEUED	Copper, heme, succinate-dehydrogenase flavin, urease nickel-insertion, and G3E-family metal/chaperone candidates. Route to their real enzyme or metal-homeostasis modules where possible rather than treating them as generic protein-folding factors.	PRESENT	CURATED	PRESENT
yggW	PP_5101	Q88CS9	Heme chaperone HemW		GO:0004109; GO:0005737; GO:0006779; GO:0046872; GO:0051539	IPR013785;IPR034505;IPR006638;IPR010723;IPR004559;IPR007197;IPR058240;	PF06969;PF04055;	PTHR13932;PTHR13932:SF5;	4Fe-4S;Chaperone;Cytoplasm;Heme;Iron;Iron-sulfur;Metal-binding;Oxidoreductase;Reference proteome;S-adenosyl-L-methionine	cofactor_metal_maturation_chaperones	Cofactor, metal, and enzyme-maturation chaperones	cofactor_metal_maturation_chaperone_boundary	NEW_OR_REUSE_BOUNDARY	QUEUED	Copper, heme, succinate-dehydrogenase flavin, urease nickel-insertion, and G3E-family metal/chaperone candidates. Route to their real enzyme or metal-homeostasis modules where possible rather than treating them as generic protein-folding factors.	PRESENT	CURATED	PRESENT
