suggested_review_name	ordered_locus	uniprot_accession	entry_name	primary_gene	all_gene_names	protein_name	reviewed	annotation_score	ec_numbers	go_ids	primary_bucket_id	primary_bucket_label	is_primary_for_pathway	membership_source	membership_pathway_id	membership_pathway_name	gene_dir	review_status	review_file	curation_status	asta_research_status	asta_research_file
hemF	PP_0073	Q88RQ6	HEM6_PSEPK	hemF	hemF PP_0073	Oxygen-dependent coproporphyrinogen-III oxidase (CPO) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3)	reviewed	3.0	1.3.3.3	GO:0004109; GO:0005737; GO:0006782; GO:0042803; GO:0046872	kegg:ppu00860	Porphyrin metabolism	true	KEGG	ppu00860	Porphyrin metabolism	genes/PSEPK/hemF	PRESENT	genes/PSEPK/hemF/hemF-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/hemF/hemF-deep-research-asta.md
PP_0109	PP_0109	Q88RM0	Q88RM0_PSEPK	PP_0109	PP_0109	Cytochrome B	unreviewed	2.0		GO:0006784; GO:0016020; GO:0016491; GO:0046872	kegg:ppu00860	Porphyrin metabolism	true	KEGG	ppu00860	Porphyrin metabolism	genes/PSEPK/PP_0109	PRESENT	genes/PSEPK/PP_0109/PP_0109-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/PP_0109/PP_0109-deep-research-asta.md
cyoE1	PP_0110	Q88RL9	CYOE1_PSEPK	cyoE1	cyoE1 cyoE-1 PP_0110	Protoheme IX farnesyltransferase 1 (EC 2.5.1.141) (Heme B farnesyltransferase 1) (Heme O synthase 1)	reviewed	3.0	2.5.1.141	GO:0005886; GO:0008495; GO:0048034	kegg:ppu00860	Porphyrin metabolism	true	KEGG	ppu00860	Porphyrin metabolism	genes/PSEPK/cyoE1	PRESENT	genes/PSEPK/cyoE1/cyoE1-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/cyoE1/cyoE1-deep-research-asta.md
hemC	PP_0186	Q88RE5	HEM3_PSEPK	hemC	hemC PP_0186	Porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase)	reviewed	3.0	2.5.1.61	GO:0004418; GO:0005737; GO:0006782	kegg:ppu00860	Porphyrin metabolism	true	KEGG	ppu00860	Porphyrin metabolism	genes/PSEPK/hemC	PRESENT	genes/PSEPK/hemC/hemC-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/hemC/hemC-deep-research-asta.md
hemD	PP_0187	Q88RE4	Q88RE4_PSEPK	hemD	hemD PP_0187	Uroporphyrinogen-III synthase (EC 4.2.1.75)	unreviewed	2.0	4.2.1.75	GO:0004852; GO:0006780; GO:0006782	kegg:ppu00860	Porphyrin metabolism	true	KEGG	ppu00860	Porphyrin metabolism	genes/PSEPK/hemD	PRESENT	genes/PSEPK/hemD/hemD-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/hemD/hemD-deep-research-asta.md
PP_0188	PP_0188	Q88RE3	Q88RE3_PSEPK	PP_0188	PP_0188	Uroporphyrin-III C-methyltransferase	unreviewed	1.0			kegg:ppu00860	Porphyrin metabolism	true	KEGG	ppu00860	Porphyrin metabolism	genes/PSEPK/PP_0188	PRESENT	genes/PSEPK/PP_0188/PP_0188-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/PP_0188/PP_0188-deep-research-asta.md
PP_0431	PP_0431	Q88QQ7	Q88QQ7_PSEPK	PP_0431	PP_0431	Protoporphyrinogen IX oxidase (PPO) (EC 1.3.99.-)	unreviewed	3.0	1.3.99.-	GO:0005886; GO:0006782; GO:0046872; GO:0070818	kegg:ppu00860	Porphyrin metabolism	true	KEGG	ppu00860	Porphyrin metabolism	genes/PSEPK/PP_0431	PRESENT	genes/PSEPK/PP_0431/PP_0431-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/PP_0431/PP_0431-deep-research-asta.md
bfr-I	PP_0482	Q88QK8	Q88QK8_PSEPK	bfr-I	bfr-I PP_0482	Bacterioferritin (EC 1.16.3.1)	unreviewed	3.0	1.16.3.1	GO:0004322; GO:0005829; GO:0006826; GO:0006879; GO:0008199; GO:0020037; GO:0140315	kegg:ppu00860	Porphyrin metabolism	true	KEGG	ppu00860	Porphyrin metabolism	genes/PSEPK/bfr-I	PRESENT	genes/PSEPK/bfr-I/bfr-I-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/bfr-I/bfr-I-deep-research-asta.md
hemA	PP_0732	Q88PW6	HEM1_PSEPK	hemA	hemA PP_0732	Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70)	reviewed	3.0	1.2.1.70	GO:0008883; GO:0019353; GO:0050661	kegg:ppu00860	Porphyrin metabolism	true	KEGG	ppu00860	Porphyrin metabolism	genes/PSEPK/hemA	PRESENT	genes/PSEPK/hemA/hemA-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/hemA/hemA-deep-research-asta.md
hemH	PP_0744	Q88PV4	HEMH_PSEPK	hemH	hemH PP_0744	Ferrochelatase (EC 4.98.1.1) (Heme synthase) (Protoheme ferro-lyase)	reviewed	3.0	4.98.1.1	GO:0004325; GO:0005737; GO:0006783; GO:0046872	kegg:ppu00860	Porphyrin metabolism	true	KEGG	ppu00860	Porphyrin metabolism	genes/PSEPK/hemH	PRESENT	genes/PSEPK/hemH/hemH-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/hemH/hemH-deep-research-asta.md
cyoE2	PP_0816	Q88PN3	CYOE2_PSEPK	cyoE2	cyoE2 cyoE-2 PP_0816	Protoheme IX farnesyltransferase 2 (EC 2.5.1.141) (Heme B farnesyltransferase 2) (Heme O synthase 2)	reviewed	3.0	2.5.1.141	GO:0005886; GO:0008495; GO:0048034	kegg:ppu00860	Porphyrin metabolism	true	KEGG	ppu00860	Porphyrin metabolism	genes/PSEPK/cyoE2	PRESENT	genes/PSEPK/cyoE2/cyoE2-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/cyoE2/cyoE2-deep-research-asta.md
hemO	PP_1005	Q88P48	Q88P48_PSEPK	hemO	hemO PP_1005	Heme oxygenase	unreviewed	1.0		GO:0004392; GO:0006788	kegg:ppu00860	Porphyrin metabolism	true	KEGG	ppu00860	Porphyrin metabolism	genes/PSEPK/hemO	PRESENT	genes/PSEPK/hemO/hemO-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/hemO/hemO-deep-research-asta.md
bfr-II	PP_1082	Q88NX1	Q88NX1_PSEPK	bfr-II	bfr-II PP_1082	Bacterioferritin (EC 1.16.3.1)	unreviewed	3.0	1.16.3.1	GO:0004322; GO:0005829; GO:0006826; GO:0006879; GO:0008199; GO:0020037; GO:0140315	kegg:ppu00860	Porphyrin metabolism	true	KEGG	ppu00860	Porphyrin metabolism	genes/PSEPK/bfr-II	PRESENT	genes/PSEPK/bfr-II/bfr-II-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/bfr-II/bfr-II-deep-research-asta.md
