gene	ordered_locus	uniprot_accession	protein_name	partition_bucket	partition_label	proposed_module	recommended_action	notes	review_status	curation_status	asta_research_status
fliY	PP_0227	Q88RA6	Periplasmic cystine-binding protein	nonflagellar_transport_envelope_spillovers	Nonflagellar transport/envelope spillovers	transport_envelope_spillover_boundary	EXISTING_OR_REUSE	Cystine/sugar-binding and OmpA-family proteins that should not be treated as flagellar apparatus members without stronger evidence.	PRESENT	CURATED	PRESENT
rpoD	PP_0387	Q88QU7	RNA polymerase sigma factor RpoD (Sigma-70)	flagellar_regulation_sigma_master_control	Flagellar sigma/master regulation	flagellar_regulation_boundary	NEW_SUBMODULE	Sigma factors, anti-sigma factor, and master/AAA+ transcriptional regulators that control flagellar expression rather than form the apparatus.	PRESENT	CURATED	PRESENT
rpoN	PP_0952	P0A171	RNA polymerase sigma-54 factor	flagellar_regulation_sigma_master_control	Flagellar sigma/master regulation	flagellar_regulation_boundary	NEW_SUBMODULE	Sigma factors, anti-sigma factor, and master/AAA+ transcriptional regulators that control flagellar expression rather than form the apparatus.	PRESENT	CURATED	PRESENT
PP_1087	PP_1087	Q88NW6	Outer membrane protein, OmpA family	nonflagellar_transport_envelope_spillovers	Nonflagellar transport/envelope spillovers	transport_envelope_spillover_boundary	EXISTING_OR_REUSE	Cystine/sugar-binding and OmpA-family proteins that should not be treated as flagellar apparatus members without stronger evidence.	PRESENT	CURATED	PRESENT
PP_4335	PP_4335	Q88EW7	Flagellar motor protein	flagellar_motor_switch_stator	Flagellar motor, switch, and stator	flagellar_motor_switch_stator_boundary	NEW_SUBMODULE	Motor/stator rotation proteins and C-ring/switch components, including FliL-family motor-associated proteins.	PRESENT	CURATED	PRESENT
PP_4336	PP_4336	Q88EW6	Flagellar motor rotation protein	flagellar_motor_switch_stator	Flagellar motor, switch, and stator	flagellar_motor_switch_stator_boundary	NEW_SUBMODULE	Motor/stator rotation proteins and C-ring/switch components, including FliL-family motor-associated proteins.	PRESENT	CURATED	PRESENT
fliA	PP_4341	Q88EW1	RNA polymerase sigma factor FliA (RNA polymerase sigma factor for flagellar operon) (Sigma F) (Sigma-28)	flagellar_regulation_sigma_master_control	Flagellar sigma/master regulation	flagellar_regulation_boundary	NEW_SUBMODULE	Sigma factors, anti-sigma factor, and master/AAA+ transcriptional regulators that control flagellar expression rather than form the apparatus.	PRESENT	CURATED	PRESENT
flhA	PP_4344	Q88EV8	Flagellar biosynthesis protein FlhA	flagellar_export_assembly_chaperones	Flagellar export and assembly/chaperone proteins	flagellar_export_assembly_boundary	NEW_SUBMODULE	Flagellar type-III-like export gate, export ATPase complex, hook-length control, and secretion/assembly chaperones.	PRESENT	CURATED	PRESENT
flhB	PP_4352	Q88EV1	Flagellar biosynthetic protein FlhB	flagellar_export_assembly_chaperones	Flagellar export and assembly/chaperone proteins	flagellar_export_assembly_boundary	NEW_SUBMODULE	Flagellar type-III-like export gate, export ATPase complex, hook-length control, and secretion/assembly chaperones.	PRESENT	CURATED	PRESENT
fliR	PP_4353	Q88EV0	Flagellar biosynthetic protein FliR	flagellar_export_assembly_chaperones	Flagellar export and assembly/chaperone proteins	flagellar_export_assembly_boundary	NEW_SUBMODULE	Flagellar type-III-like export gate, export ATPase complex, hook-length control, and secretion/assembly chaperones.	PRESENT	CURATED	PRESENT
