gene	ordered_locus	uniprot_accession	protein_name	partition_bucket	partition_label	proposed_module	recommended_action	notes	review_status	curation_status	asta_research_status
parB	PP_0001	P0A151	Probable chromosome-partitioning protein ParB	chromosome_partition_condensation_boundary	Chromosome partition and condensation boundary	chromosome_partition_condensation_boundary	COMPLETED_SUBMODULE	ParB/PP_0002 origin partition candidates, MksEF-like candidates, ParA-family side ATPases, and Smc-ScpAB condensation/segregation machinery; first-pass reviews and module are complete with PP_0002 promoted from unknown.	PRESENT	CURATED	PRESENT
PP_0693	PP_0693	Q88Q05	Chromosome partitioning protein ParA	chromosome_partition_condensation_boundary	Chromosome partition and condensation boundary	chromosome_partition_condensation_boundary	COMPLETED_SUBMODULE	ParB/PP_0002 origin partition candidates, MksEF-like candidates, ParA-family side ATPases, and Smc-ScpAB condensation/segregation machinery; first-pass reviews and module are complete with PP_0002 promoted from unknown.	PRESENT	CURATED	PRESENT
PP_0694	PP_0694	Q88Q04	Chromosome partitioning protein	chromosome_partition_condensation_boundary	Chromosome partition and condensation boundary	chromosome_partition_condensation_boundary	COMPLETED_SUBMODULE	ParB/PP_0002 origin partition candidates, MksEF-like candidates, ParA-family side ATPases, and Smc-ScpAB condensation/segregation machinery; first-pass reviews and module are complete with PP_0002 promoted from unknown.	PRESENT	CURATED	PRESENT
PP_2161	PP_2161	Q88KX8	Chromosome partitioning protein ParA	chromosome_partition_condensation_boundary	Chromosome partition and condensation boundary	chromosome_partition_condensation_boundary	COMPLETED_SUBMODULE	ParB/PP_0002 origin partition candidates, MksEF-like candidates, ParA-family side ATPases, and Smc-ScpAB condensation/segregation machinery; first-pass reviews and module are complete with PP_0002 promoted from unknown.	PRESENT	CURATED	PRESENT
PP_2412	PP_2412	Q88K79	ParA family protein	chromosome_partition_condensation_boundary	Chromosome partition and condensation boundary	chromosome_partition_condensation_boundary	COMPLETED_SUBMODULE	ParB/PP_0002 origin partition candidates, MksEF-like candidates, ParA-family side ATPases, and Smc-ScpAB condensation/segregation machinery; first-pass reviews and module are complete with PP_0002 promoted from unknown.	PRESENT	CURATED	PRESENT
PP_3700	PP_3700	Q88GM1	ATPases involved in chromosome partitioning	chromosome_partition_condensation_boundary	Chromosome partition and condensation boundary	chromosome_partition_condensation_boundary	COMPLETED_SUBMODULE	ParB/PP_0002 origin partition candidates, MksEF-like candidates, ParA-family side ATPases, and Smc-ScpAB condensation/segregation machinery; first-pass reviews and module are complete with PP_0002 promoted from unknown.	PRESENT	CURATED	PRESENT
smc	PP_4276	Q88F23	Chromosome partition protein Smc	chromosome_partition_condensation_boundary	Chromosome partition and condensation boundary	chromosome_partition_condensation_boundary	COMPLETED_SUBMODULE	ParB/PP_0002 origin partition candidates, MksEF-like candidates, ParA-family side ATPases, and Smc-ScpAB condensation/segregation machinery; first-pass reviews and module are complete with PP_0002 promoted from unknown.	PRESENT	CURATED	PRESENT
PP_4334	PP_4334	Q88EW8	ParA family protein	chromosome_partition_condensation_boundary	Chromosome partition and condensation boundary	chromosome_partition_condensation_boundary	COMPLETED_SUBMODULE	ParB/PP_0002 origin partition candidates, MksEF-like candidates, ParA-family side ATPases, and Smc-ScpAB condensation/segregation machinery; first-pass reviews and module are complete with PP_0002 promoted from unknown.	PRESENT	CURATED	PRESENT
PP_4497	PP_4497	Q88EG7	Segregation and condensation protein B	chromosome_partition_condensation_boundary	Chromosome partition and condensation boundary	chromosome_partition_condensation_boundary	COMPLETED_SUBMODULE	ParB/PP_0002 origin partition candidates, MksEF-like candidates, ParA-family side ATPases, and Smc-ScpAB condensation/segregation machinery; first-pass reviews and module are complete with PP_0002 promoted from unknown.	PRESENT	CURATED	PRESENT
scpA	PP_4498	Q88EG6	Segregation and condensation protein A	chromosome_partition_condensation_boundary	Chromosome partition and condensation boundary	chromosome_partition_condensation_boundary	COMPLETED_SUBMODULE	ParB/PP_0002 origin partition candidates, MksEF-like candidates, ParA-family side ATPases, and Smc-ScpAB condensation/segregation machinery; first-pass reviews and module are complete with PP_0002 promoted from unknown.	PRESENT	CURATED	PRESENT
PP_5070	PP_5070	Q88CW0	ParA family protein	chromosome_partition_condensation_boundary	Chromosome partition and condensation boundary	chromosome_partition_condensation_boundary	COMPLETED_SUBMODULE	ParB/PP_0002 origin partition candidates, MksEF-like candidates, ParA-family side ATPases, and Smc-ScpAB condensation/segregation machinery; first-pass reviews and module are complete with PP_0002 promoted from unknown.	PRESENT	CURATED	PRESENT
PP_0002	PP_0002	P0A149	Uncharacterized protein PP_0002	chromosome_partition_condensation_boundary	Chromosome partition and condensation boundary	chromosome_partition_condensation_boundary	COMPLETED_SUBMODULE	Promoted from unknown:function_unknown as the origin-proximal Soj/ParA-like DNA-partitioning ATPase candidate adjacent to parB.	PRESENT	CURATED	PRESENT
