suggested_review_name	ordered_locus	uniprot_accession	entry_name	primary_gene	all_gene_names	protein_name	reviewed	annotation_score	ec_numbers	go_ids	primary_bucket_id	primary_bucket_label	is_primary_for_pathway	membership_source	membership_pathway_id	membership_pathway_name	gene_dir	review_status	review_file	curation_status	openscientist_research_status	openscientist_research_file
PP_0103	PP_0103	Q88RM6	Q88RM6_PSEPK	PP_0103	PP_0103	Cytochrome c oxidase subunit 2 (EC 7.1.1.9)	unreviewed	3.0	7.1.1.9	GO:0004129; GO:0005507; GO:0005886; GO:0016491; GO:0020037; GO:0042773	kegg:ppu00190	Oxidative phosphorylation	true	KEGG	ppu00190	Oxidative phosphorylation	genes/PSEPK/PP_0103	MISSING	DRAFT	genes/PSEPK/PP_0103/PP_0103-ai-review.yaml	CURATED	RUNNING	genes/PSEPK/PP_0103/PP_0103-deep-research-openscientist.md
ctaD	PP_0104	Q88RM5	Q88RM5_PSEPK	ctaD	ctaD PP_0104	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	unreviewed	3.0	7.1.1.9	GO:0004129; GO:0005886; GO:0006119; GO:0015990; GO:0016491; GO:0020037; GO:0022904; GO:0045277; GO:0046872	kegg:ppu00190	Oxidative phosphorylation	true	KEGG	ppu00190	Oxidative phosphorylation	genes/PSEPK/ctaD	MISSING	DRAFT	genes/PSEPK/ctaD/ctaD-ai-review.yaml	CURATED	RUNNING	genes/PSEPK/ctaD/ctaD-deep-research-openscientist.md
PP_0105	PP_0105	Q88RM4	Q88RM4_PSEPK	PP_0105	PP_0105	Cytochrome c oxidase assembly protein CtaG	unreviewed	2.0		GO:0005507; GO:0005886	kegg:ppu00190	Oxidative phosphorylation	true	KEGG	ppu00190	Oxidative phosphorylation	genes/PSEPK/PP_0105	MISSING	DRAFT	genes/PSEPK/PP_0105/PP_0105-ai-review.yaml	CURATED	RUNNING	genes/PSEPK/PP_0105/PP_0105-deep-research-openscientist.md
PP_0106	PP_0106	Q88RM3	Q88RM3_PSEPK	PP_0106	PP_0106	Probable cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome aa3 subunit 3) (Cytochrome c oxidase polypeptide III)	unreviewed	2.0	7.1.1.9	GO:0004129; GO:0005886; GO:0019646; GO:0045277	kegg:ppu00190	Oxidative phosphorylation	true	KEGG	ppu00190	Oxidative phosphorylation	genes/PSEPK/PP_0106	MISSING	DRAFT	genes/PSEPK/PP_0106/PP_0106-ai-review.yaml	CURATED	RUNNING	genes/PSEPK/PP_0106/PP_0106-deep-research-openscientist.md
cyoA	PP_0812	Q88PN7	Q88PN7_PSEPK	cyoA	cyoA PP_0812	Ubiquinol oxidase subunit 2	unreviewed	3.0		GO:0004129; GO:0005507; GO:0005886; GO:0009486; GO:0016682; GO:0042773	kegg:ppu00190	Oxidative phosphorylation	true	KEGG	ppu00190	Oxidative phosphorylation	genes/PSEPK/cyoA	MISSING	DRAFT	genes/PSEPK/cyoA/cyoA-ai-review.yaml	CURATED	RUNNING	genes/PSEPK/cyoA/cyoA-deep-research-openscientist.md
cyoB	PP_0813	Q88PN6	Q88PN6_PSEPK	cyoB	cyoB PP_0813	Cytochrome bo(3) ubiquinol oxidase subunit 1 (EC 7.1.1.3) (Cytochrome o ubiquinol oxidase subunit 1) (Oxidase bo(3) subunit 1) (Ubiquinol oxidase polypeptide I) (Ubiquinol oxidase subunit 1)	unreviewed	3.0	7.1.1.3	GO:0004129; GO:0005886; GO:0009060; GO:0009486; GO:0015990; GO:0016682; GO:0020037; GO:0022904; GO:0046872	kegg:ppu00190	Oxidative phosphorylation	true	KEGG	ppu00190	Oxidative phosphorylation	genes/PSEPK/cyoB	MISSING	DRAFT	genes/PSEPK/cyoB/cyoB-ai-review.yaml	CURATED	RUNNING	genes/PSEPK/cyoB/cyoB-deep-research-openscientist.md
cyoC	PP_0814	Q88PN5	Q88PN5_PSEPK	cyoC	cyoC PP_0814	Cytochrome bo(3) ubiquinol oxidase subunit 3 (Cytochrome o ubiquinol oxidase subunit 3) (Oxidase bo(3) subunit 3) (Ubiquinol oxidase polypeptide III) (Ubiquinol oxidase subunit 3)	unreviewed	2.0		GO:0004129; GO:0005886; GO:0009486; GO:0019646	kegg:ppu00190	Oxidative phosphorylation	true	KEGG	ppu00190	Oxidative phosphorylation	genes/PSEPK/cyoC	MISSING	DRAFT	genes/PSEPK/cyoC/cyoC-ai-review.yaml	CURATED	RUNNING	genes/PSEPK/cyoC/cyoC-deep-research-openscientist.md
cyoD	PP_0815	Q88PN4	Q88PN4_PSEPK	cyoD	cyoD PP_0815	Cytochrome bo(3) ubiquinol oxidase subunit 4 (Cytochrome o ubiquinol oxidase subunit 4) (Oxidase bo(3) subunit 4) (Ubiquinol oxidase polypeptide IV) (Ubiquinol oxidase subunit 4)	unreviewed	3.0		GO:0005886; GO:0009319; GO:0009486; GO:0015078; GO:0015990; GO:0019646	kegg:ppu00190	Oxidative phosphorylation	true	KEGG	ppu00190	Oxidative phosphorylation	genes/PSEPK/cyoD	MISSING	DRAFT	genes/PSEPK/cyoD/cyoD-ai-review.yaml	CURATED	RUNNING	genes/PSEPK/cyoD/cyoD-deep-research-openscientist.md
ccoN-I	PP_4250	Q88F49	Q88F49_PSEPK	ccoN-I	ccoN-I PP_4250	cytochrome-c oxidase (EC 7.1.1.9)	unreviewed	3.0	7.1.1.9	GO:0004129; GO:0005886; GO:0006119; GO:0015990; GO:0016491; GO:0020037; GO:0022904; GO:0046872	kegg:ppu00190	Oxidative phosphorylation	true	KEGG	ppu00190	Oxidative phosphorylation	genes/PSEPK/ccoN-I	MISSING	DRAFT	genes/PSEPK/ccoN-I/ccoN-I-ai-review.yaml	CURATED	RUNNING	genes/PSEPK/ccoN-I/ccoN-I-deep-research-openscientist.md
ccoO-I	PP_4251	Q88F48	Q88F48_PSEPK	ccoO-I	ccoO-I PP_4251	Cytochrome c oxidase subunit, cbb3-type	unreviewed	1.0		GO:0009055; GO:0020037; GO:0046872	kegg:ppu00190	Oxidative phosphorylation	true	KEGG	ppu00190	Oxidative phosphorylation	genes/PSEPK/ccoO-I	MISSING	DRAFT	genes/PSEPK/ccoO-I/ccoO-I-ai-review.yaml	CURATED	RUNNING	genes/PSEPK/ccoO-I/ccoO-I-deep-research-openscientist.md
