gene	ordered_locus	uniprot_accession	protein_name	partition_bucket	partition_label	proposed_module	recommended_action	bucket_status	notes	review_status	curation_status	asta_research_status
dnaA	PP_0010	P0A116	Chromosomal replication initiator protein DnaA	dna_replication_spillover	Replication spillover	bacterial_dna_replication	SIDE_CONTEXT	CURATED	KEGG spillover; DnaA belongs with bacterial DNA replication, not two-component signaling.	PRESENT	CURATED	PRESENT
czcR-I	PP_0029	Q88RV0	Two component heavy metal response regulator	heavy_metal_copper_zinc_response	Heavy-metal/copper/zinc response and efflux	metal_cation_response_efflux_boundary	NEW_SUBMODULE	CURATED	Czc/Cop/Cus regulatory and efflux context; likely needs a metal-response boundary module.	PRESENT	CURATED	PRESENT
czrSA	PP_0030	Q88RU9	Sensor protein (EC 2.7.13.3)	heavy_metal_copper_zinc_response	Heavy-metal/copper/zinc response and efflux	metal_cation_response_efflux_boundary	NEW_SUBMODULE	CURATED	Czc/Cop/Cus regulatory and efflux context; likely needs a metal-response boundary module.	PRESENT	CURATED	PRESENT
czcR-II	PP_0047	Q88RT2	Response regulator	heavy_metal_copper_zinc_response	Heavy-metal/copper/zinc response and efflux	metal_cation_response_efflux_boundary	NEW_SUBMODULE	CURATED	Czc/Cop/Cus regulatory and efflux context; likely needs a metal-response boundary module.	PRESENT	CURATED	PRESENT
kinB	PP_0132	Q88RJ7	histidine kinase (EC 2.7.13.3)	alginate_biofilm_regulation	Alginate, c-di-GMP, and biofilm regulation	alginate_biofilm_regulation_boundary	NEW_SUBMODULE	CURATED	Alg/Kin/Wsp/Cbr/Fle-like regulatory context for biofilm or surface behavior.	PRESENT	CURATED	PRESENT
algB	PP_0133	Q88RJ6	Alginate biosynthesis transcriptional regulatory protein AlgB	alginate_biofilm_regulation	Alginate, c-di-GMP, and biofilm regulation	alginate_biofilm_regulation_boundary	NEW_SUBMODULE	CURATED	Alg/Kin/Wsp/Cbr/Fle-like regulatory context for biofilm or surface behavior.	PRESENT	CURATED	PRESENT
PP_0161	PP_0161	Q88RG9	Transmembrane sensor	ecf_sigma_anti_sigma	ECF sigma/anti-sigma systems	ecf_sigma_anti_sigma_boundary	NEW_SUBMODULE	CURATED	ECF sigma factors and transmembrane anti-sigma/sensor proteins; not canonical His-Asp TCS.	PRESENT	CURATED	PRESENT
PP_0162	PP_0162	Q88RG8	RNA polymerase sigma-70 factor, ECF subfamily	ecf_sigma_anti_sigma	ECF sigma/anti-sigma systems	ecf_sigma_anti_sigma_boundary	NEW_SUBMODULE	CURATED	ECF sigma factors and transmembrane anti-sigma/sensor proteins; not canonical His-Asp TCS.	PRESENT	CURATED	PRESENT
algR	PP_0185	Q88RE6	Positive alginate biosynthesis regulatory protein	alginate_biofilm_regulation	Alginate, c-di-GMP, and biofilm regulation	alginate_biofilm_regulation_boundary	NEW_SUBMODULE	CURATED	Alg/Kin/Wsp/Cbr/Fle-like regulatory context for biofilm or surface behavior.	PRESENT	CURATED	PRESENT
ompR	PP_0246	Q88R87	DNA-binding dual transcriptional regulator OmpR (Transcriptional regulatory protein OmpR)	osmotic_envelope_efflux_regulation	Osmotic, envelope, and multidrug-efflux regulation	osmotic_envelope_efflux_regulation_boundary	NEW_SUBMODULE	CURATED	OmpR/EnvZ, Evg-like, and Mdt efflux context; likely an envelope-stress/efflux boundary.	PRESENT	CURATED	PRESENT
envZ	PP_0247	Q88R86	histidine kinase (EC 2.7.13.3)	osmotic_envelope_efflux_regulation	Osmotic, envelope, and multidrug-efflux regulation	osmotic_envelope_efflux_regulation_boundary	NEW_SUBMODULE	CURATED	OmpR/EnvZ, Evg-like, and Mdt efflux context; likely an envelope-stress/efflux boundary.	PRESENT	CURATED	PRESENT
dctD-I	PP_0263	Q88R71	HTH-type transcriptional regulatory protein TyrR	dicarboxylate_tricarboxylate_transport_regulation	Dicarboxylate/tricarboxylate transport regulation	dicarboxylate_tricarboxylate_transport_regulation_boundary	NEW_SUBMODULE	CURATED	Dct/Tct/Uhp transport regulators and transporter context; keep transporters with their regulated import systems.	PRESENT	CURATED	PRESENT
PP_0264	PP_0264	Q88R70	C4-dicarboxylate transport sensor protein DctB (EC 2.7.13.3)	dicarboxylate_tricarboxylate_transport_regulation	Dicarboxylate/tricarboxylate transport regulation	dicarboxylate_tricarboxylate_transport_regulation_boundary	NEW_SUBMODULE	CURATED	Dct/Tct/Uhp transport regulators and transporter context; keep transporters with their regulated import systems.	PRESENT	CURATED	PRESENT
PP_0351	PP_0351	Q88QY3	Transmembrane sensor protein	ecf_sigma_anti_sigma	ECF sigma/anti-sigma systems	ecf_sigma_anti_sigma_boundary	NEW_SUBMODULE	CURATED	ECF sigma factors and transmembrane anti-sigma/sensor proteins; not canonical His-Asp TCS.	PRESENT	CURATED	PRESENT
