gene	ordered_locus	uniprot_accession	protein_name	ec_numbers	go_ids	interpro_ids	pfam_ids	panther_ids	keywords	partition_bucket	partition_label	proposed_module	recommended_action	bucket_status	notes	review_status	curation_status	asta_research_status
PP_0201	PP_0201	Q88RD1	YbaK/aminoacyl-tRNA synthetase-associated domain-containing protein		GO:0002161	IPR036754;IPR007214;	PF04073;		Reference proteome	aminoacyl_trna_charging_editing_quality_control	Aminoacyl-tRNA charging, editing, amidotransferase, and quality-control enzymes	aminoacyl_trna_quality_control_boundary	NEW_SUBMODULE	COMPLETE	Aminoacyl-tRNA synthetase fragments or specialized synthetases, GatCAB-like amidotransferase subunits, YbaK/Dtd/YcfH deacylases, and Aat tRNA-protein transferase context. Curate aminoacylation/editing functions precisely.	PRESENT	CURATED	PRESENT
PP_0782	PP_0782	Q88PR6	Glutamyl-tRNA amidotransferase			IPR014983;IPR015002;	PF08887;PF08906;		Reference proteome	aminoacyl_trna_charging_editing_quality_control	Aminoacyl-tRNA charging, editing, amidotransferase, and quality-control enzymes	aminoacyl_trna_quality_control_boundary	NEW_SUBMODULE	COMPLETE	Aminoacyl-tRNA synthetase fragments or specialized synthetases, GatCAB-like amidotransferase subunits, YbaK/Dtd/YcfH deacylases, and Aat tRNA-protein transferase context. Curate aminoacylation/editing functions precisely.	PRESENT	CURATED	PRESENT
PP_0784	PP_0784	Q88PR4	Glutamyl-tRNA amidotransferase			IPR014983;IPR015002;	PF08887;PF08906;		Reference proteome	aminoacyl_trna_charging_editing_quality_control	Aminoacyl-tRNA charging, editing, amidotransferase, and quality-control enzymes	aminoacyl_trna_quality_control_boundary	NEW_SUBMODULE	COMPLETE	Aminoacyl-tRNA synthetase fragments or specialized synthetases, GatCAB-like amidotransferase subunits, YbaK/Dtd/YcfH deacylases, and Aat tRNA-protein transferase context. Curate aminoacylation/editing functions precisely.	PRESENT	CURATED	PRESENT
ybaK	PP_1077	Q88NX6	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase (EC 4.2.-.-)	4.2.-.-	GO:0002161; GO:0006412; GO:0016829	IPR004369;IPR036754;IPR007214;	PF04073;	PTHR30411:SF0;PTHR30411;	Lyase;Protein biosynthesis;Reference proteome	aminoacyl_trna_charging_editing_quality_control	Aminoacyl-tRNA charging, editing, amidotransferase, and quality-control enzymes	aminoacyl_trna_quality_control_boundary	NEW_SUBMODULE	COMPLETE	Aminoacyl-tRNA synthetase fragments or specialized synthetases, GatCAB-like amidotransferase subunits, YbaK/Dtd/YcfH deacylases, and Aat tRNA-protein transferase context. Curate aminoacylation/editing functions precisely.	PRESENT	CURATED	PRESENT
PP_1091	PP_1091	Q88NW3	Leucyl-tRNA synthetase			IPR058510;IPR058059;	PF26620;		Reference proteome	aminoacyl_trna_charging_editing_quality_control	Aminoacyl-tRNA charging, editing, amidotransferase, and quality-control enzymes	aminoacyl_trna_quality_control_boundary	NEW_SUBMODULE	COMPLETE	Aminoacyl-tRNA synthetase fragments or specialized synthetases, GatCAB-like amidotransferase subunits, YbaK/Dtd/YcfH deacylases, and Aat tRNA-protein transferase context. Curate aminoacylation/editing functions precisely.	PRESENT	CURATED	PRESENT
ycfH	PP_1967	Q88LG6	tRNA D-aminoacylase		GO:0004536; GO:0005829; GO:0016788; GO:0046872	IPR018228;IPR032466;IPR001130;IPR015991;	PF01026;	PTHR46124;PTHR46124:SF2;	Hydrolase;Metal-binding;Reference proteome	aminoacyl_trna_charging_editing_quality_control	Aminoacyl-tRNA charging, editing, amidotransferase, and quality-control enzymes	aminoacyl_trna_quality_control_boundary	NEW_SUBMODULE	COMPLETE	Aminoacyl-tRNA synthetase fragments or specialized synthetases, GatCAB-like amidotransferase subunits, YbaK/Dtd/YcfH deacylases, and Aat tRNA-protein transferase context. Curate aminoacylation/editing functions precisely.	PRESENT	CURATED	PRESENT
aat	PP_4005	Q88FS7	Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6) (L/F-transferase) (Leucyltransferase) (Phenyalanyltransferase)	2.3.2.6	GO:0005737; GO:0008914; GO:0030163	IPR016181;IPR004616;IPR042203;IPR042221;	PF03588;	PTHR30098;PTHR30098:SF2;	Acyltransferase;Cytoplasm;Reference proteome;Transferase	aminoacyl_trna_charging_editing_quality_control	Aminoacyl-tRNA charging, editing, amidotransferase, and quality-control enzymes	aminoacyl_trna_quality_control_boundary	NEW_SUBMODULE	COMPLETE	Aminoacyl-tRNA synthetase fragments or specialized synthetases, GatCAB-like amidotransferase subunits, YbaK/Dtd/YcfH deacylases, and Aat tRNA-protein transferase context. Curate aminoacylation/editing functions precisely.	PRESENT	CURATED	PRESENT
PP_4228	PP_4228	Q88F70	Glutamyl-tRNA amidotransferase			IPR014983;IPR015002;	PF08887;PF08906;		Reference proteome	aminoacyl_trna_charging_editing_quality_control	Aminoacyl-tRNA charging, editing, amidotransferase, and quality-control enzymes	aminoacyl_trna_quality_control_boundary	NEW_SUBMODULE	COMPLETE	Aminoacyl-tRNA synthetase fragments or specialized synthetases, GatCAB-like amidotransferase subunits, YbaK/Dtd/YcfH deacylases, and Aat tRNA-protein transferase context. Curate aminoacylation/editing functions precisely.	PRESENT	CURATED	PRESENT
gluQ	PP_4694	Q88DX4	Glutamyl-Q tRNA(Asp) synthetase (Glu-Q-RSs) (EC 6.1.1.-)	6.1.1.-	GO:0004818; GO:0005524; GO:0005829; GO:0006400; GO:0006424; GO:0008270	IPR022380;IPR000924;IPR020058;IPR049940;IPR014729;	PF00749;	PTHR43311;PTHR43311:SF1;	Aminoacyl-tRNA synthetase;ATP-binding;Ligase;Metal-binding;Nucleotide-binding;Reference proteome;Zinc	aminoacyl_trna_charging_editing_quality_control	Aminoacyl-tRNA charging, editing, amidotransferase, and quality-control enzymes	aminoacyl_trna_quality_control_boundary	NEW_SUBMODULE	COMPLETE	Aminoacyl-tRNA synthetase fragments or specialized synthetases, GatCAB-like amidotransferase subunits, YbaK/Dtd/YcfH deacylases, and Aat tRNA-protein transferase context. Curate aminoacylation/editing functions precisely.	PRESENT	CURATED	PRESENT
dtd	PP_5027	Q88D02	D-aminoacyl-tRNA deacylase (DTD) (EC 3.1.1.96) (Gly-tRNA(Ala) deacylase)	3.1.1.96	GO:0000049; GO:0005737; GO:0019478; GO:0043908; GO:0051500; GO:0106026	IPR003732;IPR023509;	PF02580;	PTHR10472:SF5;PTHR10472;	Cytoplasm;Hydrolase;Reference proteome;RNA-binding;tRNA-binding	aminoacyl_trna_charging_editing_quality_control	Aminoacyl-tRNA charging, editing, amidotransferase, and quality-control enzymes	aminoacyl_trna_quality_control_boundary	NEW_SUBMODULE	COMPLETE	Aminoacyl-tRNA synthetase fragments or specialized synthetases, GatCAB-like amidotransferase subunits, YbaK/Dtd/YcfH deacylases, and Aat tRNA-protein transferase context. Curate aminoacylation/editing functions precisely.	PRESENT	CURATED	PRESENT
