gene	ordered_locus	uniprot_accession	protein_name	partition_bucket	partition_label	proposed_module	recommended_action	notes	review_status	curation_status	asta_research_status
rpmH	PP_0009	P0A161	Large ribosomal subunit protein bL34 (50S ribosomal protein L34)	bacterial_50s_ribosomal_subunit	Bacterial 50S ribosomal subunit proteins	bacterial_50s_ribosomal_subunit_boundary	NEW_SUBMODULE	Large-subunit ribosomal proteins; curate as 50S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rpsU	PP_0389	P0A165	Small ribosomal subunit protein bS21 (30S ribosomal protein S21)	bacterial_30s_ribosomal_subunit	Bacterial 30S ribosomal subunit proteins	bacterial_30s_ribosomal_subunit_boundary	NEW_SUBMODULE	Small-subunit ribosomal proteins; curate as 30S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rplK	PP_0443	Q88QP5	Large ribosomal subunit protein uL11 (50S ribosomal protein L11)	bacterial_50s_ribosomal_subunit	Bacterial 50S ribosomal subunit proteins	bacterial_50s_ribosomal_subunit_boundary	NEW_SUBMODULE	Large-subunit ribosomal proteins; curate as 50S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rplA	PP_0444	Q88QP4	Large ribosomal subunit protein uL1 (50S ribosomal protein L1)	bacterial_50s_ribosomal_subunit	Bacterial 50S ribosomal subunit proteins	bacterial_50s_ribosomal_subunit_boundary	NEW_SUBMODULE	Large-subunit ribosomal proteins; curate as 50S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rplJ	PP_0445	Q88QP3	Large ribosomal subunit protein uL10 (50S ribosomal protein L10)	bacterial_50s_ribosomal_subunit	Bacterial 50S ribosomal subunit proteins	bacterial_50s_ribosomal_subunit_boundary	NEW_SUBMODULE	Large-subunit ribosomal proteins; curate as 50S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rplL	PP_0446	P0A157	Large ribosomal subunit protein bL12 (50S ribosomal protein L7/L12)	bacterial_50s_ribosomal_subunit	Bacterial 50S ribosomal subunit proteins	bacterial_50s_ribosomal_subunit_boundary	NEW_SUBMODULE	Large-subunit ribosomal proteins; curate as 50S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rpsL	PP_0449	Q88QP0	Small ribosomal subunit protein uS12 (30S ribosomal protein S12)	bacterial_30s_ribosomal_subunit	Bacterial 30S ribosomal subunit proteins	bacterial_30s_ribosomal_subunit_boundary	NEW_SUBMODULE	Small-subunit ribosomal proteins; curate as 30S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rpsG	PP_0450	Q88QN9	Small ribosomal subunit protein uS7 (30S ribosomal protein S7)	bacterial_30s_ribosomal_subunit	Bacterial 30S ribosomal subunit proteins	bacterial_30s_ribosomal_subunit_boundary	NEW_SUBMODULE	Small-subunit ribosomal proteins; curate as 30S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rpsJ	PP_0453	Q88QN6	Small ribosomal subunit protein uS10 (30S ribosomal protein S10)	bacterial_30s_ribosomal_subunit	Bacterial 30S ribosomal subunit proteins	bacterial_30s_ribosomal_subunit_boundary	NEW_SUBMODULE	Small-subunit ribosomal proteins; curate as 30S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rplC	PP_0454	Q88QN5	Large ribosomal subunit protein uL3 (50S ribosomal protein L3)	bacterial_50s_ribosomal_subunit	Bacterial 50S ribosomal subunit proteins	bacterial_50s_ribosomal_subunit_boundary	NEW_SUBMODULE	Large-subunit ribosomal proteins; curate as 50S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rplD	PP_0455	Q88QN4	Large ribosomal subunit protein uL4 (50S ribosomal protein L4)	bacterial_50s_ribosomal_subunit	Bacterial 50S ribosomal subunit proteins	bacterial_50s_ribosomal_subunit_boundary	NEW_SUBMODULE	Large-subunit ribosomal proteins; curate as 50S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rplW	PP_0456	Q88QN3	Large ribosomal subunit protein uL23 (50S ribosomal protein L23)	bacterial_50s_ribosomal_subunit	Bacterial 50S ribosomal subunit proteins	bacterial_50s_ribosomal_subunit_boundary	NEW_SUBMODULE	Large-subunit ribosomal proteins; curate as 50S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rplB	PP_0457	Q88QN2	Large ribosomal subunit protein uL2 (50S ribosomal protein L2)	bacterial_50s_ribosomal_subunit	Bacterial 50S ribosomal subunit proteins	bacterial_50s_ribosomal_subunit_boundary	NEW_SUBMODULE	Large-subunit ribosomal proteins; curate as 50S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rpsS	PP_0458	Q88QN1	Small ribosomal subunit protein uS19 (30S ribosomal protein S19)	bacterial_30s_ribosomal_subunit	Bacterial 30S ribosomal subunit proteins	bacterial_30s_ribosomal_subunit_boundary	NEW_SUBMODULE	Small-subunit ribosomal proteins; curate as 30S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rplV	PP_0459	Q88QN0	Large ribosomal subunit protein uL22 (50S ribosomal protein L22)	bacterial_50s_ribosomal_subunit	Bacterial 50S ribosomal subunit proteins	bacterial_50s_ribosomal_subunit_boundary	NEW_SUBMODULE	Large-subunit ribosomal proteins; curate as 50S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rpsC	PP_0460	Q88QM9	Small ribosomal subunit protein uS3 (30S ribosomal protein S3)	bacterial_30s_ribosomal_subunit	Bacterial 30S ribosomal subunit proteins	bacterial_30s_ribosomal_subunit_boundary	NEW_SUBMODULE	Small-subunit ribosomal proteins; curate as 30S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rplP	PP_0461	Q88QM8	Large ribosomal subunit protein uL16 (50S ribosomal protein L16)	bacterial_50s_ribosomal_subunit	Bacterial 50S ribosomal subunit proteins	bacterial_50s_ribosomal_subunit_boundary	NEW_SUBMODULE	Large-subunit ribosomal proteins; curate as 50S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rpmC	PP_0462	Q88QM7	Large ribosomal subunit protein uL29 (50S ribosomal protein L29)	bacterial_50s_ribosomal_subunit	Bacterial 50S ribosomal subunit proteins	bacterial_50s_ribosomal_subunit_boundary	NEW_SUBMODULE	Large-subunit ribosomal proteins; curate as 50S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rpsQ	PP_0463	Q88QM6	Small ribosomal subunit protein uS17 (30S ribosomal protein S17)	bacterial_30s_ribosomal_subunit	Bacterial 30S ribosomal subunit proteins	bacterial_30s_ribosomal_subunit_boundary	NEW_SUBMODULE	Small-subunit ribosomal proteins; curate as 30S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rplN	PP_0464	Q88QM5	Large ribosomal subunit protein uL14 (50S ribosomal protein L14)	bacterial_50s_ribosomal_subunit	Bacterial 50S ribosomal subunit proteins	bacterial_50s_ribosomal_subunit_boundary	NEW_SUBMODULE	Large-subunit ribosomal proteins; curate as 50S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rplX	PP_0465	Q88QM4	Large ribosomal subunit protein uL24 (50S ribosomal protein L24)	bacterial_50s_ribosomal_subunit	Bacterial 50S ribosomal subunit proteins	bacterial_50s_ribosomal_subunit_boundary	NEW_SUBMODULE	Large-subunit ribosomal proteins; curate as 50S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rplE	PP_0466	Q88QM3	Large ribosomal subunit protein uL5 (50S ribosomal protein L5)	bacterial_50s_ribosomal_subunit	Bacterial 50S ribosomal subunit proteins	bacterial_50s_ribosomal_subunit_boundary	NEW_SUBMODULE	Large-subunit ribosomal proteins; curate as 50S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rpsN	PP_0467	Q88QM2	Small ribosomal subunit protein uS14 (30S ribosomal protein S14)	bacterial_30s_ribosomal_subunit	Bacterial 30S ribosomal subunit proteins	bacterial_30s_ribosomal_subunit_boundary	NEW_SUBMODULE	Small-subunit ribosomal proteins; curate as 30S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rpsH	PP_0468	Q88QM1	Small ribosomal subunit protein uS8 (30S ribosomal protein S8)	bacterial_30s_ribosomal_subunit	Bacterial 30S ribosomal subunit proteins	bacterial_30s_ribosomal_subunit_boundary	NEW_SUBMODULE	Small-subunit ribosomal proteins; curate as 30S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rplF	PP_0469	Q88QM0	Large ribosomal subunit protein uL6 (50S ribosomal protein L6)	bacterial_50s_ribosomal_subunit	Bacterial 50S ribosomal subunit proteins	bacterial_50s_ribosomal_subunit_boundary	NEW_SUBMODULE	Large-subunit ribosomal proteins; curate as 50S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rplR	PP_0470	Q88QL9	Large ribosomal subunit protein uL18 (50S ribosomal protein L18)	bacterial_50s_ribosomal_subunit	Bacterial 50S ribosomal subunit proteins	bacterial_50s_ribosomal_subunit_boundary	NEW_SUBMODULE	Large-subunit ribosomal proteins; curate as 50S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rpsE	PP_0471	Q88QL8	Small ribosomal subunit protein uS5 (30S ribosomal protein S5)	bacterial_30s_ribosomal_subunit	Bacterial 30S ribosomal subunit proteins	bacterial_30s_ribosomal_subunit_boundary	NEW_SUBMODULE	Small-subunit ribosomal proteins; curate as 30S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rpmD	PP_0472	Q88QL7	Large ribosomal subunit protein uL30 (50S ribosomal protein L30)	bacterial_50s_ribosomal_subunit	Bacterial 50S ribosomal subunit proteins	bacterial_50s_ribosomal_subunit_boundary	NEW_SUBMODULE	Large-subunit ribosomal proteins; curate as 50S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rplO	PP_0473	Q88QL6	Large ribosomal subunit protein uL15 (50S ribosomal protein L15)	bacterial_50s_ribosomal_subunit	Bacterial 50S ribosomal subunit proteins	bacterial_50s_ribosomal_subunit_boundary	NEW_SUBMODULE	Large-subunit ribosomal proteins; curate as 50S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rpmJ	PP_0475	P61113	Large ribosomal subunit protein bL36 (50S ribosomal protein L36)	bacterial_50s_ribosomal_subunit	Bacterial 50S ribosomal subunit proteins	bacterial_50s_ribosomal_subunit_boundary	NEW_SUBMODULE	Large-subunit ribosomal proteins; curate as 50S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rpsM	PP_0476	Q88QL3	Small ribosomal subunit protein uS13 (30S ribosomal protein S13)	bacterial_30s_ribosomal_subunit	Bacterial 30S ribosomal subunit proteins	bacterial_30s_ribosomal_subunit_boundary	NEW_SUBMODULE	Small-subunit ribosomal proteins; curate as 30S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rpsK	PP_0477	P59374	Small ribosomal subunit protein uS11 (30S ribosomal protein S11)	bacterial_30s_ribosomal_subunit	Bacterial 30S ribosomal subunit proteins	bacterial_30s_ribosomal_subunit_boundary	NEW_SUBMODULE	Small-subunit ribosomal proteins; curate as 30S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
rpsD	PP_0478	Q88QL2	Small ribosomal subunit protein uS4 (30S ribosomal protein S4)	bacterial_30s_ribosomal_subunit	Bacterial 30S ribosomal subunit proteins	bacterial_30s_ribosomal_subunit_boundary	NEW_SUBMODULE	Small-subunit ribosomal proteins; curate as 30S subunit/rRNA-binding/translation contributors.	PRESENT	CURATED	PRESENT
