gene	ordered_locus	uniprot_accession	protein_name	ec_numbers	go_ids	interpro_ids	pfam_ids	panther_ids	keywords	partition_bucket	partition_label	proposed_module	recommended_action	bucket_status	notes	review_status	curation_status	asta_research_status
rnpA	PP_0008	P0A167	Ribonuclease P protein component (RNase P protein) (RNaseP protein) (EC 3.1.26.5) (Protein C5)	3.1.26.5	GO:0000049; GO:0001682; GO:0004526; GO:0030677; GO:0042781	IPR020568;IPR014721;IPR000100;IPR020539;	PF00825;	PTHR33992;PTHR33992:SF1;	Endonuclease;Hydrolase;Nuclease;Reference proteome;RNA-binding;tRNA processing	ribonuclease_rna_decay_processing_helicases	Ribonucleases, RNA decay/processing, and RNA helicases	rna_decay_processing_boundary	NEW_SUBMODULE	COMPLETE	RNase P/G/T/Z/D/PH, YbeY, DEAD-box RNA helicases, and RraA-like ribonuclease-regulator spillovers. Separate catalytic nuclease/helicase roles from rRNA/tRNA/ribosome-assembly process context.	PRESENT	CURATED	PRESENT
rng	PP_0937	Q88PB3	Endoribonuclease G (RNAse G) (EC 3.1.26.-)	3.1.26.-	GO:0003723; GO:0004540; GO:0005737; GO:0006364; GO:0016787; GO:0046872	IPR012340;IPR019307;IPR004659;IPR003029;	PF10150;PF00575;	PTHR30001;PTHR30001:SF0;	Hydrolase;Magnesium;Metal-binding;Reference proteome;RNA-binding	ribonuclease_rna_decay_processing_helicases	Ribonucleases, RNA decay/processing, and RNA helicases	rna_decay_processing_boundary	NEW_SUBMODULE	COMPLETE	RNase P/G/T/Z/D/PH, YbeY, DEAD-box RNA helicases, and RraA-like ribonuclease-regulator spillovers. Separate catalytic nuclease/helicase roles from rRNA/tRNA/ribosome-assembly process context.	PRESENT	CURATED	PRESENT
rnt	PP_1085	Q88NW8	Ribonuclease T (EC 3.1.13.-) (Exoribonuclease T) (RNase T)	3.1.13.-	GO:0000287; GO:0003676; GO:0005829; GO:0008033; GO:0008408; GO:0016896; GO:0045004	IPR013520;IPR005987;IPR012337;IPR036397;	PF00929;	PTHR30231;PTHR30231:SF2;	Exonuclease;Hydrolase;Magnesium;Metal-binding;Nuclease;Reference proteome;tRNA processing	ribonuclease_rna_decay_processing_helicases	Ribonucleases, RNA decay/processing, and RNA helicases	rna_decay_processing_boundary	NEW_SUBMODULE	COMPLETE	RNase P/G/T/Z/D/PH, YbeY, DEAD-box RNA helicases, and RraA-like ribonuclease-regulator spillovers. Separate catalytic nuclease/helicase roles from rRNA/tRNA/ribosome-assembly process context.	PRESENT	CURATED	PRESENT
PP_1840	PP_1840	Q88LT7	Regulator of ribonuclease activity B domain-containing protein			IPR036701;IPR009671;	PF06877;		Reference proteome	ribonuclease_rna_decay_processing_helicases	Ribonucleases, RNA decay/processing, and RNA helicases	rna_decay_processing_boundary	NEW_SUBMODULE	COMPLETE	RNase P/G/T/Z/D/PH, YbeY, DEAD-box RNA helicases, and RraA-like ribonuclease-regulator spillovers. Separate catalytic nuclease/helicase roles from rRNA/tRNA/ribosome-assembly process context.	PRESENT	CURATED	PRESENT
PP_2084	PP_2084	Q88L51	Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase (HMG aldolase) (EC 4.1.3.17) (Oxaloacetate decarboxylase) (OAA decarboxylase) (EC 4.1.1.112) (Regulator of ribonuclease activity homolog) (RraA-like protein)	4.1.1.112; 4.1.3.17	GO:0008428; GO:0008948; GO:0046872; GO:0047443; GO:0051252	IPR010203;IPR005493;IPR036704;	PF03737;	PTHR33254;PTHR33254:SF29;	Lyase;Metal-binding;Reference proteome	ribonuclease_rna_decay_processing_helicases	Ribonucleases, RNA decay/processing, and RNA helicases	rna_decay_processing_boundary	NEW_SUBMODULE	COMPLETE	RNase P/G/T/Z/D/PH, YbeY, DEAD-box RNA helicases, and RraA-like ribonuclease-regulator spillovers. Separate catalytic nuclease/helicase roles from rRNA/tRNA/ribosome-assembly process context.	PRESENT	CURATED	PRESENT
rnz	PP_4033	Q88FQ4	Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z)	3.1.26.11	GO:0008270; GO:0042781	IPR036866;IPR013471;	PF23023;	PTHR46018;PTHR46018:SF2;	Endonuclease;Hydrolase;Metal-binding;Nuclease;Reference proteome;tRNA processing;Zinc	ribonuclease_rna_decay_processing_helicases	Ribonucleases, RNA decay/processing, and RNA helicases	rna_decay_processing_boundary	NEW_SUBMODULE	COMPLETE	RNase P/G/T/Z/D/PH, YbeY, DEAD-box RNA helicases, and RraA-like ribonuclease-regulator spillovers. Separate catalytic nuclease/helicase roles from rRNA/tRNA/ribosome-assembly process context.	PRESENT	CURATED	PRESENT
PP_4462	PP_4462	Q88EK0	Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase (Regulator of ribonuclease activity homolog) (RraA-like protein)		GO:0016829; GO:0046872	IPR005493;IPR036704;	PF03737;	PTHR33254;PTHR33254:SF4;	Lyase;Magnesium;Metal-binding;Reference proteome	ribonuclease_rna_decay_processing_helicases	Ribonucleases, RNA decay/processing, and RNA helicases	rna_decay_processing_boundary	NEW_SUBMODULE	COMPLETE	RNase P/G/T/Z/D/PH, YbeY, DEAD-box RNA helicases, and RraA-like ribonuclease-regulator spillovers. Separate catalytic nuclease/helicase roles from rRNA/tRNA/ribosome-assembly process context.	PRESENT	CURATED	PRESENT
srmB	PP_4532	Q88ED3	ATP-dependent DEAD-box RNA helicase require for 50S ribosomal subunit biogenesis (EC 2.7.7.-)	2.7.7.-	GO:0003676; GO:0003724; GO:0005524; GO:0005829; GO:0016779; GO:0016787	IPR011545;IPR044742;IPR050079;IPR014001;IPR001650;IPR027417;IPR000629;IPR014014;	PF00270;PF00271;	PTHR47959;PTHR47959:SF3;	ATP-binding;Helicase;Hydrolase;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Transferase	ribonuclease_rna_decay_processing_helicases	Ribonucleases, RNA decay/processing, and RNA helicases	rna_decay_processing_boundary	NEW_SUBMODULE	COMPLETE	RNase P/G/T/Z/D/PH, YbeY, DEAD-box RNA helicases, and RraA-like ribonuclease-regulator spillovers. Separate catalytic nuclease/helicase roles from rRNA/tRNA/ribosome-assembly process context.	PRESENT	CURATED	PRESENT
rnd	PP_4591	Q88E75	Ribonuclease D (RNase D) (EC 3.1.13.5)	3.1.13.5	GO:0000166; GO:0003676; GO:0005737; GO:0008408; GO:0033890; GO:0042780	IPR002562;IPR010997;IPR002121;IPR044876;IPR006292;IPR051086;IPR012337;IPR036397;	PF01612;PF00570;	PTHR47649;PTHR47649:SF1;	Cytoplasm;Exonuclease;Hydrolase;Nuclease;Reference proteome;tRNA processing	ribonuclease_rna_decay_processing_helicases	Ribonucleases, RNA decay/processing, and RNA helicases	rna_decay_processing_boundary	NEW_SUBMODULE	COMPLETE	RNase P/G/T/Z/D/PH, YbeY, DEAD-box RNA helicases, and RraA-like ribonuclease-regulator spillovers. Separate catalytic nuclease/helicase roles from rRNA/tRNA/ribosome-assembly process context.	PRESENT	CURATED	PRESENT
PP_4720	PP_4720	Q88DU9	RNA binding protein		GO:0003723	IPR001890;IPR051925;IPR017924;IPR035920;	PF01985;	PTHR40065;PTHR40065:SF3;	Reference proteome;RNA-binding	ribonuclease_rna_decay_processing_helicases	Ribonucleases, RNA decay/processing, and RNA helicases	rna_decay_processing_boundary	NEW_SUBMODULE	COMPLETE	RNase P/G/T/Z/D/PH, YbeY, DEAD-box RNA helicases, and RraA-like ribonuclease-regulator spillovers. Separate catalytic nuclease/helicase roles from rRNA/tRNA/ribosome-assembly process context.	PRESENT	CURATED	PRESENT
