gene	ordered_locus	uniprot_accession	protein_name	partition_bucket	partition_label	proposed_module	recommended_action	bucket_status	notes	review_status	curation_status	asta_research_status
PP_0608	PP_0608	Q88Q87	Type 4 fimbrial biogenesis protein	type_iv_pilus_biogenesis_boundary	Type IV pilus biogenesis and assembly	type_iv_pilus_biogenesis_boundary	NEW_SUBMODULE	CURATED	Type IV pilus assembly, alignment, outer-membrane secretin, and envelope platform candidates curated as a dedicated T4P biogenesis boundary rather than as generic motility.	PRESENT	CURATED	PRESENT
PP_0609	PP_0609	Q88Q86	Pilus assembly protein PilW	type_iv_pilus_biogenesis_boundary	Type IV pilus biogenesis and assembly	type_iv_pilus_biogenesis_boundary	NEW_SUBMODULE	CURATED	Type IV pilus assembly, alignment, outer-membrane secretin, and envelope platform candidates curated as a dedicated T4P biogenesis boundary rather than as generic motility.	PRESENT	CURATED	PRESENT
PP_0610	PP_0610	Q88Q85	Type IV pilus assembly protein PilX	type_iv_pilus_biogenesis_boundary	Type IV pilus biogenesis and assembly	type_iv_pilus_biogenesis_boundary	NEW_SUBMODULE	CURATED	Type IV pilus assembly, alignment, outer-membrane secretin, and envelope platform candidates curated as a dedicated T4P biogenesis boundary rather than as generic motility.	PRESENT	CURATED	PRESENT
pilE	PP_0611	Q88Q84	Type IV pili biogenesis protein PilE	type_iv_pilus_biogenesis_boundary	Type IV pilus biogenesis and assembly	type_iv_pilus_biogenesis_boundary	NEW_SUBMODULE	CURATED	Type IV pilus assembly, alignment, outer-membrane secretin, and envelope platform candidates curated as a dedicated T4P biogenesis boundary rather than as generic motility.	PRESENT	CURATED	PRESENT
pilC	PP_0633	Q88Q63	Type 4 fimbrial assembly protein PilC	type_iv_pilus_biogenesis_boundary	Type IV pilus biogenesis and assembly	type_iv_pilus_biogenesis_boundary	NEW_SUBMODULE	CURATED	Type IV pilus assembly, alignment, outer-membrane secretin, and envelope platform candidates curated as a dedicated T4P biogenesis boundary rather than as generic motility.	PRESENT	CURATED	PRESENT
PP_0655	PP_0655	Q88Q43	Fimbrial protein-related protein	hcp_t6ss_product_name_spillover	Hcp/T6SS product-name spillover	bacterial_secretion_system_boundary	EXISTING_OR_REUSE	CURATED	PP_0655 enters the motility bucket through a generic fimbrial-protein-related product name, but Hcp1-like/T6SS_Hcp domains route it to the bacterial secretion-system boundary.	PRESENT	CURATED	PRESENT
ycfJ	PP_0837	Q88PL3	Regulator of flagellation	outer_membrane_flagellation_name_spillover	Outer-membrane flagellation-name spillover	transport_envelope_spillover_boundary	EXISTING_OR_REUSE	CURATED	ycfJ entered through a regulator-of-flagellation product name, but outer-membrane lipoprotein/surface-antigen-family evidence routes it to transport/envelope spillover context.	PRESENT	CURATED	PRESENT
pilF	PP_0851	Q88PJ9	Type IV pili biogenesis protein PilF	type_iv_pilus_biogenesis_boundary	Type IV pilus biogenesis and assembly	type_iv_pilus_biogenesis_boundary	NEW_SUBMODULE	CURATED	Type IV pilus assembly, alignment, outer-membrane secretin, and envelope platform candidates curated as a dedicated T4P biogenesis boundary rather than as generic motility.	PRESENT	CURATED	PRESENT
glmP	PP_1065	Q88NY8	Membrane protein required for efficient alginate biosynthesis	alginate_envelope_and_lyase_context	Alginate envelope/export and lyase context	alginate_biosynthesis_boundary	EXISTING_OR_REUSE	CURATED	Alginate-biosynthesis efficiency, export-domain, and alginate-lyase-domain side candidates curated into the existing alginate biosynthesis boundary as context rather than generic motility genes.	PRESENT	CURATED	PRESENT
PP_1754	PP_1754	Q88M21	Alginate lyase domain-containing protein	alginate_envelope_and_lyase_context	Alginate envelope/export and lyase context	alginate_biosynthesis_boundary	EXISTING_OR_REUSE	CURATED	Alginate-biosynthesis efficiency, export-domain, and alginate-lyase-domain side candidates curated into the existing alginate biosynthesis boundary as context rather than generic motility genes.	PRESENT	CURATED	PRESENT
PP_1888	PP_1888	Q88LP1	Fimbrial protein	fimbrial_type1_surface_adhesion_extension	Fimbrial/type-I-pilus surface adhesion extension	pili_surface_adhesion_boundary	EXISTING_OR_REUSE	CURATED	Fimbrial structural/subunit candidates adjacent to the already curated FimD/PP_1890 chaperone-usher pair; extend or reuse the existing pili/surface-adhesion boundary.	PRESENT	CURATED	PRESENT
fimI	PP_1891	Q88LN8	Type 1 pili subunit FimI	fimbrial_type1_surface_adhesion_extension	Fimbrial/type-I-pilus surface adhesion extension	pili_surface_adhesion_boundary	EXISTING_OR_REUSE	CURATED	Fimbrial structural/subunit candidates adjacent to the already curated FimD/PP_1890 chaperone-usher pair; extend or reuse the existing pili/surface-adhesion boundary.	PRESENT	CURATED	PRESENT
PP_2310	PP_2310	Q88KI0	Methyl-accepting chemotaxis transducer	orphan_mcp_chemotaxis_receptor_candidates	Orphan MCP chemotaxis receptor candidates	orphan_mcp_aerotaxis_receptors_boundary	EXISTING_OR_REUSE	CURATED	Methyl-accepting chemotaxis transducer candidates with unresolved ligand specificity; curated into the orphan MCP/aerotaxis receptor boundary.	PRESENT	CURATED	PRESENT
PP_2403	PP_2403	Q88K88	Chemotaxis protein CheY	dna_binding_response_regulator_spillover	DNA-binding response-regulator spillover	orphan_two_component_regulators_boundary	EXISTING_OR_REUSE	CURATED	PP_2403 entered through a CheY-like product name, but OmpR/PhoB DNA-binding response-regulator evidence routes it to the orphan/generic two-component-regulator boundary.	PRESENT	CURATED	PRESENT
