scope_decision	gene	ordered_locus	uniprot_accession	module_role	review_status	openscientist_status	review_file	research_file	rationale
COVERED_CORE	ureD	PP_2842	Q88J07	apo-urease activation scaffold	CURATED	NOT_COMPLETED	genes/PSEPK/ureD/ureD-ai-review.yaml	-	Conserved UreD scaffold; direct KT2440 activation assay absent
COVERED_CORE	ureA	PP_2843	Q88J06	gamma structural subunit of apo/mature UreABC	CURATED	NOT_COMPLETED	genes/PSEPK/ureA/ureA-ai-review.yaml	-	Contributes to complex activity; does not carry the nickel site
COVERED_CORE	ureB	PP_2844	Q88J05	beta structural subunit of apo/mature UreABC	CURATED	NOT_COMPLETED	genes/PSEPK/ureB/ureB-ai-review.yaml	-	Contributes to complex activity and is explicitly part of urease complex
COVERED_CORE	ureC	PP_2845	Q88J04	alpha catalytic subunit of apo/mature UreABC	CURATED	NOT_COMPLETED	genes/PSEPK/ureC/ureC-ai-review.yaml	-	Supplies the carbamylated dinickel catalytic center
COVERED_CORE	ureE	PP_2846	Q88J03	nickel metallochaperone	CURATED	NOT_COMPLETED	genes/PSEPK/ureE/ureE-ai-review.yaml	-	Nickel donor; generic protein-folding mappings rejected
OUT_OF_SCOPE	ureJ	PP_2847	Q88J02	locus-associated membrane accessory protein	NOT_SELECTED	NOT_RUN	-	-	Not one of the requested UreA-G core roles; possible transport/accessory context requires separate review
COVERED_CORE	ureF	PP_2848	Q88J01	UreG recruitment and activation-fidelity checkpoint	CURATED	PRESENT	genes/PSEPK/ureF/ureF-ai-review.yaml	genes/PSEPK/ureF/ureF-deep-research-openscientist.md	Completed report integrated conservatively; direct UreF nickel binding is unsupported
COVERED_CORE	ureG	PP_2849	Q88J00	GTPase nickel metallochaperone	CURATED	NOT_COMPLETED	genes/PSEPK/ureG/ureG-ai-review.yaml	-	Couples GTP hydrolysis to productive metallocenter assembly
OUT_OF_SCOPE	PP_4302	PP_4302	Q88EZ8	general urea transport	NOT_SELECTED	NOT_RUN	-	-	Urea uptake is external to bounded urease biogenesis and hydrolysis
OUT_OF_SCOPE	urtABCDE	PP_4841-PP_4845	Q88DI4-Q88DI0	urea ABC uptake	NOT_SELECTED	NOT_RUN	-	-	General urea uptake is external to the core module
OUT_OF_SCOPE	ammonia_assimilation	-	-	downstream nitrogen assimilation	NOT_SELECTED	NOT_RUN	-	-	Released ammonia is a product; assimilation is a separate module
