gene	ordered_locus	uniprot_accession	protein_name	partition_bucket	partition_label	proposed_module	recommended_action	notes	review_status	curation_status	asta_research_status
engB	PP_0124	Q88RK5	Probable GTP-binding protein EngB	divisome_z_ring_and_septation_boundary	Divisome, Z-ring, and septation boundary	divisome_z_ring_septation_boundary	COMPLETED_SUBMODULE	FtsZ/FtsA/ZipA/FtsQLB/DedD/Zap proteins and EngB-like septation context; first-pass reviews and a boundary module are complete.	PRESENT	CURATED	PRESENT
PP_1309	PP_1309	Q88NA3	Z-ring associated protein G (Cell division protein ZapG)	divisome_z_ring_and_septation_boundary	Divisome, Z-ring, and septation boundary	divisome_z_ring_septation_boundary	COMPLETED_SUBMODULE	FtsZ/FtsA/ZipA/FtsQLB/DedD/Zap proteins and EngB-like septation context; first-pass reviews and a boundary module are complete.	PRESENT	CURATED	PRESENT
zapE	PP_1312	Q88NA0	Cell division protein ZapE (Z ring-associated protein ZapE)	divisome_z_ring_and_septation_boundary	Divisome, Z-ring, and septation boundary	divisome_z_ring_septation_boundary	COMPLETED_SUBMODULE	FtsZ/FtsA/ZipA/FtsQLB/DedD/Zap proteins and EngB-like septation context; first-pass reviews and a boundary module are complete.	PRESENT	CURATED	PRESENT
ftsL	PP_1330	Q88N83	Cell division protein FtsL	divisome_z_ring_and_septation_boundary	Divisome, Z-ring, and septation boundary	divisome_z_ring_septation_boundary	COMPLETED_SUBMODULE	FtsZ/FtsA/ZipA/FtsQLB/DedD/Zap proteins and EngB-like septation context; first-pass reviews and a boundary module are complete.	PRESENT	CURATED	PRESENT
ftsQ	PP_1340	Q88N73	Cell division protein FtsQ	divisome_z_ring_and_septation_boundary	Divisome, Z-ring, and septation boundary	divisome_z_ring_septation_boundary	COMPLETED_SUBMODULE	FtsZ/FtsA/ZipA/FtsQLB/DedD/Zap proteins and EngB-like septation context; first-pass reviews and a boundary module are complete.	PRESENT	CURATED	PRESENT
ftsA	PP_1341	Q88N72	Cell division protein FtsA	divisome_z_ring_and_septation_boundary	Divisome, Z-ring, and septation boundary	divisome_z_ring_septation_boundary	COMPLETED_SUBMODULE	FtsZ/FtsA/ZipA/FtsQLB/DedD/Zap proteins and EngB-like septation context; first-pass reviews and a boundary module are complete.	PRESENT	CURATED	PRESENT
ftsZ	PP_1342	Q59692	Cell division protein FtsZ	divisome_z_ring_and_septation_boundary	Divisome, Z-ring, and septation boundary	divisome_z_ring_septation_boundary	COMPLETED_SUBMODULE	FtsZ/FtsA/ZipA/FtsQLB/DedD/Zap proteins and EngB-like septation context; first-pass reviews and a boundary module are complete.	PRESENT	CURATED	PRESENT
ftsB	PP_1613	Q88MF8	Cell division protein FtsB	divisome_z_ring_and_septation_boundary	Divisome, Z-ring, and septation boundary	divisome_z_ring_septation_boundary	COMPLETED_SUBMODULE	FtsZ/FtsA/ZipA/FtsQLB/DedD/Zap proteins and EngB-like septation context; first-pass reviews and a boundary module are complete.	PRESENT	CURATED	PRESENT
dedD	PP_1998	Q88LD7	Cell division protein	divisome_z_ring_and_septation_boundary	Divisome, Z-ring, and septation boundary	divisome_z_ring_septation_boundary	COMPLETED_SUBMODULE	FtsZ/FtsA/ZipA/FtsQLB/DedD/Zap proteins and EngB-like septation context; first-pass reviews and a boundary module are complete.	PRESENT	CURATED	PRESENT
zipA	PP_4275	Q88F24	Cell division protein ZipA	divisome_z_ring_and_septation_boundary	Divisome, Z-ring, and septation boundary	divisome_z_ring_septation_boundary	COMPLETED_SUBMODULE	FtsZ/FtsA/ZipA/FtsQLB/DedD/Zap proteins and EngB-like septation context; first-pass reviews and a boundary module are complete.	PRESENT	CURATED	PRESENT
PP_5090	PP_5090	Q88CU0	Cell division protein	divisome_z_ring_and_septation_boundary	Divisome, Z-ring, and septation boundary	divisome_z_ring_septation_boundary	COMPLETED_SUBMODULE	FtsZ/FtsA/ZipA/FtsQLB/DedD/Zap proteins and EngB-like septation context; first-pass reviews and a boundary module are complete.	PRESENT	CURATED	PRESENT
PP_5202	PP_5202	Q88CH9	Cell division protein ZapA (Z ring-associated protein ZapA)	divisome_z_ring_and_septation_boundary	Divisome, Z-ring, and septation boundary	divisome_z_ring_septation_boundary	COMPLETED_SUBMODULE	FtsZ/FtsA/ZipA/FtsQLB/DedD/Zap proteins and EngB-like septation context; first-pass reviews and a boundary module are complete.	PRESENT	CURATED	PRESENT
