suggested_review_name	ordered_locus	uniprot_accession	entry_name	primary_gene	all_gene_names	protein_name	reviewed	annotation_score	ec_numbers	go_ids	primary_bucket_id	primary_bucket_label	is_primary_for_pathway	membership_source	membership_pathway_id	membership_pathway_name	gene_dir	review_status	review_file	curation_status	asta_research_status	asta_research_file
PP_0906	PP_0906	Q88PE4	Q88PE4_PSEPK	PP_0906	PP_0906	Multidrug efflux RND transporter	unreviewed	1.0		GO:0005886; GO:0042910	kegg:ppu01501	beta-Lactam resistance	true	KEGG	ppu01501	beta-Lactam resistance	genes/PSEPK/PP_0906	PRESENT	genes/PSEPK/PP_0906/PP_0906-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/PP_0906/PP_0906-deep-research-asta.md
PP_0907	PP_0907	Q88PE3	Q88PE3_PSEPK	PP_0907	PP_0907	RND efflux membrane fusion protein-related protein	unreviewed	1.0		GO:0015562; GO:0030313; GO:1990281	kegg:ppu01501	beta-Lactam resistance	true	KEGG	ppu01501	beta-Lactam resistance	genes/PSEPK/PP_0907	PRESENT	genes/PSEPK/PP_0907/PP_0907-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/PP_0907/PP_0907-deep-research-asta.md
oprD	PP_1206	Q88NK1	Q88NK1_PSEPK	oprD	oprD PP_1206	Basic-amino-acid specific porin OprD (EC 3.4.21.-)	unreviewed	1.0	3.4.21.-	GO:0015288; GO:0016020; GO:0016787	kegg:ppu01501	beta-Lactam resistance	true	KEGG	ppu01501	beta-Lactam resistance	genes/PSEPK/oprD	PRESENT	genes/PSEPK/oprD/oprD-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/oprD/oprD-deep-research-asta.md
PP_1263	PP_1263	Q88NE9	Q88NE9_PSEPK	PP_1263	PP_1263	Fusaric acid resistance protein	unreviewed	1.0		GO:0009279; GO:0015562	kegg:ppu01501	beta-Lactam resistance	true	KEGG	ppu01501	beta-Lactam resistance	genes/PSEPK/PP_1263	PRESENT	genes/PSEPK/PP_1263/PP_1263-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/PP_1263/PP_1263-deep-research-asta.md
ftsI	PP_1331	Q88N82	Q88N82_PSEPK	ftsI	ftsI PP_1331	Peptidoglycan D,D-transpeptidase FtsI (EC 3.4.16.4) (Penicillin-binding protein 3) (PBP-3)	unreviewed	3.0	3.4.16.4	GO:0000917; GO:0005886; GO:0006508; GO:0008360; GO:0008658; GO:0008955; GO:0009002; GO:0009252; GO:0043093; GO:0071555	kegg:ppu01501	beta-Lactam resistance	true	KEGG	ppu01501	beta-Lactam resistance	genes/PSEPK/ftsI	PRESENT	genes/PSEPK/ftsI/ftsI-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/ftsI/ftsI-deep-research-asta.md
ampG	PP_1355	Q88N61	Q88N61_PSEPK	ampG	ampG PP_1355	Muropeptide permease AmpG	unreviewed	1.0		GO:0016020; GO:0022857	kegg:ppu01501	beta-Lactam resistance	true	KEGG	ppu01501	beta-Lactam resistance	genes/PSEPK/ampG	PRESENT	genes/PSEPK/ampG/ampG-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/ampG/ampG-deep-research-asta.md
ttgC	PP_1384	Q88N32	TTGC_PSEPK	ttgC	ttgC PP_1384	Probable efflux pump outer membrane protein TtgC	reviewed	2.0		GO:0009279; GO:0015562	kegg:ppu01501	beta-Lactam resistance	true	KEGG	ppu01501	beta-Lactam resistance	genes/PSEPK/ttgC	PRESENT	genes/PSEPK/ttgC/ttgC-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/ttgC/ttgC-deep-research-asta.md
ttgB	PP_1385	Q88N31	TTGB_PSEPK	ttgB	ttgB PP_1385	Probable efflux pump membrane transporter TtgB	reviewed	2.0		GO:0005886; GO:0009636; GO:0015562; GO:0042910	kegg:ppu01501	beta-Lactam resistance	true	KEGG	ppu01501	beta-Lactam resistance	genes/PSEPK/ttgB	PRESENT	genes/PSEPK/ttgB/ttgB-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/ttgB/ttgB-deep-research-asta.md
ttgA	PP_1386	Q88N30	TTGA_PSEPK	ttgA	ttgA PP_1386	Probable efflux pump periplasmic linker TtgA	reviewed	3.0		GO:0005886; GO:0009636; GO:0022857; GO:0042908; GO:0046677	kegg:ppu01501	beta-Lactam resistance	true	KEGG	ppu01501	beta-Lactam resistance	genes/PSEPK/ttgA	PRESENT	genes/PSEPK/ttgA/ttgA-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/ttgA/ttgA-deep-research-asta.md
PP_1798	PP_1798	Q88LX9	Q88LX9_PSEPK	PP_1798	PP_1798	Outer membrane efflux protein	unreviewed	1.0		GO:0009279; GO:0015288; GO:0015562; GO:1990281	kegg:ppu01501	beta-Lactam resistance	true	KEGG	ppu01501	beta-Lactam resistance	genes/PSEPK/PP_1798	PRESENT	genes/PSEPK/PP_1798/PP_1798-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/PP_1798/PP_1798-deep-research-asta.md
