gene	ordered_locus	uniprot_accession	protein_name	partition_bucket	partition_label	proposed_module	recommended_action	notes	review_status	curation_status	asta_research_status
PP_0152	PP_0152	Q88RH7	Holliday junction resolvasome, helicase subunit	repair_helicase_recombination_core	DNA repair helicases, recombination, and double-strand break candidates	bacterial_homologous_recombination	REUSE_OR_EXTEND_EXISTING	Lhr/DinG/SNF2/Rep-family helicases, SbcCD, RadA, RecN, RdgC, HerA-like, and other repair/recombination candidates adjacent to existing homologous-recombination modules.	PRESENT	CURATED	PRESENT
PP_1061	PP_1061	Q88NZ2	ATP-dependent DNA helicase lhr	repair_helicase_recombination_core	DNA repair helicases, recombination, and double-strand break candidates	bacterial_homologous_recombination	REUSE_OR_EXTEND_EXISTING	Lhr/DinG/SNF2/Rep-family helicases, SbcCD, RadA, RecN, RdgC, HerA-like, and other repair/recombination candidates adjacent to existing homologous-recombination modules.	PRESENT	CURATED	PRESENT
PP_1103	PP_1103	Q88NV1	ATP-dependent helicase Lhr-Core (Lhr-Core) (EC 5.6.2.-) (EC 5.6.2.4) (DNA and RNA:DNA 3'-5' helicase Lhr-Core)	repair_helicase_recombination_core	DNA repair helicases, recombination, and double-strand break candidates	bacterial_homologous_recombination	REUSE_OR_EXTEND_EXISTING	Lhr/DinG/SNF2/Rep-family helicases, SbcCD, RadA, RecN, RdgC, HerA-like, and other repair/recombination candidates adjacent to existing homologous-recombination modules.	PRESENT	CURATED	PRESENT
PP_1106	PP_1106	Q88NU8	DNA ligase-associated DEXH box helicase	repair_helicase_recombination_core	DNA repair helicases, recombination, and double-strand break candidates	bacterial_homologous_recombination	REUSE_OR_EXTEND_EXISTING	Lhr/DinG/SNF2/Rep-family helicases, SbcCD, RadA, RecN, RdgC, HerA-like, and other repair/recombination candidates adjacent to existing homologous-recombination modules.	PRESENT	CURATED	PRESENT
dinG	PP_1125	Q88NS9	ATP-dependent DNA helicase DinG (EC 5.6.2.3) (DNA 5'-3' helicase DinG)	repair_helicase_recombination_core	DNA repair helicases, recombination, and double-strand break candidates	bacterial_homologous_recombination	REUSE_OR_EXTEND_EXISTING	Lhr/DinG/SNF2/Rep-family helicases, SbcCD, RadA, RecN, RdgC, HerA-like, and other repair/recombination candidates adjacent to existing homologous-recombination modules.	PRESENT	CURATED	PRESENT
PP_1410	PP_1410	Q88N08	Helicase	repair_helicase_recombination_core	DNA repair helicases, recombination, and double-strand break candidates	bacterial_homologous_recombination	REUSE_OR_EXTEND_EXISTING	Lhr/DinG/SNF2/Rep-family helicases, SbcCD, RadA, RecN, RdgC, HerA-like, and other repair/recombination candidates adjacent to existing homologous-recombination modules.	PRESENT	CURATED	PRESENT
rdgC	PP_1702	Q88M72	Recombination-associated protein RdgC	repair_helicase_recombination_core	DNA repair helicases, recombination, and double-strand break candidates	bacterial_homologous_recombination	REUSE_OR_EXTEND_EXISTING	Lhr/DinG/SNF2/Rep-family helicases, SbcCD, RadA, RecN, RdgC, HerA-like, and other repair/recombination candidates adjacent to existing homologous-recombination modules.	PRESENT	CURATED	PRESENT
PP_1937	PP_1937	Q88LJ4	Helicase	repair_helicase_recombination_core	DNA repair helicases, recombination, and double-strand break candidates	bacterial_homologous_recombination	REUSE_OR_EXTEND_EXISTING	Lhr/DinG/SNF2/Rep-family helicases, SbcCD, RadA, RecN, RdgC, HerA-like, and other repair/recombination candidates adjacent to existing homologous-recombination modules.	PRESENT	CURATED	PRESENT
sbcC	PP_2024	Q88LB1	Nuclease SbcCD subunit C	repair_helicase_recombination_core	DNA repair helicases, recombination, and double-strand break candidates	bacterial_homologous_recombination	REUSE_OR_EXTEND_EXISTING	Lhr/DinG/SNF2/Rep-family helicases, SbcCD, RadA, RecN, RdgC, HerA-like, and other repair/recombination candidates adjacent to existing homologous-recombination modules.	PRESENT	CURATED	PRESENT
sbcD	PP_2025	Q88LB0	Nuclease SbcCD subunit D	repair_helicase_recombination_core	DNA repair helicases, recombination, and double-strand break candidates	bacterial_homologous_recombination	REUSE_OR_EXTEND_EXISTING	Lhr/DinG/SNF2/Rep-family helicases, SbcCD, RadA, RecN, RdgC, HerA-like, and other repair/recombination candidates adjacent to existing homologous-recombination modules.	PRESENT	CURATED	PRESENT
