gene	locus	uniprot	role	status
PP_3088	PP_3088	Q88IB1	TssA1 assembly coordinator	CURATED
PP_3089	PP_3089	Q88IB0	Hcp1/TssD1 inner tube	CURATED
PP_3090	PP_3090	Q88IA9	TagP1 accessory stabilizer	CURATED
PP_5561	PP_5561	A0A140FWB4	TagF1 post-translational regulator	CURATED
PP_3091	PP_3091	Q88IA8	TssM1 membrane complex	CURATED
PP_3092	PP_3092	Q88IA7	TssL1 membrane complex	CURATED
PP_3093	PP_3093	Q88IA6	TssK1 baseplate connector	CURATED
PP_3094	PP_3094	Q88IA5	TssJ1 membrane-complex lipoprotein	CURATED
clpV	PP_3095	Q88IA4	ClpV1/TssH1 sheath recycling	CURATED
PP_3096	PP_3096	Q88IA3	TssG1 baseplate	CURATED
PP_3097	PP_3097	Q88IA2	TssF1 baseplate	CURATED
PP_3098	PP_3098	Q88IA1	TssE1 baseplate	CURATED
puuD	PP_3099	Q88IA0	TssC1 sheath; not urate oxidase	CURATED
PP_3100	PP_3100	Q88I99	TssB1 sheath	CURATED
PP_5562	PP_5562	A0A140FWB5	TagB1 accessory stabilizer	CURATED
PP_3106	PP_3106	Q88I93	VgrG1 conserved puncturing tip	CURATED
