gene	ordered_locus	uniprot_accession	protein_name	ec_numbers	go_ids	interpro_ids	pfam_ids	panther_ids	keywords	partition_bucket	partition_label	proposed_module	recommended_action	bucket_status	notes	review_status	curation_status	asta_research_status
prlC	PP_0096	Q88RN3	oligopeptidase A (EC 3.4.24.70)	3.4.24.70	GO:0004222; GO:0005829; GO:0006508; GO:0006518; GO:0046872	IPR034005;IPR024079;IPR024077;IPR045666;IPR045090;IPR001567;	PF01432;PF19310;	PTHR11804;PTHR11804:SF84;	Hydrolase;Metal-binding;Metalloprotease;Protease;Reference proteome;Zinc	peptide_processing_aminopeptidases	Peptide processing and aminopeptidases	protein_turnover_peptide_processing_boundary	NEW_SUBMODULE	QUEUED	Oligopeptidase, methionine aminopeptidase, Xaa-Pro aminopeptidase, M20/M42/M24-family peptidases, and related cytosolic peptide-turnover enzymes. Curate enzyme-level activities where supported and keep broad proteolysis as process context.	PRESENT	CURATED	PRESENT
qmcA	PP_0199	Q88RD3	Membrane protease family, stomatin		GO:0005886; GO:0006508; GO:0008233; GO:0098552	IPR043202;IPR001107;IPR036013;IPR001972;	PF01145;	PTHR10264:SF19;PTHR10264;	Hydrolase;Protease;Reference proteome	periplasmic_membrane_secreted_protease_qc	Periplasmic, membrane, and secreted protease quality-control context	envelope_protease_quality_control_boundary	NEW_OR_REUSE_BOUNDARY	QUEUED	Membrane M48, beta-barrel assembly-enhancing protease, subtilase, M16 zinc protease/processin peptidase, and other envelope or exported protease candidates. Use signal peptide/membrane context and domain evidence; leave substrates unresolved unless supported.	PRESENT	CURATED	PRESENT
PP_0203	PP_0203	Q88RC9	Dipeptidase		GO:0006508; GO:0006526; GO:0008237; GO:0008270; GO:0008777; GO:0016805	IPR036264;IPR010964;IPR002933;IPR011650;IPR050072;	PF07687;PF01546;	PTHR43808;PTHR43808:SF31;	Cobalt;Dipeptidase;Hydrolase;Metal-binding;Metalloprotease;Protease;Reference proteome;Signal;Zinc	peptide_processing_aminopeptidases	Peptide processing and aminopeptidases	protein_turnover_peptide_processing_boundary	NEW_SUBMODULE	QUEUED	Oligopeptidase, methionine aminopeptidase, Xaa-Pro aminopeptidase, M20/M42/M24-family peptidases, and related cytosolic peptide-turnover enzymes. Curate enzyme-level activities where supported and keep broad proteolysis as process context.	PRESENT	CURATED	PRESENT
hslO	PP_0252	Q88R81	33 kDa chaperonin (Heat shock protein 33 homolog) (HSP33)		GO:0005737; GO:0042026; GO:0044183; GO:0051082	IPR000397;IPR016154;IPR016153;IPR023212;	PF01430;	PTHR30111;PTHR30111:SF1;	Chaperone;Cytoplasm;Disulfide bond;Redox-active center;Reference proteome;Zinc	chaperone_folding_holdase_foldase	Chaperone, holdase, and foldase systems	bacterial_chaperone_protein_folding_boundary	NEXT_SUBMODULE	QUEUED	Core and accessory bacterial protein-folding factors: Hsp33, SurA, FKBP/PPiases, HscAB, GroES, ClpB-like disaggregase, DnaJ-like and GrpE/CbpA/CbpM co-chaperone context, plus cold-shock nucleic-acid chaperone side context. Curate as bacterial proteostasis/folding, not as a eukaryotic ER-processing or integrated-stress-response module.	PRESENT	CURATED	PRESENT
surA	PP_0403	Q88QT4	Chaperone SurA (Peptidyl-prolyl cis-trans isomerase SurA) (PPIase SurA) (EC 5.2.1.8) (Rotamase SurA)	5.2.1.8	GO:0003755; GO:0006457; GO:0030288; GO:0042277; GO:0043165; GO:0050821; GO:0051082	IPR050280;IPR046357;IPR000297;IPR023034;IPR015391;IPR027304;	PF00639;PF13616;PF09312;	PTHR47637;PTHR47637:SF1;	Chaperone;Isomerase;Periplasm;Reference proteome;Repeat;Rotamase;Signal	chaperone_folding_holdase_foldase	Chaperone, holdase, and foldase systems	bacterial_chaperone_protein_folding_boundary	NEXT_SUBMODULE	QUEUED	Core and accessory bacterial protein-folding factors: Hsp33, SurA, FKBP/PPiases, HscAB, GroES, ClpB-like disaggregase, DnaJ-like and GrpE/CbpA/CbpM co-chaperone context, plus cold-shock nucleic-acid chaperone side context. Curate as bacterial proteostasis/folding, not as a eukaryotic ER-processing or integrated-stress-response module.	PRESENT	CURATED	PRESENT
PP_0435	PP_0435	Q88QQ3	Peptidase, M23/M37 family		GO:0004222; GO:0006508; GO:0030313; GO:0042834; GO:0046872	IPR050570;IPR045834;IPR011055;IPR018392;IPR007340;IPR016047;	PF19425;PF04225;PF01551;	PTHR21666:SF288;PTHR21666;	Hydrolase;Metal-binding;Metalloprotease;Protease;Reference proteome;Zinc	cell_wall_envelope_peptidase_inhibitor	Cell-wall, envelope, and protease-inhibitor peptidase context	envelope_cell_wall_peptidase_inhibitor_boundary	NEW_OR_REUSE_BOUNDARY	QUEUED	M23/M37, NlpC/P60, M15, tail-specific/C-terminal processing proteases, cell-wall peptidase-like candidates, alpha-2-macroglobulin, ecotin, chagasin-like, and small peptidase-inhibitor entries. Separate peptidoglycan remodeling from generic protease inhibition and avoid forcing pathway outputs from family names alone.	PRESENT	CURATED	PRESENT
mtfA	PP_0539	Q88QF5	Glucose-regulated peptidase		GO:0004177; GO:0005829; GO:0008237	IPR024079;IPR010384;IPR042252;	PF06167;	PTHR30164;PTHR30164:SF2;	Reference proteome	peptide_processing_aminopeptidases	Peptide processing and aminopeptidases	protein_turnover_peptide_processing_boundary	NEW_SUBMODULE	QUEUED	Oligopeptidase, methionine aminopeptidase, Xaa-Pro aminopeptidase, M20/M42/M24-family peptidases, and related cytosolic peptide-turnover enzymes. Curate enzyme-level activities where supported and keep broad proteolysis as process context.	PRESENT	CURATED	PRESENT
yfhM	PP_0570	Q88QC4	Alpha-2-macroglobulin		GO:0004866; GO:0005615	IPR049120;IPR011625;IPR049122;IPR040639;IPR026284;IPR047565;IPR011626;IPR021868;IPR041203;IPR041462;IPR041246;IPR001599;IPR002890;IPR008930;IPR051802;	PF00207;PF21142;PF07703;PF17970;PF17973;PF11974;PF17972;PF17962;PF21765;PF01835;PF07678;	PTHR40094;PTHR40094:SF1;	Cell membrane;Membrane;Protease inhibitor;Reference proteome;Signal	cell_wall_envelope_peptidase_inhibitor	Cell-wall, envelope, and protease-inhibitor peptidase context	envelope_cell_wall_peptidase_inhibitor_boundary	NEW_OR_REUSE_BOUNDARY	QUEUED	M23/M37, NlpC/P60, M15, tail-specific/C-terminal processing proteases, cell-wall peptidase-like candidates, alpha-2-macroglobulin, ecotin, chagasin-like, and small peptidase-inhibitor entries. Separate peptidoglycan remodeling from generic protease inhibition and avoid forcing pathway outputs from family names alone.	PRESENT	CURATED	PRESENT
PP_0588	PP_0588	Q88QA6	Copper-binding chaperone		GO:0046872	IPR017969;IPR006121;IPR036163;	PF00403;		Metal-binding;Reference proteome	cofactor_metal_maturation_chaperones	Cofactor, metal, and enzyme-maturation chaperones	cofactor_metal_maturation_chaperone_boundary	NEW_OR_REUSE_BOUNDARY	QUEUED	Copper, heme, succinate-dehydrogenase flavin, urease nickel-insertion, and G3E-family metal/chaperone candidates. Route to their real enzyme or metal-homeostasis modules where possible rather than treating them as generic protein-folding factors.	PRESENT	CURATED	PRESENT
clpB	PP_0625	Q88Q71	Chaperone protein ClpB		GO:0005524; GO:0005829; GO:0006355; GO:0016887; GO:0034605; GO:0042026; GO:0042802	IPR003593;IPR003959;IPR017730;IPR019489;IPR036628;IPR004176;IPR001270;IPR018368;IPR028299;IPR041546;IPR050130;IPR027417;IPR002078;	PF00004;PF07724;PF17871;PF02861;PF10431;	PTHR11638;PTHR11638:SF18;	ATP-binding;Chaperone;Coiled coil;Cytoplasm;Nucleotide-binding;Reference proteome;Repeat;Stress response	chaperone_folding_holdase_foldase	Chaperone, holdase, and foldase systems	bacterial_chaperone_protein_folding_boundary	NEXT_SUBMODULE	QUEUED	Core and accessory bacterial protein-folding factors: Hsp33, SurA, FKBP/PPiases, HscAB, GroES, ClpB-like disaggregase, DnaJ-like and GrpE/CbpA/CbpM co-chaperone context, plus cold-shock nucleic-acid chaperone side context. Curate as bacterial proteostasis/folding, not as a eukaryotic ER-processing or integrated-stress-response module.	PRESENT	CURATED	PRESENT
