gene	ordered_locus	uniprot_accession	protein_name	ec_numbers	go_ids	interpro_ids	pfam_ids	panther_ids	keywords	partition_bucket	partition_label	proposed_module	recommended_action	bucket_status	notes	review_status	curation_status	asta_research_status
mnmG	PP_0004	Q88RW8	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG (Glucose-inhibited division protein A)		GO:0002098; GO:0005829; GO:0030488; GO:0050660	IPR036188;IPR049312;IPR004416;IPR002218;IPR020595;IPR026904;IPR047001;IPR044920;IPR040131;	PF01134;PF21680;PF13932;	PTHR11806;PTHR11806:SF0;	Cytoplasm;FAD;Flavoprotein;NAD;Reference proteome;tRNA processing	trna_modification_processing	tRNA modification and processing enzymes	trna_modification_processing_boundary	NEW_SUBMODULE	COMPLETE	Mnm/Cmo/Tsa/Trm/Dus/Tru/Mia/Ttc/Til/Cca tRNA-modification and tRNA processing enzymes. Curate explicit tRNA modification reactions where supported; avoid generic transferase or RNA-binding terms as core calls.	PRESENT	CURATED	PRESENT
mnmE	PP_0005	P0A175	tRNA modification GTPase MnmE (EC 3.6.-.-)	3.6.-.-	GO:0002098; GO:0003924; GO:0005525; GO:0005829; GO:0030488; GO:0046872	IPR031168;IPR006073;IPR018948;IPR004520;IPR027368;IPR025867;IPR027417;IPR005225;IPR027266;	PF01926;PF12631;PF10396;	PTHR42714;PTHR42714:SF2;	Cytoplasm;GTP-binding;Hydrolase;Magnesium;Metal-binding;Nucleotide-binding;Potassium;Reference proteome;tRNA processing	trna_modification_processing	tRNA modification and processing enzymes	trna_modification_processing_boundary	NEW_SUBMODULE	COMPLETE	Mnm/Cmo/Tsa/Trm/Dus/Tru/Mia/Ttc/Til/Cca tRNA-modification and tRNA processing enzymes. Curate explicit tRNA modification reactions where supported; avoid generic transferase or RNA-binding terms as core calls.	PRESENT	CURATED	PRESENT
tsaC	PP_0070	Q88RQ9	Threonylcarbamoyl-AMP synthase (TC-AMP synthase) (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaC) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaC)	2.7.7.87	GO:0000049; GO:0002949; GO:0003725; GO:0005524; GO:0005737; GO:0006450; GO:0061710	IPR017945;IPR006070;IPR023535;IPR050156;	PF01300;	PTHR17490;PTHR17490:SF18;	ATP-binding;Cytoplasm;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Transferase;tRNA processing	trna_modification_processing	tRNA modification and processing enzymes	trna_modification_processing_boundary	NEW_SUBMODULE	COMPLETE	Mnm/Cmo/Tsa/Trm/Dus/Tru/Mia/Ttc/Til/Cca tRNA-modification and tRNA processing enzymes. Curate explicit tRNA modification reactions where supported; avoid generic transferase or RNA-binding terms as core calls.	PRESENT	CURATED	PRESENT
tsaD	PP_0390	Q88QU6	tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD)	2.3.1.234	GO:0002949; GO:0005506; GO:0005737; GO:0061711	IPR043129;IPR000905;IPR017861;IPR022450;	PF00814;	PTHR11735;PTHR11735:SF6;	Acyltransferase;Cytoplasm;Iron;Metal-binding;Reference proteome;Transferase;tRNA processing	trna_modification_processing	tRNA modification and processing enzymes	trna_modification_processing_boundary	NEW_SUBMODULE	COMPLETE	Mnm/Cmo/Tsa/Trm/Dus/Tru/Mia/Ttc/Til/Cca tRNA-modification and tRNA processing enzymes. Curate explicit tRNA modification reactions where supported; avoid generic transferase or RNA-binding terms as core calls.	PRESENT	CURATED	PRESENT
cca	PP_0394	Q88QU2	Multifunctional CCA protein [Includes: CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl-transferase) (tRNA nucleotidyltransferase) (tRNA-NT); 2'-nucleotidase (EC 3.1.3.-); 2',3'-cyclic phosphodiesterase (EC 3.1.4.-); Phosphatase (EC 3.1.3.-)]	2.7.7.72; 3.1.3.-; 3.1.4.-	GO:0000049; GO:0000287; GO:0001680; GO:0004112; GO:0004810; GO:0005524; GO:0016791; GO:0042245; GO:0160016	IPR012006;IPR043519;IPR002646;IPR032828;IPR050124;	PF01743;PF12627;	PTHR47545;PTHR47545:SF1;	ATP-binding;Hydrolase;Magnesium;Metal-binding;Multifunctional enzyme;Nickel;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;RNA repair;RNA-binding;Transferase;tRNA processing	trna_modification_processing	tRNA modification and processing enzymes	trna_modification_processing_boundary	NEW_SUBMODULE	COMPLETE	Mnm/Cmo/Tsa/Trm/Dus/Tru/Mia/Ttc/Til/Cca tRNA-modification and tRNA processing enzymes. Curate explicit tRNA modification reactions where supported; avoid generic transferase or RNA-binding terms as core calls.	PRESENT	CURATED	PRESENT
cmoM	PP_0578	Q88QB6	tRNA 5-carboxymethoxyuridine methyltransferase (EC 2.1.1.-) (cmo5U methyltransferase)	2.1.1.-	GO:0006400; GO:0008757; GO:0032259; GO:0097697	IPR033664;IPR013216;IPR029063;	PF08241;	PTHR43464;PTHR43464:SF19;	Methyltransferase;Reference proteome;S-adenosyl-L-methionine;Transferase;tRNA processing	trna_modification_processing	tRNA modification and processing enzymes	trna_modification_processing_boundary	NEW_SUBMODULE	COMPLETE	Mnm/Cmo/Tsa/Trm/Dus/Tru/Mia/Ttc/Til/Cca tRNA-modification and tRNA processing enzymes. Curate explicit tRNA modification reactions where supported; avoid generic transferase or RNA-binding terms as core calls.	PRESENT	CURATED	PRESENT
selU	PP_0822	Q88PM7	tRNA 2-selenouridine synthase (EC 2.9.1.3)	2.9.1.3	GO:0002098; GO:0016765; GO:0043828	IPR058840;IPR001763;IPR036873;IPR017582;	PF26341;	PTHR30401;PTHR30401:SF0;	Reference proteome;Selenium;Transferase	trna_modification_processing	tRNA modification and processing enzymes	trna_modification_processing_boundary	NEW_SUBMODULE	COMPLETE	Mnm/Cmo/Tsa/Trm/Dus/Tru/Mia/Ttc/Til/Cca tRNA-modification and tRNA processing enzymes. Curate explicit tRNA modification reactions where supported; avoid generic transferase or RNA-binding terms as core calls.	PRESENT	CURATED	PRESENT
trmJ	PP_0839	Q88PL1	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ (EC 2.1.1.200) (tRNA (cytidine(32)/uridine(32)-2'-O)-methyltransferase) (tRNA Cm32/Um32 methyltransferase)	2.1.1.200	GO:0002128; GO:0003723; GO:0005829; GO:0106339; GO:0160206	IPR029028;IPR004384;IPR001537;IPR029026;	PF00588;	PTHR42786:SF2;PTHR42786;	Cytoplasm;Methyltransferase;Reference proteome;S-adenosyl-L-methionine;Transferase;tRNA processing	trna_modification_processing	tRNA modification and processing enzymes	trna_modification_processing_boundary	NEW_SUBMODULE	COMPLETE	Mnm/Cmo/Tsa/Trm/Dus/Tru/Mia/Ttc/Til/Cca tRNA-modification and tRNA processing enzymes. Curate explicit tRNA modification reactions where supported; avoid generic transferase or RNA-binding terms as core calls.	PRESENT	CURATED	PRESENT
tadA	PP_1035	Q88P18	tRNA-specific adenosine deaminase (EC 3.5.4.33)	3.5.4.33	GO:0002100; GO:0008270; GO:0052717	IPR016192;IPR002125;IPR016193;IPR028883;	PF00383;	PTHR11079;PTHR11079:SF202;	Hydrolase;Metal-binding;Reference proteome;tRNA processing;Zinc	trna_modification_processing	tRNA modification and processing enzymes	trna_modification_processing_boundary	NEW_SUBMODULE	COMPLETE	Mnm/Cmo/Tsa/Trm/Dus/Tru/Mia/Ttc/Til/Cca tRNA-modification and tRNA processing enzymes. Curate explicit tRNA modification reactions where supported; avoid generic transferase or RNA-binding terms as core calls.	PRESENT	CURATED	PRESENT
cmoB	PP_1440	Q88MX8	tRNA U34 carboxymethyltransferase (EC 2.5.1.-)	2.5.1.-	GO:0002098; GO:0008168; GO:0016765	IPR010017;IPR027555;IPR029063;	PF08003;	PTHR43464;PTHR43464:SF95;	Reference proteome;Transferase;tRNA processing	trna_modification_processing	tRNA modification and processing enzymes	trna_modification_processing_boundary	NEW_SUBMODULE	COMPLETE	Mnm/Cmo/Tsa/Trm/Dus/Tru/Mia/Ttc/Til/Cca tRNA-modification and tRNA processing enzymes. Curate explicit tRNA modification reactions where supported; avoid generic transferase or RNA-binding terms as core calls.	PRESENT	CURATED	PRESENT
