suggested_review_name	ordered_locus	uniprot_accession	entry_name	primary_gene	all_gene_names	protein_name	reviewed	annotation_score	ec_numbers	go_ids	primary_bucket_id	primary_bucket_label	is_primary_for_pathway	membership_source	membership_pathway_id	membership_pathway_name	gene_dir	review_status	review_file	curation_status	asta_research_status	asta_research_file
murI	PP_0736	Q88PW2	MURI_PSEPK	murI	murI PP_0736	Glutamate racemase (EC 5.1.1.3)	reviewed	2.0	5.1.1.3	GO:0008360; GO:0008881; GO:0009252; GO:0071555	kegg:ppu00470	D-Amino acid metabolism	true	KEGG	ppu00470	D-Amino acid metabolism	genes/PSEPK/murI	PRESENT	genes/PSEPK/murI/murI-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/murI/murI-deep-research-asta.md
PP_1255	PP_1255	Q88NF6	Q88NF6_PSEPK	PP_1255	PP_1255	Cis-4-hydroxy-D-proline oxidase (EC 1.5.1.-)	unreviewed	1.0	1.5.1.-	GO:0005737; GO:0016491	kegg:ppu00470	D-Amino acid metabolism	true	KEGG	ppu00470	D-Amino acid metabolism	genes/PSEPK/PP_1255	PRESENT	genes/PSEPK/PP_1255/PP_1255-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/PP_1255/PP_1255-deep-research-asta.md
PP_1256	PP_1256	Q88NF5	Q88NF5_PSEPK	PP_1256	PP_1256	2,5-dioxovalerate dehydrogenase (EC 1.2.1.26)	unreviewed	2.0	1.2.1.26	GO:0047533	kegg:ppu00040	Pentose and glucuronate interconversions	false	KEGG	ppu00470	D-Amino acid metabolism	genes/PSEPK/PP_1256	PRESENT	genes/PSEPK/PP_1256/PP_1256-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/PP_1256/PP_1256-deep-research-asta.md
PP_1257	PP_1257	Q88NF4	Q88NF4_PSEPK	PP_1257	PP_1257	1-pyrroline-4-hydroxy-2-carboxylate deaminase (EC 3.5.4.22)	unreviewed	1.0	3.5.4.22	GO:0008840; GO:0047425	kegg:ppu00470	D-Amino acid metabolism	true	KEGG	ppu00470	D-Amino acid metabolism	genes/PSEPK/PP_1257	PRESENT	genes/PSEPK/PP_1257/PP_1257-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/PP_1257/PP_1257-deep-research-asta.md
proR	PP_1258	Q88NF3	4HYPE_PSEPK	proR	proR prpA PP_1258	4-hydroxyproline 2-epimerase (4-hydroxyproline epimerase) (4Hyp 2-epimerase) (4HypE) (EC 5.1.1.8)	reviewed	3.0	5.1.1.8	GO:0047580	kegg:ppu00470	D-Amino acid metabolism	true	KEGG	ppu00470	D-Amino acid metabolism	genes/PSEPK/proR	PRESENT	genes/PSEPK/proR/proR-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/proR/proR-deep-research-asta.md
murD	PP_1335	Q88N78	MURD_PSEPK	murD	murD PP_1335	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase)	reviewed	3.0	6.3.2.9	GO:0005524; GO:0005737; GO:0008360; GO:0008764; GO:0009252; GO:0051301; GO:0071555	kegg:ppu00470	D-Amino acid metabolism	true	KEGG	ppu00470	D-Amino acid metabolism	genes/PSEPK/murD	PRESENT	genes/PSEPK/murD/murD-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/murD/murD-deep-research-asta.md
ddlB	PP_1339	Q88N74	DDLB_PSEPK	ddlB	ddlB PP_1339	D-alanine--D-alanine ligase B (EC 6.3.2.4) (D-Ala-D-Ala ligase B) (D-alanylalanine synthetase B)	reviewed	3.0	6.3.2.4	GO:0005524; GO:0005829; GO:0008360; GO:0008716; GO:0009252; GO:0046872; GO:0071555	kegg:ppu01502	Vancomycin resistance	false	KEGG	ppu00470	D-Amino acid metabolism	genes/PSEPK/ddlB	PRESENT	genes/PSEPK/ddlB/ddlB-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/ddlB/ddlB-deep-research-asta.md
lysA-I	PP_2077	Q88L58	Q88L58_PSEPK	lysA-I	lysA-I lysA PP_2077	Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20)	unreviewed	3.0	4.1.1.20	GO:0008836; GO:0009089; GO:0030170	kegg:ppu00300	Lysine biosynthesis	false	KEGG	ppu00470	D-Amino acid metabolism	genes/PSEPK/lysA-I	PRESENT	genes/PSEPK/lysA-I/lysA-I-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/lysA-I/lysA-I-deep-research-asta.md
dauA	PP_2246	Q88KP4	Q88KP4_PSEPK	dauA	dauA PP_2246	Catabolic D-arginine dehydrogenase, FAD-dependent (EC 1.4.99.-)	unreviewed	1.0	1.4.99.-	GO:0005737; GO:0016491	kegg:ppu00470	D-Amino acid metabolism	true	KEGG	ppu00470	D-Amino acid metabolism	genes/PSEPK/dauA	PRESENT	genes/PSEPK/dauA/dauA-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/dauA/dauA-deep-research-asta.md
ansB	PP_2453	Q88K39	ASPQ_PSEPK	ansB	ansB PP_2453	Glutaminase-asparaginase (EC 3.5.1.38) (L-ASNase/L-GLNase) (L-asparagine/L-glutamine amidohydrolase)	reviewed	3.0	3.5.1.38	GO:0004067; GO:0004359; GO:0006520; GO:0006528; GO:0042597; GO:0050417	kegg:ppu00470	D-Amino acid metabolism	true	KEGG	ppu00470	D-Amino acid metabolism	genes/PSEPK/ansB	PRESENT	genes/PSEPK/ansB/ansB-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/ansB/ansB-deep-research-asta.md
