gene	ordered_locus	uniprot_accession	protein_name	ec_numbers	go_ids	interpro_ids	pfam_ids	keywords	partition_bucket	partition_label	proposed_module	recommended_action	bucket_status	notes	review_status	curation_status	asta_research_status
oprP	PP_0037	Q88RU2	Porin P			IPR023614;IPR010870;	PF07396;	Reference proteome	outer_membrane_porins_channels_autotransporters	Outer-membrane porins, channels, and autotransporters	transport_envelope_spillover_boundary	COMPLETED_SUBMODULE	CURATED	First-pass curation is complete for all 38 outer-membrane porin, channel, autotransporter, and envelope-protein genes. Thirty-three missing review folders were fetched, Asta was generated for all 38, and five curated anchors (oprE, oprF, galP, nicP, aqpZ) were preserved with added Asta provenance. The existing transport/envelope spillover module was extended with OprD/Opd substrate-selective porins, OprB carbohydrate porins, GlpF/AqpZ channels, FadL fatty-acid porin context, EstP autotransporter esterase, TamA assembly context, and low-resolution porin/outer-membrane candidates. pcaP sphingoid catabolism and oprG host-outer-membrane annotations were corrected.	PRESENT	CURATED	PRESENT
opdT-I	PP_0046	Q88RT3	Tyrosine-specific outer membrane porin D (EC 3.4.21.-)	3.4.21.-	GO:0015288; GO:0016020; GO:0016787	IPR005318;IPR023614;	PF03573;	Hydrolase;Reference proteome;Signal;Transport	outer_membrane_porins_channels_autotransporters	Outer-membrane porins, channels, and autotransporters	transport_envelope_spillover_boundary	COMPLETED_SUBMODULE	CURATED	First-pass curation is complete for all 38 outer-membrane porin, channel, autotransporter, and envelope-protein genes. Thirty-three missing review folders were fetched, Asta was generated for all 38, and five curated anchors (oprE, oprF, galP, nicP, aqpZ) were preserved with added Asta provenance. The existing transport/envelope spillover module was extended with OprD/Opd substrate-selective porins, OprB carbohydrate porins, GlpF/AqpZ channels, FadL fatty-acid porin context, EstP autotransporter esterase, TamA assembly context, and low-resolution porin/outer-membrane candidates. pcaP sphingoid catabolism and oprG host-outer-membrane annotations were corrected.	PRESENT	CURATED	PRESENT
oprE	PP_0234	Q88R99	Outer-membrane porin E (EC 3.4.21.-)	3.4.21.-	GO:0015288; GO:0016020; GO:0016787	IPR005318;IPR023614;	PF03573;	Hydrolase;Reference proteome;Signal;Transport	outer_membrane_porins_channels_autotransporters	Outer-membrane porins, channels, and autotransporters	transport_envelope_spillover_boundary	COMPLETED_SUBMODULE	CURATED	First-pass curation is complete for all 38 outer-membrane porin, channel, autotransporter, and envelope-protein genes. Thirty-three missing review folders were fetched, Asta was generated for all 38, and five curated anchors (oprE, oprF, galP, nicP, aqpZ) were preserved with added Asta provenance. The existing transport/envelope spillover module was extended with OprD/Opd substrate-selective porins, OprB carbohydrate porins, GlpF/AqpZ channels, FadL fatty-acid porin context, EstP autotransporter esterase, TamA assembly context, and low-resolution porin/outer-membrane candidates. pcaP sphingoid catabolism and oprG host-outer-membrane annotations were corrected.	PRESENT	CURATED	PRESENT
oprQ	PP_0268	Q88R66	Outer-membrane porin D (EC 3.4.21.-)	3.4.21.-	GO:0015288; GO:0016020; GO:0016787	IPR005318;IPR023614;	PF03573;	Hydrolase;Reference proteome;Signal;Transport	outer_membrane_porins_channels_autotransporters	Outer-membrane porins, channels, and autotransporters	transport_envelope_spillover_boundary	COMPLETED_SUBMODULE	CURATED	First-pass curation is complete for all 38 outer-membrane porin, channel, autotransporter, and envelope-protein genes. Thirty-three missing review folders were fetched, Asta was generated for all 38, and five curated anchors (oprE, oprF, galP, nicP, aqpZ) were preserved with added Asta provenance. The existing transport/envelope spillover module was extended with OprD/Opd substrate-selective porins, OprB carbohydrate porins, GlpF/AqpZ channels, FadL fatty-acid porin context, EstP autotransporter esterase, TamA assembly context, and low-resolution porin/outer-membrane candidates. pcaP sphingoid catabolism and oprG host-outer-membrane annotations were corrected.	PRESENT	CURATED	PRESENT
estP	PP_0418	Q88QS0	Esterase EstP (EC 3.1.1.1) (Autotransporter esterase EstP) (Palmitoyl-CoA hydrolase) (EC 3.1.2.2)	3.1.1.1; 3.1.2.2	GO:0006629; GO:0009279; GO:0016298; GO:0052816; GO:0106435	IPR005546;IPR036709;IPR048099;IPR001087;IPR050592;IPR017186;IPR008265;IPR006315;IPR036514;	PF03797;PF00657;	Cell outer membrane;Hydrolase;Membrane;Reference proteome;Serine esterase;Signal;Transmembrane;Transmembrane beta strand	outer_membrane_porins_channels_autotransporters	Outer-membrane porins, channels, and autotransporters	transport_envelope_spillover_boundary	COMPLETED_SUBMODULE	CURATED	First-pass curation is complete for all 38 outer-membrane porin, channel, autotransporter, and envelope-protein genes. Thirty-three missing review folders were fetched, Asta was generated for all 38, and five curated anchors (oprE, oprF, galP, nicP, aqpZ) were preserved with added Asta provenance. The existing transport/envelope spillover module was extended with OprD/Opd substrate-selective porins, OprB carbohydrate porins, GlpF/AqpZ channels, FadL fatty-acid porin context, EstP autotransporter esterase, TamA assembly context, and low-resolution porin/outer-membrane candidates. pcaP sphingoid catabolism and oprG host-outer-membrane annotations were corrected.	PRESENT	CURATED	PRESENT
oprG	PP_0504	Q88QI8	Outer membrane protein OprG		GO:0019867; GO:0044384; GO:0055085	IPR000758;IPR011250;IPR005618;	PF03922;	Reference proteome;Signal	outer_membrane_porins_channels_autotransporters	Outer-membrane porins, channels, and autotransporters	transport_envelope_spillover_boundary	COMPLETED_SUBMODULE	CURATED	First-pass curation is complete for all 38 outer-membrane porin, channel, autotransporter, and envelope-protein genes. Thirty-three missing review folders were fetched, Asta was generated for all 38, and five curated anchors (oprE, oprF, galP, nicP, aqpZ) were preserved with added Asta provenance. The existing transport/envelope spillover module was extended with OprD/Opd substrate-selective porins, OprB carbohydrate porins, GlpF/AqpZ channels, FadL fatty-acid porin context, EstP autotransporter esterase, TamA assembly context, and low-resolution porin/outer-membrane candidates. pcaP sphingoid catabolism and oprG host-outer-membrane annotations were corrected.	PRESENT	CURATED	PRESENT
opdC	PP_0799	Q88PP9	Histidine-specific outer membrane porin D (EC 3.4.21.-)	3.4.21.-	GO:0015288; GO:0016020; GO:0016787	IPR005318;IPR023614;	PF03573;	Hydrolase;Reference proteome;Signal;Transport	outer_membrane_porins_channels_autotransporters	Outer-membrane porins, channels, and autotransporters	transport_envelope_spillover_boundary	COMPLETED_SUBMODULE	CURATED	First-pass curation is complete for all 38 outer-membrane porin, channel, autotransporter, and envelope-protein genes. Thirty-three missing review folders were fetched, Asta was generated for all 38, and five curated anchors (oprE, oprF, galP, nicP, aqpZ) were preserved with added Asta provenance. The existing transport/envelope spillover module was extended with OprD/Opd substrate-selective porins, OprB carbohydrate porins, GlpF/AqpZ channels, FadL fatty-acid porin context, EstP autotransporter esterase, TamA assembly context, and low-resolution porin/outer-membrane candidates. pcaP sphingoid catabolism and oprG host-outer-membrane annotations were corrected.	PRESENT	CURATED	PRESENT
opdP	PP_0883	Q88PG7	Glycine-glutamate dipeptide porin (EC 3.4.21.-)	3.4.21.-	GO:0015288; GO:0016020; GO:0016787	IPR005318;IPR023614;	PF03573;	Hydrolase;Reference proteome;Signal;Transport	outer_membrane_porins_channels_autotransporters	Outer-membrane porins, channels, and autotransporters	transport_envelope_spillover_boundary	COMPLETED_SUBMODULE	CURATED	First-pass curation is complete for all 38 outer-membrane porin, channel, autotransporter, and envelope-protein genes. Thirty-three missing review folders were fetched, Asta was generated for all 38, and five curated anchors (oprE, oprF, galP, nicP, aqpZ) were preserved with added Asta provenance. The existing transport/envelope spillover module was extended with OprD/Opd substrate-selective porins, OprB carbohydrate porins, GlpF/AqpZ channels, FadL fatty-acid porin context, EstP autotransporter esterase, TamA assembly context, and low-resolution porin/outer-membrane candidates. pcaP sphingoid catabolism and oprG host-outer-membrane annotations were corrected.	PRESENT	CURATED	PRESENT
oprB-I	PP_1019	Q88P34	Carbohydrate-selective porin		GO:0008643; GO:0015288; GO:0016020	IPR007049;IPR052932;IPR038673;	PF04966;	Reference proteome;Signal	outer_membrane_porins_channels_autotransporters	Outer-membrane porins, channels, and autotransporters	transport_envelope_spillover_boundary	COMPLETED_SUBMODULE	CURATED	First-pass curation is complete for all 38 outer-membrane porin, channel, autotransporter, and envelope-protein genes. Thirty-three missing review folders were fetched, Asta was generated for all 38, and five curated anchors (oprE, oprF, galP, nicP, aqpZ) were preserved with added Asta provenance. The existing transport/envelope spillover module was extended with OprD/Opd substrate-selective porins, OprB carbohydrate porins, GlpF/AqpZ channels, FadL fatty-acid porin context, EstP autotransporter esterase, TamA assembly context, and low-resolution porin/outer-membrane candidates. pcaP sphingoid catabolism and oprG host-outer-membrane annotations were corrected.	PRESENT	CURATED	PRESENT
glpF	PP_1076	Q88NX7	Aquaglyceroporin		GO:0005886; GO:0015254	IPR023271;IPR000425;IPR050363;IPR022357;	PF00230;	Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	outer_membrane_porins_channels_autotransporters	Outer-membrane porins, channels, and autotransporters	transport_envelope_spillover_boundary	COMPLETED_SUBMODULE	CURATED	First-pass curation is complete for all 38 outer-membrane porin, channel, autotransporter, and envelope-protein genes. Thirty-three missing review folders were fetched, Asta was generated for all 38, and five curated anchors (oprE, oprF, galP, nicP, aqpZ) were preserved with added Asta provenance. The existing transport/envelope spillover module was extended with OprD/Opd substrate-selective porins, OprB carbohydrate porins, GlpF/AqpZ channels, FadL fatty-acid porin context, EstP autotransporter esterase, TamA assembly context, and low-resolution porin/outer-membrane candidates. pcaP sphingoid catabolism and oprG host-outer-membrane annotations were corrected.	PRESENT	CURATED	PRESENT
