scope_decision	gene	ordered_locus	uniprot_accession	kegg_ko	module_role	review_status	openscientist_status	review_file	research_file	rationale
RECOVERED_CORE	moeB	PP_0735	Q88PW3	K21029	MoaD sulfur-carrier adenylylation	CURATED	RUNNING	genes/PSEPK/moeB/moeB-ai-review.yaml	genes/PSEPK/moeB/moeB-deep-research-openscientist.md	Required core role omitted from the broad ppu00790 membership list
OUT_OF_SCOPE_FOLATE	folB	PP_0392	Q88QU4	-	folate biosynthesis	NOT_SELECTED	NOT_RUN	-	-	Folate branch, not MoCo biosynthesis
OUT_OF_SCOPE_FOLATE	PP_0393	PP_0393	Q88QU3	-	folate biosynthesis	NOT_SELECTED	NOT_RUN	-	-	Folate branch, not MoCo biosynthesis
OUT_OF_SCOPE_RIBOFLAVIN	ribAB-I	PP_0516	Q88QH7	-	riboflavin biosynthesis	NOT_SELECTED	NOT_RUN	-	-	Riboflavin branch, not MoCo biosynthesis
OUT_OF_SCOPE_RIBOFLAVIN	ribA	PP_0522	Q88QH1	-	riboflavin biosynthesis	NOT_SELECTED	NOT_RUN	-	-	Riboflavin branch, not MoCo biosynthesis
OUT_OF_SCOPE_QUEUOSINE	queE	PP_1225	Q88NI4	-	queuosine biosynthesis	NOT_SELECTED	NOT_RUN	-	-	Queuosine branch, not MoCo biosynthesis
OUT_OF_SCOPE_QUEUOSINE	queC	PP_1226	Q88NI3	-	queuosine biosynthesis	NOT_SELECTED	NOT_RUN	-	-	Queuosine branch, not MoCo biosynthesis
COVERED_CORE	moaC	PP_1292	Q88NC0	K03637	cPMP synthesis	CURATED	RUNNING	genes/PSEPK/moaC/moaC-ai-review.yaml	genes/PSEPK/moaC/moaC-deep-research-openscientist.md	Canonical cPMP synthase
RECOVERED_CORE	moaD	PP_1293	Q88NB9	K03636	MPT synthase sulfur carrier	CURATED	COMPLETE	genes/PSEPK/moaD/moaD-ai-review.yaml	genes/PSEPK/moaD/moaD-deep-research-openscientist.md	Required core role omitted from the broad ppu00790 membership list
COVERED_CORE	moaE	PP_1294	Q88NB8	K03635	MPT synthase catalytic subunit	CURATED	COMPLETE	genes/PSEPK/moaE/moaE-ai-review.yaml	genes/PSEPK/moaE/moaE-deep-research-openscientist.md	Canonical MPT synthase catalytic subunit
OUT_OF_SCOPE_FOLATE	folE1	PP_1823	Q88LV4	-	folate biosynthesis	NOT_SELECTED	NOT_RUN	-	-	Folate branch, not MoCo biosynthesis
OUT_OF_SCOPE_FOLATE	pabC	PP_1917	Q88LL3	-	para-aminobenzoate biosynthesis	NOT_SELECTED	NOT_RUN	-	-	Folate precursor branch, not MoCo biosynthesis
CANDIDATE_UNCERTAIN	PP_1969	PP_1969	Q88LG4	K03639	MoaA-family radical-SAM paralog	CURATED	COMPLETE	genes/PSEPK/PP_1969/PP_1969-ai-review.yaml	genes/PSEPK/PP_1969/PP_1969-deep-research-openscientist.md	Exact substrate and equivalence to canonical MoaA unresolved
OUT_OF_SCOPE_FOLATE	folC	PP_1997	Q88LD8	-	folate biosynthesis	NOT_SELECTED	NOT_RUN	-	-	Folate branch, not MoCo biosynthesis
CANDIDATE_UNCERTAIN	moaB-I	PP_2122	Q88L15	K03638	possible MPT activation or accessory role	CURATED	RUNNING	genes/PSEPK/moaB-I/moaB-I-ai-review.yaml	genes/PSEPK/moaB-I/moaB-I-deep-research-openscientist.md	No direct evidence that this paralog is a catalytically active MogA equivalent
COVERED_CORE	moeA	PP_2123	Q88L14	K03750	molybdate insertion into adenylyl-MPT	CURATED	COMPLETE	genes/PSEPK/moeA/moeA-ai-review.yaml	genes/PSEPK/moeA/moeA-deep-research-openscientist.md	Canonical molybdopterin molybdotransferase
OUT_OF_SCOPE_QUEUOSINE	queF	PP_2160	Q88KX9	-	queuosine biosynthesis	NOT_SELECTED	NOT_RUN	-	-	Queuosine branch, not MoCo biosynthesis
OUT_OF_SCOPE_FOLATE	pabB	PP_2329	Q88KG1	-	para-aminobenzoate biosynthesis	NOT_SELECTED	NOT_RUN	-	-	Folate precursor branch, not MoCo biosynthesis
OUT_OF_SCOPE_QUEUOSINE	queD	PP_2341	Q88KE9	-	queuosine biosynthesis	NOT_SELECTED	NOT_RUN	-	-	Queuosine branch, not MoCo biosynthesis
CANDIDATE_UNCERTAIN	PP_2482	PP_2482	Q88K11	K03639	MoaA-family radical-SAM paralog	CURATED	RUNNING	genes/PSEPK/PP_2482/PP_2482-ai-review.yaml	genes/PSEPK/PP_2482/PP_2482-deep-research-openscientist.md	Exact substrate and equivalence to canonical MoaA unresolved
COVERED_VARIANT	PP_2483	PP_2483	Q88K10	K07141	predicted MCD synthesis	CURATED	RUNNING	genes/PSEPK/PP_2483/PP_2483-ai-review.yaml	genes/PSEPK/PP_2483/PP_2483-deep-research-openscientist.md	Predicted MocA supported by K07141, PANTHER, and locus context; no direct CTP assay
OUT_OF_SCOPE_FOLATE	folE2__Q88JY1	PP_2512	Q88JY1	-	folate biosynthesis	NOT_SELECTED	NOT_RUN	-	-	Folate branch, not MoCo biosynthesis
OUT_OF_SCOPE_FOLATE	folE2__Q88HM9	PP_3324	Q88HM9	-	folate biosynthesis	NOT_SELECTED	NOT_RUN	-	-	Folate branch, not MoCo biosynthesis
