gene	ordered_locus	uniprot_accession	protein_name	ec_numbers	go_ids	interpro_ids	pfam_ids	panther_ids	keywords	partition_bucket	partition_label	proposed_module	recommended_action	bucket_status	notes	review_status	curation_status	asta_research_status
rsmG	PP_0003	P0A124	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.170) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase)	2.1.1.170	GO:0005829; GO:0070043	IPR003682;IPR029063;	PF02527;	PTHR31760;PTHR31760:SF0;	Cytoplasm;Methyltransferase;Reference proteome;rRNA processing;S-adenosyl-L-methionine;Transferase	rrna_modification_methyltransferase_pseudouridine	rRNA modification methyltransferase and pseudouridine enzymes	rrna_modification_ribosome_maturation_boundary	NEW_SUBMODULE	COMPLETE	Rsm/Rlm/Rlu/Rsu-family rRNA methyltransferase and pseudouridine synthase entries, including dual rRNA/tRNA enzymes where the rRNA role is the dominant product-name signal. Curate site-specific RNA modification terms where GOA/domain support is strong, and keep broad RNA binding non-core.	PRESENT	CURATED	PRESENT
mnmG	PP_0004	Q88RW8	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG (Glucose-inhibited division protein A)		GO:0002098; GO:0005829; GO:0030488; GO:0050660	IPR036188;IPR049312;IPR004416;IPR002218;IPR020595;IPR026904;IPR047001;IPR044920;IPR040131;	PF01134;PF21680;PF13932;	PTHR11806;PTHR11806:SF0;	Cytoplasm;FAD;Flavoprotein;NAD;Reference proteome;tRNA processing	trna_modification_processing	tRNA modification and processing enzymes	trna_modification_processing_boundary	NEW_SUBMODULE	COMPLETE	Mnm/Cmo/Tsa/Trm/Dus/Tru/Mia/Ttc/Til/Cca tRNA-modification and tRNA processing enzymes. Curate explicit tRNA modification reactions where supported; avoid generic transferase or RNA-binding terms as core calls.	PRESENT	CURATED	PRESENT
mnmE	PP_0005	P0A175	tRNA modification GTPase MnmE (EC 3.6.-.-)	3.6.-.-	GO:0002098; GO:0003924; GO:0005525; GO:0005829; GO:0030488; GO:0046872	IPR031168;IPR006073;IPR018948;IPR004520;IPR027368;IPR025867;IPR027417;IPR005225;IPR027266;	PF01926;PF12631;PF10396;	PTHR42714;PTHR42714:SF2;	Cytoplasm;GTP-binding;Hydrolase;Magnesium;Metal-binding;Nucleotide-binding;Potassium;Reference proteome;tRNA processing	trna_modification_processing	tRNA modification and processing enzymes	trna_modification_processing_boundary	NEW_SUBMODULE	COMPLETE	Mnm/Cmo/Tsa/Trm/Dus/Tru/Mia/Ttc/Til/Cca tRNA-modification and tRNA processing enzymes. Curate explicit tRNA modification reactions where supported; avoid generic transferase or RNA-binding terms as core calls.	PRESENT	CURATED	PRESENT
rnpA	PP_0008	P0A167	Ribonuclease P protein component (RNase P protein) (RNaseP protein) (EC 3.1.26.5) (Protein C5)	3.1.26.5	GO:0000049; GO:0001682; GO:0004526; GO:0030677; GO:0042781	IPR020568;IPR014721;IPR000100;IPR020539;	PF00825;	PTHR33992;PTHR33992:SF1;	Endonuclease;Hydrolase;Nuclease;Reference proteome;RNA-binding;tRNA processing	ribonuclease_rna_decay_processing_helicases	Ribonucleases, RNA decay/processing, and RNA helicases	rna_decay_processing_boundary	NEW_SUBMODULE	COMPLETE	RNase P/G/T/Z/D/PH, YbeY, DEAD-box RNA helicases, and RraA-like ribonuclease-regulator spillovers. Separate catalytic nuclease/helicase roles from rRNA/tRNA/ribosome-assembly process context.	PRESENT	CURATED	PRESENT
rsmB	PP_0066	Q88RR3	Ribosomal RNA small subunit methyltransferase B (EC 2.1.1.176) (16S rRNA m5C967 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RsmB)	2.1.1.176	GO:0003723; GO:0005829; GO:0006355; GO:0009383; GO:0070475	IPR049560;IPR001678;IPR035926;IPR006027;IPR023267;IPR004573;IPR054728;IPR018314;IPR029063;	PF01189;PF01029;PF22458;	PTHR22807:SF61;PTHR22807;	Cytoplasm;Methyltransferase;Reference proteome;Ribosome biogenesis;RNA-binding;rRNA processing;S-adenosyl-L-methionine;Transferase	rrna_modification_methyltransferase_pseudouridine	rRNA modification methyltransferase and pseudouridine enzymes	rrna_modification_ribosome_maturation_boundary	NEW_SUBMODULE	COMPLETE	Rsm/Rlm/Rlu/Rsu-family rRNA methyltransferase and pseudouridine synthase entries, including dual rRNA/tRNA enzymes where the rRNA role is the dominant product-name signal. Curate site-specific RNA modification terms where GOA/domain support is strong, and keep broad RNA binding non-core.	PRESENT	CURATED	PRESENT
tsaC	PP_0070	Q88RQ9	Threonylcarbamoyl-AMP synthase (TC-AMP synthase) (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaC) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaC)	2.7.7.87	GO:0000049; GO:0002949; GO:0003725; GO:0005524; GO:0005737; GO:0006450; GO:0061710	IPR017945;IPR006070;IPR023535;IPR050156;	PF01300;	PTHR17490;PTHR17490:SF18;	ATP-binding;Cytoplasm;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;Transferase;tRNA processing	trna_modification_processing	tRNA modification and processing enzymes	trna_modification_processing_boundary	NEW_SUBMODULE	COMPLETE	Mnm/Cmo/Tsa/Trm/Dus/Tru/Mia/Ttc/Til/Cca tRNA-modification and tRNA processing enzymes. Curate explicit tRNA modification reactions where supported; avoid generic transferase or RNA-binding terms as core calls.	PRESENT	CURATED	PRESENT
PP_0201	PP_0201	Q88RD1	YbaK/aminoacyl-tRNA synthetase-associated domain-containing protein		GO:0002161	IPR036754;IPR007214;	PF04073;		Reference proteome	aminoacyl_trna_charging_editing_quality_control	Aminoacyl-tRNA charging, editing, amidotransferase, and quality-control enzymes	aminoacyl_trna_quality_control_boundary	NEW_SUBMODULE	COMPLETE	Aminoacyl-tRNA synthetase fragments or specialized synthetases, GatCAB-like amidotransferase subunits, YbaK/Dtd/YcfH deacylases, and Aat tRNA-protein transferase context. Curate aminoacylation/editing functions precisely.	PRESENT	CURATED	PRESENT
hslR	PP_0250	Q88R83	Heat shock protein 15		GO:0003677; GO:0003727; GO:0034605; GO:0043023	IPR025708;IPR002942;IPR036986;	PF28601;PF01479;		DNA-binding;Reference proteome;RNA-binding;Stress response	translation_factors_ribosome_rescue	Translation factors, ribosome rescue, and translational regulation	translation_factor_ribosome_rescue_boundary	NEW_SUBMODULE	COMPLETE	Initiation/elongation/recycling factors, ribosome rescue proteins, translation throttles, and ribosome-associated stress factors. Keep translation regulation/rescue distinct from structural ribosome modules.	PRESENT	CURATED	PRESENT
tsaD	PP_0390	Q88QU6	tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD)	2.3.1.234	GO:0002949; GO:0005506; GO:0005737; GO:0061711	IPR043129;IPR000905;IPR017861;IPR022450;	PF00814;	PTHR11735;PTHR11735:SF6;	Acyltransferase;Cytoplasm;Iron;Metal-binding;Reference proteome;Transferase;tRNA processing	trna_modification_processing	tRNA modification and processing enzymes	trna_modification_processing_boundary	NEW_SUBMODULE	COMPLETE	Mnm/Cmo/Tsa/Trm/Dus/Tru/Mia/Ttc/Til/Cca tRNA-modification and tRNA processing enzymes. Curate explicit tRNA modification reactions where supported; avoid generic transferase or RNA-binding terms as core calls.	PRESENT	CURATED	PRESENT
cca	PP_0394	Q88QU2	Multifunctional CCA protein [Includes: CCA-adding enzyme (EC 2.7.7.72) (CCA tRNA nucleotidyltransferase) (tRNA CCA-pyrophosphorylase) (tRNA adenylyl-/cytidylyl-transferase) (tRNA nucleotidyltransferase) (tRNA-NT); 2'-nucleotidase (EC 3.1.3.-); 2',3'-cyclic phosphodiesterase (EC 3.1.4.-); Phosphatase (EC 3.1.3.-)]	2.7.7.72; 3.1.3.-; 3.1.4.-	GO:0000049; GO:0000287; GO:0001680; GO:0004112; GO:0004810; GO:0005524; GO:0016791; GO:0042245; GO:0160016	IPR012006;IPR043519;IPR002646;IPR032828;IPR050124;	PF01743;PF12627;	PTHR47545;PTHR47545:SF1;	ATP-binding;Hydrolase;Magnesium;Metal-binding;Multifunctional enzyme;Nickel;Nucleotide-binding;Nucleotidyltransferase;Reference proteome;RNA repair;RNA-binding;Transferase;tRNA processing	trna_modification_processing	tRNA modification and processing enzymes	trna_modification_processing_boundary	NEW_SUBMODULE	COMPLETE	Mnm/Cmo/Tsa/Trm/Dus/Tru/Mia/Ttc/Til/Cca tRNA-modification and tRNA processing enzymes. Curate explicit tRNA modification reactions where supported; avoid generic transferase or RNA-binding terms as core calls.	PRESENT	CURATED	PRESENT
