suggested_review_name	ordered_locus	uniprot_accession	entry_name	primary_gene	all_gene_names	protein_name	reviewed	annotation_score	ec_numbers	go_ids	primary_bucket_id	primary_bucket_label	is_primary_for_pathway	membership_source	membership_pathway_id	membership_pathway_name	gene_dir	review_status	review_file	curation_status	openscientist_research_status	openscientist_research_file
PP_0063	PP_0063	Q88RR6	Q88RR6_PSEPK	PP_0063	PP_0063	Lipid A biosynthesis lauroyl acyltransferase	unreviewed	1.0		GO:0005886; GO:0009247; GO:0016746	kegg:ppu00540	Lipopolysaccharide biosynthesis	true	Curated module	ppu00540	Bacterial lipid A biosynthesis	genes/PSEPK/PP_0063	PRESENT	genes/PSEPK/PP_0063/PP_0063-ai-review.yaml	CURATED	RUNNING	
kdsC	PP_0956	Q88P96	Q88P96_PSEPK	kdsC	kdsC PP_0956	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC (EC 3.1.3.45) (KDO 8-P phosphatase)	unreviewed	2.0	3.1.3.45	GO:0008781; GO:0009103; GO:0019143; GO:0046872	kegg:ppu00541	Biosynthesis of various nucleotide sugars	true	Curated module	ppu00540	Bacterial lipid A biosynthesis	genes/PSEPK/kdsC	PRESENT	genes/PSEPK/kdsC/kdsC-ai-review.yaml	CURATED	RUNNING	
kdsD	PP_0957	Q88P95	Q88P95_PSEPK	kdsD	kdsD PP_0957	Arabinose 5-phosphate isomerase (API) (EC 5.3.1.13)	unreviewed	3.0	5.3.1.13	GO:0005975; GO:0019146; GO:0046872; GO:0097367; GO:1901135	kegg:ppu00541	Biosynthesis of various nucleotide sugars	true	Curated module	ppu00540	Bacterial lipid A biosynthesis	genes/PSEPK/kdsD	PRESENT	genes/PSEPK/kdsD/kdsD-ai-review.yaml	CURATED	RUNNING	
lpxC	PP_1343	Q88N71	LPXC_PSEPK	lpxC	lpxC PP_1343	UDP-3-O-acyl-N-acetylglucosamine deacetylase (UDP-3-O-acyl-GlcNAc deacetylase) (EC 3.5.1.108) (UDP-3-O-[R-3-hydroxymyristoyl]-N-acetylglucosamine deacetylase)	reviewed	3.0	3.5.1.108	GO:0009245; GO:0016020; GO:0046872; GO:0103117	kegg:ppu00540	Lipopolysaccharide biosynthesis	true	Curated module	ppu00540	Bacterial lipid A biosynthesis	genes/PSEPK/lpxC	PRESENT	genes/PSEPK/lpxC/lpxC-ai-review.yaml	CURATED	RUNNING	
lpxD	PP_1601	Q88MH0	LPXD_PSEPK	lpxD	lpxD PP_1601	UDP-3-O-acylglucosamine N-acyltransferase (EC 2.3.1.191)	reviewed	2.0	2.3.1.191	GO:0009245; GO:0016020; GO:0016410; GO:0103118	kegg:ppu00540	Lipopolysaccharide biosynthesis	true	Curated module	ppu00540	Bacterial lipid A biosynthesis	genes/PSEPK/lpxD	PRESENT	genes/PSEPK/lpxD/lpxD-ai-review.yaml	CURATED	RUNNING	
lpxA	PP_1603	Q88MG8	LPXA_PSEPK	lpxA	lpxA PP_1603	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (UDP-N-acetylglucosamine acyltransferase) (EC 2.3.1.129)	reviewed	2.0	2.3.1.129	GO:0005737; GO:0008780; GO:0009245; GO:0016020	kegg:ppu00540	Lipopolysaccharide biosynthesis	true	Curated module	ppu00540	Bacterial lipid A biosynthesis	genes/PSEPK/lpxA	PRESENT	genes/PSEPK/lpxA/lpxA-ai-review.yaml	CURATED	RUNNING	
lpxB	PP_1604	Q88MG7	LPXB_PSEPK	lpxB	lpxB PP_1604	Lipid-A-disaccharide synthase (EC 2.4.1.182)	reviewed	2.0	2.4.1.182	GO:0005543; GO:0008915; GO:0009245; GO:0016020	kegg:ppu00540	Lipopolysaccharide biosynthesis	true	Curated module	ppu00540	Bacterial lipid A biosynthesis	genes/PSEPK/lpxB	PRESENT	genes/PSEPK/lpxB/lpxB-ai-review.yaml	CURATED	RUNNING	
kdsA1	PP_1611	Q88MG0	KDSA1_PSEPK	kdsA1	kdsA1 kdsA-1 PP_1611	2-dehydro-3-deoxyphosphooctonate aldolase 1 (EC 2.5.1.55) (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase 1) (KDO-8-phosphate synthase 1) (KDO 8-P synthase 1) (KDOPS 1) (Phospho-2-dehydro-3-deoxyoctonate aldolase 1)	reviewed	3.0	2.5.1.55	GO:0005737; GO:0008676; GO:0019294	kegg:ppu00541	Biosynthesis of various nucleotide sugars	true	Curated module	ppu00540	Bacterial lipid A biosynthesis	genes/PSEPK/kdsA1	PRESENT	genes/PSEPK/kdsA1/kdsA1-ai-review.yaml	CURATED	RUNNING	
htrB	PP_1735	Q88M40	Q88M40_PSEPK	htrB	htrB lpxL PP_1735	Lipid A biosynthesis acyltransferase (EC 2.3.1.241) (Kdo(2)-lipid IV(A) acyltransferase)	unreviewed	3.0	2.3.1.241	GO:0005886; GO:0008913; GO:0009103; GO:0009245; GO:0036104	kegg:ppu00540	Lipopolysaccharide biosynthesis	true	Curated module	ppu00540	Bacterial lipid A biosynthesis	genes/PSEPK/htrB	PRESENT	genes/PSEPK/htrB/htrB-ai-review.yaml	CURATED	RUNNING	
kdsA2	PP_1807	Q88LX0	KDSA2_PSEPK	kdsA2	kdsA2 kdsA-2 PP_1807	2-dehydro-3-deoxyphosphooctonate aldolase 2 (EC 2.5.1.55) (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase 2) (KDO-8-phosphate synthase 2) (KDO 8-P synthase 2) (KDOPS 2) (Phospho-2-dehydro-3-deoxyoctonate aldolase 2)	reviewed	3.0	2.5.1.55	GO:0005737; GO:0008676; GO:0019294	kegg:ppu00541	Biosynthesis of various nucleotide sugars	true	Curated module	ppu00540	Bacterial lipid A biosynthesis	genes/PSEPK/kdsA2	PRESENT	genes/PSEPK/kdsA2/kdsA2-ai-review.yaml	CURATED	RUNNING	
lpxK	PP_1900	Q88LM9	LPXK_PSEPK	lpxK	lpxK PP_1900	Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130) (Lipid A 4'-kinase)	reviewed	3.0	2.7.1.130	GO:0005524; GO:0005886; GO:0009029; GO:0009244; GO:0009245	kegg:ppu00540	Lipopolysaccharide biosynthesis	true	Curated module	ppu00540	Bacterial lipid A biosynthesis	genes/PSEPK/lpxK	PRESENT	genes/PSEPK/lpxK/lpxK-ai-review.yaml	CURATED	RUNNING	
kdsB	PP_1902	Q88LM7	KDSB_PSEPK	kdsB	kdsB PP_1902	3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38) (CMP-2-keto-3-deoxyoctulosonic acid synthase) (CKS) (CMP-KDO synthase)	reviewed	2.0	2.7.7.38	GO:0005829; GO:0008690; GO:0009103; GO:0033468	kegg:ppu00541	Biosynthesis of various nucleotide sugars	true	Curated module	ppu00540	Bacterial lipid A biosynthesis	genes/PSEPK/kdsB	PRESENT	genes/PSEPK/kdsB/kdsB-ai-review.yaml	CURATED	RUNNING	
lpxH	PP_2902	Q88IU7	LPXH_PSEPK	lpxH	lpxH PP_2902	UDP-2,3-diacylglucosamine hydrolase (EC 3.6.1.54) (UDP-2,3-diacylglucosamine diphosphatase)	reviewed	3.0	3.6.1.54	GO:0005737; GO:0008758; GO:0009245; GO:0019897; GO:0030145	kegg:ppu00540	Lipopolysaccharide biosynthesis	true	Curated module	ppu00540	Bacterial lipid A biosynthesis	genes/PSEPK/lpxH	PRESENT	genes/PSEPK/lpxH/lpxH-ai-review.yaml	CURATED	RUNNING	
waaA	PP_4928	Q88D99	Q88D99_PSEPK	waaA	waaA PP_4928	3-deoxy-D-manno-octulosonic acid transferase (Kdo transferase) (EC 2.4.99.12) (Lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase)	unreviewed	3.0	2.4.99.12	GO:0005886; GO:0009244; GO:0009245; GO:0043842	kegg:ppu00540	Lipopolysaccharide biosynthesis	true	Curated module	ppu00540	Bacterial lipid A biosynthesis	genes/PSEPK/waaA	PRESENT	genes/PSEPK/waaA/waaA-ai-review.yaml	CURATED	RUNNING	
