scope_decision	gene	ordered_locus	uniprot_accession	module_role	branch	review_status	openscientist_status	review_file	research_file	rationale
SHARED_ENTRY	ilvE	PP_3511	Q88H54	reversible BCAA aminotransferase	shared	CURATED	COMPLETE	genes/PSEPK/ilvE/ilvE-ai-review.yaml	genes/PSEPK/ilvE/ilvE-deep-research-openscientist.md	Exact reversible EC 2.6.1.42 chemistry; supplies all three Bkd substrates
SHARED_COMPLEX	bkdAA	PP_4401	Q88EQ2	BCKDH E1 alpha subunit	shared	CURATED	NO_ARTIFACT	genes/PSEPK/bkdAA/bkdAA-ai-review.yaml		Exact EC 1.2.4.4 E1-alpha record in PP_4401-PP_4404 cluster
SHARED_COMPLEX	bkdAB	PP_4402	Q88EQ1	BCKDH E1 beta subunit	shared	CURATED	NO_ARTIFACT	genes/PSEPK/bkdAB/bkdAB-ai-review.yaml		Exact EC 1.2.4.4 E1-beta record and alpha2-beta2 assembly
SHARED_COMPLEX	bkdB	PP_4403	Q88EQ0	BCKDH E2 lipoamide acyltransferase	shared	CURATED	NO_ARTIFACT	genes/PSEPK/bkdB/bkdB-ai-review.yaml		BCKDH E2-specific PANTHER subfamily and operon context correct generic acetyltransferase transfer
SHARED_COMPLEX	lpdV	PP_4404	Q88EP9	BCKDH-specific E3 dihydrolipoyl dehydrogenase	shared	CURATED	COMPLETE	genes/PSEPK/lpdV/lpdV-ai-review.yaml	genes/PSEPK/lpdV/lpdV-deep-research-openscientist.md	Direct reconstitution distinguishes LPD-val from housekeeping LPD-glc
DELEGATED_BRANCH	ivd	PP_4064	Q88FM5	3-methylbutanoyl-CoA dehydrogenase gateway	leucine	CURATED	NOT_REQUIRED	genes/PSEPK/ivd/ivd-ai-review.yaml		Complete distal route is maintained in leucine_catabolism
DELEGATED_BRANCH	mccA	PP_4067	Q88FM2	MCC biotin-carboxylase/carrier subunit	leucine	CURATED	NOT_REQUIRED	genes/PSEPK/mccA/mccA-ai-review.yaml		Already curated in landed distal leucine scope
DELEGATED_BRANCH	mccB	PP_4065	Q88FM4	MCC carboxyltransferase subunit	leucine	CURATED	NOT_REQUIRED	genes/PSEPK/mccB/mccB-ai-review.yaml		Already curated in landed distal leucine scope
DELEGATED_BRANCH	liuC	PP_4066	Q88FM3	methylglutaconyl-CoA hydratase	leucine	CURATED	COMPLETE	genes/PSEPK/liuC/liuC-ai-review.yaml	genes/PSEPK/liuC/liuC-deep-research-openscientist.md	Already curated in landed distal leucine scope
DELEGATED_BRANCH	mvaB	PP_3540	Q88H25	HMG-CoA lyase	leucine	CURATED	COMPLETE	genes/PSEPK/mvaB/mvaB-ai-review.yaml	genes/PSEPK/mvaB/mvaB-deep-research-openscientist.md	Already curated in landed distal leucine scope
VALINE_CORE	mmsB	PP_4666	Q88E02	3-hydroxyisobutyrate dehydrogenase	valine	CURATED	NO_ARTIFACT	genes/PSEPK/mmsB/mmsB-ai-review.yaml		Exact NAD-dependent RHEA:17681 reaction and valine pathway comment
VALINE_CORE	mmsA-II	PP_4667	Q88E01	methylmalonate-semialdehyde dehydrogenase	valine	CURATED	NO_ARTIFACT	genes/PSEPK/mmsA-II/mmsA-II-ai-review.yaml		Exact EC 1.2.1.27 family and adjacency to mmsB; unsupported thymine-pathway transfer marked over-annotated
