suggested_review_name	ordered_locus	uniprot_accession	entry_name	primary_gene	all_gene_names	protein_name	reviewed	annotation_score	ec_numbers	go_ids	primary_bucket_id	primary_bucket_label	is_primary_for_pathway	membership_source	membership_pathway_id	membership_pathway_name	gene_dir	review_status	review_file	curation_status	asta_research_status	asta_research_file
ssuE	PP_0236	Q88R97	SSUE_PSEPK	ssuE	ssuE PP_0236	FMN reductase (NADPH) (EC 1.5.1.38) (FMN reductase)	reviewed	2.0	1.5.1.38	GO:0016655; GO:0046306; GO:0052873	kegg:ppu00740	Riboflavin metabolism	true	KEGG	ppu00740	Riboflavin metabolism	genes/PSEPK/ssuE	MISSING		MISSING	MISSING	NO_FILE
ribD	PP_0514	Q88QH9	Q88QH9_PSEPK	ribD	ribD PP_0514	Riboflavin biosynthesis protein RibD [Includes: Diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (EC 3.5.4.26) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase)]	unreviewed	3.0	1.1.1.193; 3.5.4.26	GO:0008270; GO:0008703; GO:0008835; GO:0009231; GO:0050661	kegg:ppu00740	Riboflavin metabolism	true	KEGG	ppu00740	Riboflavin metabolism	genes/PSEPK/ribD	MISSING		MISSING	MISSING	NO_FILE
ribE	PP_0515	Q88QH8	Q88QH8_PSEPK	ribE	ribE PP_0515	Riboflavin synthase (EC 2.5.1.9)	unreviewed	2.0	2.5.1.9	GO:0004746; GO:0009231	kegg:ppu00740	Riboflavin metabolism	true	KEGG	ppu00740	Riboflavin metabolism	genes/PSEPK/ribE	MISSING		MISSING	MISSING	NO_FILE
ribAB-I	PP_0516	Q88QH7	Q88QH7_PSEPK	ribAB-I	ribAB-I ribB PP_0516	3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12)	unreviewed	3.0	4.1.99.12	GO:0000287; GO:0003935; GO:0005829; GO:0008686; GO:0009231; GO:0030145	kegg:ppu00740	Riboflavin metabolism	true	KEGG	ppu00740	Riboflavin metabolism	genes/PSEPK/ribAB-I	MISSING		MISSING	MISSING	NO_FILE
ribH	PP_0517	Q88QH6	RISB_PSEPK	ribH	ribH PP_0517	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	reviewed	3.0	2.5.1.78	GO:0000906; GO:0005829; GO:0009231; GO:0009349	kegg:ppu00740	Riboflavin metabolism	true	KEGG	ppu00740	Riboflavin metabolism	genes/PSEPK/ribH	MISSING		MISSING	MISSING	NO_FILE
ribA	PP_0522	Q88QH1	RIBA_PSEPK	ribA	ribA PP_0522	GTP cyclohydrolase-2 (EC 3.5.4.25) (GTP cyclohydrolase II)	reviewed	3.0	3.5.4.25	GO:0003935; GO:0005525; GO:0005829; GO:0008270; GO:0009231	kegg:ppu00740	Riboflavin metabolism	true	KEGG	ppu00740	Riboflavin metabolism	genes/PSEPK/ribA	MISSING		MISSING	MISSING	NO_FILE
ribB	PP_0530	Q88QG4	RIBB_PSEPK	ribB	ribB PP_0530	3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12)	reviewed	3.0	4.1.99.12	GO:0000287; GO:0005829; GO:0008686; GO:0009231; GO:0030145	kegg:ppu00740	Riboflavin metabolism	true	KEGG	ppu00740	Riboflavin metabolism	genes/PSEPK/ribB	MISSING		MISSING	MISSING	NO_FILE
ubiX	PP_0548	Q88QE6	Q88QE6_PSEPK	ubiX	ubiX PP_0548	Flavin prenyltransferase UbiX (EC 2.5.1.129)	unreviewed	2.0	2.5.1.129	GO:0016831; GO:0106141	kegg:ppu00627	Aminobenzoate degradation	false	KEGG	ppu00740	Riboflavin metabolism	genes/PSEPK/ubiX	MISSING		MISSING	MISSING	NO_FILE
ribF	PP_0602	Q88Q93	Q88Q93_PSEPK	ribF	ribF PP_0602	Riboflavin biosynthesis protein [Includes: Riboflavin kinase (EC 2.7.1.26) (Flavokinase); FMN adenylyltransferase (EC 2.7.7.2) (FAD pyrophosphorylase) (FAD synthase)]	unreviewed	3.0	2.7.1.26; 2.7.7.2	GO:0003919; GO:0005524; GO:0006747; GO:0008531; GO:0009231; GO:0009398	kegg:ppu00740	Riboflavin metabolism	true	KEGG	ppu00740	Riboflavin metabolism	genes/PSEPK/ribF	MISSING		MISSING	MISSING	NO_FILE
bluB	PP_1674	Q88MA0	Q88MA0_PSEPK	bluB	bluB PP_1674	5,6-dimethylbenzimidazole synthase (EC 1.13.11.79)	unreviewed	1.0	1.13.11.79	GO:0102919	kegg:ppu00740	Riboflavin metabolism	true	KEGG	ppu00740	Riboflavin metabolism	genes/PSEPK/bluB	MISSING		MISSING	MISSING	NO_FILE
