gene	ordered_locus	uniprot_accession	protein_name	ec_numbers	go_ids	interpro_ids	pfam_ids	panther_ids	keywords	partition_bucket	partition_label	proposed_module	recommended_action	bucket_status	notes	review_status	curation_status	asta_research_status
PP_0680	PP_0680	Q88Q18	endopeptidase La (EC 3.4.21.53)	3.4.21.53	GO:0004176; GO:0004252; GO:0005524; GO:0006508; GO:0030163	IPR041699;IPR046844;IPR008269;IPR027065;IPR046843;IPR027417;IPR020568;IPR014721;	PF13654;PF05362;PF20436;PF20437;	PTHR10046;	Hydrolase;Protease;Reference proteome;Serine protease	atp_dependent_protease_turnover	ATP-dependent protease and protein-turnover systems	bacterial_atp_dependent_protein_turnover_boundary	NEW_SUBMODULE	QUEUED	Lon, Clp, HslUV, and related AAA+ protease/unfoldase or adaptor components. Curate proteolysis, ATP hydrolysis/unfoldase, and complex membership conservatively; do not assume every ATPase subunit has the peptidase catalytic activity.	PRESENT	CURATED	PRESENT
sspB	PP_1321	Q88N91	ClpXP protease specificity-enhancing factor		GO:0005829; GO:0005840; GO:0006508; GO:0008233; GO:0045732	IPR007481;IPR036760;	PF04386;	PTHR37486;PTHR37486:SF1;	Hydrolase;Protease;Reference proteome	atp_dependent_protease_turnover	ATP-dependent protease and protein-turnover systems	bacterial_atp_dependent_protein_turnover_boundary	NEW_SUBMODULE	QUEUED	Lon, Clp, HslUV, and related AAA+ protease/unfoldase or adaptor components. Curate proteolysis, ATP hydrolysis/unfoldase, and complex membership conservatively; do not assume every ATPase subunit has the peptidase catalytic activity.	PRESENT	CURATED	PRESENT
lon-I	PP_1443	Q88MX5	Lon protease (EC 3.4.21.53) (ATP-dependent protease La)	3.4.21.53	GO:0004176; GO:0004252; GO:0005524; GO:0005737; GO:0006515; GO:0016887; GO:0034605; GO:0043565	IPR003593;IPR003959;IPR027543;IPR004815;IPR054594;IPR008269;IPR027065;IPR003111;IPR046336;IPR027417;IPR008268;IPR015947;IPR020568;IPR014721;	PF00004;PF05362;PF22667;PF02190;	PTHR43718;PTHR43718:SF2;	ATP-binding;Cytoplasm;DNA-binding;Hydrolase;Nucleotide-binding;Protease;Reference proteome;Serine protease;Stress response	atp_dependent_protease_turnover	ATP-dependent protease and protein-turnover systems	bacterial_atp_dependent_protein_turnover_boundary	NEW_SUBMODULE	QUEUED	Lon, Clp, HslUV, and related AAA+ protease/unfoldase or adaptor components. Curate proteolysis, ATP hydrolysis/unfoldase, and complex membership conservatively; do not assume every ATPase subunit has the peptidase catalytic activity.	PRESENT	CURATED	PRESENT
clpP	PP_2300	Q88KJ0	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp)	3.4.21.92	GO:0004176; GO:0004252; GO:0005737; GO:0006515; GO:0009368; GO:0051117	IPR001907;IPR029045;IPR023562;IPR033135;IPR018215;	PF00574;	PTHR10381;PTHR10381:SF70;	Cytoplasm;Hydrolase;Protease;Reference proteome;Serine protease	atp_dependent_protease_turnover	ATP-dependent protease and protein-turnover systems	bacterial_atp_dependent_protein_turnover_boundary	NEW_SUBMODULE	QUEUED	Lon, Clp, HslUV, and related AAA+ protease/unfoldase or adaptor components. Curate proteolysis, ATP hydrolysis/unfoldase, and complex membership conservatively; do not assume every ATPase subunit has the peptidase catalytic activity.	PRESENT	CURATED	PRESENT
clpX	PP_2301	Q88KI9	ATP-dependent Clp protease ATP-binding subunit ClpX		GO:0005524; GO:0008270; GO:0009376; GO:0016887; GO:0046983; GO:0051082; GO:0051301; GO:0051603; GO:0140662	IPR003593;IPR050052;IPR003959;IPR019489;IPR004487;IPR046425;IPR027417;IPR059188;IPR010603;IPR038366;	PF07724;PF10431;PF06689;	PTHR48102:SF7;PTHR48102;	ATP-binding;Chaperone;Metal-binding;Nucleotide-binding;Reference proteome;Zinc	atp_dependent_protease_turnover	ATP-dependent protease and protein-turnover systems	bacterial_atp_dependent_protein_turnover_boundary	NEW_SUBMODULE	QUEUED	Lon, Clp, HslUV, and related AAA+ protease/unfoldase or adaptor components. Curate proteolysis, ATP hydrolysis/unfoldase, and complex membership conservatively; do not assume every ATPase subunit has the peptidase catalytic activity.	PRESENT	CURATED	PRESENT
lon-II	PP_2302	Q88KI8	Lon protease (EC 3.4.21.53) (ATP-dependent protease La)	3.4.21.53	GO:0004176; GO:0004252; GO:0005524; GO:0005737; GO:0006515; GO:0016887; GO:0034605; GO:0043565	IPR003593;IPR003959;IPR027543;IPR004815;IPR054594;IPR008269;IPR027065;IPR003111;IPR046336;IPR027417;IPR015947;IPR020568;IPR014721;	PF00004;PF05362;PF22667;PF02190;	PTHR10046;	ATP-binding;Cytoplasm;DNA-binding;Hydrolase;Nucleotide-binding;Protease;Reference proteome;Serine protease;Stress response	atp_dependent_protease_turnover	ATP-dependent protease and protein-turnover systems	bacterial_atp_dependent_protein_turnover_boundary	NEW_SUBMODULE	QUEUED	Lon, Clp, HslUV, and related AAA+ protease/unfoldase or adaptor components. Curate proteolysis, ATP hydrolysis/unfoldase, and complex membership conservatively; do not assume every ATPase subunit has the peptidase catalytic activity.	PRESENT	CURATED	PRESENT
PP_3045	PP_3045	Q88IF4	ATP-dependent Clp protease proteolytic subunit		GO:0004176; GO:0004252; GO:0006515; GO:0009368; GO:0051117	IPR001907;IPR029045;IPR023562;	PF00574;	PTHR10381;PTHR10381:SF70;	Cytoplasm;Hydrolase;Protease;Reference proteome;Serine protease	atp_dependent_protease_turnover	ATP-dependent protease and protein-turnover systems	bacterial_atp_dependent_protein_turnover_boundary	NEW_SUBMODULE	QUEUED	Lon, Clp, HslUV, and related AAA+ protease/unfoldase or adaptor components. Curate proteolysis, ATP hydrolysis/unfoldase, and complex membership conservatively; do not assume every ATPase subunit has the peptidase catalytic activity.	PRESENT	CURATED	PRESENT
PP_3267	PP_3267	Q88HT6	Clp protease		GO:0006508; GO:0008233	IPR029045;IPR023562;	PF00574;		Hydrolase;Protease;Reference proteome	atp_dependent_protease_turnover	ATP-dependent protease and protein-turnover systems	bacterial_atp_dependent_protein_turnover_boundary	NEW_SUBMODULE	QUEUED	Lon, Clp, HslUV, and related AAA+ protease/unfoldase or adaptor components. Curate proteolysis, ATP hydrolysis/unfoldase, and complex membership conservatively; do not assume every ATPase subunit has the peptidase catalytic activity.	PRESENT	CURATED	PRESENT
clpA	PP_4008	Q88FS5	ATP-dependent serine protease (EC 3.4.21.92)	3.4.21.92	GO:0004252; GO:0005524; GO:0005737; GO:0006508; GO:0016887; GO:0034605; GO:0043335	IPR003593;IPR003959;IPR019489;IPR036628;IPR004176;IPR013461;IPR001270;IPR018368;IPR028299;IPR041546;IPR050130;IPR027417;	PF00004;PF07724;PF17871;PF02861;PF10431;	PTHR11638;PTHR11638:SF111;	ATP-binding;Chaperone;Hydrolase;Nucleotide-binding;Protease;Reference proteome;Repeat	atp_dependent_protease_turnover	ATP-dependent protease and protein-turnover systems	bacterial_atp_dependent_protein_turnover_boundary	NEW_SUBMODULE	QUEUED	Lon, Clp, HslUV, and related AAA+ protease/unfoldase or adaptor components. Curate proteolysis, ATP hydrolysis/unfoldase, and complex membership conservatively; do not assume every ATPase subunit has the peptidase catalytic activity.	PRESENT	CURATED	PRESENT
clpS	PP_4009	Q88FS4	ATP-dependent Clp protease adapter protein ClpS		GO:0006508; GO:0030163	IPR022935;IPR003769;IPR014719;	PF02617;	PTHR33473:SF19;PTHR33473;	Reference proteome	atp_dependent_protease_turnover	ATP-dependent protease and protein-turnover systems	bacterial_atp_dependent_protein_turnover_boundary	NEW_SUBMODULE	QUEUED	Lon, Clp, HslUV, and related AAA+ protease/unfoldase or adaptor components. Curate proteolysis, ATP hydrolysis/unfoldase, and complex membership conservatively; do not assume every ATPase subunit has the peptidase catalytic activity.	PRESENT	CURATED	PRESENT
