gene_symbol	ordered_locus	uniprot_accession	module_part	implementation	review_file	curation_status
xcpP	PP_1045	Q88P08	inner-membrane platform	GspC envelope connector	genes/PSEPK/xcpP/xcpP-ai-review.yaml	CURATED
gspF	PP_1048	Q88P05	inner-membrane platform	GspF platform core	genes/PSEPK/gspF/gspF-ai-review.yaml	CURATED
xcpY	PP_1053	Q88P00	inner-membrane platform	GspL ATPase-facing subunit	genes/PSEPK/xcpY/xcpY-ai-review.yaml	CURATED
xcpZ	PP_1054	Q88NZ9	inner-membrane platform	GspM platform stabilizer	genes/PSEPK/xcpZ/xcpZ-ai-review.yaml	CURATED
gspE	PP_1047	Q88P06	secretion ATPase	ATP-hydrolyzing motor	genes/PSEPK/gspE/gspE-ai-review.yaml	CURATED
pilD	PP_0632	Q88Q64	pseudopilus	shared prepilin leader peptidase/N-methyltransferase	genes/PSEPK/pilD/pilD-ai-review.yaml	CURATED
gspG	PP_1049	Q88P04	pseudopilus	GspG major pseudopilin	genes/PSEPK/gspG/gspG-ai-review.yaml	CURATED
xcpU	PP_1050	Q88P03	pseudopilus	GspH minor pseudopilin	genes/PSEPK/xcpU/xcpU-ai-review.yaml	CURATED
xcpV	PP_1051	Q88P02	pseudopilus	GspI minor pseudopilin	genes/PSEPK/xcpV/xcpV-ai-review.yaml	CURATED
xcpW	PP_1052	Q88P01	pseudopilus	GspJ minor pseudopilin	genes/PSEPK/xcpW/xcpW-ai-review.yaml	CURATED
xcpX	PP_1042	Q88P11	pseudopilus	GspK minor pseudopilin	genes/PSEPK/xcpX/xcpX-ai-review.yaml	CURATED
xcpQ	PP_1046	Q88P07	outer-membrane secretin	GspD secretin channel	genes/PSEPK/xcpQ/xcpQ-ai-review.yaml	CURATED
