gene	ordered_locus	uniprot_accession	protein_name	partition_bucket	partition_label	proposed_module	recommended_action	bucket_status	notes	review_status	curation_status	asta_research_status
PP_0608	PP_0608	Q88Q87	Type 4 fimbrial biogenesis protein	type_iv_pilus_biogenesis_boundary	Type IV pilus biogenesis and assembly	type_iv_pilus_biogenesis_boundary	NEW_SUBMODULE	CURATED	Type IV pilus assembly, alignment, outer-membrane secretin, and envelope platform candidates curated as a dedicated T4P biogenesis boundary rather than as generic motility.	PRESENT	CURATED	PRESENT
PP_0609	PP_0609	Q88Q86	Pilus assembly protein PilW	type_iv_pilus_biogenesis_boundary	Type IV pilus biogenesis and assembly	type_iv_pilus_biogenesis_boundary	NEW_SUBMODULE	CURATED	Type IV pilus assembly, alignment, outer-membrane secretin, and envelope platform candidates curated as a dedicated T4P biogenesis boundary rather than as generic motility.	PRESENT	CURATED	PRESENT
PP_0610	PP_0610	Q88Q85	Type IV pilus assembly protein PilX	type_iv_pilus_biogenesis_boundary	Type IV pilus biogenesis and assembly	type_iv_pilus_biogenesis_boundary	NEW_SUBMODULE	CURATED	Type IV pilus assembly, alignment, outer-membrane secretin, and envelope platform candidates curated as a dedicated T4P biogenesis boundary rather than as generic motility.	PRESENT	CURATED	PRESENT
pilE	PP_0611	Q88Q84	Type IV pili biogenesis protein PilE	type_iv_pilus_biogenesis_boundary	Type IV pilus biogenesis and assembly	type_iv_pilus_biogenesis_boundary	NEW_SUBMODULE	CURATED	Type IV pilus assembly, alignment, outer-membrane secretin, and envelope platform candidates curated as a dedicated T4P biogenesis boundary rather than as generic motility.	PRESENT	CURATED	PRESENT
pilC	PP_0633	Q88Q63	Type 4 fimbrial assembly protein PilC	type_iv_pilus_biogenesis_boundary	Type IV pilus biogenesis and assembly	type_iv_pilus_biogenesis_boundary	NEW_SUBMODULE	CURATED	Type IV pilus assembly, alignment, outer-membrane secretin, and envelope platform candidates curated as a dedicated T4P biogenesis boundary rather than as generic motility.	PRESENT	CURATED	PRESENT
pilF	PP_0851	Q88PJ9	Type IV pili biogenesis protein PilF	type_iv_pilus_biogenesis_boundary	Type IV pilus biogenesis and assembly	type_iv_pilus_biogenesis_boundary	NEW_SUBMODULE	CURATED	Type IV pilus assembly, alignment, outer-membrane secretin, and envelope platform candidates curated as a dedicated T4P biogenesis boundary rather than as generic motility.	PRESENT	CURATED	PRESENT
PP_3480	PP_3480	Q88H81	Pilus assembly protein PilO	type_iv_pilus_biogenesis_boundary	Type IV pilus biogenesis and assembly	type_iv_pilus_biogenesis_boundary	NEW_SUBMODULE	CURATED	Type IV pilus assembly, alignment, outer-membrane secretin, and envelope platform candidates curated as a dedicated T4P biogenesis boundary rather than as generic motility.	PRESENT	CURATED	PRESENT
PP_3481	PP_3481	Q88H80	Pilus assembly protein	type_iv_pilus_biogenesis_boundary	Type IV pilus biogenesis and assembly	type_iv_pilus_biogenesis_boundary	NEW_SUBMODULE	CURATED	Type IV pilus assembly, alignment, outer-membrane secretin, and envelope platform candidates curated as a dedicated T4P biogenesis boundary rather than as generic motility.	PRESENT	CURATED	PRESENT
pilQ	PP_5080	Q88CV0	Type 4 pili biogenesis protein	type_iv_pilus_biogenesis_boundary	Type IV pilus biogenesis and assembly	type_iv_pilus_biogenesis_boundary	NEW_SUBMODULE	CURATED	Type IV pilus assembly, alignment, outer-membrane secretin, and envelope platform candidates curated as a dedicated T4P biogenesis boundary rather than as generic motility.	PRESENT	CURATED	PRESENT
PP_5081	PP_5081	Q88CU9	Type IV pili biogenesis protein	type_iv_pilus_biogenesis_boundary	Type IV pilus biogenesis and assembly	type_iv_pilus_biogenesis_boundary	NEW_SUBMODULE	CURATED	Type IV pilus assembly, alignment, outer-membrane secretin, and envelope platform candidates curated as a dedicated T4P biogenesis boundary rather than as generic motility.	PRESENT	CURATED	PRESENT
pilN	PP_5082	Q88CU8	Type IV pili biogenesis protein PilN	type_iv_pilus_biogenesis_boundary	Type IV pilus biogenesis and assembly	type_iv_pilus_biogenesis_boundary	NEW_SUBMODULE	CURATED	Type IV pilus assembly, alignment, outer-membrane secretin, and envelope platform candidates curated as a dedicated T4P biogenesis boundary rather than as generic motility.	PRESENT	CURATED	PRESENT
PP_5083	PP_5083	Q88CU7	Type IV pili biogenesis protein PilM	type_iv_pilus_biogenesis_boundary	Type IV pilus biogenesis and assembly	type_iv_pilus_biogenesis_boundary	NEW_SUBMODULE	CURATED	Type IV pilus assembly, alignment, outer-membrane secretin, and envelope platform candidates curated as a dedicated T4P biogenesis boundary rather than as generic motility.	PRESENT	CURATED	PRESENT
