gene	ordered_locus	uniprot_accession	protein_name	partition_bucket	partition_label	proposed_module	recommended_action	notes	review_status	curation_status	asta_research_status
parB	PP_0001	P0A151	Probable chromosome-partitioning protein ParB	chromosome_partition_condensation_boundary	Chromosome partition and condensation boundary	chromosome_partition_condensation_boundary	COMPLETED_SUBMODULE	ParB/PP_0002 origin partition candidates, MksEF-like candidates, ParA-family side ATPases, and Smc-ScpAB condensation/segregation machinery; first-pass reviews and module are complete with PP_0002 promoted from unknown.	PRESENT	CURATED	PRESENT
engB	PP_0124	Q88RK5	Probable GTP-binding protein EngB	divisome_z_ring_and_septation_boundary	Divisome, Z-ring, and septation boundary	divisome_z_ring_septation_boundary	COMPLETED_SUBMODULE	FtsZ/FtsA/ZipA/FtsQLB/DedD/Zap proteins and EngB-like septation context; first-pass reviews and a boundary module are complete.	PRESENT	CURATED	PRESENT
PP_0693	PP_0693	Q88Q05	Chromosome partitioning protein ParA	chromosome_partition_condensation_boundary	Chromosome partition and condensation boundary	chromosome_partition_condensation_boundary	COMPLETED_SUBMODULE	ParB/PP_0002 origin partition candidates, MksEF-like candidates, ParA-family side ATPases, and Smc-ScpAB condensation/segregation machinery; first-pass reviews and module are complete with PP_0002 promoted from unknown.	PRESENT	CURATED	PRESENT
PP_0694	PP_0694	Q88Q04	Chromosome partitioning protein	chromosome_partition_condensation_boundary	Chromosome partition and condensation boundary	chromosome_partition_condensation_boundary	COMPLETED_SUBMODULE	ParB/PP_0002 origin partition candidates, MksEF-like candidates, ParA-family side ATPases, and Smc-ScpAB condensation/segregation machinery; first-pass reviews and module are complete with PP_0002 promoted from unknown.	PRESENT	CURATED	PRESENT
PP_1105	PP_1105	Q88NU9	DNA ligase (ATP) (EC 6.5.1.1)	side_spillover_general_cell_cycle_terms	General cell-cycle keyword spillovers		COMPLETED_REASSIGN_OR_KEEP_OUT	DNA ligase and trigger factor enter through broad cell-cycle/cell-division keywords; first-pass reviews are complete and route PP_1105 to DNA ligase/repair context and tig to chaperone/protein-folding context.	PRESENT	CURATED	PRESENT
tolQ	PP_1219	Q88NI8	Tol-Pal system protein TolQ	tol_pal_cell_division_envelope_coordination_boundary	Tol-Pal envelope/division coordination	tol_pal_cell_division_envelope_coordination_boundary	COMPLETED_SUBMODULE	TolQ/TolR/TolB/Pal/CpoB envelope coordination and division-associated outer-membrane constriction context; first-pass reviews and module are complete with TolA promoted from the transport/membrane bucket.	PRESENT	CURATED	PRESENT
tolR	PP_1220	Q88NI7	Tol-Pal system protein TolR	tol_pal_cell_division_envelope_coordination_boundary	Tol-Pal envelope/division coordination	tol_pal_cell_division_envelope_coordination_boundary	COMPLETED_SUBMODULE	TolQ/TolR/TolB/Pal/CpoB envelope coordination and division-associated outer-membrane constriction context; first-pass reviews and module are complete with TolA promoted from the transport/membrane bucket.	PRESENT	CURATED	PRESENT
tolB	PP_1222	P0A173	Tol-Pal system protein TolB	tol_pal_cell_division_envelope_coordination_boundary	Tol-Pal envelope/division coordination	tol_pal_cell_division_envelope_coordination_boundary	COMPLETED_SUBMODULE	TolQ/TolR/TolB/Pal/CpoB envelope coordination and division-associated outer-membrane constriction context; first-pass reviews and module are complete with TolA promoted from the transport/membrane bucket.	PRESENT	CURATED	PRESENT
pal	PP_1223	P0A138	Peptidoglycan-associated lipoprotein (PAL)	tol_pal_cell_division_envelope_coordination_boundary	Tol-Pal envelope/division coordination	tol_pal_cell_division_envelope_coordination_boundary	COMPLETED_SUBMODULE	TolQ/TolR/TolB/Pal/CpoB envelope coordination and division-associated outer-membrane constriction context; first-pass reviews and module are complete with TolA promoted from the transport/membrane bucket.	PRESENT	CURATED	PRESENT
cpoB	PP_1224	P0A130	Cell division coordinator CpoB	tol_pal_cell_division_envelope_coordination_boundary	Tol-Pal envelope/division coordination	tol_pal_cell_division_envelope_coordination_boundary	COMPLETED_SUBMODULE	TolQ/TolR/TolB/Pal/CpoB envelope coordination and division-associated outer-membrane constriction context; first-pass reviews and module are complete with TolA promoted from the transport/membrane bucket.	PRESENT	CURATED	PRESENT
PP_1309	PP_1309	Q88NA3	Z-ring associated protein G (Cell division protein ZapG)	divisome_z_ring_and_septation_boundary	Divisome, Z-ring, and septation boundary	divisome_z_ring_septation_boundary	COMPLETED_SUBMODULE	FtsZ/FtsA/ZipA/FtsQLB/DedD/Zap proteins and EngB-like septation context; first-pass reviews and a boundary module are complete.	PRESENT	CURATED	PRESENT
zapE	PP_1312	Q88NA0	Cell division protein ZapE (Z ring-associated protein ZapE)	divisome_z_ring_and_septation_boundary	Divisome, Z-ring, and septation boundary	divisome_z_ring_septation_boundary	COMPLETED_SUBMODULE	FtsZ/FtsA/ZipA/FtsQLB/DedD/Zap proteins and EngB-like septation context; first-pass reviews and a boundary module are complete.	PRESENT	CURATED	PRESENT
ftsL	PP_1330	Q88N83	Cell division protein FtsL	divisome_z_ring_and_septation_boundary	Divisome, Z-ring, and septation boundary	divisome_z_ring_septation_boundary	COMPLETED_SUBMODULE	FtsZ/FtsA/ZipA/FtsQLB/DedD/Zap proteins and EngB-like septation context; first-pass reviews and a boundary module are complete.	PRESENT	CURATED	PRESENT
ftsQ	PP_1340	Q88N73	Cell division protein FtsQ	divisome_z_ring_and_septation_boundary	Divisome, Z-ring, and septation boundary	divisome_z_ring_septation_boundary	COMPLETED_SUBMODULE	FtsZ/FtsA/ZipA/FtsQLB/DedD/Zap proteins and EngB-like septation context; first-pass reviews and a boundary module are complete.	PRESENT	CURATED	PRESENT
ftsA	PP_1341	Q88N72	Cell division protein FtsA	divisome_z_ring_and_septation_boundary	Divisome, Z-ring, and septation boundary	divisome_z_ring_septation_boundary	COMPLETED_SUBMODULE	FtsZ/FtsA/ZipA/FtsQLB/DedD/Zap proteins and EngB-like septation context; first-pass reviews and a boundary module are complete.	PRESENT	CURATED	PRESENT
ftsZ	PP_1342	Q59692	Cell division protein FtsZ	divisome_z_ring_and_septation_boundary	Divisome, Z-ring, and septation boundary	divisome_z_ring_septation_boundary	COMPLETED_SUBMODULE	FtsZ/FtsA/ZipA/FtsQLB/DedD/Zap proteins and EngB-like septation context; first-pass reviews and a boundary module are complete.	PRESENT	CURATED	PRESENT
xerD	PP_1468	Q88MV0	Tyrosine recombinase XerD	chromosome_dimer_resolution_and_dna_translocation_boundary	Chromosome dimer resolution and DNA translocation	chromosome_dimer_resolution_dna_translocation_boundary	COMPLETED_SUBMODULE	XerC/XerD recombinases, FtsK DNA translocase, and a phage-integrase-family side candidate; first-pass reviews and module are complete.	PRESENT	CURATED	PRESENT
