gene	ordered_locus	uniprot_accession	protein_name	ec_numbers	go_ids	interpro_ids	pfam_ids	keywords	partition_bucket	partition_label	proposed_module	recommended_action	bucket_status	notes	review_status	curation_status	asta_research_status
PP_0051	PP_0051	Q88RS8	Sigma-54 dependent transcriptional regulator		GO:0005524; GO:0006351; GO:0006355; GO:0016301; GO:0043565	IPR003593;IPR058031;IPR009057;IPR002197;IPR027417;IPR000014;IPR035965;IPR013656;IPR002078;IPR025662;IPR025943;IPR025944;	PF25601;PF02954;PF08448;PF00158;	ATP-binding;DNA-binding;Kinase;Nucleotide-binding;Reference proteome;Transcription;Transcription regulation;Transferase	sigma54_enhancer_binding_regulators	Sigma-54 enhancer-binding regulators and LuxR-like EBPs	sigma54_enhancer_binding_regulator_boundary	COMPLETED_SUBMODULE	CURATED	AAA+ sigma-54 enhancer-binding regulators and related LuxR-like DNA-binding regulators. First-pass curation is complete for all 16 genes; the split is represented in the sigma-54 enhancer-binding regulator boundary module. ATP binding is retained as non-core cofactor context for sigma-54 activators, LuxR/GerE regulators are kept generic pending regulon evidence, and PP_5473 remains no-core unresolved.	PRESENT	CURATED	PRESENT
PP_0546	PP_0546	Q88QE8	Sigma-54 dependent transcriptional regulator		GO:0005524; GO:0006351; GO:0006355; GO:0043565	IPR003593;IPR058031;IPR029016;IPR009057;IPR002197;IPR060265;IPR027417;IPR000014;IPR035965;IPR002078;IPR025943;	PF25601;PF02954;PF26965;PF13426;PF00158;	ATP-binding;DNA-binding;Nucleotide-binding;Reference proteome;Transcription;Transcription regulation	sigma54_enhancer_binding_regulators	Sigma-54 enhancer-binding regulators and LuxR-like EBPs	sigma54_enhancer_binding_regulator_boundary	COMPLETED_SUBMODULE	CURATED	AAA+ sigma-54 enhancer-binding regulators and related LuxR-like DNA-binding regulators. First-pass curation is complete for all 16 genes; the split is represented in the sigma-54 enhancer-binding regulator boundary module. ATP binding is retained as non-core cofactor context for sigma-54 activators, LuxR/GerE regulators are kept generic pending regulon evidence, and PP_5473 remains no-core unresolved.	PRESENT	CURATED	PRESENT
PP_0767	PP_0767	Q88PT1	Transcriptional regulator, LuxR family		GO:0003677; GO:0006351; GO:0006355	IPR027417;IPR016032;IPR011990;IPR041617;IPR000792;IPR036388;IPR059106;	PF00196;PF17874;PF25873;	DNA-binding;Reference proteome;Transcription;Transcription regulation	sigma54_enhancer_binding_regulators	Sigma-54 enhancer-binding regulators and LuxR-like EBPs	sigma54_enhancer_binding_regulator_boundary	COMPLETED_SUBMODULE	CURATED	AAA+ sigma-54 enhancer-binding regulators and related LuxR-like DNA-binding regulators. First-pass curation is complete for all 16 genes; the split is represented in the sigma-54 enhancer-binding regulator boundary module. ATP binding is retained as non-core cofactor context for sigma-54 activators, LuxR/GerE regulators are kept generic pending regulon evidence, and PP_5473 remains no-core unresolved.	PRESENT	CURATED	PRESENT
PP_2259	PP_2259	Q88KN1	Sigma-54 dependent transcriptional regulator		GO:0005524; GO:0006351; GO:0006355; GO:0043565	IPR003593;IPR058031;IPR029016;IPR009057;IPR002197;IPR027417;IPR002078;IPR025662;	PF25601;PF02954;PF00158;	ATP-binding;Nucleotide-binding;Reference proteome;Transcription;Transcription regulation	sigma54_enhancer_binding_regulators	Sigma-54 enhancer-binding regulators and LuxR-like EBPs	sigma54_enhancer_binding_regulator_boundary	COMPLETED_SUBMODULE	CURATED	AAA+ sigma-54 enhancer-binding regulators and related LuxR-like DNA-binding regulators. First-pass curation is complete for all 16 genes; the split is represented in the sigma-54 enhancer-binding regulator boundary module. ATP binding is retained as non-core cofactor context for sigma-54 activators, LuxR/GerE regulators are kept generic pending regulon evidence, and PP_5473 remains no-core unresolved.	PRESENT	CURATED	PRESENT
PP_2587	PP_2587	Q88JR2	LuxR family transcriptional regulator		GO:0003677; GO:0006351; GO:0006355	IPR016032;IPR000792;IPR036388;	PF00196;	DNA-binding;Reference proteome;Transcription;Transcription regulation	sigma54_enhancer_binding_regulators	Sigma-54 enhancer-binding regulators and LuxR-like EBPs	sigma54_enhancer_binding_regulator_boundary	COMPLETED_SUBMODULE	CURATED	AAA+ sigma-54 enhancer-binding regulators and related LuxR-like DNA-binding regulators. First-pass curation is complete for all 16 genes; the split is represented in the sigma-54 enhancer-binding regulator boundary module. ATP binding is retained as non-core cofactor context for sigma-54 activators, LuxR/GerE regulators are kept generic pending regulon evidence, and PP_5473 remains no-core unresolved.	PRESENT	CURATED	PRESENT
PP_2771	PP_2771	Q88J78	Sigma-54 dependent transcriptional regulator		GO:0003677; GO:0005524; GO:0006351; GO:0006355	IPR003593;IPR058031;IPR027417;IPR002078;IPR025662;IPR025944;	PF25601;PF00158;	ATP-binding;DNA-binding;Nucleotide-binding;Reference proteome;Transcription;Transcription regulation	sigma54_enhancer_binding_regulators	Sigma-54 enhancer-binding regulators and LuxR-like EBPs	sigma54_enhancer_binding_regulator_boundary	COMPLETED_SUBMODULE	CURATED	AAA+ sigma-54 enhancer-binding regulators and related LuxR-like DNA-binding regulators. First-pass curation is complete for all 16 genes; the split is represented in the sigma-54 enhancer-binding regulator boundary module. ATP binding is retained as non-core cofactor context for sigma-54 activators, LuxR/GerE regulators are kept generic pending regulon evidence, and PP_5473 remains no-core unresolved.	PRESENT	CURATED	PRESENT
PP_3075	PP_3075	Q88IC4	Transcriptional regulator		GO:0005524; GO:0006351; GO:0006355; GO:0043565	IPR003593;IPR058031;IPR009057;IPR002197;IPR027417;IPR000014;IPR035965;IPR002078;IPR025662;IPR025943;IPR025944;	PF25601;PF02954;PF13188;PF00158;	ATP-binding;DNA-binding;Nucleotide-binding;Reference proteome;Transcription;Transcription regulation	sigma54_enhancer_binding_regulators	Sigma-54 enhancer-binding regulators and LuxR-like EBPs	sigma54_enhancer_binding_regulator_boundary	COMPLETED_SUBMODULE	CURATED	AAA+ sigma-54 enhancer-binding regulators and related LuxR-like DNA-binding regulators. First-pass curation is complete for all 16 genes; the split is represented in the sigma-54 enhancer-binding regulator boundary module. ATP binding is retained as non-core cofactor context for sigma-54 activators, LuxR/GerE regulators are kept generic pending regulon evidence, and PP_5473 remains no-core unresolved.	PRESENT	CURATED	PRESENT
PP_3467	PP_3467	Q88H93	Sigma-54 dependent transcriptional regulator		GO:0003700; GO:0005524; GO:0006351; GO:0043565	IPR003593;IPR058031;IPR029016;IPR009057;IPR002197;IPR000847;IPR060265;IPR027417;IPR000014;IPR035965;IPR002078;IPR025662;IPR025943;	PF25601;PF02954;PF26965;PF00158;	ATP-binding;DNA-binding;Nucleotide-binding;Reference proteome;Transcription;Transcription regulation	sigma54_enhancer_binding_regulators	Sigma-54 enhancer-binding regulators and LuxR-like EBPs	sigma54_enhancer_binding_regulator_boundary	COMPLETED_SUBMODULE	CURATED	AAA+ sigma-54 enhancer-binding regulators and related LuxR-like DNA-binding regulators. First-pass curation is complete for all 16 genes; the split is represented in the sigma-54 enhancer-binding regulator boundary module. ATP binding is retained as non-core cofactor context for sigma-54 activators, LuxR/GerE regulators are kept generic pending regulon evidence, and PP_5473 remains no-core unresolved.	PRESENT	CURATED	PRESENT
PP_3503	PP_3503	Q88H62	Sigma-54 dependent transcriptional regulator		GO:0003677; GO:0005524; GO:0006351; GO:0006355	IPR003593;IPR058031;IPR009057;IPR027417;IPR002078;IPR025662;IPR025943;IPR025944;IPR045343;	PF25601;PF00158;PF20161;	ATP-binding;DNA-binding;Nucleotide-binding;Reference proteome;Transcription;Transcription regulation	sigma54_enhancer_binding_regulators	Sigma-54 enhancer-binding regulators and LuxR-like EBPs	sigma54_enhancer_binding_regulator_boundary	COMPLETED_SUBMODULE	CURATED	AAA+ sigma-54 enhancer-binding regulators and related LuxR-like DNA-binding regulators. First-pass curation is complete for all 16 genes; the split is represented in the sigma-54 enhancer-binding regulator boundary module. ATP binding is retained as non-core cofactor context for sigma-54 activators, LuxR/GerE regulators are kept generic pending regulon evidence, and PP_5473 remains no-core unresolved.	PRESENT	CURATED	PRESENT
PP_3717	PP_3717	Q88GK4	Transcriptional regulator, LuxR family		GO:0003677; GO:0006351; GO:0006355	IPR016032;IPR000792;IPR036388;	PF00196;	DNA-binding;Reference proteome;Transcription;Transcription regulation	sigma54_enhancer_binding_regulators	Sigma-54 enhancer-binding regulators and LuxR-like EBPs	sigma54_enhancer_binding_regulator_boundary	COMPLETED_SUBMODULE	CURATED	AAA+ sigma-54 enhancer-binding regulators and related LuxR-like DNA-binding regulators. First-pass curation is complete for all 16 genes; the split is represented in the sigma-54 enhancer-binding regulator boundary module. ATP binding is retained as non-core cofactor context for sigma-54 activators, LuxR/GerE regulators are kept generic pending regulon evidence, and PP_5473 remains no-core unresolved.	PRESENT	CURATED	PRESENT
