suggested_review_name	ordered_locus	uniprot_accession	entry_name	primary_gene	all_gene_names	protein_name	reviewed	annotation_score	ec_numbers	go_ids	primary_bucket_id	primary_bucket_label	is_primary_for_pathway	membership_source	membership_pathway_id	membership_pathway_name	gene_dir	review_status	review_file	curation_status	openscientist_research_status	openscientist_research_file
scpC	PP_0154	Q88RH5	Q88RH5_PSEPK	scpC	scpC PP_0154	Propionyl-CoA:succinate CoA transferase (EC 2.8.3.-)	unreviewed	2.0	2.8.3.-	GO:0003986; GO:0006083; GO:0006084; GO:0008775	kegg:ppu00020	Citrate cycle (TCA cycle)	true	KEGG	ppu00020	Citrate cycle (TCA cycle)	genes/PSEPK/scpC	PRESENT	genes/PSEPK/scpC/scpC-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/scpC/scpC-deep-research-openscientist.md
aceF	PP_0338	Q88QZ6	Q88QZ6_PSEPK	aceF	aceF PP_0338	Acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)	unreviewed	2.0	2.3.1.12	GO:0004742; GO:0005737; GO:0006086; GO:0016491; GO:0031405; GO:0045254	kegg:ppu00785	Lipoic acid metabolism	false	KEGG	ppu00020	Citrate cycle (TCA cycle)	genes/PSEPK/aceF	PRESENT	genes/PSEPK/aceF/aceF-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/aceF/aceF-deep-research-openscientist.md
aceE	PP_0339	Q88QZ5	Q88QZ5_PSEPK	aceE	aceE PP_0339	Pyruvate dehydrogenase E1 component (EC 1.2.4.1)	unreviewed	2.0	1.2.4.1	GO:0004739; GO:0046872	kegg:ppu00785	Lipoic acid metabolism	false	KEGG	ppu00020	Citrate cycle (TCA cycle)	genes/PSEPK/aceE	PRESENT	genes/PSEPK/aceE/aceE-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/aceE/aceE-deep-research-openscientist.md
acoC	PP_0553	Q88QE1	Q88QE1_PSEPK	acoC	acoC PP_0553	Dihydrolipoyllysine-residue acetyltransferase component of acetoin cleaving system (EC 2.3.1.12)	unreviewed	1.0	2.3.1.12	GO:0004742	kegg:ppu00785	Lipoic acid metabolism	false	KEGG	ppu00020	Citrate cycle (TCA cycle)	genes/PSEPK/acoC	PRESENT	genes/PSEPK/acoC/acoC-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/acoC/acoC-deep-research-openscientist.md
mdh	PP_0654	Q88Q44	MDH_PSEPK	mdh	mdh PP_0654	Probable malate dehydrogenase (EC 1.1.1.37)	reviewed	2.0	1.1.1.37	GO:0004459; GO:0006089; GO:0006099; GO:0030060	kegg:ppu00566	Sulfoquinovose metabolism	false	KEGG	ppu00020	Citrate cycle (TCA cycle)	genes/PSEPK/mdh	PRESENT	genes/PSEPK/mdh/mdh-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/mdh/mdh-deep-research-openscientist.md
mqo1	PP_0751	Q88PU7	MQO1_PSEPK	mqo1	mqo1 mqo-1 PP_0751	Probable malate:quinone oxidoreductase 1 (EC 1.1.5.4) (MQO 1) (Malate dehydrogenase [quinone] 1)	reviewed	2.0	1.1.5.4	GO:0006099; GO:0008924; GO:0047545	kegg:ppu00020	Citrate cycle (TCA cycle)	true	KEGG	ppu00020	Citrate cycle (TCA cycle)	genes/PSEPK/mqo1	PRESENT	genes/PSEPK/mqo1/mqo1-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/mqo1/mqo1-deep-research-openscientist.md
PP_0897	PP_0897	Q88PF3	Q88PF3_PSEPK	PP_0897	PP_0897	Fumarate hydratase class I (EC 4.2.1.2)	unreviewed	2.0	4.2.1.2	GO:0004333; GO:0006091; GO:0046872; GO:0051539	kegg:ppu00020	Citrate cycle (TCA cycle)	true	KEGG	ppu00020	Citrate cycle (TCA cycle)	genes/PSEPK/PP_0897	PRESENT	genes/PSEPK/PP_0897/PP_0897-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/PP_0897/PP_0897-deep-research-openscientist.md
fumC-I	PP_0944	Q88PA6	Q88PA6_PSEPK	fumC-I	fumC-I fumC PP_0944	Fumarate hydratase class II (Fumarase C) (EC 4.2.1.2) (Aerobic fumarase) (Iron-independent fumarase)	unreviewed	3.0	4.2.1.2	GO:0004333; GO:0005737; GO:0006099; GO:0006106	kegg:ppu00020	Citrate cycle (TCA cycle)	true	KEGG	ppu00020	Citrate cycle (TCA cycle)	genes/PSEPK/fumC-I	PRESENT	genes/PSEPK/fumC-I/fumC-I-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/fumC-I/fumC-I-deep-research-openscientist.md
mqo2	PP_1251	Q88NF9	MQO2_PSEPK	mqo2	mqo2 mqo-2 PP_1251	Probable malate:quinone oxidoreductase 2 (EC 1.1.5.4) (MQO 2) (Malate dehydrogenase [quinone] 2)	reviewed	2.0	1.1.5.4	GO:0006099; GO:0008924; GO:0047545	kegg:ppu00020	Citrate cycle (TCA cycle)	true	KEGG	ppu00020	Citrate cycle (TCA cycle)	genes/PSEPK/mqo2	PRESENT	genes/PSEPK/mqo2/mqo2-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/mqo2/mqo2-deep-research-openscientist.md
fumC	PP_1755	Q88M20	FUMC_PSEPK	fumC	fumC fumC-2 PP_1755	Fumarate hydratase class II (Fumarase C) (EC 4.2.1.2) (Aerobic fumarase) (Iron-independent fumarase)	reviewed	3.0	4.2.1.2	GO:0004333; GO:0005737; GO:0006099; GO:0006106; GO:0006108	kegg:ppu00020	Citrate cycle (TCA cycle)	true	KEGG	ppu00020	Citrate cycle (TCA cycle)	genes/PSEPK/fumC	PRESENT	genes/PSEPK/fumC/fumC-ai-review.yaml	CURATED	PRESENT	genes/PSEPK/fumC/fumC-deep-research-openscientist.md
