gene	ordered_locus	uniprot_accession	protein_name	ec_numbers	go_ids	interpro_ids	pfam_ids	panther_ids	keywords	partition_bucket	partition_label	proposed_module	recommended_action	bucket_status	notes	review_status	curation_status	asta_research_status
PP_0435	PP_0435	Q88QQ3	Peptidase, M23/M37 family		GO:0004222; GO:0006508; GO:0030313; GO:0042834; GO:0046872	IPR050570;IPR045834;IPR011055;IPR018392;IPR007340;IPR016047;	PF19425;PF04225;PF01551;	PTHR21666:SF288;PTHR21666;	Hydrolase;Metal-binding;Metalloprotease;Protease;Reference proteome;Zinc	cell_wall_envelope_peptidase_inhibitor	Cell-wall, envelope, and protease-inhibitor peptidase context	envelope_cell_wall_peptidase_inhibitor_boundary	NEW_OR_REUSE_BOUNDARY	QUEUED	M23/M37, NlpC/P60, M15, tail-specific/C-terminal processing proteases, cell-wall peptidase-like candidates, alpha-2-macroglobulin, ecotin, chagasin-like, and small peptidase-inhibitor entries. Separate peptidoglycan remodeling from generic protease inhibition and avoid forcing pathway outputs from family names alone.	PRESENT	CURATED	PRESENT
yfhM	PP_0570	Q88QC4	Alpha-2-macroglobulin		GO:0004866; GO:0005615	IPR049120;IPR011625;IPR049122;IPR040639;IPR026284;IPR047565;IPR011626;IPR021868;IPR041203;IPR041462;IPR041246;IPR001599;IPR002890;IPR008930;IPR051802;	PF00207;PF21142;PF07703;PF17970;PF17973;PF11974;PF17972;PF17962;PF21765;PF01835;PF07678;	PTHR40094;PTHR40094:SF1;	Cell membrane;Membrane;Protease inhibitor;Reference proteome;Signal	cell_wall_envelope_peptidase_inhibitor	Cell-wall, envelope, and protease-inhibitor peptidase context	envelope_cell_wall_peptidase_inhibitor_boundary	NEW_OR_REUSE_BOUNDARY	QUEUED	M23/M37, NlpC/P60, M15, tail-specific/C-terminal processing proteases, cell-wall peptidase-like candidates, alpha-2-macroglobulin, ecotin, chagasin-like, and small peptidase-inhibitor entries. Separate peptidoglycan remodeling from generic protease inhibition and avoid forcing pathway outputs from family names alone.	PRESENT	CURATED	PRESENT
PP_1026	PP_1026	Q88P27	Peptidase, M23/M37 family		GO:0004222	IPR050570;IPR011055;IPR016047;IPR040487;	PF01551;PF18421;	PTHR21666:SF285;PTHR21666;	Reference proteome;Signal	cell_wall_envelope_peptidase_inhibitor	Cell-wall, envelope, and protease-inhibitor peptidase context	envelope_cell_wall_peptidase_inhibitor_boundary	NEW_OR_REUSE_BOUNDARY	QUEUED	M23/M37, NlpC/P60, M15, tail-specific/C-terminal processing proteases, cell-wall peptidase-like candidates, alpha-2-macroglobulin, ecotin, chagasin-like, and small peptidase-inhibitor entries. Separate peptidoglycan remodeling from generic protease inhibition and avoid forcing pathway outputs from family names alone.	PRESENT	CURATED	PRESENT
PP_1442	PP_1442	Q88MX6	Proteinase inhibitor I42 chagasin domain-containing protein		GO:0004869	IPR036331;IPR052781;IPR018990;	PF09394;	PTHR36530:SF1;PTHR36530;	Protease inhibitor;Reference proteome;Signal;Thiol protease inhibitor	cell_wall_envelope_peptidase_inhibitor	Cell-wall, envelope, and protease-inhibitor peptidase context	envelope_cell_wall_peptidase_inhibitor_boundary	NEW_OR_REUSE_BOUNDARY	QUEUED	M23/M37, NlpC/P60, M15, tail-specific/C-terminal processing proteases, cell-wall peptidase-like candidates, alpha-2-macroglobulin, ecotin, chagasin-like, and small peptidase-inhibitor entries. Separate peptidoglycan remodeling from generic protease inhibition and avoid forcing pathway outputs from family names alone.	PRESENT	CURATED	PRESENT
PP_1669	PP_1669	Q88MA5	NLP/P60 family protein		GO:0006508; GO:0008234	IPR000064;IPR038765;IPR051202;	PF00877;	PTHR47053;PTHR47053:SF1;	Hydrolase;Protease;Reference proteome;Signal;Thiol protease	cell_wall_envelope_peptidase_inhibitor	Cell-wall, envelope, and protease-inhibitor peptidase context	envelope_cell_wall_peptidase_inhibitor_boundary	NEW_OR_REUSE_BOUNDARY	QUEUED	M23/M37, NlpC/P60, M15, tail-specific/C-terminal processing proteases, cell-wall peptidase-like candidates, alpha-2-macroglobulin, ecotin, chagasin-like, and small peptidase-inhibitor entries. Separate peptidoglycan remodeling from generic protease inhibition and avoid forcing pathway outputs from family names alone.	PRESENT	CURATED	PRESENT
PP_1670	PP_1670	Q88MA4	Lipoprotein		GO:0006508; GO:0008234	IPR000064;IPR038765;IPR051202;	PF00877;	PTHR47053;PTHR47053:SF1;	Hydrolase;Lipoprotein;Protease;Reference proteome;Signal;Thiol protease	cell_wall_envelope_peptidase_inhibitor	Cell-wall, envelope, and protease-inhibitor peptidase context	envelope_cell_wall_peptidase_inhibitor_boundary	NEW_OR_REUSE_BOUNDARY	QUEUED	M23/M37, NlpC/P60, M15, tail-specific/C-terminal processing proteases, cell-wall peptidase-like candidates, alpha-2-macroglobulin, ecotin, chagasin-like, and small peptidase-inhibitor entries. Separate peptidoglycan remodeling from generic protease inhibition and avoid forcing pathway outputs from family names alone.	PRESENT	CURATED	PRESENT
prc	PP_1719	Q88M55	Tail-specific protease prc		GO:0004175; GO:0006508; GO:0007165; GO:0008236; GO:0030288	IPR029045;IPR001478;IPR036034;IPR004447;IPR005151;IPR020992;IPR040573;	PF11818;PF00595;PF03572;PF17804;	PTHR32060:SF22;PTHR32060;	Hydrolase;Protease;Reference proteome;Serine protease	cell_wall_envelope_peptidase_inhibitor	Cell-wall, envelope, and protease-inhibitor peptidase context	envelope_cell_wall_peptidase_inhibitor_boundary	NEW_OR_REUSE_BOUNDARY	QUEUED	M23/M37, NlpC/P60, M15, tail-specific/C-terminal processing proteases, cell-wall peptidase-like candidates, alpha-2-macroglobulin, ecotin, chagasin-like, and small peptidase-inhibitor entries. Separate peptidoglycan remodeling from generic protease inhibition and avoid forcing pathway outputs from family names alone.	PRESENT	CURATED	PRESENT
PP_2108	PP_2108	Q88L27	Peptidase M15A C-terminal domain-containing protein			IPR013230;IPR009045;	PF08291;		Reference proteome	cell_wall_envelope_peptidase_inhibitor	Cell-wall, envelope, and protease-inhibitor peptidase context	envelope_cell_wall_peptidase_inhibitor_boundary	NEW_OR_REUSE_BOUNDARY	QUEUED	M23/M37, NlpC/P60, M15, tail-specific/C-terminal processing proteases, cell-wall peptidase-like candidates, alpha-2-macroglobulin, ecotin, chagasin-like, and small peptidase-inhibitor entries. Separate peptidoglycan remodeling from generic protease inhibition and avoid forcing pathway outputs from family names alone.	PRESENT	CURATED	PRESENT
PP_2364	PP_2364	Q88KC6	Peptidase M14 domain-containing protein		GO:0004181; GO:0006508; GO:0008270	IPR050821;IPR040626;IPR000834;	PF18027;PF00246;	PTHR12756;PTHR12756:SF11;	Reference proteome	cell_wall_envelope_peptidase_inhibitor	Cell-wall, envelope, and protease-inhibitor peptidase context	envelope_cell_wall_peptidase_inhibitor_boundary	NEW_OR_REUSE_BOUNDARY	QUEUED	M23/M37, NlpC/P60, M15, tail-specific/C-terminal processing proteases, cell-wall peptidase-like candidates, alpha-2-macroglobulin, ecotin, chagasin-like, and small peptidase-inhibitor entries. Separate peptidoglycan remodeling from generic protease inhibition and avoid forcing pathway outputs from family names alone.	PRESENT	CURATED	PRESENT
eco	PP_3072	Q88IC7	Ecotin		GO:0004867; GO:0042597	IPR027438;IPR036198;IPR005658;IPR023084;	PF03974;	PTHR35890;PTHR35890:SF3;	Disulfide bond;Periplasm;Protease inhibitor;Reference proteome;Serine protease inhibitor;Signal	cell_wall_envelope_peptidase_inhibitor	Cell-wall, envelope, and protease-inhibitor peptidase context	envelope_cell_wall_peptidase_inhibitor_boundary	NEW_OR_REUSE_BOUNDARY	QUEUED	M23/M37, NlpC/P60, M15, tail-specific/C-terminal processing proteases, cell-wall peptidase-like candidates, alpha-2-macroglobulin, ecotin, chagasin-like, and small peptidase-inhibitor entries. Separate peptidoglycan remodeling from generic protease inhibition and avoid forcing pathway outputs from family names alone.	PRESENT	CURATED	PRESENT
