gene	ordered_locus	uniprot_accession	protein_name	ec_numbers	go_ids	interpro_ids	pfam_ids	panther_ids	keywords	partition_bucket	partition_label	proposed_module	recommended_action	bucket_status	notes	review_status	curation_status	asta_research_status
hslR	PP_0250	Q88R83	Heat shock protein 15		GO:0003677; GO:0003727; GO:0034605; GO:0043023	IPR025708;IPR002942;IPR036986;	PF28601;PF01479;		DNA-binding;Reference proteome;RNA-binding;Stress response	translation_factors_ribosome_rescue	Translation factors, ribosome rescue, and translational regulation	translation_factor_ribosome_rescue_boundary	NEW_SUBMODULE	COMPLETE	Initiation/elongation/recycling factors, ribosome rescue proteins, translation throttles, and ribosome-associated stress factors. Keep translation regulation/rescue distinct from structural ribosome modules.	PRESENT	CURATED	PRESENT
selB	PP_0494	Q88QJ7	Selenocysteyl-tRNA-specific translation elongation factor (EC 3.6.5.-)	3.6.5.-	GO:0001514; GO:0003723; GO:0003746; GO:0003924; GO:0005525; GO:0005737	IPR057335;IPR050055;IPR015190;IPR027417;IPR015191;IPR000795;IPR009000;IPR009001;IPR004535;IPR036388;IPR036390;IPR048931;	PF25461;PF00009;PF09106;PF21214;PF09107;	PTHR43721;PTHR43721:SF9;	Cytoplasm;Elongation factor;GTP-binding;Hydrolase;Nucleotide-binding;Protein biosynthesis;Reference proteome	translation_factors_ribosome_rescue	Translation factors, ribosome rescue, and translational regulation	translation_factor_ribosome_rescue_boundary	NEW_SUBMODULE	COMPLETE	Initiation/elongation/recycling factors, ribosome rescue proteins, translation throttles, and ribosome-associated stress factors. Keep translation regulation/rescue distinct from structural ribosome modules.	PRESENT	CURATED	PRESENT
ettA	PP_0674	Q88Q24	Energy-dependent translational throttle protein EttA (EC 3.6.1.-) (Translational regulatory factor EttA)	3.6.1.-	GO:0000049; GO:0005524; GO:0005737; GO:0006412; GO:0016887; GO:0019843; GO:0043022; GO:0045900	IPR003593;IPR032781;IPR003439;IPR017871;IPR022374;IPR027417;	PF00005;PF12848;	PTHR43858:SF1;PTHR43858;	ATP-binding;Cytoplasm;Hydrolase;Nucleotide-binding;Protein biosynthesis;Reference proteome;Repeat;RNA-binding;rRNA-binding;Translation regulation;tRNA-binding	translation_factors_ribosome_rescue	Translation factors, ribosome rescue, and translational regulation	translation_factor_ribosome_rescue_boundary	NEW_SUBMODULE	COMPLETE	Initiation/elongation/recycling factors, ribosome rescue proteins, translation throttles, and ribosome-associated stress factors. Keep translation regulation/rescue distinct from structural ribosome modules.	PRESENT	CURATED	PRESENT
ychF	PP_0719	Q88PX9	Ribosome-binding ATPase YchF		GO:0005524; GO:0005525; GO:0005737; GO:0016887; GO:0043023; GO:0046872	IPR004396;IPR012675;IPR031167;IPR006073;IPR027417;IPR004095;IPR012676;IPR023192;IPR013029;IPR041706;	PF01926;PF06071;	PTHR23305;PTHR23305:SF18;	ATP-binding;Magnesium;Metal-binding;Nucleotide-binding;Reference proteome	translation_factors_ribosome_rescue	Translation factors, ribosome rescue, and translational regulation	translation_factor_ribosome_rescue_boundary	NEW_SUBMODULE	COMPLETE	Initiation/elongation/recycling factors, ribosome rescue proteins, translation throttles, and ribosome-associated stress factors. Keep translation regulation/rescue distinct from structural ribosome modules.	PRESENT	CURATED	PRESENT
pth	PP_0720	Q88PX8	Peptidyl-tRNA hydrolase (Pth) (EC 3.1.1.29)	3.1.1.29	GO:0000049; GO:0004045; GO:0005737; GO:0006515; GO:0072344	IPR001328;IPR018171;IPR036416;	PF01195;	PTHR17224;PTHR17224:SF1;	Cytoplasm;Hydrolase;Reference proteome;RNA-binding;tRNA-binding	translation_factors_ribosome_rescue	Translation factors, ribosome rescue, and translational regulation	translation_factor_ribosome_rescue_boundary	NEW_SUBMODULE	COMPLETE	Initiation/elongation/recycling factors, ribosome rescue proteins, translation throttles, and ribosome-associated stress factors. Keep translation regulation/rescue distinct from structural ribosome modules.	PRESENT	CURATED	PRESENT
lepA	PP_1431	Q88MY7	Elongation factor 4 (EF-4) (EC 3.6.5.n1) (Ribosomal back-translocase LepA)	3.6.5.n1	GO:0003746; GO:0003924; GO:0005525; GO:0005886; GO:0043022; GO:0045727; GO:0097216	IPR006297;IPR035647;IPR000640;IPR004161;IPR038363;IPR013842;IPR035654;IPR027417;IPR005225;IPR000795;	PF00679;PF00009;PF03144;PF06421;	PTHR43512:SF4;PTHR43512;	Cell inner membrane;Cell membrane;GTP-binding;Hydrolase;Membrane;Nucleotide-binding;Protein biosynthesis;Reference proteome	translation_factors_ribosome_rescue	Translation factors, ribosome rescue, and translational regulation	translation_factor_ribosome_rescue_boundary	NEW_SUBMODULE	COMPLETE	Initiation/elongation/recycling factors, ribosome rescue proteins, translation throttles, and ribosome-associated stress factors. Keep translation regulation/rescue distinct from structural ribosome modules.	PRESENT	CURATED	PRESENT
frr	PP_1594	Q88MH7	Ribosome-recycling factor (RRF) (Ribosome-releasing factor)		GO:0002184; GO:0005829; GO:0043023	IPR002661;IPR023584;IPR036191;	PF01765;	PTHR20982:SF3;PTHR20982;	Cytoplasm;Protein biosynthesis;Reference proteome	translation_factors_ribosome_rescue	Translation factors, ribosome rescue, and translational regulation	translation_factor_ribosome_rescue_boundary	NEW_SUBMODULE	COMPLETE	Initiation/elongation/recycling factors, ribosome rescue proteins, translation throttles, and ribosome-associated stress factors. Keep translation regulation/rescue distinct from structural ribosome modules.	PRESENT	CURATED	PRESENT
arfB	PP_2946	Q88IQ3	Peptidyl-tRNA hydrolase ArfB (EC 3.1.1.29) (Alternative ribosome-rescue factor B)	3.1.1.29	GO:0003747; GO:0004045; GO:0005737; GO:0006417; GO:0043022; GO:0072344	IPR000352;IPR045853;	PF00472;	PTHR47814;PTHR47814:SF1;	Cytoplasm;Hydrolase;Reference proteome;Translation regulation	translation_factors_ribosome_rescue	Translation factors, ribosome rescue, and translational regulation	translation_factor_ribosome_rescue_boundary	NEW_SUBMODULE	COMPLETE	Initiation/elongation/recycling factors, ribosome rescue proteins, translation throttles, and ribosome-associated stress factors. Keep translation regulation/rescue distinct from structural ribosome modules.	PRESENT	CURATED	PRESENT
infA	PP_4007	P65117	Translation initiation factor IF-1		GO:0003743; GO:0005829; GO:0019843; GO:0043022	IPR012340;IPR006196;IPR003029;IPR004368;	PF01176;	PTHR33370;PTHR33370:SF1;	Cytoplasm;Initiation factor;Protein biosynthesis;Reference proteome;RNA-binding;rRNA-binding	translation_factors_ribosome_rescue	Translation factors, ribosome rescue, and translational regulation	translation_factor_ribosome_rescue_boundary	NEW_SUBMODULE	COMPLETE	Initiation/elongation/recycling factors, ribosome rescue proteins, translation throttles, and ribosome-associated stress factors. Keep translation regulation/rescue distinct from structural ribosome modules.	PRESENT	CURATED	PRESENT
smpB	PP_4733	Q88DT6	SsrA-binding protein (Small protein B)		GO:0003723; GO:0005829; GO:0070929; GO:0070930	IPR023620;IPR000037;IPR020081;	PF01668;	PTHR30308:SF2;PTHR30308;	Cytoplasm;Reference proteome;RNA-binding	translation_factors_ribosome_rescue	Translation factors, ribosome rescue, and translational regulation	translation_factor_ribosome_rescue_boundary	NEW_SUBMODULE	COMPLETE	Initiation/elongation/recycling factors, ribosome rescue proteins, translation throttles, and ribosome-associated stress factors. Keep translation regulation/rescue distinct from structural ribosome modules.	PRESENT	CURATED	PRESENT
