gene	ordered_locus	uniprot_accession	protein_name	ec_numbers	go_ids	interpro_ids	pfam_ids	panther_ids	keywords	partition_bucket	partition_label	proposed_module	recommended_action	bucket_status	notes	review_status	curation_status	asta_research_status
yigZ	PP_0593	Q88QA1	Ribosome-binding factor		GO:0005737; GO:0006446; GO:0017111; GO:0032561; GO:0043168	IPR035647;IPR023582;IPR001498;IPR036956;IPR020568;IPR015269;	PF09186;PF01205;	PTHR16301:SF20;PTHR16301;	Reference proteome	ribosome_assembly_maturation_hibernation	Ribosome assembly, maturation, hibernation, and ribosomal-protein modification	bacterial_ribosome_maturation_regulation_boundary	NEW_SUBMODULE	COMPLETE	Ribosome biogenesis GTPases, maturation factors, hibernation/silencing factors, ribosomal-protein modifiers, and low-information ribosomal subunit interface/S2p fragments. Keep these separate from the already completed 30S/50S structural ribosome modules.	PRESENT	CURATED	PRESENT
rimI	PP_0697	Q88Q01	[Ribosomal protein bS18]-alanine N-acetyltransferase (EC 2.3.1.266)	2.3.1.266	GO:0005737; GO:0008999	IPR006464;IPR016181;IPR000182;IPR043690;IPR050680;	PF00583;	PTHR43420;PTHR43420:SF12;	Acyltransferase;Cytoplasm;Reference proteome;Transferase	ribosome_assembly_maturation_hibernation	Ribosome assembly, maturation, hibernation, and ribosomal-protein modification	bacterial_ribosome_maturation_regulation_boundary	NEW_SUBMODULE	COMPLETE	Ribosome biogenesis GTPases, maturation factors, hibernation/silencing factors, ribosomal-protein modifiers, and low-information ribosomal subunit interface/S2p fragments. Keep these separate from the already completed 30S/50S structural ribosome modules.	PRESENT	CURATED	PRESENT
der	PP_0857	Q88PJ3	GTPase Der (GTP-binding protein EngA)		GO:0005525; GO:0042254; GO:0043022	IPR031166;IPR006073;IPR016484;IPR032859;IPR015946;IPR027417;IPR005225;	PF14714;PF01926;	PTHR43834;PTHR43834:SF6;	GTP-binding;Nucleotide-binding;Reference proteome;Repeat;Ribosome biogenesis	ribosome_assembly_maturation_hibernation	Ribosome assembly, maturation, hibernation, and ribosomal-protein modification	bacterial_ribosome_maturation_regulation_boundary	NEW_SUBMODULE	COMPLETE	Ribosome biogenesis GTPases, maturation factors, hibernation/silencing factors, ribosomal-protein modifiers, and low-information ribosomal subunit interface/S2p fragments. Keep these separate from the already completed 30S/50S structural ribosome modules.	PRESENT	CURATED	PRESENT
darP	PP_0941	Q88PA9	Dual-action ribosomal maturation protein DarP (Large ribosomal subunit assembly factor DarP)		GO:0005829; GO:0019843; GO:0043022; GO:1902626	IPR006839;IPR023153;	PF04751;	PTHR38101;PTHR38101:SF1;	Cytoplasm;Reference proteome;Ribosome biogenesis;RNA-binding;rRNA-binding	ribosome_assembly_maturation_hibernation	Ribosome assembly, maturation, hibernation, and ribosomal-protein modification	bacterial_ribosome_maturation_regulation_boundary	NEW_SUBMODULE	COMPLETE	Ribosome biogenesis GTPases, maturation factors, hibernation/silencing factors, ribosomal-protein modifiers, and low-information ribosomal subunit interface/S2p fragments. Keep these separate from the already completed 30S/50S structural ribosome modules.	PRESENT	CURATED	PRESENT
hpf	PP_0951	P0A147	Ribosome hibernation promoting factor (HPF) (Hibernation factor HPF)		GO:0022627; GO:0043024; GO:0045900	IPR050574;IPR036567;IPR003489;	PF02482;	PTHR33231;PTHR33231:SF1;	Reference proteome;Translation regulation	ribosome_assembly_maturation_hibernation	Ribosome assembly, maturation, hibernation, and ribosomal-protein modification	bacterial_ribosome_maturation_regulation_boundary	NEW_SUBMODULE	COMPLETE	Ribosome biogenesis GTPases, maturation factors, hibernation/silencing factors, ribosomal-protein modifiers, and low-information ribosomal subunit interface/S2p fragments. Keep these separate from the already completed 30S/50S structural ribosome modules.	PRESENT	CURATED	PRESENT
rimO	PP_1197	Q88NL0	Ribosomal protein uS12 methylthiotransferase RimO (uS12 MTTase) (uS12 methylthiotransferase) (EC 2.8.4.4) (Ribosomal protein uS12 (aspartate-C(3))-methylthiotransferase) (Ribosome maturation factor RimO)	2.8.4.4	GO:0005829; GO:0006400; GO:0035599; GO:0046872; GO:0051539; GO:0103039	IPR006638;IPR005839;IPR020612;IPR013848;IPR038135;IPR012340;IPR005840;IPR007197;IPR023404;IPR058240;IPR002792;	PF04055;PF18693;PF00919;	PTHR43837;PTHR43837:SF1;	4Fe-4S;Cytoplasm;Iron;Iron-sulfur;Metal-binding;Reference proteome;S-adenosyl-L-methionine;Transferase	ribosome_assembly_maturation_hibernation	Ribosome assembly, maturation, hibernation, and ribosomal-protein modification	bacterial_ribosome_maturation_regulation_boundary	NEW_SUBMODULE	COMPLETE	Ribosome biogenesis GTPases, maturation factors, hibernation/silencing factors, ribosomal-protein modifiers, and low-information ribosomal subunit interface/S2p fragments. Keep these separate from the already completed 30S/50S structural ribosome modules.	PRESENT	CURATED	PRESENT
era	PP_1434	Q88MY4	GTPase Era		GO:0000028; GO:0003924; GO:0005525; GO:0005829; GO:0005886; GO:0043024; GO:0070181	IPR030388;IPR006073;IPR005662;IPR015946;IPR004044;IPR009019;IPR027417;IPR005225;	PF07650;PF01926;	PTHR42698;PTHR42698:SF1;	Cell inner membrane;Cell membrane;Cytoplasm;GTP-binding;Membrane;Nucleotide-binding;Reference proteome;Ribosome biogenesis;RNA-binding;rRNA-binding	ribosome_assembly_maturation_hibernation	Ribosome assembly, maturation, hibernation, and ribosomal-protein modification	bacterial_ribosome_maturation_regulation_boundary	NEW_SUBMODULE	COMPLETE	Ribosome biogenesis GTPases, maturation factors, hibernation/silencing factors, ribosomal-protein modifiers, and low-information ribosomal subunit interface/S2p fragments. Keep these separate from the already completed 30S/50S structural ribosome modules.	PRESENT	CURATED	PRESENT
rimM	PP_1463	Q88MV5	Ribosome maturation factor RimM		GO:0005737; GO:0005840; GO:0006364; GO:0042274; GO:0043022	IPR011033;IPR056792;IPR011961;IPR002676;IPR036976;IPR009000;	PF24986;PF01782;	PTHR33692;PTHR33692:SF1;	Chaperone;Cytoplasm;Reference proteome;Ribosome biogenesis;rRNA processing	ribosome_assembly_maturation_hibernation	Ribosome assembly, maturation, hibernation, and ribosomal-protein modification	bacterial_ribosome_maturation_regulation_boundary	NEW_SUBMODULE	COMPLETE	Ribosome biogenesis GTPases, maturation factors, hibernation/silencing factors, ribosomal-protein modifiers, and low-information ribosomal subunit interface/S2p fragments. Keep these separate from the already completed 30S/50S structural ribosome modules.	PRESENT	CURATED	PRESENT
prmB	PP_1827	Q88LV0	Ribosomal protein uL3 glutamine methyltransferase (uL3 MTase) (EC 2.1.1.298) (N5-glutamine methyltransferase PrmB)	2.1.1.298	GO:0003676; GO:0005829; GO:0032259; GO:0036009	IPR002052;IPR004556;IPR017127;IPR029063;IPR007848;	PF05175;	PTHR47806;PTHR47806:SF1;	Methyltransferase;Reference proteome;S-adenosyl-L-methionine;Transferase	ribosome_assembly_maturation_hibernation	Ribosome assembly, maturation, hibernation, and ribosomal-protein modification	bacterial_ribosome_maturation_regulation_boundary	NEW_SUBMODULE	COMPLETE	Ribosome biogenesis GTPases, maturation factors, hibernation/silencing factors, ribosomal-protein modifiers, and low-information ribosomal subunit interface/S2p fragments. Keep these separate from the already completed 30S/50S structural ribosome modules.	PRESENT	CURATED	PRESENT
PP_1910	PP_1910	Q88LM0	Large ribosomal RNA subunit accumulation protein YceD (23S rRNA accumulation protein YceD)		GO:0005829; GO:0042254	IPR003772;IPR039255;	PF02620;	PTHR38099;PTHR38099:SF1;	Reference proteome;Ribosome biogenesis	ribosome_assembly_maturation_hibernation	Ribosome assembly, maturation, hibernation, and ribosomal-protein modification	bacterial_ribosome_maturation_regulation_boundary	NEW_SUBMODULE	COMPLETE	Ribosome biogenesis GTPases, maturation factors, hibernation/silencing factors, ribosomal-protein modifiers, and low-information ribosomal subunit interface/S2p fragments. Keep these separate from the already completed 30S/50S structural ribosome modules.	PRESENT	CURATED	PRESENT
