gene	ordered_locus	uniprot_accession	protein_name	partition_bucket	partition_label	proposed_module	recommended_action	notes	review_status	curation_status	asta_research_status
PP_0317	PP_0317	Q88R17	Methyl-accepting chemotaxis transducer	orphan_mcp_aerotaxis_receptors	Orphan MCP/aerotaxis receptors	orphan_mcp_aerotaxis_receptors_boundary	NEW_SUBMODULE	Predicted MCP, sensory-box, or aerotaxis receptors curated as a first-pass boundary module while ligand specificity remains unresolved.	PRESENT	CURATED	PRESENT
mcpH	PP_0320	Q88R14	Methyl-accepting chemotaxis protein McpH	known_named_mcp_receptor_panel	Known or named MCP receptor panel	chemotaxis_receptor_panel_boundary	NEW_SUBMODULE	Reviewed or named methyl-accepting chemotaxis receptors; ligand specificity should be checked gene-by-gene.	PRESENT	CURATED	PRESENT
ctpL	PP_0562	Q88QD2	Methyl-accepting chemotaxis protein CtpL	known_named_mcp_receptor_panel	Known or named MCP receptor panel	chemotaxis_receptor_panel_boundary	NEW_SUBMODULE	Reviewed or named methyl-accepting chemotaxis receptors; ligand specificity should be checked gene-by-gene.	PRESENT	CURATED	PRESENT
PP_0584	PP_0584	Q88QB0	Methyl-accepting chemotaxis transducer	orphan_mcp_aerotaxis_receptors	Orphan MCP/aerotaxis receptors	orphan_mcp_aerotaxis_receptors_boundary	NEW_SUBMODULE	Predicted MCP, sensory-box, or aerotaxis receptors curated as a first-pass boundary module while ligand specificity remains unresolved.	PRESENT	CURATED	PRESENT
PP_0779	PP_0779	Q88PR9	Methyl-accepting chemotaxis transducer/sensory box protein	orphan_mcp_aerotaxis_receptors	Orphan MCP/aerotaxis receptors	orphan_mcp_aerotaxis_receptors_boundary	NEW_SUBMODULE	Predicted MCP, sensory-box, or aerotaxis receptors curated as a first-pass boundary module while ligand specificity remains unresolved.	PRESENT	CURATED	PRESENT
PP_0802	PP_0802	Q88PP6	Chemotaxis protein	chemotaxis_adaptation_accessory	Chemotaxis adaptation/accessory proteins	chemotaxis_adaptation_accessory_boundary	NEW_SUBMODULE	CheV-like proteins, methylesterase/methyltransferase entries, and accessory response-regulator-like chemotaxis proteins outside the core cluster.	PRESENT	CURATED	PRESENT
dppA-I	PP_0882	Q88PG8	Dipeptide ABC transporter-periplasmic binding protein (EC 3.6.3.23)	periplasmic_binding_transport_spillovers	Periplasmic binding/transport spillovers	dipeptide_ribose_binding_transport_boundary	EXISTING_OR_REUSE	Dipeptide, ribose, and sugar-binding proteins that enter the chemotaxis map through ligand-binding/transport context.	PRESENT	CURATED	PRESENT
dppA-II	PP_0884	Q88PG6	Dipeptide ABC transporter-periplasmic binding protein (EC 3.6.3.23)	periplasmic_binding_transport_spillovers	Periplasmic binding/transport spillovers	dipeptide_ribose_binding_transport_boundary	EXISTING_OR_REUSE	Dipeptide, ribose, and sugar-binding proteins that enter the chemotaxis map through ligand-binding/transport context.	PRESENT	CURATED	PRESENT
dppA-III	PP_0885	Q88PG5	Dipeptide ABC transporter-periplasmic binding protein (EC 3.6.3.23)	periplasmic_binding_transport_spillovers	Periplasmic binding/transport spillovers	dipeptide_ribose_binding_transport_boundary	EXISTING_OR_REUSE	Dipeptide, ribose, and sugar-binding proteins that enter the chemotaxis map through ligand-binding/transport context.	PRESENT	CURATED	PRESENT
mcpU	PP_1228	Q88NI1	Methyl-accepting chemotaxis protein McpU	known_named_mcp_receptor_panel	Known or named MCP receptor panel	chemotaxis_receptor_panel_boundary	NEW_SUBMODULE	Reviewed or named methyl-accepting chemotaxis receptors; ligand specificity should be checked gene-by-gene.	PRESENT	CURATED	PRESENT
