suggested_review_name	ordered_locus	uniprot_accession	entry_name	primary_gene	all_gene_names	protein_name	reviewed	annotation_score	ec_numbers	go_ids	primary_bucket_id	primary_bucket_label	is_primary_for_pathway	membership_source	membership_pathway_id	membership_pathway_name	gene_dir	review_status	review_file	curation_status	openscientist_research_status	openscientist_research_file
cynT	PP_0100	Q88RM9	Q88RM9_PSEPK	cynT	cynT PP_0100	Carbonic anhydrase (EC 4.2.1.1) (Carbonate dehydratase)	unreviewed	2.0	4.2.1.1	GO:0004089; GO:0008270; GO:0015976	kegg:ppu00910	Nitrogen metabolism	true	KEGG	ppu00910	Nitrogen metabolism	genes/PSEPK/cynT	MISSING		MISSING	MISSING	
PP_0430	PP_0430	Q88QQ8	Q88QQ8_PSEPK	PP_0430	PP_0430	Uncharacterized protein	unreviewed	1.0		GO:0018580	kegg:ppu00910	Nitrogen metabolism	true	KEGG	ppu00910	Nitrogen metabolism	genes/PSEPK/PP_0430	MISSING		MISSING	MISSING	
gdhA	PP_0675	Q88Q23	Q88Q23_PSEPK	gdhA	gdhA PP_0675	Glutamate dehydrogenase	unreviewed	2.0		GO:0000166; GO:0004354; GO:0005829; GO:0006537	kegg:ppu00910	Nitrogen metabolism	true	KEGG	ppu00910	Nitrogen metabolism	genes/PSEPK/gdhA	PRESENT	genes/PSEPK/gdhA/gdhA-ai-review.yaml	CURATED	MISSING	
arcC	PP_0999	Q88P54	Q88P54_PSEPK	arcC	arcC PP_0999	Carbamate kinase	unreviewed	1.0		GO:0005829; GO:0008804; GO:0019546	kegg:ppu00910	Nitrogen metabolism	true	KEGG	ppu00910	Nitrogen metabolism	genes/PSEPK/arcC	MISSING		MISSING	MISSING	
nirB	PP_1705	Q88M69	Q88M69_PSEPK	nirB	nirB PP_1705	Nitrite reductase [NAD(P)H] large subunit (EC 1.7.1.4)	unreviewed	2.0	1.7.1.4	GO:0008942; GO:0020037; GO:0042128; GO:0046872; GO:0050660; GO:0050661; GO:0051537; GO:0051539	kegg:ppu00910	Nitrogen metabolism	true	KEGG	ppu00910	Nitrogen metabolism	genes/PSEPK/nirB	MISSING		MISSING	MISSING	
nirD	PP_1706	Q88M68	Q88M68_PSEPK	nirD	nirD PP_1706	Nitrite reductase	unreviewed	1.0		GO:0008942; GO:0042128; GO:0046872; GO:0051537	kegg:ppu00910	Nitrogen metabolism	true	KEGG	ppu00910	Nitrogen metabolism	genes/PSEPK/nirD	MISSING		MISSING	MISSING	
gdhB	PP_2080	Q88L55	Q88L55_PSEPK	gdhB	gdhB PP_2080	NAD-specific glutamate dehydrogenase (EC 1.4.1.2)	unreviewed	1.0	1.4.1.2	GO:0004069; GO:0004352; GO:0006538	kegg:ppu00430	Taurine and hypotaurine metabolism	false	KEGG	ppu00910	Nitrogen metabolism	genes/PSEPK/gdhB	MISSING		MISSING	MISSING	
nasA	PP_2092	Q88L43	Q88L43_PSEPK	nasA	nasA PP_2092	Nitrate/nitrite transporter	unreviewed	2.0		GO:0005886; GO:0015112; GO:0015113; GO:0042128	kegg:ppu00910	Nitrogen metabolism	true	KEGG	ppu00910	Nitrogen metabolism	genes/PSEPK/nasA	PRESENT	genes/PSEPK/nasA/nasA-ai-review.yaml	CURATED	MISSING	
puuA-I	PP_2178	Q88KW1	Q88KW1_PSEPK	puuA-I	puuA-I PP_2178	Glutamate-putrescine ligase (EC 6.3.1.11)	unreviewed	1.0	6.3.1.11	GO:0004356; GO:0006542; GO:0006598; GO:0034024	kegg:ppu00910	Nitrogen metabolism	true	KEGG	ppu00910	Nitrogen metabolism	genes/PSEPK/puuA-I	MISSING		MISSING	MISSING	
PP_3148	PP_3148	Q88I53	Q88I53_PSEPK	PP_3148	PP_3148	Glutamine synthetase	unreviewed	1.0		GO:0004356; GO:0005524; GO:0006542; GO:0006598	kegg:ppu00910	Nitrogen metabolism	true	KEGG	ppu00910	Nitrogen metabolism	genes/PSEPK/PP_3148	MISSING		MISSING	MISSING	
