gene_product_id	symbol	taxon_id	taxon_name	go_term	go_label	go_branch	qualifier	reference	assigned_by	global_term_frequency	gene_iep_load
Q63264	Il1b	10116	Rattus norvegicus	GO:0009410	response to xenobiotic stimulus	response to stimulus	involved_in	PMID:21451213	RGD	512	39
P09034	Ass1	10116	Rattus norvegicus	GO:0009410	response to xenobiotic stimulus	response to stimulus	involved_in	PMID:9252090	RGD	512	29
Q63787	Pik3r1	10116	Rattus norvegicus	GO:0009410	response to xenobiotic stimulus	response to stimulus	involved_in	PMID:20519555	RGD	512	16
O82804	ELF3	3702	Arabidopsis thaliana	GO:0009409	response to cold	response to stimulus	acts_upstream_of_or_within	PMID:10571046	TAIR	387	3
A2XE98	NSHB1	39946	Oryza sativa Indica Group	GO:0009409	response to cold	response to stimulus	involved_in	PMID:29044557	UniProt	387	7
Q8L443	SUPB	3702	Arabidopsis thaliana	GO:0009409	response to cold	response to stimulus	involved_in	PMID:33281837	UniProt	387	4
Q9ZQ96	UGT73C3	3702	Arabidopsis thaliana	GO:0009617	response to bacterium	response to stimulus	involved_in	PMID:39861946	TAIR	384	1
Q10712	LAPA1	4081	Solanum lycopersicum	GO:0009617	response to bacterium	response to stimulus	involved_in	PMID:11204785	UniProt	384	8
URS000075A498_10090	Mus musculus (house mouse) microRNA mmu-mir-192 precursor	10090	Mus musculus	GO:0009617	response to bacterium	response to stimulus	acts_upstream_of_or_within	PMID:23012479	MGI	384	2
Q9FXI0	SAUR54	3702	Arabidopsis thaliana	GO:0009737	response to abscisic acid	response to stimulus	involved_in	PMID:29258424	UniProt	379	1
F4JTP5	STY46	3702	Arabidopsis thaliana	GO:0009737	response to abscisic acid	response to stimulus	acts_upstream_of_or_within	PMID:31906450	TAIR	379	1
Q5DWG1	Q5DWG1	3369	Cryptomeria japonica	GO:0009737	response to abscisic acid	response to stimulus	involved_in	PMID:16203714	UniProt	379	1
Q8VHW5	Cacng8	10116	Rattus norvegicus	GO:0098978	glutamatergic synapse	cellular component	is_active_in	PMID:12771129	SynGO	358	2
A0A8I6ARF4	Actn2	10116	Rattus norvegicus	GO:0098978	glutamatergic synapse	cellular component	is_active_in	PMID:9454847	SynGO	358	3
D3ZUU5	Dnajb1	10116	Rattus norvegicus	GO:0098978	glutamatergic synapse	cellular component	is_active_in	PMID:9878698	SynGO	358	6
P17246	Tgfb1	10116	Rattus norvegicus	GO:0045471	response to ethanol	response to stimulus	involved_in	PMID:29399060	RGD	347	29
D3ZU13	Eif4g1	10116	Rattus norvegicus	GO:0045471	response to ethanol	response to stimulus	involved_in	PMID:15388509	RGD	347	2
P31424	Grm5	10116	Rattus norvegicus	GO:0045471	response to ethanol	response to stimulus	involved_in	PMID:32664441	RGD	347	5
D4HR93	PR10.1	4577	Zea mays	GO:0009611	response to wounding	response to stimulus	involved_in	PMID:19682768	AgBase	343	13
B7UEU8	A622	4090	Nicotiana glauca	GO:0009611	response to wounding	response to stimulus	involved_in	PMID:32688942	UniProt	343	3
