Citation,EvidenceType,Direction,ClaimTested,KeyFinding,Context,Confidence
PMID:22174254,Mutant phenotype (IMP),Supports (ortholog),RIMBP family required for neuromuscular transmission,Drosophila Rbp directly annotated GO:0007274 (IMP); Rbp mutants disrupt Ca2+ channel clustering & release at NMJ,Drosophila glutamatergic larval NMJ,High for fly; invertebrate NMJ != mammalian NMJ
PMID:26402606,Mutant/direct assay,Qualifies,Mammalian RIM-BPs mediate release,dcKO not essential for release; required for tight AP-Ca2+-exocytosis coupling,Mouse calyx of Held & hippocampal neurons,High; NMJ not tested
PMID:27671655,Mutant/localization,Qualifies,RIMBP2 sets release probability via CaV,Fine-tunes CaV localization/release probability,Mouse hippocampal synapses,High; central synapse only
PMID:34353898,Localization/mutant,Qualifies,RIMBP2 organizes AZ Ca2+ channels,Organizes Ca2+ channel topography at active zone,Mouse calyx of Held,High; central synapse only
PMID:29163046;PMID:33867935,Mutant phenotype,Qualifies,RIMBP2 required at ribbon synapses,Needed for large CaV complement / sound encoding,Mouse inner hair cell ribbon synapse,High; sensory ribbon not NMJ
PMID:31535974,Mutant/direct assay,Qualifies,RIMBP2 primes vesicles & couples Ca2+,Primes vesicles and coordinates Ca2+ channels,Mouse central synapses,High; central synapse only
QuickGO O15034,Database/annotation,Refutes over-annotation,Is human RIMBP2 annotated to GO:0007274?,No GO:0007274 on O15034; IBA BP=GO:0150037; CC=presynaptic AZ/glutamatergic synapse; MF=adaptor,Human GO_Central IBA + UniProt IEA,Authoritative current release; reflects expert phylo curation
QuickGO paralogs/ortholog,Database/annotation,Refutes over-annotation,Do mammalian RIMBP-family genes carry GO:0007274?,None of human RIMBP1(O95153)/RIMBP3(Q9UFD9)/mouse Rimbp2 annotated to GO:0007274; 0 RIMBP rows among 31 human+65 mouse annotations,Human+mouse,Confirms term is Drosophila-specific across family
UniProt O15034,Review/database + structural,Qualifies,RIMBP2 annotated function & architecture,FUNCTION=bifunctional linker in synaptic transmission (RIMS1/2 CACNA1D CACNA1B); loc Cell membrane/Synapse; no muscle/NMJ tissue; 3xSH3+3xFN3 (IPR040325 shared with Dros Rbp),Human,Generic synaptic descriptor; conserved architecture is synapse-type-agnostic
HPA RIMBP2,Computational/database,Qualifies,Is RIMBP2 expressed in muscle/NMJ-relevant tissue?,RNA tissue-enhanced in brain/parathyroid/pituitary NOT skeletal muscle; cell-type enhanced,Human tissues (HPA),Weakly informative; HPA does not resolve spinal motor neurons; NMJ presynapse derives from CNS motor neurons
