citation	species	family_stem	named_in_paper	citing_but_absent	n_absent
PMID:16554368	human	CHMP	CHMP3	CHMP1A;CHMP1B;CHMP2A;CHMP2B;CHMP4A;CHMP4B;CHMP4C;CHMP5;CHMP6;CHMP7	10
PMID:17984323	human	CHMP	CHMP2;CHMP2B	CHMP1A;CHMP1B;CHMP2A;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP5;CHMP6;CHMP7	10
PMID:26040712	human	CHMP	CHMP7	CHMP1A;CHMP1B;CHMP2A;CHMP2B;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP5;CHMP6	10
PMID:34800366	human	COX	COX1;COX10;COX11;COX2;COX4I;COX4L;COX5A	COX14;COX15;COX16;COX18;COX20;COX5B;COX7B;COX8A	8
PMID:21525035	human	PEX	PEX14	PEX1;PEX12;PEX13;PEX16;PEX19;PEX2;PEX3;PEX5	8
PMID:22119785	human	EMC	EMC3	EMC1;EMC10;EMC2;EMC4;EMC6;EMC7;EMC8;EMC9	8
PMID:14505570	human	CHMP	CHMP4	CHMP1A;CHMP1B;CHMP2A;CHMP3;CHMP4A;CHMP4B;CHMP4C;CHMP6	8
PMID:32296183	human	RNF	RNF115	RNF14;RNF166;RNF170;RNF185;RNF25;RNF41;RNF5	7
PMID:34800366	human	NDUFA	NDUFA2;NDUFA4;NDUFA6;NDUFA9	NDUFA1;NDUFA10;NDUFA11;NDUFA12;NDUFA13;NDUFA5;NDUFA8	7
PMID:16730941	human	CHMP	CHMP1A	CHMP1B;CHMP2A;CHMP2B;CHMP4A;CHMP4B;CHMP5;CHMP6	7
PMID:20588296	human	VPS	VPS20	VPS28;VPS37A;VPS37B;VPS37C;VPS37D;VPS4A;VPS4B	7
PMID:26040713	human	CHMP	CHMP2;CHMP2A;CHMP2B;CHMP3;CHMP4;CHMP4B	CHMP1A;CHMP1B;CHMP4A;CHMP4C;CHMP5;CHMP6;CHMP7	7
PMID:30415835	human	EMC	EMC3;EMC5;EMC6	EMC1;EMC10;EMC2;EMC4;EMC7;EMC8;EMC9	7
PMID:32439656	human	EMC	EMC3;EMC6	EMC1;EMC10;EMC2;EMC4;EMC7;EMC8;EMC9	7
PMID:34800366	human	NDUFS	NDUFS1	NDUFS2;NDUFS3;NDUFS4;NDUFS6;NDUFS7;NDUFS8	6
PMID:20080638	human	BBS	BBS10;BBS12;BBS6	BBS1;BBS2;BBS4;BBS5;BBS7;BBS9	6
PMID:20937905	human	ELOVL	ELOVL1	ELOVL2;ELOVL3;ELOVL4;ELOVL5;ELOVL6;ELOVL7	6
PMID:20616062	human	CHMP	CHMP1A;CHMP1B;CHMP2A;CHMP3;CHMP4;CHMP5	CHMP2B;CHMP4A;CHMP4B;CHMP4C;CHMP6;CHMP7	6
PMID:29242231	human	EMC	EMC2;EMC3;EMC5;EMC6	EMC1;EMC10;EMC4;EMC7;EMC8;EMC9	6
PMID:12096124	human	PEX	PEX12P;PEX13P;PEX14P;PEX19P;PEX5P	PEX11B;PEX12;PEX14;PEX19;PEX3;PEX5	6
PMID:16762366	yeast	CCT	CCT3	CCT2;CCT4;CCT5;CCT6;CCT7;CCT8	6
PMID:15704212	yeast	CCT	CCT1P;CCT6;CCT6P;CCT8P	CCT2;CCT3;CCT4;CCT5;CCT7;CCT8	6
PMID:24920445	POPTR	CASP	CASP1	CASP2;CASP3;CASP4;CASP5;CASP6	5
PMID:22302990	human	BBS	BBS7	BBS1;BBS10;BBS2;BBS4;BBS5	5
PMID:19464326	human	HSPB	HSPB1;HSPB5;HSPB7	HSPB2;HSPB3;HSPB6;HSPB8;HSPB9	5
PMID:21231916	human	HSPA	HSPA1A;HSPA6	HSPA14;HSPA1B;HSPA1L;HSPA2;HSPA8	5
PMID:18005716	human	VPS	VPS28;VPS37	VPS37A;VPS37B;VPS37C;VPS37D;VPS4A	5
PMID:20531392	human	PEX	PEX19P;PEX5P	PEX11B;PEX13;PEX19;PEX2;PEX26	5
PMID:19715580	DROME	HSP	HSP100;HSP19;HSP20;HSP60;HSP70;HSP90	Hsp22;Hsp23;Hsp26;Hsp27	4
PMID:34800366	human	NDUFB	NDUFB8;NDUFB9	NDUFB10;NDUFB11;NDUFB3;NDUFB7	4
PMID:28514442	human	FBXO	FBXO28	FBXO17;FBXO30;FBXO6;FBXO7	4
PMID:18762586	human	BBS	BBS4	BBS1;BBS2;BBS5;BBS7	4
PMID:24550735	human	BBS	BBS3;BBS4;BBS5	BBS1;BBS2;BBS7;BBS9	4
PMID:25552655	human	BBS	BBS2;BBS5;BBS8	BBS1;BBS4;BBS7;BBS9	4
