citation	species	family_stem	n_members	members
GO_REF:0000002	PSEPK	PP_	40	PP_0375;PP_0416;PP_0544;PP_0635;PP_0860;PP_0892;PP_0897;PP_1084;PP_1165;PP_1256;PP_1257;PP_1703;PP_1806;PP_1969;PP_2482;PP_2528;PP_2589;PP_2638;PP_3117;PP_3253;PP_3303;PP_3382;PP_3383;PP_3394;PP_3443;PP_3571;PP_3599;PP_3602;PP_3995;PP_4348;PP_4379;PP_4452;PP_4545;PP_4637;PP_4638;PP_4677;PP_4797;PP_5276;PP_5298;PP_5332
GO_REF:0000120	PSEPK	PP_	34	PP_0416;PP_0431;PP_0500;PP_0635;PP_0860;PP_0892;PP_0897;PP_0922;PP_1084;PP_1256;PP_1703;PP_1806;PP_1969;PP_2325;PP_2482;PP_2528;PP_2998;PP_3090;PP_3106;PP_3157;PP_3253;PP_3303;PP_3394;PP_3571;PP_3599;PP_3602;PP_3768;PP_3995;PP_4594;PP_4638;PP_4677;PP_5276;PP_5298;PP_5332
GO_REF:0000118	PSEPK	PP_	29	PP_0094;PP_0416;PP_0500;PP_0581;PP_0892;PP_1084;PP_1255;PP_1257;PP_1703;PP_1907;PP_1969;PP_2213;PP_2325;PP_2482;PP_2528;PP_2998;PP_3117;PP_3157;PP_3303;PP_3394;PP_3571;PP_3599;PP_3768;PP_3995;PP_4379;PP_4545;PP_4594;PP_4638;PP_5298
PMID:34445249	human	FBXO	22	FBXO10;FBXO15;FBXO16;FBXO17;FBXO2;FBXO21;FBXO22;FBXO25;FBXO27;FBXO30;FBXO33;FBXO34;FBXO36;FBXO39;FBXO40;FBXO41;FBXO43;FBXO47;FBXO5;FBXO6;FBXO7;FBXO8
GO_REF:0000044	human	DNAJC	19	DNAJC1;DNAJC10;DNAJC11;DNAJC12;DNAJC13;DNAJC14;DNAJC16;DNAJC17;DNAJC21;DNAJC22;DNAJC24;DNAJC25;DNAJC30;DNAJC5;DNAJC5B;DNAJC5G;DNAJC6;DNAJC7;DNAJC9
GO_REF:0000033	human	DNAJC	18	DNAJC1;DNAJC10;DNAJC11;DNAJC12;DNAJC13;DNAJC14;DNAJC15;DNAJC17;DNAJC19;DNAJC21;DNAJC22;DNAJC24;DNAJC25;DNAJC28;DNAJC3;DNAJC5;DNAJC6;DNAJC9
GO_REF:0000033	human	PEX	16	PEX1;PEX10;PEX11A;PEX11B;PEX11G;PEX12;PEX13;PEX14;PEX16;PEX19;PEX2;PEX26;PEX3;PEX5;PEX6;PEX7
GO_REF:0000120	human	PEX	15	PEX1;PEX10;PEX11A;PEX11B;PEX11G;PEX12;PEX13;PEX14;PEX16;PEX19;PEX2;PEX26;PEX3;PEX6;PEX7
GO_REF:0000117	PSEPK	PP_	15	PP_0094;PP_0416;PP_0581;PP_0860;PP_0892;PP_1084;PP_1907;PP_2213;PP_2483;PP_2589;PP_3157;PP_3443;PP_3768;PP_4230;PP_5276
GO_REF:0000043	human	PEX	14	PEX1;PEX10;PEX11A;PEX11B;PEX12;PEX13;PEX14;PEX16;PEX19;PEX2;PEX26;PEX5;PEX6;PEX7
GO_REF:0000003	PSEPK	PP_	14	PP_0094;PP_1256;PP_1257;PP_1852;PP_3382;PP_3383;PP_3384;PP_3443;PP_3602;PP_4379;PP_4452;PP_4545;PP_4677;PP_5147
GO_REF:0000033	human	FBXO	14	FBXO10;FBXO15;FBXO17;FBXO2;FBXO22;FBXO25;FBXO27;FBXO33;FBXO39;FBXO40;FBXO43;FBXO5;FBXO6;FBXO7
PMID:36748579	PSEPK	PP_	14	PP_3088;PP_3089;PP_3090;PP_3091;PP_3092;PP_3093;PP_3094;PP_3096;PP_3097;PP_3098;PP_3100;PP_3106;PP_5561;PP_5562
file:modules/bacterial_type_vi_secretion_apparatus.yaml	PSEPK	PP_	14	PP_3088;PP_3089;PP_3090;PP_3091;PP_3092;PP_3093;PP_3094;PP_3096;PP_3097;PP_3098;PP_3100;PP_3106;PP_5561;PP_5562
GO_REF:0000044	human	ALG	12	ALG1;ALG10;ALG11;ALG12;ALG13;ALG14;ALG2;ALG3;ALG5;ALG6;ALG8;ALG9
Reactome:R-HSA-8955241	human	FBXL	12	FBXL12;FBXL13;FBXL14;FBXL15;FBXL16;FBXL18;FBXL20;FBXL22;FBXL3;FBXL5;FBXL7;FBXL8
Reactome:R-HSA-8955241	human	FBXO	12	FBXO10;FBXO15;FBXO17;FBXO2;FBXO21;FBXO22;FBXO27;FBXO30;FBXO40;FBXO41;FBXO6;FBXO7
Reactome:R-HSA-8955289	human	FBXL	12	FBXL12;FBXL13;FBXL14;FBXL15;FBXL16;FBXL18;FBXL20;FBXL22;FBXL3;FBXL5;FBXL7;FBXL8
Reactome:R-HSA-8955289	human	FBXO	12	FBXO10;FBXO15;FBXO17;FBXO2;FBXO21;FBXO22;FBXO27;FBXO30;FBXO40;FBXO41;FBXO6;FBXO7
Reactome:R-HSA-8956040	human	FBXL	12	FBXL12;FBXL13;FBXL14;FBXL15;FBXL16;FBXL18;FBXL20;FBXL22;FBXL3;FBXL5;FBXL7;FBXL8
Reactome:R-HSA-8956040	human	FBXO	12	FBXO10;FBXO15;FBXO17;FBXO2;FBXO21;FBXO22;FBXO27;FBXO30;FBXO40;FBXO41;FBXO6;FBXO7
