citation	worst_flag	n_flagged_genes	n_unflagged_users	flagged_genes	unflagged_users	example_note
PMID:23209302	WRONG_IDENTIFIER	3	5	human/ACOX1;human/NDUFA8;human/SLC25A3	human/KRAS;human/NDUFA4;human/NDUFA9;human/NRAS;mouse/Kras	Full text read; this paper concerns KIF14/Radil/Rap1a signaling in breast cancer and does not mention NDUFA8 or mitochondrial Complex I. It is the citation behind the GO:0044877 (protein-containing complex binding) IDA for NDUFA8 but does not support it and appears to be a wrong-paper citation. The annotation was marked as over-annotated (not removed, per policy on experimental annotations).
PMID:34521819	WRONG_IDENTIFIER	1	2	human/STAT2	human/JAK1;human/STAT1	"Verified via NCBI eutils esummary that PMID:34521819 returns ""cannot get document summary"" - the identifier does not resolve to any PubMed record and is most likely an error in the GOA source. The entry is retained only because a GOA annotation (existing_annotations[32], a generic uninformative protein binding IPI already marked MARK_AS_OVER_ANNOTATED) references it, so it cannot be deleted withou"
PMID:10970790	WRONG_IDENTIFIER	3	1	human/ELOVL1;human/ELOVL2;human/ELOVL3	human/ELOVL5	"Describes cloning of ""HELO1"", a 299-aa human PUFA elongase converting C18->C20 PUFA (gamma-linolenic->dihomo-gamma-linolenic, stearidonic->eicosatetraenoic, alpha-linolenic->eicosatrienoic). By chain-length specificity and size this is ELOVL5, not ELOVL2 (296 aa; C20/C22 substrates). Reactome uses it to support the generic fatty acid elongase MF; the assigned MF (GO:0009922) is nonetheless correct"
PMID:25732826	WRONG_IDENTIFIER	2	1	human/NAA10;human/NAA40	human/NAA30	This PMID resolves to the Aksnes et al. Naa60 study (a different N-terminal acetyltransferase, NAA60); it does not specifically characterize NAA10. Title corrected to verbatim PubMed; the citation supports at most generic NAT-localization background and the underlying annotation is a candidate for removal.
PMID:39329031	WRONG_IDENTIFIER	2	1	human/NPLOC4;human/UFD1	human/VCP	PMID:39329031 is a clinical study of intellectual disability in Morocco and does not concern the VCP-NPL4-UFD1 complex. It is mis-attached to ComplexPortal complex/process annotations. The underlying complex membership is correct, but this citation is a wrong identifier and should be replaced.
PMID:8078902	WRONG_IDENTIFIER	1	1	yeast/COX17	human/COX10	PubMed-verified: the record is the COX10 (heme A:farnesyltransferase) cloning paper, not a COX17 study. It sources both the GO:0018343 protein farnesylation row and the GO:0005739 row on COX17, assigned by MGI against a S. cerevisiae accession. GO:0018343 is wrong even for COX10, since heme A:farnesyltransferase farnesylates heme rather than protein. Recommend retraction by the assigning group.
PMID:23267104	WRONG_IDENTIFIER	1	1	yeast/TIM10	yeast/LSM1	Full-text inspection found an E. coli-only interaction study with no yeast, Tim10, or Tim12 mention; it cannot support the TIM10-TIM12 IPI row.
PMID:23264731	WRONG_IDENTIFIER	2	0	human/SERP1;human/SRPRB		Full text (now cached, full_text_available) is entirely about MTR120/KIAA1383 and never mentions or assays SRPRB (no occurrence of SRPRB / SR-beta / SRP receptor). The GO:0005881 cytoplasmic-microtubule IDA citing this paper is a wrong-gene mis-attribution and has been REMOVED, consistent with the sibling SERP1 review.
PMID:17469741	WRONG_IDENTIFIER	2	0	human/UPF1;human/UPF2		Cited as a UPF1 protein binding (IPI) source but the resolved title is a melanoma serum-marker study unrelated to UPF1; appears to be an incorrect identifier in the GOA/IntAct record.
PMID:19037698	WRONG_IDENTIFIER	2	0	yeast/TIM10;yeast/TIM9		The cached full text is an unrelated colorectal-surgery article. The GO term is independently correct for TIM10, but this identifier cannot support it and may be a transposition of PMID:19037098.
