species	gene	citation	correctness	source	relevance	cited_title	review_notes
ARATH	CIPK24	PMID:14730064	DISPUTED	GOA	MEDIUM	Calcium sensors and their interacting protein kinases: genomics of the Arabidopsis and rice CBL-CIPK signaling networks.	CBL-CIPK network genomics; source of CBL1/CBL9 IntAct pairs for CIPK24. Cached record notes an Expression of Concern (2024) and an Erratum (2025); used only for family/interaction context.
ARATH	CLV3	PMID:21499263	DISPUTED	GOA	MEDIUM	Stem-cell-triggered immunity through CLV3p-FLS2 signalling.	Full text available; reports CLV3p triggers FLS2/BAK1 immune signaling and binds FLS2 directly. The central claim was contradicted by Segonzac et al. 2012 (PMID:22923673), who could not reproduce CLV3p recognition by FLS2. Citation is correct but the immunity function is contested.
CANAL	LPL1	file:CANAL/LPL1/LPL1-hypotheses/function-hypothesis-go-0047372/openscientist.md	DISPUTED	review-only	HIGH	OpenScientist hypothesis investigation - LPL1 monoacylglycerol lipase activity	OpenScientist autonomous-compute report directly evaluates the contested IBA monoacylglycerol lipase assignment, and the selected snippets support the wrong-subfamily rationale. However, its claim that QuickGO already lacks GO:0047372 for Q5AMS2 and that PAINT restricts the term to PTN000773838 was not reproducible against the fetched GOA in this repo, which shows the live annotation via PANTHER:PTN000773837|SGD:S000003112. This review therefore anchors the curation decision to the GOA source lineage and uses the report only for the independently useful ROG1-vs-LPL1 subfamily analysis.
DICDI	dhkA	PMID:12796307	DISPUTED	GOA	HIGH	Genetic interactions of the E3 ubiquitin ligase component FbxA with cyclic AMP metabolism and a histidine kinase signaling pathway during Dictyostelium discoideum development.	Solid genetic evidence linking dhkA to RegA/cAMP and sporulation. The authors' proposed directionality (that DhkA activates RegA phosphodiesterase) explicitly contradicts Wang et al. (PMID:10373524 / PMID:15897458), who show ligand binding to DhkA inhibits phosphorelay to RegA; the direction of DhkA-RegA regulation is therefore contested. Hand-curated expert assessment - the Wang/Anjard-Loomis inhibition model is the better-supported working model. DhkA autophosphorylation on His1395 and phosphorelay through RdeA to the RegA receiver aspartate are biochemically demonstrated, and SDF-2 binding lowers this relay so RegA is dephosphorylated and inactivated, raising intracellular cAMP and activating PKA to trigger encapsulation. The fbxA genetic-interaction study reported here infers the opposite direction only indirectly, so it is recorded as a contested minority interpretation pending direct measurement of the RegA phosphorylation state in dhkA-null versus SDF-2-treated cells.
PSEPK	davB	file:PSEPK/davB/davB-uniprot.txt	DISPUTED	review-only	HIGH	UniProtKB entry Q88QV1 for Pseudomonas putida KT2440 davB	The accession and gene identity are verified, but the automated tryptophan/auxin function conflicts with KT2440 Dav-pathway evidence.
SACEN	eryCI	file:SACEN/eryCI/eryCI-uniprot.txt	DISPUTED	review-only	HIGH	UniProtKB P14290 (eryCI) record	"The record's FUNCTION (""sensor protein... signal of environmental...""), name (""sensory transduction protein""), and keywords (DNA-binding, Two-component regulatory system, Cell membrane) are a legacy misannotation contradicted by the protein's own DegT/DnrJ/EryC1 family membership (sugar aminotransferases) and PLP keyword, and by the GOA transaminase annotation. Used here only for the (correct) family and cofactor evidence."
SCHPO	Epe1	file:SCHPO/Epe1/Epe1-hypotheses/function-hypothesis-go-0032452/openscientist.md	DISPUTED	review-only	HIGH	OpenScientist hypothesis investigation - Epe1 histone demethylase activity	The report directly evaluates the contested GO:0032452 IBA and its domain/sequence analysis supports removal. However, the report also claims a QuickGO/PomBase NOT annotation on a child demethylase term that is not present in the local fetched GOA file, which instead contains positive PomBase GO:0032454 lines already reviewed separately in this YAML. The cited YAML snippets therefore use only verified report statements and the local GOA source line.
SCHPO	vms1	PMID:29632312	DISPUTED	review-only	HIGH	Vms1 and ANKZF1 peptidyl-tRNA hydrolases release nascent chains from stalled ribosomes.	Full text cached. Correctly cited, and the ribosome-release biology and catalytic-glutamine requirement stand, but the paper's peptidyl-tRNA hydrolase mechanism was superseded by PMID:31011209, which showed the enzyme cleaves the tRNA 3'-CCA rather than the peptidyl-tRNA ester bond. Cite it for the clade and the catalytic residue, not for the reaction chemistry.
human	A2M	PMID:12538697	DISPUTED	GOA	MEDIUM	Natural substrates and inhibitors of mannan-binding lectin-associated serine protease-1 and -2: a study on recombinant catalytic fragments.	The cited experiment supports soluble MASP-1 inhibition, but its pathway-level physiological extrapolation is contradicted by PMID:23399388, which found no abolition of surface lectin-pathway activation in human serum.
human	A3GALT2	PMID:18630988	DISPUTED	GOA	HIGH	Humans lack iGb3 due to the absence of functional iGb3-synthase: implications for NKT cell development and transplantation.	Direct full-text human expression and functional study, but its categorical inactivity conclusion is contested by PMID:23378701. Functional testing used rat/human chimeras rather than native full-length human protein.
