Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
FeInt_T1_B1	Extraction	methanol:acetonitrile:water = 2:2:1 (v/v/v)		FeInt_T1_B1	Chromatography	Thermo Scientific Dionex Ultimate 3000 UHPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000914		ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase						Mass spectrometry	negative	70-900	Thermo Scientific Q Exactive	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000658	electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000688	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	FeInt_T1_B1		Data transformation	FeInt_T1_B1	FILES/FeInt_T1_B1.mzXML	Metabolite identification	FeInt_T1_B1	m_MTBLS1715_LC-MS_negative_reverse-phase_metabolite_profiling-1_v2_maf.tsv
FeInt_T1_B2	Extraction	methanol:acetonitrile:water = 2:2:1 (v/v/v)		FeInt_T1_B2	Chromatography	Thermo Scientific Dionex Ultimate 3000 UHPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000914		ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase						Mass spectrometry	negative	70-900	Thermo Scientific Q Exactive	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000658	electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000688	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	FeInt_T1_B2		Data transformation	FeInt_T1_B2	FILES/FeInt_T1_B2.mzXML	Metabolite identification	FeInt_T1_B2	m_MTBLS1715_LC-MS_negative_reverse-phase_metabolite_profiling-1_v2_maf.tsv
FeInt_T1_B3	Extraction	methanol:acetonitrile:water = 2:2:1 (v/v/v)		FeInt_T1_B3	Chromatography	Thermo Scientific Dionex Ultimate 3000 UHPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000914		ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase						Mass spectrometry	negative	70-900	Thermo Scientific Q Exactive	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000658	electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000688	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	FeInt_T1_B3		Data transformation	FeInt_T1_B3	FILES/FeInt_T1_B3.mzXML	Metabolite identification	FeInt_T1_B3	m_MTBLS1715_LC-MS_negative_reverse-phase_metabolite_profiling-1_v2_maf.tsv
FeInt_T1_B4	Extraction	methanol:acetonitrile:water = 2:2:1 (v/v/v)		FeInt_T1_B4	Chromatography	Thermo Scientific Dionex Ultimate 3000 UHPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000914		ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase						Mass spectrometry	negative	70-900	Thermo Scientific Q Exactive	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000658	electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000688	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	FeInt_T1_B4		Data transformation	FeInt_T1_B4	FILES/FeInt_T1_B4.mzXML	Metabolite identification	FeInt_T1_B4	m_MTBLS1715_LC-MS_negative_reverse-phase_metabolite_profiling-1_v2_maf.tsv
FeLim_T1_B1	Extraction	methanol:acetonitrile:water = 2:2:1 (v/v/v)		FeLim_T1_B1	Chromatography	Thermo Scientific Dionex Ultimate 3000 UHPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000914		ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase						Mass spectrometry	negative	70-900	Thermo Scientific Q Exactive	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000658	electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000688	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	FeLim_T1_B1		Data transformation	FeLim_T1_B1	FILES/FeLim_T1_B1.mzXML	Metabolite identification	FeLim_T1_B1	m_MTBLS1715_LC-MS_negative_reverse-phase_metabolite_profiling-1_v2_maf.tsv
FeLim_T1_B2	Extraction	methanol:acetonitrile:water = 2:2:1 (v/v/v)		FeLim_T1_B2	Chromatography	Thermo Scientific Dionex Ultimate 3000 UHPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000914		ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase						Mass spectrometry	negative	70-900	Thermo Scientific Q Exactive	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000658	electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000688	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	FeLim_T1_B2		Data transformation	FeLim_T1_B2	FILES/FeLim_T1_B2.mzXML	Metabolite identification	FeLim_T1_B2	m_MTBLS1715_LC-MS_negative_reverse-phase_metabolite_profiling-1_v2_maf.tsv
FeLim_T1_B3	Extraction	methanol:acetonitrile:water = 2:2:1 (v/v/v)		FeLim_T1_B3	Chromatography	Thermo Scientific Dionex Ultimate 3000 UHPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000914		ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase						Mass spectrometry	negative	70-900	Thermo Scientific Q Exactive	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000658	electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000688	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	FeLim_T1_B3		Data transformation	FeLim_T1_B3	FILES/FeLim_T1_B3.mzXML	Metabolite identification	FeLim_T1_B3	m_MTBLS1715_LC-MS_negative_reverse-phase_metabolite_profiling-1_v2_maf.tsv
FeLim_T1_B4	Extraction	methanol:acetonitrile:water = 2:2:1 (v/v/v)		FeLim_T1_B4	Chromatography	Thermo Scientific Dionex Ultimate 3000 UHPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000914		ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase						Mass spectrometry	negative	70-900	Thermo Scientific Q Exactive	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000658	electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000688	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	FeLim_T1_B4		Data transformation	FeLim_T1_B4	FILES/FeLim_T1_B4.mzXML	Metabolite identification	FeLim_T1_B4	m_MTBLS1715_LC-MS_negative_reverse-phase_metabolite_profiling-1_v2_maf.tsv
FeLim_T2_B1	Extraction	methanol:acetonitrile:water = 2:2:1 (v/v/v)		FeLim_T2_B1	Chromatography	Thermo Scientific Dionex Ultimate 3000 UHPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000914		ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase						Mass spectrometry	negative	70-900	Thermo Scientific Q Exactive	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000658	electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000688	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	FeLim_T2_B1		Data transformation	FeLim_T2_B1	FILES/FeLim_T2_B1.mzXML	Metabolite identification	FeLim_T2_B1	m_MTBLS1715_LC-MS_negative_reverse-phase_metabolite_profiling-1_v2_maf.tsv
FeLim_T2_B2	Extraction	methanol:acetonitrile:water = 2:2:1 (v/v/v)		FeLim_T2_B2	Chromatography	Thermo Scientific Dionex Ultimate 3000 UHPLC system	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000914		ACQUITY UPLC BEH C18 (1.7 µm, 2.1 mm x 100 mm; Waters)	reverse phase						Mass spectrometry	negative	70-900	Thermo Scientific Q Exactive	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000658	electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000688	orbitrap	MS	http://purl.obolibrary.org/obo/MS_1000484	FeLim_T2_B2		Data transformation	FeLim_T2_B2	FILES/FeLim_T2_B2.mzXML	Metabolite identification	FeLim_T2_B2	m_MTBLS1715_LC-MS_negative_reverse-phase_metabolite_profiling-1_v2_maf.tsv
